"THRESH","DRAG","DATE","A1","A2","A3"
"0.05",0,"2005-12-02","0.146","0.498","0.356"
"0.05",0,"2006-01-03","0.116","0.496","0.388"
"0.05",0,"2006-01-27","0.1","0.494","0.406"
"0.05",0,"2006-03-06","0.18","0.496","0.324"
"0.05",0,"2006-04-05","0.138","0.49","0.372"
"0.05",0,"2006-05-10","0.268","0.494","0.238"
"0.05",0,"2006-05-22","0.198","0.498","0.304"
"0.05",0,"2006-06-13","0.158","0.5","0.342"
"0.05",0,"2006-06-16","0.128","0.496","0.376"
"0.05",0,"2006-06-22","0.104","0.492","0.404"
"0.05",0,"2006-08-11","0.1","0.488","0.412"
"0.05",0,"2006-09-08","0.106","0.494","0.4"
"0.05",0,"2006-11-07","0.1","0.482","0.418"
"0.05",0,"2007-01-18","0.156","0.496","0.348"
"0.05",0,"2007-05-22","0.11","0.5","0.39"
"0.05",0,"2007-07-16","0.106","0.5","0.394"
"0.05",0,"2007-09-24","0.136","0.486","0.378"
"0.05",0,"2007-10-29","0.112","0.498","0.39"
"0.05",0,"2007-11-14","0.158","0.488","0.354"
"0.05",0,"2007-11-19","0.124","0.494","0.382"
"0.05",0,"2007-12-13","0.148","0.496","0.356"
"0.05",0,"2008-01-02","0.206","0.5","0.294"
"0.05",0,"2008-01-17","0.13","0.496","0.374"
"0.05",0,"2008-03-07","0.16","0.496","0.344"
"0.05",0,"2008-04-01","0.178","0.48","0.342"
"0.05",0,"2008-04-17","0.15","0.496","0.354"
"0.05",0,"2008-05-06","0.14","0.5","0.36"
"0.05",0,"2008-06-04","0.182","0.498","0.32"
"0.05",0,"2008-07-02","0.166","0.496","0.338"
"0.05",0,"2008-07-23","0.132","0.5","0.368"
"0.05",0,"2008-09-29","0.128","0.492","0.38"
"0.05",0,"2008-10-07","0.196","0.5","0.304"
"0.05",0,"2008-10-13","0.124","0.498","0.378"
"0.05",0,"2008-10-15","0.108","0.496","0.396"
"0.05",0,"2008-10-20","0.132","0.5","0.368"
"0.05",0,"2008-10-24","0.126","0.468","0.406"
"0.05",0,"2008-10-31","0.166","0.5","0.334"
"0.05",0,"2008-11-04","0.102","0.5","0.398"
"0.05",0,"2008-11-10","0.154","0.486","0.36"
"0.05",0,"2008-11-19","0.154","0.498","0.348"
"0.05",0,"2008-11-26","0.196","0.498","0.306"
"0.05",0,"2008-12-15","0.104","0.5","0.396"
"0.05",0,"2009-02-06","0.138","0.496","0.366"
"0.05",0,"2009-02-13","0.104","0.484","0.412"
"0.05",0,"2009-03-09","0.122","0.484","0.394"
"0.05",0,"2009-03-12","0.138","0.5","0.362"
"0.05",0,"2009-03-16","0.134","0.488","0.378"
"0.05",0,"2009-03-26","0.122","0.49","0.388"
"0.05",0,"2009-04-02","0.114","0.49","0.396"
"0.05",0,"2009-04-15","0.16","0.496","0.344"
"0.05",0,"2009-05-18","0.106","0.482","0.412"
"0.05",0,"2009-05-20","0.142","0.498","0.36"
"0.05",0,"2009-06-01","0.134","0.494","0.372"
"0.05",0,"2009-07-22","0.11","0.484","0.406"
"0.05",0,"2009-07-31","0.132","0.494","0.374"
"0.05",0,"2009-09-17","0.162","0.5","0.338"
"0.05",0,"2009-10-12","0.16","0.5","0.34"
"0.05",0,"2010-01-05","0.164","0.5","0.336"
"0.05",0,"2010-06-29","0.138","0.496","0.366"
"0.05",0,"2010-07-26","0.122","0.49","0.388"
"0.05",0,"2010-08-13","0.104","0.484","0.412"
"0.05",0,"2010-10-06","0.176","0.498","0.326"
"0.05",0,"2010-11-04","0.474","0.426","0.1"
"0.05",0,"2010-11-24","0.426","0.474","0.1"
"0.05",0,"2011-01-06","0.404","0.494","0.102"
"0.05",0,"2011-01-18","0.41","0.486","0.104"
"0.05",0,"2011-02-09","0.404","0.494","0.102"
"0.05",0,"2011-03-30","0.432","0.456","0.112"
"0.05",0,"2011-08-17","0.266","0.496","0.238"
"0.05",0,"2011-09-13","0.314","0.5","0.186"
"0.05",0,"2011-10-10","0.284","0.498","0.218"
"0.05",0,"2011-11-15","0.3","0.5","0.2"
"0.05",0,"2012-02-15","0.194","0.5","0.306"
"0.05",0,"2012-03-15","0.212","0.5","0.288"
"0.05",0,"2012-05-23","0.308","0.492","0.2"
"0.05",0,"2012-07-03","0.148","0.5","0.352"
"0.05",0,"2012-08-27","0.11","0.498","0.392"
"0.05",0,"2012-09-21","0.13","0.496","0.374"
"0.05",0,"2012-10-04","0.146","0.494","0.36"
"0.05",0,"2013-01-03","0.186","0.492","0.322"
"0.05",0,"2013-05-09","0.142","0.486","0.372"
"0.05",0,"2013-06-10","0.106","0.5","0.394"
"0.05",0,"2013-07-26","0.176","0.458","0.366"
"0.05",0,"2013-08-19","0.202","0.498","0.3"
"0.05",0,"2013-08-28","0.154","0.484","0.362"
"0.05",0,"2013-09-10","0.156","0.486","0.358"
"0.05",0,"2013-10-09","0.112","0.492","0.396"
"0.05",0,"2013-11-12","0.12","0.498","0.382"
"0.05",0,"2014-03-24","0.15","0.5","0.35"
"0.05",0,"2014-04-02","0.184","0.498","0.318"
"0.05",0,"2014-05-14","0.186","0.492","0.322"
"0.05",0,"2014-05-20","0.2","0.464","0.336"
"0.05",0,"2014-06-09","0.208","0.496","0.296"
"0.05",0,"2014-07-30","0.124","0.492","0.384"
"0.05",0,"2014-09-08","0.118","0.5","0.382"
"0.05",0,"2015-01-27","0.16","0.498","0.342"
"0.05",0,"2015-02-20","0.148","0.496","0.356"
"0.05",0,"2015-11-06","0.246","0.492","0.262"
"0.05",0,"2016-01-20","0.284","0.5","0.216"
"0.05",0,"2016-04-27","0.24","0.49","0.27"
"0.05",0,"2016-08-01","0.288","0.498","0.214"
"0.05",0,"2016-12-27","0.224","0.494","0.282"
"0.05",0,"2017-01-11","0.262","0.496","0.242"
"0.05",0,"2017-02-09","0.202","0.49","0.308"
"0.05",0,"2017-04-06","0.286","0.496","0.218"
"0.05",0,"2017-05-25","0.242","0.498","0.26"
"0.05",0,"2017-09-18","0.214","0.5","0.286"
"0.05",0,"2017-11-16","0.184","0.49","0.326"
"0.05",0,"2017-12-21","0.244","0.494","0.262"
