"THRESH","DRAG","DATE","A1","A2","A3"
"0.05",0,"2005-12-02","0.106","0.49","0.404"
"0.05",0,"2005-12-30","0.134","0.496","0.37"
"0.05",0,"2006-01-27","0.182","0.496","0.322"
"0.05",0,"2006-03-06","0.152","0.492","0.356"
"0.05",0,"2006-04-05","0.22","0.484","0.296"
"0.05",0,"2006-05-22","0.24","0.486","0.274"
"0.05",0,"2006-06-13","0.152","0.498","0.35"
"0.05",0,"2006-06-16","0.154","0.5","0.346"
"0.05",0,"2006-06-22","0.122","0.494","0.384"
"0.05",0,"2006-08-11","0.112","0.488","0.4"
"0.05",0,"2006-09-08","0.148","0.5","0.352"
"0.05",0,"2006-11-10","0.154","0.484","0.362"
"0.05",0,"2007-01-18","0.208","0.5","0.292"
"0.05",0,"2007-05-29","0.112","0.472","0.416"
"0.05",0,"2007-07-23","0.148","0.5","0.352"
"0.05",0,"2007-09-24","0.14","0.498","0.362"
"0.05",0,"2007-10-29","0.158","0.498","0.344"
"0.05",0,"2007-11-14","0.186","0.498","0.316"
"0.05",0,"2007-11-19","0.148","0.5","0.352"
"0.05",0,"2007-12-13","0.18","0.488","0.332"
"0.05",0,"2008-01-02","0.104","0.5","0.396"
"0.05",0,"2008-01-17","0.182","0.498","0.32"
"0.05",0,"2008-01-22","0.15","0.5","0.35"
"0.05",0,"2008-01-23","0.102","0.498","0.4"
"0.05",0,"2008-04-21","0.118","0.5","0.382"
"0.05",0,"2008-05-12","0.13","0.494","0.376"
"0.05",0,"2008-07-14","0.168","0.5","0.332"
"0.05",0,"2008-07-23","0.164","0.498","0.338"
"0.05",0,"2008-09-29","0.126","0.464","0.41"
"0.05",0,"2008-10-07","0.162","0.5","0.338"
"0.05",0,"2008-10-13","0.114","0.498","0.388"
"0.05",0,"2008-10-15","0.17","0.5","0.33"
"0.05",0,"2008-10-20","0.124","0.484","0.392"
"0.05",0,"2008-10-24","0.116","0.498","0.386"
"0.05",0,"2008-10-31","0.11","0.494","0.396"
"0.05",0,"2008-11-04","0.108","0.492","0.4"
"0.05",0,"2008-11-10","0.12","0.5","0.38"
"0.05",0,"2008-11-19","0.12","0.488","0.392"
"0.05",0,"2008-12-08","0.132","0.498","0.37"
"0.05",0,"2008-12-11","0.15","0.496","0.354"
"0.05",0,"2008-12-19","0.122","0.498","0.38"
"0.05",0,"2009-02-06","0.134","0.492","0.374"
"0.05",0,"2009-02-13","0.152","0.496","0.352"
"0.05",0,"2009-03-05","0.138","0.5","0.362"
"0.05",0,"2009-03-12","0.114","0.498","0.388"
"0.05",0,"2009-03-16","0.108","0.49","0.402"
"0.05",0,"2009-03-26","0.116","0.5","0.384"
"0.05",0,"2009-04-02","0.158","0.488","0.354"
"0.05",0,"2009-04-15","0.19","0.498","0.312"
"0.05",0,"2009-05-04","0.126","0.5","0.374"
"0.05",0,"2009-05-18","0.162","0.496","0.342"
"0.05",0,"2009-05-20","0.106","0.498","0.396"
"0.05",0,"2009-06-01","0.15","0.5","0.35"
"0.05",0,"2009-07-22","0.146","0.5","0.354"
"0.05",0,"2009-07-31","0.136","0.494","0.37"
"0.05",0,"2009-09-17","0.122","0.492","0.386"
"0.05",0,"2009-10-12","0.108","0.498","0.394"
"0.05",0,"2010-01-05","0.196","0.486","0.318"
"0.05",0,"2010-06-30","0.146","0.5","0.354"
"0.05",0,"2010-07-22","0.176","0.5","0.324"
"0.05",0,"2010-08-19","0.192","0.498","0.31"
"0.05",0,"2010-10-15","0.182","0.498","0.32"
"0.05",0,"2010-11-26","0.15","0.492","0.358"
"0.05",0,"2011-01-14","0.182","0.5","0.318"
"0.05",0,"2011-08-08","0.192","0.5","0.308"
"0.05",0,"2011-08-16","0.176","0.5","0.324"
"0.05",0,"2011-09-14","0.22","0.494","0.286"
"0.05",0,"2011-10-13","0.272","0.496","0.232"
"0.05",0,"2011-12-12","0.238","0.488","0.274"
"0.05",0,"2012-01-27","0.162","0.5","0.338"
"0.05",0,"2012-02-15","0.218","0.5","0.282"
"0.05",0,"2012-03-15","0.15","0.494","0.356"
"0.05",0,"2012-06-20","0.196","0.498","0.306"
"0.05",0,"2012-07-03","0.146","0.498","0.356"
"0.05",0,"2012-08-27","0.17","0.5","0.33"
"0.05",0,"2012-09-21","0.142","0.494","0.364"
"0.05",0,"2012-10-04","0.19","0.494","0.316"
"0.05",0,"2013-01-04","0.184","0.5","0.316"
"0.05",0,"2013-05-10","0.202","0.498","0.3"
"0.05",0,"2013-06-13","0.16","0.492","0.348"
"0.05",0,"2013-07-17","0.162","0.49","0.348"
"0.05",0,"2013-08-13","0.138","0.5","0.362"
"0.05",0,"2013-08-28","0.13","0.5","0.37"
"0.05",0,"2013-09-10","0.12","0.498","0.382"
"0.05",0,"2013-10-09","0.188","0.5","0.312"
"0.05",0,"2013-11-11","0.166","0.498","0.336"
"0.05",0,"2014-03-26","0.142","0.488","0.37"
"0.05",0,"2014-04-10","0.23","0.5","0.27"
"0.05",0,"2014-05-19","0.186","0.492","0.322"
"0.05",0,"2014-06-06","0.16","0.48","0.36"
"0.05",0,"2014-08-13","0.17","0.486","0.344"
"0.05",0,"2014-09-03","0.166","0.478","0.356"
"0.05",0,"2015-01-15","0.1","0.48","0.42"
"0.05",0,"2015-04-23","0.118","0.5","0.382"
"0.05",0,"2015-08-04","0.16","0.5","0.34"
"0.05",0,"2015-09-29","0.134","0.5","0.366"
"0.05",0,"2015-10-23","0.16","0.494","0.346"
"0.05",0,"2016-01-21","0.134","0.496","0.37"
"0.05",0,"2016-04-18","0.152","0.496","0.352"
"0.05",0,"2016-07-25","0.302","0.478","0.22"
"0.05",0,"2016-10-05","0.23","0.5","0.27"
"0.05",0,"2016-12-27","0.238","0.49","0.272"
"0.05",0,"2017-01-11","0.238","0.49","0.272"
"0.05",0,"2017-02-09","0.264","0.5","0.236"
"0.05",0,"2017-04-11","0.208","0.5","0.292"
"0.05",0,"2017-05-25","0.238","0.49","0.272"
"0.05",0,"2017-09-18","0.238","0.488","0.274"
"0.05",0,"2017-11-16","0.254","0.5","0.246"
"0.05",0,"2017-12-22","0.27","0.5","0.23"
"0.05",0,"2018-01-31","0.26","0.492","0.248"
"0.05",0,"2018-03-09","0.21","0.498","0.292"
"0.05",0,"2018-04-06","0.268","0.488","0.244"
"0.05",0,"2018-04-17","0.23","0.5","0.27"
"0.05",0,"2018-05-21","0.21","0.494","0.296"
"0.05",0,"2018-07-13","0.214","0.494","0.292"
"0.05",0,"2018-08-08","0.14","0.486","0.374"
"0.05",1,"2005-12-02","0.142","0.498","0.36"
"0.05",1,"2006-01-03","0.186","0.484","0.33"
"0.05",1,"2006-02-06","0.196","0.492","0.312"
"0.05",1,"2006-03-07","0.256","0.496","0.248"
"0.05",1,"2006-05-02","0.268","0.5","0.232"
"0.05",1,"2006-05-22","0.222","0.496","0.282"
"0.05",1,"2006-06-13","0.118","0.5","0.382"
"0.05",1,"2006-06-19","0.202","0.5","0.298"
