"THRESH","DRAG","DATE","A1","A2","A3"
"0.05",0,"2005-12-02","0.146","0.498","0.356"
"0.05",0,"2006-01-03","0.192","0.49","0.318"
"0.05",0,"2006-02-06","0.216","0.496","0.288"
"0.05",0,"2006-03-07","0.118","0.5","0.382"
"0.05",0,"2006-05-02","0.222","0.498","0.28"
"0.05",0,"2006-05-22","0.16","0.488","0.352"
"0.05",0,"2006-10-03","0.116","0.5","0.384"
"0.05",0,"2006-12-01","0.13","0.496","0.374"
"0.05",0,"2007-05-15","0.116","0.49","0.394"
"0.05",0,"2007-06-22","0.102","0.5","0.398"
"0.05",0,"2007-09-13","0.114","0.49","0.396"
"0.05",0,"2007-09-28","0.156","0.5","0.344"
"0.05",0,"2007-11-05","0.156","0.486","0.358"
"0.05",0,"2007-11-14","0.18","0.492","0.328"
"0.05",0,"2007-11-19","0.166","0.5","0.334"
"0.05",0,"2007-12-13","0.162","0.5","0.338"
"0.05",0,"2008-01-02","0.13","0.494","0.376"
"0.05",0,"2008-01-17","0.14","0.49","0.37"
"0.05",0,"2008-03-07","0.206","0.5","0.294"
"0.05",0,"2008-03-24","0.114","0.5","0.386"
"0.05",0,"2008-03-25","0.16","0.496","0.344"
"0.05",0,"2008-04-15","0.17","0.498","0.332"
"0.05",0,"2008-05-02","0.146","0.49","0.364"
"0.05",0,"2008-05-29","0.198","0.5","0.302"
"0.05",0,"2008-06-26","0.158","0.5","0.342"
"0.05",0,"2008-08-11","0.136","0.494","0.37"
"0.05",0,"2008-09-17","0.16","0.49","0.35"
"0.05",0,"2008-10-06","0.202","0.498","0.3"
"0.05",0,"2008-10-10","0.146","0.49","0.364"
"0.05",0,"2008-10-13","0.104","0.496","0.4"
"0.05",0,"2008-10-15","0.128","0.498","0.374"
"0.05",0,"2008-10-20","0.114","0.488","0.398"
"0.05",0,"2008-10-24","0.128","0.5","0.372"
"0.05",0,"2008-10-31","0.108","0.496","0.396"
"0.05",0,"2008-11-04","0.102","0.492","0.406"
"0.05",0,"2008-11-10","0.216","0.494","0.29"
"0.05",0,"2008-11-19","0.138","0.466","0.396"
