"THRESH","DRAG","DATE","A1","A2","A3","A4"
"0.5",0,"2005-12-02","0.25","0.25","0.25","0.5"
"0.5",0,"2007-11-19","0.25","0.25","0.25","0.25"
"0.5",0,"2008-10-10","0.25","0.25","0.25","0.25"
"0.5",0,"2010-08-20","0.25","0.25","0.25","0.25"
"0.5",0,"2013-06-10","0.25","0.25","0.25","0.25"
"0.5",0,"2018-06-15","0.25","0.25","0.25","0.25"
"0.5",1,"2005-12-02","0.25","0.25","0.25","0.5"
"0.5",1,"2007-11-19","0.25","0.25","0.25","0.25"
"0.5",1,"2008-10-10","0.25","0.25","0.25","0.25"
"0.5",1,"2010-08-20","0.25","0.25","0.25","0.25"
"0.5",1,"2013-06-10","0.25","0.25","0.25","0.25"
"0.5",1,"2018-06-15","0.25","0.25","0.25","0.25"
"0.1",0,"2005-12-02","0.25","0.25","0.25","0.1"
"0.1",0,"2006-02-13","0.25","0.25","0.25","0.25"
"0.1",0,"2006-05-03","0.25","0.25","0.25","0.25"
"0.1",0,"2006-06-07","0.25","0.25","0.25","0.25"
"0.1",0,"2006-09-06","0.25","0.25","0.25","0.25"
"0.1",0,"2006-12-28","0.25","0.25","0.25","0.25"
"0.1",0,"2007-06-26","0.25","0.25","0.25","0.25"
"0.1",0,"2007-10-29","0.25","0.25","0.25","0.25"
"0.1",0,"2007-11-19","0.25","0.25","0.25","0.25"
"0.1",0,"2008-01-04","0.25","0.25","0.25","0.25"
"0.1",0,"2008-01-22","0.25","0.25","0.25","0.25"
"0.1",0,"2008-03-03","0.25","0.25","0.25","0.25"
"0.1",0,"2008-04-01","0.25","0.25","0.25","0.25"
"0.1",0,"2008-06-04","0.25","0.25","0.25","0.25"
"0.1",0,"2008-06-30","0.25","0.25","0.25","0.25"
"0.1",0,"2008-08-05","0.25","0.25","0.25","0.25"
"0.1",0,"2008-09-23","0.25","0.25","0.25","0.25"
"0.1",0,"2008-10-08","0.25","0.25","0.25","0.25"
"0.1",0,"2008-10-24","0.25","0.25","0.25","0.25"
"0.1",0,"2008-11-24","0.25","0.25","0.25","0.25"
"0.1",0,"2008-12-19","0.25","0.25","0.25","0.25"
"0.1",0,"2009-01-27","0.25","0.25","0.25","0.25"
"0.1",0,"2009-03-02","0.25","0.25","0.25","0.25"
"0.1",0,"2009-03-26","0.25","0.25","0.25","0.25"
"0.1",0,"2009-04-15","0.25","0.25","0.25","0.25"
"0.1",0,"2009-05-18","0.25","0.25","0.25","0.25"
"0.1",0,"2009-06-01","0.25","0.25","0.25","0.25"
"0.1",0,"2009-10-01","0.25","0.25","0.25","0.25"
"0.1",0,"2010-07-16","0.25","0.25","0.25","0.25"
"0.1",0,"2010-12-16","0.25","0.25","0.25","0.25"
"0.1",0,"2011-06-17","0.25","0.25","0.25","0.25"
"0.1",0,"2011-08-08","0.25","0.25","0.25","0.25"
"0.1",0,"2011-09-15","0.25","0.25","0.25","0.25"
"0.1",0,"2011-12-14","0.25","0.25","0.25","0.25"
"0.1",0,"2012-02-06","0.25","0.25","0.25","0.25"
"0.1",0,"2012-03-29","0.25","0.25","0.25","0.25"
"0.1",0,"2013-05-17","0.25","0.25","0.25","0.25"
"0.1",0,"2013-07-29","0.25","0.25","0.25","0.25"
"0.1",0,"2013-08-27","0.25","0.25","0.25","0.25"
"0.1",0,"2013-10-03","0.25","0.25","0.25","0.25"
"0.1",0,"2014-03-27","0.25","0.25","0.25","0.25"
"0.1",0,"2014-05-16","0.25","0.25","0.25","0.25"
"0.1",0,"2014-06-09","0.25","0.25","0.25","0.25"
"0.1",0,"2014-11-26","0.25","0.25","0.25","0.25"
"0.1",0,"2017-03-29","0.25","0.25","0.25","0.25"
"0.1",0,"2017-12-27","0.25","0.25","0.25","0.25"
"0.1",0,"2018-03-09","0.25","0.25","0.25","0.25"
"0.1",0,"2018-08-29","0.25","0.25","0.25","0.25"
"0.1",1,"2005-12-02","0.25","0.25","0.25","0.1"
"0.1",1,"2006-02-13","0.25","0.25","0.25","0.25"
"0.1",1,"2006-05-03","0.25","0.25","0.25","0.25"
"0.1",1,"2006-06-07","0.25","0.25","0.25","0.25"
"0.1",1,"2006-09-06","0.25","0.25","0.25","0.25"
"0.1",1,"2006-12-28","0.25","0.25","0.25","0.25"
"0.1",1,"2007-06-26","0.25","0.25","0.25","0.25"
"0.1",1,"2007-10-29","0.25","0.25","0.25","0.25"
"0.1",1,"2007-11-19","0.25","0.25","0.25","0.25"
"0.1",1,"2008-01-04","0.25","0.25","0.25","0.25"
"0.1",1,"2008-01-22","0.25","0.25","0.25","0.25"
"0.1",1,"2008-03-03","0.25","0.25","0.25","0.25"
"0.1",1,"2008-04-01","0.25","0.25","0.25","0.25"
"0.1",1,"2008-06-04","0.25","0.25","0.25","0.25"
"0.1",1,"2008-06-30","0.25","0.25","0.25","0.25"
"0.1",1,"2008-08-05","0.25","0.25","0.25","0.25"
"0.1",1,"2008-09-23","0.25","0.25","0.25","0.25"
"0.1",1,"2008-10-08","0.25","0.25","0.25","0.25"
"0.1",1,"2008-10-24","0.25","0.25","0.25","0.25"
"0.1",1,"2008-11-24","0.25","0.25","0.25","0.25"
"0.1",1,"2008-12-19","0.25","0.25","0.25","0.25"
"0.1",1,"2009-01-27","0.25","0.25","0.25","0.25"
"0.1",1,"2009-03-02","0.25","0.25","0.25","0.25"
"0.1",1,"2009-03-26","0.25","0.25","0.25","0.25"
"0.1",1,"2009-04-15","0.25","0.25","0.25","0.25"
"0.1",1,"2009-05-18","0.25","0.25","0.25","0.25"
"0.1",1,"2009-06-01","0.25","0.25","0.25","0.25"
