"THRESH","DRAG","DATE","A1","A2","A3","A4"
"0.5",0,"2005-12-02","0.166","0.392","0.232","0.5"
"0.5",0,"2007-11-14","0.114","0.354","0.346","0.186"
"0.5",0,"2009-02-17","0.154","0.4","0.212","0.234"
"0.5",0,"2009-06-04","0.18","0.366","0.112","0.342"
"0.5",0,"2013-05-10","0.236","0.382","0.242","0.14"
"0.5",0,"2018-03-09","0.106","0.352","0.248","0.294"
"0.5",1,"2005-12-02","0.132","0.376","0.29","0.5"
"0.5",1,"2007-11-13","0.118","0.374","0.308","0.2"
"0.5",1,"2009-03-02","0.134","0.4","0.192","0.274"
"0.5",1,"2009-06-01","0.1","0.384","0.156","0.36"
"0.5",1,"2013-05-20","0.244","0.4","0.244","0.112"
"0.5",1,"2018-05-23","0.122","0.386","0.176","0.316"
"0.1",0,"2005-12-02","0.17","0.364","0.272","0.1"
"0.1",0,"2006-02-10","0.13","0.394","0.122","0.354"
"0.1",0,"2006-05-03","0.214","0.398","0.136","0.252"
"0.1",0,"2006-06-08","0.11","0.368","0.37","0.152"
"0.1",0,"2006-06-21","0.192","0.362","0.332","0.114"
"0.1",0,"2006-07-12","0.13","0.372","0.39","0.108"
"0.1",0,"2006-09-08","0.144","0.396","0.356","0.104"
"0.1",0,"2007-01-17","0.118","0.372","0.36","0.15"
"0.1",0,"2007-06-29","0.1","0.394","0.378","0.128"
"0.1",0,"2007-10-03","0.114","0.39","0.266","0.23"
"0.1",0,"2007-11-08","0.11","0.374","0.38","0.136"
"0.1",0,"2007-11-19","0.116","0.358","0.28","0.246"
"0.1",0,"2008-01-02","0.13","0.39","0.374","0.106"
"0.1",0,"2008-01-15","0.114","0.35","0.39","0.146"
"0.1",0,"2008-02-29","0.134","0.356","0.4","0.11"
"0.1",0,"2008-05-06","0.124","0.4","0.266","0.21"
"0.1",0,"2008-06-26","0.13","0.396","0.198","0.276"
"0.1",0,"2008-10-06","0.296","0.358","0.12","0.226"
"0.1",0,"2008-10-22","0.198","0.39","0.192","0.22"
"0.1",0,"2008-11-24","0.12","0.396","0.204","0.28"
"0.1",0,"2008-12-19","0.208","0.378","0.208","0.206"
"0.1",0,"2009-01-27","0.116","0.398","0.15","0.336"
"0.1",0,"2009-04-09","0.106","0.4","0.138","0.356"
"0.1",0,"2009-05-18","0.11","0.394","0.106","0.39"
"0.1",0,"2009-05-29","0.122","0.4","0.17","0.308"
"0.1",0,"2009-07-23","0.106","0.378","0.29","0.226"
"0.1",0,"2009-09-18","0.108","0.396","0.322","0.174"
"0.1",0,"2009-12-02","0.148","0.4","0.258","0.194"
"0.1",0,"2010-07-16","0.11","0.4","0.208","0.282"
"0.1",0,"2010-12-10","0.168","0.4","0.108","0.324"
"0.1",0,"2011-08-02","0.262","0.4","0.18","0.158"
"0.1",0,"2011-08-10","0.174","0.398","0.214","0.214"
"0.1",0,"2011-09-14","0.196","0.374","0.116","0.314"
"0.1",0,"2011-10-18","0.248","0.386","0.14","0.226"
"0.1",0,"2011-11-30","0.192","0.398","0.14","0.27"
"0.1",0,"2012-02-09","0.212","0.396","0.236","0.156"
"0.1",0,"2012-04-27","0.182","0.392","0.216","0.21"
"0.1",0,"2013-01-08","0.144","0.36","0.28","0.216"
"0.1",0,"2013-05-10","0.194","0.378","0.254","0.174"
"0.1",0,"2013-07-11","0.14","0.4","0.336","0.124"
"0.1",0,"2013-08-16","0.226","0.316","0.358","0.1"
"0.1",0,"2013-08-28","0.226","0.348","0.29","0.136"
"0.1",0,"2013-09-19","0.224","0.386","0.266","0.124"
"0.1",0,"2014-03-28","0.226","0.384","0.284","0.106"
"0.1",0,"2014-05-19","0.186","0.382","0.286","0.146"
"0.1",0,"2014-11-13","0.202","0.342","0.34","0.116"
"0.1",0,"2016-02-11","0.172","0.388","0.138","0.302"
"0.1",0,"2016-04-18","0.214","0.4","0.154","0.232"
"0.1",0,"2016-10-04","0.194","0.38","0.216","0.21"
"0.1",0,"2017-05-30","0.136","0.378","0.246","0.24"
"0.1",0,"2017-12-19","0.196","0.386","0.186","0.232"
"0.1",0,"2018-05-21","0.1","0.4","0.248","0.252"
"0.1",0,"2018-08-08","0.112","0.388","0.192","0.308"
"0.1",1,"2005-12-02","0.104","0.34","0.304","0.1"
"0.1",1,"2006-02-07","0.132","0.39","0.11","0.368"
"0.1",1,"2006-05-03","0.22","0.376","0.134","0.27"
"0.1",1,"2006-06-07","0.138","0.398","0.312","0.152"
"0.1",1,"2006-09-28","0.1","0.39","0.374","0.136"
"0.1",1,"2007-05-14","0.126","0.368","0.364","0.142"
"0.1",1,"2007-07-31","0.108","0.384","0.346","0.162"
"0.1",1,"2007-11-07","0.112","0.366","0.39","0.132"
