"THRESH","DRAG","DATE","A1","A2","A3","A4"
"0.5",0,"2005-12-02","0.146","0.36","0.234","0.5"
"0.5",0,"2007-11-12","0.148","0.376","0.354","0.122"
"0.5",0,"2009-01-30","0.102","0.394","0.242","0.262"
"0.5",0,"2009-07-28","0.11","0.382","0.204","0.304"
"0.5",0,"2013-07-05","0.176","0.398","0.228","0.198"
"0.5",0,"2017-12-11","0.106","0.37","0.282","0.242"
"0.5",1,"2005-12-02","0.15","0.4","0.348","0.5"
"0.5",1,"2007-11-15","0.138","0.398","0.312","0.152"
"0.5",1,"2009-03-06","0.2","0.396","0.144","0.26"
"0.5",1,"2009-06-01","0.222","0.358","0.174","0.246"
"0.5",1,"2013-05-17","0.196","0.368","0.164","0.272"
"0.5",1,"2018-01-17","0.152","0.386","0.25","0.212"
"0.1",0,"2005-12-02","0.146","0.344","0.304","0.1"
"0.1",0,"2006-02-10","0.152","0.392","0.162","0.294"
"0.1",0,"2006-05-03","0.186","0.4","0.102","0.312"
"0.1",0,"2006-06-13","0.1","0.4","0.304","0.196"
"0.1",0,"2006-06-21","0.108","0.4","0.308","0.184"
"0.1",0,"2006-07-12","0.136","0.394","0.27","0.2"
"0.1",0,"2006-09-07","0.112","0.386","0.312","0.19"
"0.1",0,"2006-12-27","0.162","0.378","0.268","0.192"
"0.1",0,"2007-06-20","0.1","0.392","0.354","0.154"
"0.1",0,"2007-09-24","0.128","0.398","0.248","0.226"
"0.1",0,"2007-11-14","0.1","0.4","0.34","0.16"
"0.1",0,"2007-12-11","0.15","0.388","0.254","0.208"
"0.1",0,"2008-01-15","0.11","0.386","0.322","0.182"
"0.1",0,"2008-02-29","0.138","0.394","0.21","0.258"
"0.1",0,"2008-04-24","0.162","0.368","0.31","0.16"
"0.1",0,"2008-06-27","0.1","0.398","0.214","0.288"
"0.1",0,"2008-08-08","0.128","0.398","0.188","0.286"
"0.1",0,"2008-09-22","0.128","0.374","0.198","0.3"
"0.1",0,"2008-10-08","0.112","0.382","0.234","0.272"
"0.1",0,"2008-10-27","0.186","0.37","0.162","0.282"
"0.1",0,"2008-11-04","0.134","0.394","0.17","0.302"
"0.1",0,"2008-11-21","0.104","0.396","0.248","0.252"
"0.1",0,"2009-02-17","0.124","0.4","0.152","0.324"
"0.1",0,"2009-04-02","0.112","0.39","0.132","0.366"
"0.1",0,"2009-04-15","0.13","0.396","0.178","0.296"
"0.1",0,"2009-05-18","0.112","0.376","0.2","0.312"
"0.1",0,"2009-05-29","0.116","0.396","0.126","0.362"
