dt,hr,med_spread,med_buy_sz,med_sell_sz
20240914,8,0.014343600979460636,327920.8848,332520.64559999993
20241108,7,0.033398274422480334,206436.6902,203435.8303
20240502,2,0.029050062941804455,105912.12243999998,90519.57576
20240814,4,0.013426423200857407,93619.77332,114630.41237
20240424,4,0.036428924788101114,100994.85994,92993.864325
20240803,7,0.026497085320609237,140694.03920000003,125563.6242
20240918,18,0.021955503512871566,409692.61384999997,347739.6138
20240501,9,0.02491187424484842,116355.31731999999,94336.369065
20240408,10,0.02350912937858496,163409.87550000002,148789.2815
20240820,15,0.016012810248189346,262995.9212,266105.46810000006
20240910,11,0.021632535333138136,406656.9835999999,411481.5008
20240402,22,0.03450060376057884,202981.90509999997,166210.85210000002
20240902,13,0.024683231857802745,283960.18029999995,298201.11000000004
20240421,9,0.013018573164380598,113113.45708000001,70344.14674
20240825,21,0.01453488372094025,222679.77509999997,217279.53340000001
20241108,13,0.02201430930106607,214850.91419999997,230811.58729999998
20240916,9,0.014277555682462584,344598.9101,348345.97699999996
20241109,5,0.016082341588941063,225596.0099,224177.89815000002
20240816,0,0.009312721177123784,222860.29600000003,270457.90355000005
20241008,9,0.020755500207547684,368857.2755,344807.9584
20240826,20,0.015381065907882352,260654.33844999998,272573.7274
20241117,20,0.018275967103265067,168789.3793,160017.19465000002
20240724,5,0.020539652339346404,85927.13285999998,114140.82378
20241115,23,0.02431906614788204,196226.92760000002,164866.2563
20241027,4,0.02778742618967378,326988.1209,288847.6878000001
20240516,12,0.022158080417300496,128866.64583000002,126174.39122
20240528,5,0.028224668360143923,177597.68024999998,256798.3602
20240518,1,0.01478852410528031,127515.85944000001,124304.77286000001
20240505,4,0.02153486948737182,116611.89910999997,112307.84426000001
20240521,4,0.025540435617665835,166478.60496,137886.53863000002
20240524,23,0.045237951625543005,185434.55573999998,169556.29274
20240813,1,0.023732871058279592,107056.52473,94146.730335
20240731,5,0.01914333612087482,200559.9684,186819.32265
20241117,3,0.012150668286770028,155121.67859999996,166413.07290000003
20240422,7,0.0243592459224784,107955.16574999999,83002.40251999999
20240817,3,0.017530020159517434,223814.63685,212492.58759999997
20240605,3,0.02908667830134881,217899.9274,155138.58060000002
20240809,17,0.018954750797672837,106394.56519999998,88771.59440000002
20241030,0,0.013310262212162804,334942.7948,315591.5873
20241020,10,0.01895974214751739,475602.2206000001,482978.5234
20240607,19,0.051041666666673535,113409.80123000003,112883.74901
20240409,4,0.0078173858661712,106092.07054999999,144729.24565000003
20240915,0,0.02127659574469032,335603.1079000001,303671.415
20240930,0,0.01863006893125796,330246.64379999996,315454.1984
20240603,9,0.02870264064294137,224713.13989999998,195866.93370000002
20240816,22,0.008937349182236431,185864.60895,225291.09805000003
20240723,23,0.03612064294744588,91618.39517000002,100265.20302
20241124,4,0.028037121170432222,236100.02324999997,225874.29579999996
20241026,14,0.028455573735519657,326914.48030000005,272157.1009
20240613,3,0.026307963306115845,133312.67168,139753.11994
20240716,9,0.057520851308612286,195339.55094999998,172203.09640000004
20241126,18,0.017433751743367587,297534.49324999994,250704.89520000003
20241122,10,0.01198897014746958,236953.60590000002,233480.90659999993
20240808,12,0.020848861392119833,82646.95103499998,90707.769575
20241118,14,0.018125793003442858,183356.26310000004,204440.4852
20240901,20,0.02411963338158074,295349.0785,272836.17060000007
20240901,3,0.023430178069361318,294389.0033999999,278068.34270000004
20240910,22,0.026631158455403536,394663.4984,290438.54309999995
20240831,16,0.022962112514357536,265755.4409,252135.4742
20240716,14,0.01927710843372399,197581.53750000003,163774.2021
20241103,17,0.022839741149605075,361943.66045,366919.0186
20241118,5,0.01806575936409427,167145.4964,206379.81919999997
20241119,9,0.018300494113332455,187039.07075,187169.0076
20240905,23,0.023266635644492162,415167.0431000001,467643.5112
20240503,10,0.018798980157930245,157746.12514,138804.26299999998
20240804,7,0.027758501100350053,182416.00910000002,167610.53895000002
20241012,2,0.020782819535858366,398575.19460000005,379535.54860000004
20240522,10,0.02703208507855992,137112.3412,141996.62283
20240520,4,0.02872143653136483,132359.16926,155355.22126000002
20240512,5,0.01565491745041392,128403.12859500002,127620.79192000002
20240513,13,0.01787970534246064,130265.22623000001,130340.09021
20240530,13,0.029123386079032976,140843.235,208192.84600000002
20241104,8,0.03086657921136382,347420.78050000005,353235.6831000001
20240913,22,0.020779940430837307,337802.78979999997,271692.00179999997
20240926,1,0.024406614192451492,324025.81889999995,335771.8609
20241124,23,0.01753975678204789,247909.75785,221144.30670000002
20241009,12,0.014104372355427941,405175.36619999993,364154.41845
20240412,7,0.03384094754652622,164094.4949,170187.08870000002
20240812,8,0.020299036892501565,95451.34566999998,93980.99536499998
20240425,1,0.015408914094583448,85735.7383,56794.801210000005
20240605,20,0.028601391934413023,240984.89805000002,150977.60330000002
20240614,17,0.030184123151211217,130455.13986000002,149513.46788999997
20240605,6,0.03882364359895085,190986.8399,148421.3053
20241109,17,0.026300562832037855,206019.89055,224344.10849999997
20241103,9,0.022275022275031198,386652.38589999994,377397.4818
20240727,7,0.022220651065074648,123726.98866999999,181192.56073999996
20240914,19,0.021479200973728574,374023.82239999995,335121.88529999997
20241003,10,0.02163565556037028,318512.98990000004,301231.9913
20241117,12,0.01788375558866573,159239.62855,163411.09520000004
20240622,23,0.027031344072159236,252302.05697999996,232388.85069999998
20240618,7,0.046148473358598174,131552.44762000002,143771.67461000002
20240615,11,0.028046557285099638,197161.36552000002,189640.46928999998
20240626,7,0.028358892694302362,214419.928495,182731.488165
20240915,16,0.020369364475825158,344594.4933999999,321973.9427000001
20240911,12,0.026957811025729583,375567.78919999994,386418.0871
20240416,19,0.018874824525749734,99326.51544,109730.46219499999
20240605,12,0.029268292682926855,233168.8692,175261.83550000002
20240707,9,0.033214826114225104,121898.14435,132230.12214
20240712,5,0.02233139794551864,135640.16788,125713.11562
20240712,17,0.041194220450879726,127513.51332999999,121084.26174000002
20240712,14,0.03363888655285585,130363.78901,121898.90860000001
20240407,2,0.024871497264133957,195137.36015000002,150895.9859
20240930,15,0.019321182456377706,338855.55179999996,301160.72055
20240404,11,0.025917926565877103,295287.61945,190437.09380000003
20241010,8,0.021143139051371662,435936.64139999996,362909.10014999995
20240727,19,0.02989834562487914,196084.29880000005,199493.769
20240402,0,0.02346316283434735,233862.61540000004,208654.24380000003
20241006,3,0.020362451639188706,402938.62120000005,373675.5177999999
20241209,22,0.02819624591701153,276323.63905,320876.05850000004
20240429,4,0.02211728797814061,96467.81416,105836.33873999999
20240826,6,0.014963339817453125,244672.83100000006,239475.38945000005
20240816,11,0.009194556822356148,244079.8867,250898.57729999998
20240904,15,0.03751219146224116,253829.20309999998,244340.37729999996
20240423,17,0.021953437803823306,112764.63390000002,94506.66611
