dt,hr,med_spread,med_buy_sz,med_sell_sz
20241119,21,0.03506311468217671,57502.308516499994,61952.134514499994
20240827,4,0.04606172270842368,156515.747878,165456.833218
20241026,1,0.06743613024897677,163780.06001000002,159501.6235075
20240421,1,0.0886569311319585,82609.7460825,103091.01423149998
20240502,3,0.018936604456398776,118682.87920000001,102040.880214
20240803,15,0.10901803744515215,51423.392945,47787.432685499996
20241116,8,0.041537822495052446,70898.88476700001,81102.68328000001
20241009,18,0.04457873099212861,143127.17335949998,167872.81062200002
20240820,7,0.05196379855367805,100497.0203205,68797.7693905
20240930,13,0.05489980785067239,101360.77858099999,128113.3217195
20241120,16,0.03565697992464756,59790.875425,56756.5782585
20240419,18,0.032669655335149095,115238.3212495,104177.84725800001
20241209,7,0.04213187276174146,57006.816338,62743.78604949999
20240907,19,0.034603786642950496,153802.538566,176827.14892399998
20240904,8,0.040582356820362264,136116.968649,99231.950233
20241202,5,0.042116175851236726,77460.665179,53948.58896750001
20240720,15,0.07174048658764587,113982.14287799998,105695.18816599999
20240404,8,0.04996514059958379,140520.952255,139049.412789
20240817,2,0.04075902359494954,103936.905466,84171.930191
20240901,2,0.04304160688664016,130805.143535,110059.405919
20241015,6,0.04410921441488913,139570.277152,182283.75939700002
20241103,1,0.03738118124532175,89354.575594,145599.34318999999
20241006,2,0.032955133939083225,186011.806561,207222.28538600003
20241112,6,0.04911189326348708,54336.674924,90183.092908
20240903,11,0.03815883615552185,153547.97700399996,139885.925973
20240916,1,0.05158748768936405,138711.71867200002,127303.70408
20240911,18,0.071441328808719,117558.31529399999,90446.91584799999
20240523,10,0.037735137086314374,103577.34944949999,127560.434355
20240522,3,0.02698119025594803,97094.66263899999,127805.59905399999
20240508,10,0.03729395092115784,87267.56547200002,103470.50590799999
20240513,22,0.02667268511871157,92174.70825400003,115545.35707400003
20240529,9,0.03578617761469394,91419.79365,107640.3964725
20240513,11,0.026505188900438625,95606.7394815,115320.68443
20241107,1,0.04682744088035928,51479.32003599999,70524.28631699999
20241130,3,0.040839941462755824,53826.858741,48286.032264
20240828,4,0.05057703802473501,118478.37108000001,84855.889836
20241018,16,0.03268584236086891,119428.964292,145684.23660250002
20241006,18,0.037249150253759744,164601.09407300001,158770.33671000003
20240816,13,0.07500557044937128,64953.961608,65933.448366
20240907,7,0.03041516702997349,159403.84904200002,135487.94368899998
20240408,6,0.021923751500052546,137437.50804699998,113339.76410900001
20240820,13,0.04705781696662248,97194.04978249999,82345.653501
20241022,15,0.04556846662109315,181710.48935999998,200454.964377
20240611,14,0.041349292729053744,109094.382226,96560.28352599997
20240603,21,0.016942887067949997,111105.915716,100678.203759
20240806,18,0.039856516540437426,96694.80625199998,101536.15303500001
20240907,13,0.029714738510300265,157570.815375,159276.366676
20241111,2,0.04114549045424187,46254.626195000004,61495.9028885
20240619,17,0.03776873913705625,116095.51253549999,104812.60438700001
20240618,16,0.05933661662611556,107202.69212000002,94945.370659
20240615,7,0.054355532447880606,108022.456698,91417.1831855
20240831,8,0.051631072518198984,136461.22891250002,97858.90272500002
20240610,3,0.07408322015065583,102047.96862700001,87727.25010099998
20240927,4,0.06680274633512617,113570.60898500003,80818.655483
20240627,1,0.0474791536841046,115854.87206199998,94828.45689799999
20241202,17,0.03949772066307311,69120.182685,60726.9115305
20240907,8,0.02966038855107822,158952.58013,143987.852022
20240630,18,0.033345458954769924,98700.23384600002,116807.88662699999
20240701,21,0.035858359480056556,96609.848088,121242.14326199998
20240702,5,0.027048145699337667,122008.83381200004,127887.48266800003
20240629,1,0.018217701533318476,139520.354521,124606.105346
20240610,20,0.037686864034158774,102102.64248000001,88412.721206
20240711,6,0.07019760626163496,80016.44557,97702.33104599998
20240728,23,0.04840427374389611,103880.221368,105732.531213
20240730,20,0.027126000271282535,85474.7119385,105007.714706
20240822,18,0.03359086328518224,119623.08307800001,104509.86765600002
20241128,21,0.03815073006623315,87330.432531,82905.064274
20240402,13,0.10463792329473698,135595.6088795,158019.01055299997
20241110,17,0.04577801822798211,54227.139263000005,111554.08617
20241020,6,0.0426112152718483,120802.36719599999,132361.502669
20240417,19,0.04594207764212488,112172.73299500001,102435.996697
20240722,18,0.055610479485901365,105705.124896,107364.53999599999
20241104,22,0.0526685393258397,162470.9418325,180568.09599099998
20240921,4,0.03433476394849588,127461.878861,107394.40701900002
20240503,6,0.07172278147560274,108683.41131000001,87721.4469755
20241029,21,0.04188189306157941,127569.741351,163087.769454
20240413,23,0.15894144994337278,139670.018002,186026.242896
20240906,23,0.03132668511460768,171612.942922,105653.26087199998
20240915,13,0.04004271222637357,138386.35255,125582.14817999999
20240930,19,0.04450558342774524,142491.832683,164894.061232
20240418,14,0.049499505004946265,79073.83078300001,83352.59778
20240808,10,0.045417385775259334,97511.07998899999,79635.602556
20240730,12,0.05856324830817439,70348.51168100002,87241.941085
20240523,2,0.03295276124755109,95305.88304299997,118245.500805
20240501,21,0.022875205356953643,111262.653865,93591.12543299998
20240507,4,0.021588522756266215,106072.302248,93299.54559499999
20240525,18,0.023948565881870554,144762.30657000002,121705.186333
20240519,19,0.0308024025874154,102304.64883700002,123016.23120899996
20240531,17,0.028038693396892356,112194.900548,101339.653236
20240514,3,0.029074598124856355,89441.6139335,110746.74425
20240530,11,0.03560397696704687,115118.31619649999,104992.30376750001
20240823,0,0.029215358931566904,112553.89546349997,86626.2425295
20241102,20,0.03711755660427141,104781.87009100002,151213.122777
20240611,5,0.04762420175341564,100415.198696,88276.14439700003
20240829,23,0.03767720058398538,138719.39370000002,120690.70329200002
20240603,1,0.09768009768009733,106901.96640099997,107823.48403599998
20240819,18,0.06233581192396365,81985.06350099998,65296.607453
20240617,5,0.03879540274476234,105816.09598099999,99159.709976
20240617,14,0.038323965478093136,95116.14679700001,86952.07126649999
20241014,13,0.03645062081856221,178065.16425499998,181040.201717
20240830,22,0.032614266411945536,160688.1229055,121611.205959
20241014,7,0.0511413826770335,125591.485318,159545.47801
20240718,14,0.09271099744245781,97957.55311000001,83186.81115999998
20240608,18,0.06312882225290029,101984.15613,88575.691055
20240708,15,0.06210726289639368,86166.65615800001,90762.69192799999
