dt,hr,med_spread,med_buy_sz,med_sell_sz
20241016,3,0.019470404984422984,285212.82111500006,269626.91660500003
20241030,16,0.010186307565374086,110510.94887,111599.86993999999
20240819,12,0.025535826764944147,118202.46643100001,158425.83485599997
20240417,16,0.03086181621789752,158600.835483,151855.1347
20240418,1,0.01729112857034032,108920.07235,115253.237948
20240727,8,0.024799195403879537,162360.618323,94357.686626
20240928,3,0.007218305623046817,120816.28096900003,113928.98122100002
20240926,1,0.0161108425970502,148888.04280999998,106372.458931
20241030,22,0.009237401211126262,93539.15373,110143.74881250001
20240818,1,0.03092677227587437,123697.970295,147765.805457
20241103,5,0.013343199213955437,118829.730711,125768.132112
20240720,7,0.02417859925314403,132118.35450000002,98211.27836899999
20240821,23,0.02995003073817948,190763.98988500002,172488.032315
20240911,12,0.02771302349087179,135789.156152,118226.59429499999
20240913,15,0.02709638342974774,121189.90227200002,116274.39381499999
20240809,5,0.02811407285059353,111205.5730725,150338.13296199997
20240502,18,0.02142220926159011,187127.82193200002,122323.394018
20241209,15,0.015114873035071419,250935.48643000005,265909.68775
20240930,11,0.008828518637982175,126238.10472149999,109319.3369265
20240409,23,0.023564527531227952,236073.97121000005,233809.50456000006
20240929,23,0.014876524843798755,163027.444709,115976.72193
20240903,7,0.028408194185791658,169049.18222850002,153834.8953225
20240508,20,0.02453557658605998,202135.67363,126423.071388
20240531,1,0.020678471534463227,203471.07112700003,193838.833116
20240418,21,0.023315458148753798,71878.102502,102758.10818199998
20241020,2,0.013277770968644909,96518.22777299999,78835.159692
20241120,19,0.01735282637425062,259219.32661000002,238400.86499500004
20240819,20,0.01820709745763427,136028.547231,173765.1775
20240610,2,0.022277459900554852,230276.733801,217362.09036
20240606,10,0.02074870047614752,206883.117241,214975.3837825
20240902,13,0.025665704202748607,142179.368064,122019.47293000002
20241202,21,0.023203650707714907,168435.95732,219928.78977
20240819,6,0.032510865473467376,137102.7539885,160586.0738995
20240724,9,0.026980588176828135,141690.37795350002,96063.33874900002
20241026,9,0.034499489502204383,141601.27101700002,88052.30499500001
20241015,10,0.028344671201807614,300812.19001,262643.413275
20240618,8,0.025938468189345976,182550.815264,124714.624236
20240618,19,0.040879360465106984,160021.24717900003,106165.94159600002
20240603,17,0.014470008125466727,158804.95477100002,151955.079033
20240701,9,0.02668127115192931,123975.02587099999,103373.41027800001
20240629,14,0.0271968623409391,196638.69904300003,75661.6685495
20240707,5,0.01702852277565281,81202.28539149999,157880.9965145
20240708,8,0.053169806639141726,131269.604831,135292.21605
20240630,12,0.029016626526989775,141906.337711,134048.963798
20240630,20,0.039991430407759765,128327.64983550002,82368.950134
20240706,21,0.029886431560077753,130461.46909200001,147875.131262
20240707,9,0.023910778637414865,98052.560705,172180.01964699998
20241008,14,0.015715945515026863,133506.8176325,87439.4716595
20240619,21,0.030266343825680053,161389.752789,102061.12025400001
20240614,5,0.028629042296302032,187431.15572999997,125915.27734700004
20240915,0,0.018186928558439064,108695.22901,107357.34510499999
20240411,11,0.016290624745463056,362129.60922,358313.64222000004
20241210,21,0.017247326664371343,252269.85386499998,288095.2485
20240801,4,0.02348851411659858,111174.269872,125037.54660150001
20241117,12,0.02410994133248412,228202.84052,277584.5963900001
20240411,15,0.024906600249074984,313009.8406450001,342650.206415
20241014,16,0.013049130029896272,193941.615565,234267.86916499998
20240802,2,0.026866001864811473,133944.854467,106465.848314
20240719,23,0.02821784173823172,107776.518341,90202.3026015
20240905,23,0.017282201061141755,155214.772015,157656.672621
20241001,14,0.015057784247063388,130836.261983,108393.02131600001
20240725,18,0.025645667390783444,128792.66495599998,125855.085905
20240908,6,0.021825996440671958,142721.00712599998,116455.21779000001
20240803,13,0.02842191497626212,102192.59998300001,140270.253223
20241012,2,0.011760416789163841,112015.56097300001,113482.6023165
20241207,23,0.020553576322290823,245703.37176,214657.32488
20240426,20,0.01009353340959418,126964.74223999998,103163.71862700004
20241105,6,0.011005001161645822,107236.67036299997,108536.440341
20240523,3,0.03862239436775994,194013.36144100002,164405.51191400003
20240512,9,0.015553960277570056,239782.352799,165107.104214
20240523,20,0.03956524774826331,145604.63548350002,134530.83945899998
20240515,12,0.030352084176454852,175618.45008300003,113097.41147400001
20240525,6,0.029884116038902953,224531.200686,207573.824515
20240519,0,0.016312073264512783,217079.38123599993,133761.36083999998
20240514,2,0.019687219303321513,182397.9381865,148121.76044549997
20240530,8,0.024493704004724393,143369.011355,177038.29666700002
20240527,10,0.02799341078176809,189067.53003300002,166255.525325
20240530,7,0.025400611823434005,160571.910159,179377.5313275
20240514,10,0.019954603277549943,234025.36665299992,186512.33215299997
20240429,23,0.01979392326554308,184745.5825375,120262.07791949998
20240806,6,0.02853175584425216,136780.538688,119836.22688400002
20241029,9,0.010359473738730252,141099.511737,112162.44755399998
20240908,20,0.02015384098619233,136216.74088300002,128600.696638
20240719,4,0.02813137351431738,110657.11902600001,117552.781046
20240908,3,0.01699062117710426,129759.003229,124949.170335
20240615,0,0.0259861753547197,190264.50866699996,143674.734386
20240902,19,0.03339694656487868,162525.60596800002,138505.36459100002
20241004,20,0.014191829872722828,139444.678632,101895.355987
20240907,15,0.025331847198306612,164531.377343,145184.58404000002
20240408,2,0.022186067149831956,320447.18413999997,291635.942215
20240625,12,0.02848881101948919,135357.704608,141053.6112135
20240722,20,0.027086324114944382,120548.750646,127188.65361900002
20241127,12,0.01638806948540683,268809.09210000007,233173.37289999996
20240708,7,0.030558776331857107,148625.39219400001,147904.05367149998
20240706,1,0.025160397534262913,145384.018627,179830.687319
20241127,6,0.025018764073059252,258349.04084000003,266852.83398500003
20241002,23,0.007731958762891011,101966.672046,127481.04866000001
20241028,17,0.010067621435727592,117317.87878700001,110111.53343800001
20241011,21,0.01174756825339518,125667.85952700002,106498.65583899998
20241117,3,0.025327142254116808,239551.17226000002,197987.73107000004
20241021,23,0.0197024923652922,321640.74636999995,310823.26035
20240806,20,0.030843373493971704,146577.500557,153754.06067000004
20240421,14,0.021302819594037903,137753.084753,122111.94549249997
20240730,2,0.026626825046949243,127066.252351,131006.31337449998
20240914,7,0.025547678354720382,128550.695188,105108.692265
20241029,14,0.01816677095738406,132344.89994899998,100851.9799755
20240731,17,0.034884426378689604,109432.37115149997,112317.30528
20241023,7,0.019065776930426992,304953.55587499996,296138.09309
20240907,16,0.018669382213154506,154177.58178750004,136831.86742700002
20241002,4,0.013126632627202817,117027.3792455,130279.39197599998
20240725,10,0.025710439951009967,110578.87747399998,143456.2776495
20241001,5,0.012312693155358545,134338.64017199998,125675.78190600002
20241130,10,0.02313743637205601,180491.62450999997,217108.60498
20240802,18,0.026549847338364074,110033.07755299998,142994.549379
20241022,19,0.01938172303517227,268406.55045999994,267040.18657
