dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.019057298945490686,366949.1396499999,388440.31033
20240402,0.02043735949315284,419117.44535,400461.63698999997
20240403,0.013769363166971083,408818.3339999999,381419.97729
20240404,0.020104543626864313,411363.01229000004,398276.07670000003
20240405,0.02086521073862979,375093.80704000004,365825.2824
20240406,0.020283975659229903,368259.8488399999,317282.52814999997
20240407,0.020006668889638313,373381.17855000007,328112.9708700001
20240408,0.01923200205140585,358734.93053000007,274228.632045
20240409,0.019677292404574054,357918.65682,295582.67431999993
20240410,0.02046245140168157,366446.9317000001,356904.00587999995
20240411,0.02057330955973491,433963.4352300001,405523.11495
20240412,0.021140159255872426,389430.2305099999,359030.822345
20240413,0.02544097693351066,380407.09046000004,345005.31003000005
20240414,0.026680896478126215,205219.58294999992,150293.1774
20240415,0.024144869215292353,199424.33797999998,108397.23867999998
20240416,0.017602534764993294,324912.85929999995,193313.93494
20240417,0.01743679163033196,354867.526875,194146.94166
20240418,0.008976660682225024,311297.1681449999,177992.080855
20240419,0.017376194613372142,298590.54955,161802.15371999997
20240420,0.008926180487378588,316342.00648000004,169787.45278
20240421,0.016393442622941734,321945.74768000003,167815.609405
20240422,0.00839207787848295,323762.56905499997,167445.0588
20240423,0.008477449983046448,326827.639235,238192.61434499995
20240424,0.008874689385862666,327659.26304,212463.92693499997
20240425,0.009135757354283847,328706.52641999995,189604.72423999998
20240426,0.009320533134493658,331006.105975,255007.14789000002
20240427,0.009552923194489082,318748.17444999993,256586.59187999996
20240428,0.008882572392954202,278139.30155,321588.5503250001
20240429,0.0095987713572665,325533.68321999995,324686.08991
20240430,0.01105583195135651,273709.11288,307814.59275999997
20240501,0.019556077050930654,353166.499965,383925.993405
20240502,0.009978048293746156,413788.87396,398161.1954300001
20240503,0.0186358553857513,439057.20062,417238.48468000005
20240504,0.009416195856881693,443908.125145,443249.13312500005
20240505,0.00959600806065275,441117.22279999993,431114.69220000005
20240506,0.018163654527292294,495334.94005999994,423769.43877999997
20240507,0.018740629685165544,473927.39505000005,454442.08986000007
20240508,0.019398642095058705,433735.55984,423290.93115
20240509,0.019372336303757898,555028.1192000001,491475.33124999993
20240510,0.019267822736024343,462610.12435249996,436079.4301599999
20240511,0.01995012468827273,420557.07411000005,395500.3188699999
20240512,0.019970044932593467,436894.83890000003,447549.58378499997
20240513,0.020309723280020897,287799.22036999994,347716.70271000004
20240514,0.018360414945384207,302088.527168,315197.94802300003
20240515,0.015544846883264185,257337.18927,248287.222332
20240516,0.01762936845379759,286960.88499299996,267355.03624600003
20240517,0.019774569903097117,495551.56525,498870.7660349999
20240518,0.019700551615442485,608620.15898,586350.6547699998
20240519,0.019847176739107297,368964.3533715,375265.17040550004
20240520,0.021257857815282222,342006.98897500004,375792.172163
20240521,0.02570694087402625,578597.5435400001,560802.61929
20240522,0.02565856996237237,539401.0960049999,551571.6564149999
20240523,0.025512373501146435,451121.11003,475228.90077999997
20240524,0.025529742149599244,493722.67486500007,480959.2566100001
20240525,0.01680389850444719,553594.3636550001,494836.449675
20240526,0.01673220112106133,504385.20253,558346.13663
20240527,0.02398273243267024,470934.77878000005,504905.4489300001
20240528,0.024630541871917266,464693.66655,486590.32644499996
20240529,0.01721911321566072,446768.4262899999,496730.0439200001
20240530,0.017445917655267706,458055.06479500013,433458.74759000004
20240531,0.008934155275608369,458095.75969000004,442143.43714000005
20240601,0.008903926631642634,480013.42847,465175.21171999996
20240602,0.00903423976872375,453709.59267499996,461404.302645
20240603,0.009005763688763047,450859.14848999993,451879.515105
20240604,0.009135757354283847,454626.09647,485206.162535
20240605,0.008972633467929647,440231.25467,453001.51477
20240606,0.009079353550034419,459425.92444000003,493333.14206
20240607,0.009216589861749114,440143.04063,436301.35126
20240608,0.00997008973082636,283787.01835699996,258266.18045100002
20240609,0.003094570061390467,246738.745025,284429.608942
20240610,0.00415498078321086,213549.082222,270638.282535
20240611,0.010535187526339307,192704.58736250002,262667.51283200004
20240612,0.004247298983428571,196482.17824900002,273155.18674
20240613,0.008525149190097281,200676.638682,233602.27103200002
20240614,0.01134610147952575,249677.89018000002,234983.931695
20240615,0.010842459069726473,213982.73553200002,248554.26312399996
20240616,0.011998254799316932,219693.64561000004,280552.467326
