dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.025521054870258908,282232.61663999996,280193.40956
20240402,0.02677376171351664,302802.75954,309251.82921500003
20240403,0.018625442354269772,277667.164045,273075.09039499995
20240404,0.018223234624148432,266747.06917,249724.10470999996
20240405,0.018448482612321015,275014.60937,250678.3432
20240406,0.01814552712755546,262473.17422,256993.23188999994
20240407,0.017874698364472863,258836.57697000002,236017.07775000005
20240408,0.01763512917731802,235717.20461999997,230252.564235
20240409,0.01807501129689193,250915.65853000004,245355.52632999996
20240410,0.018632383081795822,280250.21771,297659.01505
20240411,0.01864280387771089,292127.99107,304504.29300999996
20240412,0.01844507977497578,267962.37547,277713.13435999997
20240413,0.009923369535247417,137737.829263,165285.544001
20240414,0.010725777618869614,60444.539708000004,59831.526437
20240415,0.01454175300832361,62475.437463999995,62224.775191000015
20240416,0.013468838006613915,102619.477816,105981.6660465
20240417,0.012317849796161795,108541.059185,121053.34934349998
20240418,0.00743158298938118,87845.80989,93893.452207
20240419,0.014520988879351826,107139.11308849999,107359.08102600003
20240420,0.01582105173483228,105330.64632699998,107333.34331799998
20240421,0.018508664368499517,101811.259941,101419.150434
20240422,0.01816633550952851,99103.24944349998,100895.41365500001
20240423,0.016022798153314532,109155.430279,105656.07550600001
20240424,0.016023990202485017,113689.42121199999,114541.85450199999
20240425,0.009529595349566655,86661.311957,78679.47574899999
20240426,0.013139034878184574,91576.531538,90431.332221
20240427,0.018384155309347783,144042.39279749998,147067.9372375
20240428,0.01797440444806231,150756.586599,137079.284505
20240429,0.018428650408508496,138047.552581,139504.29199599999
20240430,0.015891837707648904,132098.607576,136810.875556
20240501,0.021232799958281756,134137.362538,147930.78702099997
20240502,0.019580516234540823,152306.38175200002,159544.81846300006
20240503,0.019507605097868197,156766.25233550003,152041.763698
20240504,0.020487838191596275,153162.97150500005,137249.1
20240505,0.02077418461323699,136553.366798,144731.170853
20240506,0.020262560121153683,129708.18387200002,140812.741011
20240507,0.020605587367672484,132964.443011,149830.824769
20240508,0.020215860465633284,137037.695875,153413.474496
20240509,0.022165576859145553,157731.52744999997,181313.754221
20240510,0.020924188361748364,143158.85421099997,161562.9843025
20240511,0.01995984548732732,152062.29848700002,172199.464155
20240512,0.01978838072844713,158491.26442400002,181374.10868400004
20240513,0.019953520035675965,164828.642098,181230.96147699998
20240514,0.019683828504635237,160470.07332050003,181794.29176899994
20240515,0.02031621592553101,161741.07603000005,173301.583395
20240516,0.021212406901094383,160378.308457,174375.75805699997
20240517,0.020711080428026385,196934.42849700002,182176.42716199998
20240518,0.0196053557218967,217199.92301699996,206146.881579
20240519,0.01996265808663633,204643.238135,210110.091589
20240520,0.021856331050562616,196357.55923599997,214231.56862600002
20240521,0.022747693952540615,203363.87934299998,218537.36084999997
20240522,0.02168355701634983,203708.96107500003,225298.624837
20240523,0.02218200922303737,202815.072485,218479.006134
20240524,0.022694425532443496,210502.803339,226343.26757399997
20240525,0.022410417305573915,219044.801508,217649.84411099998
20240526,0.021180457497882443,221688.55444000004,226205.6731305
20240527,0.02087827962977684,211176.401885,218570.29624199998
20240528,0.02417558381235807,194711.96832999997,214689.86723849998
20240529,0.023810333684815,196950.11939400004,201997.092765
20240530,0.022106132706589676,209220.579627,214608.712732
20240531,0.02119542178888878,200286.50737399995,208323.49807799995
20240601,0.020443012097470792,213155.071993,218399.319617
20240602,0.020348802413128197,194153.27158800006,205020.77398
20240603,0.021478432074473197,187886.014477,188974.37964299996
20240604,0.02224980677798527,183386.763599,195787.702252
20240605,0.022054300008145233,184112.170768,187316.87497399995
20240606,0.020883850982134078,183546.21233500002,199012.915537
20240607,0.020958014111749357,178034.78322550002,202724.413445
20240608,0.019986509106351136,190470.767422,218751.421137
20240609,0.022842639593911862,217794.24900299998,226507.43831500004
20240610,0.020410766679423986,216944.59174,212266.392891
20240611,0.021193456520296472,194326.621844,200915.113086
20240612,0.020556569108620693,201994.956138,211008.20032000006
20240613,0.021327930257664107,218147.78511,218280.58081100002
20240614,0.02400824753916453,197333.408967,223110.09735799997
20240615,0.021004578998229384,213165.95690700004,225887.38704000003
20240616,0.02105351804286837,207642.489107,229744.15307199996
20240617,0.022510481442927777,210494.625784,202969.067224
20240618,0.02431610942248419,201346.01141400004,206609.624661
20240619,0.023446658851100644,198659.916173,208179.64680599998
20240620,0.023005693909250446,185720.23173200001,198393.77113900002
20240621,0.0217896571760523,184283.052666,201836.72829499998
20240622,0.022116065109689664,183532.070935,202642.594355
20240623,0.022058174759576055,191035.424704,204733.39037999997
20240624,0.023435325824272546,190053.582803,201531.13149699997
20240625,0.0215254358900685,189657.43494,196436.97116900003
20240626,0.023478311909364002,178647.29985300003,191810.13601899997
20240627,0.02333688248421506,190076.998836,202055.20249599998
20240628,0.02581496407418893,177971.57207399997,203651.96445099998
20240629,0.026413682288839446,179227.93537000002,227863.41994500003
20240630,0.026788106080899432,190896.70537799998,221253.724383
20240701,0.02504161326910559,187294.87833899996,223587.191323
20240702,0.024582104228110246,179790.920256,208520.33174099997
20240703,0.027473785429732445,182239.21422699996,214640.430567
20240704,0.025753283543661354,189265.087348,194238.64554099998
20240705,0.030160510469323665,167388.66508399998,167001.3436335
