dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.009434140266795232,278237.59507,252734.21864000006
20240402,0.008477809334062059,193122.885325,303055.91119
20240403,0.0043175096604342045,281366.7856199999,307829.76606
20240404,0.004197007533623953,274706.52754,263262.52086
20240405,0.004412770558004375,303312.83975000004,294845.63836
20240406,0.006381756684881168,271013.67487,226503.13012999995
20240407,0.006201935003713466,268534.96452000004,241177.98369
20240408,0.00789780243648508,264070.34086,242167.735335
20240409,0.006359300476943552,261610.79019000003,251504.71377999993
20240410,0.0084019492522458,271810.8349,285471.68853999994
20240411,0.008486803021301448,267000.09393,284317.585
20240412,0.006460087426507499,268859.416485,272350.336745
20240413,0.00782758440744935,243715.93243999998,216658.52821
20240414,0.010959204361760122,117935.263965,93637.282065
20240415,0.010577533319233723,114657.56809000002,85863.17796000002
20240416,0.008627879554801154,195152.77605000004,149384.08337999997
20240417,0.008729050279332462,201898.205955,169603.29490999997
20240418,0.008583936593331565,192533.49723999997,169602.13294500002
20240419,0.008521032749175816,183823.76062000002,150465.77917500003
20240420,0.008220642033696102,183677.92994999996,153279.11511999997
20240421,0.007890791446385492,187705.27820499998,137971.898235
20240422,0.007875462683415435,189948.52827,137539.86227
20240423,0.007811076105923576,199092.62063,140689.341445
20240424,0.007778065854280314,202234.65046,148107.73546
20240425,0.005588153115398953,193298.24830999997,169987.84857000003
20240426,0.005708088361222607,198427.85504999998,174873.19599999997
20240427,0.00873820342537357,202904.61555999998,197567.48924999998
20240428,0.008574613427847488,199596.52129,181635.474185
20240429,0.008615985525151082,204357.33276000005,197680.17382999996
20240430,0.00868357068426473,199157.37599999996,190870.12
20240501,0.009157788699298841,181375.39575000003,211611.26277
20240502,0.006140431672352342,216527.61819,203330.64177
20240503,0.00843668269636666,207369.04137000005,178491.64703
20240504,0.008389496350580394,208888.04321,173686.41024999996
20240505,0.008068203211153424,209988.30027000004,189848.70177
20240506,0.008010894816945502,207751.91461999997,182389.02884
20240507,0.008141333550426566,204468.5595399999,190245.46316999997
20240508,0.008639308855284966,207496.0862,228990.05694000004
20240509,0.008708020086500845,240408.88134999998,231978.51462000006
20240510,0.008417508417513098,207576.00663499997,145825.586755
20240511,0.005991791246007239,196428.85935000007,222585.44995999994
20240512,0.006033910577452062,213953.21637999994,253876.42899
20240513,0.006173411118326477,234598.04242000004,249170.22445500002
20240514,0.009056603773593963,246904.90835,256189.95512
20240515,0.006312533535335341,214590.11618,217834.14408999996
20240516,0.008619698885192761,224347.73365999997,234404.28504000002
20240517,0.008106355382619945,217792.03005499998,190825.33433
20240518,0.008012820512814933,225377.11122999998,199522.77204
20240519,0.0056295212092383196,229923.95839000004,261051.47219
20240520,0.008165709464047488,215125.58191000004,236124.21999
20240521,0.007357629862170256,220227.77953,230300.2475
20240522,0.007380073800744569,226233.30196,230252.74134
20240523,0.007567731194191296,204840.37141,231719.67434000006
20240524,0.007814127943328586,223345.383245,241096.77849
20240525,0.0052470026497442035,239063.17053000003,229254.38893999995
20240526,0.005419026200992327,223456.12891,220694.650365
20240527,0.0054290290181668865,217841.94945,246742.63194000005
20240528,0.005433010974686958,191442.85546500003,232742.68152999997
20240529,0.0054656755575033245,166804.80315999998,222017.86185000004
20240530,0.005486817919964082,194524.05686000004,227119.31744999997
20240531,0.005515111405229867,204848.62181000004,223058.71734999996
20240601,0.005543237250571487,186139.63893999998,220295.93334999992
20240602,0.005618450993050139,188392.70627500006,221008.83289999998
20240603,0.00558425240821947,198800.95524,223638.95239
20240604,0.005590183637549373,202181.16005500001,220462.72908000002
