dt,hr,med_spread,med_buy_sz,med_sell_sz
20241107,7,0.03038590094197602,44449.72874,44764.01123
20240830,9,0.039724098082416504,105040.95593,100746.25121
20240415,20,0.08115139508795277,39884.8856,41440.01194999999
20240717,20,0.043108757236121065,125989.11429999999,119281.76219000001
20241210,0,0.05621285936077136,39196.615300000005,39898.13778999999
20240922,20,0.03388107741826296,91301.80221,91512.49758
20240429,10,0.035978125299829244,76505.38741000001,101854.49350000001
20241013,1,0.05194265530854558,73851.20387,72827.00218
20240803,5,0.06528125340008462,72008.06769,84101.50409999999
20240929,18,0.0436667602382812,115930.12736999999,118778.65694
20240407,4,0.02749163122401921,95304.01671999999,107704.98417
20240926,22,0.0880392403471264,48289.27889,82605.86369
20240828,3,0.03127932436659542,69746.87989000001,94840.07373
20240813,11,0.026923076923068834,62696.005535,61391.11233999999
20240716,7,0.14843018940982056,84432.45721000001,61528.6883
20240416,5,0.036249396372645126,60065.57389000001,83515.570225
20240428,13,0.03388146006504389,82718.15856,102899.84723
20240414,6,0.038439361906594804,36627.47938999999,49193.25048500001
20240501,19,0.06451452821520931,74811.488285,99826.62110500001
20241107,13,0.030246000806566364,50146.10446,42129.770749999996
20241103,13,0.0600984111482461,46445.44417,47644.00674
20240927,20,0.046149586192023584,88070.44286,85841.4131
20241028,19,0.035520193229854335,75628.27645,69235.71726
20240930,21,0.050116939525568505,73491.79570999999,76682.39764
20241107,19,0.046334602018860416,51613.878905000005,66448.34215499999
20240929,2,0.038158229458140625,106675.83241500001,117105.00330000001
20241023,5,0.026653339996673964,110359.65786000002,127164.18915000002
20240730,4,0.08726764988218338,89220.74694000001,94697.448355
20240920,12,0.05293018179657327,61932.012330000005,60717.227945
20240518,16,0.09045785591685895,97853.31101000002,104049.88030000003
20240520,18,0.2121558296225512,112075.933775,96692.06231000001
20240720,17,0.05061632823200046,105089.69854,93778.78106
20240917,12,0.051859534745890556,99246.29479499998,88766.20488
20241115,18,0.06505969226764385,38157.04286,36613.648550000005
20240915,1,0.07802801915233193,85913.64721,84855.32136
20240811,16,0.0229594765239316,64594.649895,64496.06832
20240601,23,0.04901856311672059,107116.83841,95443.26304000002
20240609,3,0.0511384390600389,90252.57092,92725.009045
20240607,5,0.03591452343423285,90441.3556,82336.78786
20241123,5,0.048930719857231963,41649.438010000005,41694.808430000005
20240926,0,0.054989487303891416,60255.951960000006,67725.11937
20240924,3,0.07879444499161448,55715.13154000001,76412.71264
20240615,1,0.07628180678909136,90280.1432,71415.10501
20240628,6,0.043358419275918436,129001.64917,125399.49597
20240619,16,0.04120443740094348,127979.61837000001,107896.21500999999
20240619,0,0.05080494078049114,110970.71532000002,108587.29854
20240622,2,0.04740684554849217,121168.82119000002,125772.67122999999
20240617,11,0.039710679336257826,102510.24926999999,124127.75081999999
20240617,15,0.06856359273226253,89611.06287000001,75486.12001
20240902,5,0.05410837133801305,91585.48723,83423.72603
20241124,18,0.04861726770954977,40247.72421000001,41475.291979999995
20240824,12,0.024037017006195427,88503.57920000001,86815.01837
20240413,6,0.12982235973777456,69252.40718000001,61604.34896999999
20240629,8,0.07294640025372612,115181.15929,126145.53085
20240708,9,0.043747721472842116,110180.17357999997,113911.58761
20240421,7,0.06545859199348358,83423.82396000001,63004.20999999999
20240918,4,0.04397691619353328,94857.04694,74748.69656
