dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.01801598919142222,261731.115925,315444.79232999997
20240402,0.018175659488517404,309611.573695,270171.25733000005
20240403,0.018079318902741726,282876.89639999997,314923.55068
20240404,0.016898638891427176,223021.05026000002,309092.10589
20240405,0.017342042892654064,184075.21809500002,286400.15689
20240406,0.015794159032833655,179112.21993000002,291947.58057
20240407,0.016083282159229384,222283.15265,269472.74698
20240408,0.013033561421349482,171090.751895,235083.136595
20240409,0.011755543473479513,130977.59221,229130.59742
20240410,0.01458741916138262,283675.42004,282839.90756
20240411,0.014729950900171929,290455.77597,301079.7040999999
20240412,0.01653001851360525,247618.78026000003,241396.03966
20240413,0.018936524768964347,221529.99233500002,197097.59297
20240414,0.01697846918068402,130051.29505000002,118979.593235
20240415,0.01727364330086356,144384.173885,114584.42358000003
20240416,0.014635472203061717,208176.61884500002,188461.37621
20240417,0.014971340576619419,201772.576335,214242.72552
20240418,0.012531328320797286,136101.38056,143423.64337
20240419,0.01458971633423456,187642.745015,175877.21483999997
20240420,0.014640063579696161,177193.24822,147772.978245
20240421,0.013684704410388271,169094.19937,135791.37092000002
20240422,0.009835162673588194,182934.99457,170603.00704
20240423,0.00787742723227236,152314.76815000002,161199.90376000002
20240424,0.009816239987436859,155316.58340499998,164077.51091999997
20240425,0.006269985579021586,106963.121,98841.63736
20240426,0.006264748261530784,113082.71898500001,111408.08528500001
20240427,0.008469731297777727,180367.47769000003,187186.498525
20240428,0.008324835064188463,184772.74115999998,156851.77981500002
20240429,0.013007566067591014,190812.20051,178954.83661000003
20240430,0.01341621573274221,190187.99099000002,195691.22326499998
20240501,0.014616499594122256,211914.32004999998,230263.31646499998
20240502,0.014405416436580332,239549.77807,234463.414645
20240503,0.01559332605645114,254939.34437,251878.90861
20240504,0.012915724895057323,239431.26722999997,250678.75022
20240505,0.014984801130291103,211516.50938,221320.90218
20240506,0.015027263749933795,221392.57347,221445.32731000002
20240507,0.01494385380640395,223794.93247,247573.75467
20240508,0.01563966218329771,222141.84590000004,248660.25237999996
20240509,0.013265531726736057,259392.3913,270457.92552
20240510,0.011074687693790608,252474.965205,252612.046935
20240511,0.009302974626135274,255588.01828,278202.04362
