dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.01006880349052608,491947.99499000004,385387.3874199999
20240402,0.010651896037505715,464811.4352899999,474002.93864
20240403,0.010783996549124097,406335.90381000005,440111.45181500004
20240404,0.011917733587574197,449433.87554,422357.7285299999
20240405,0.012066053021686507,436940.6759900001,397726.29091999994
20240406,0.010291948265805928,414758.15097,389584.65688999987
20240407,0.011905166842396397,414685.81912,288211.07450000005
20240408,0.008630659554986764,335786.85677,318714.41214
20240409,0.006896551724122624,296692.12638499995,291848.37159
20240410,0.010156064863409142,409305.52286,299959.57487000007
20240411,0.011558593814497975,409583.14480999997,380533.35480999993
20240412,0.012809017548365276,373107.85142,311613.745575
20240413,0.013535920950236147,395386.67199999996,297419.27508
20240414,0.014293116077945811,178217.28713999997,158524.4741
20240415,0.012419054377721395,186385.62016999998,138651.28149
20240416,0.012979788614875254,300122.88739499997,228666.38071000003
20240417,0.013355847477436456,286441.44732499996,251770.80854
20240418,0.007314753858533862,191002.21011000004,189195.62810000003
20240419,0.008931761343355937,182731.889195,180394.73163999998
20240420,0.008941664580297548,186298.76097499998,189150.95052500002
20240421,0.008717635777188981,200284.33208999998,187199.66184000002
20240422,0.00672122057365776,217497.72196500003,218273.50220499997
20240423,0.0049512303807563995,232046.13791,201956.73745000002
20240424,0.003314056570946633,200283.31144,186791.34629999998
20240425,0.0016542049890766464,172034.94191999998,162981.223
20240426,0.001670871693759679,178959.95019999996,159288.86400499998
20240427,0.0033678538351455956,320278.45109999995,319711.93012
20240428,0.0016765302529808679,314478.33256499993,294177.66604
20240429,0.005086901229334195,316295.75479,283658.4783799999
20240430,0.008663559336707927,326350.1672500001,310024.61573
20240501,0.009140099444304717,369509.76275999995,411185.5388
20240502,0.0072984709703405315,464834.05479999987,453156.49244
20240503,0.007116298101728091,499011.4918400001,502712.86457000003
20240504,0.005126452494863543,469547.95316,502769.1587600001
20240505,0.006812337142569902,479320.40523000015,486372.77045000007
20240506,0.008420059950808856,507020.39542,499236.16649999993
20240507,0.008514116404989558,558582.9015000002,549343.8835599999
20240508,0.008571477551289064,538220.93912,559255.80381
20240509,0.006718059824328826,668665.19569,625230.7989100001
20240510,0.003361570525739488,583105.99691,656471.16431
20240511,0.0033749008622852017,647112.6450800002,613392.04368
20240512,0.0033998572059878995,673375.5303999999,659909.19597
20240513,0.006721107638529844,683564.053625,682072.422725
20240514,0.00880289439235682,649440.5840050001,665618.41888
20240515,0.01198999691685021,633231.5395600001,533711.90819
20240516,0.006846384253300641,715078.4872000001,629615.6984
20240517,0.006913836314947908,757177.59582,694216.6946800001
20240518,0.010325778305531053,765123.58839,704885.18775
