dt,hr,med_spread,med_buy_sz,med_sell_sz
20241117,6,0.0031681913589487465,254845.74482500006,261560.72089499998
20240406,17,0.006840998101620421,355122.28812,388524.10954000015
20240822,20,0.008578536501668843,637776.4956,725812.6753099998
20240411,11,0.011689851538898566,441336.39780000004,364598.25444999995
20240405,20,0.01030839274978046,411721.78929000004,431969.7339999999
20240504,14,0.00847716252414532,457012.08517000015,469704.5618099999
20241029,5,0.009898213372494524,317050.38032,276852.581125
20240801,23,0.005223659695996474,406783.77982000005,227762.73225
20241127,6,0.0032230512626352237,766635.6656849999,716632.6458600002
20241102,2,0.0069560378408661805,289753.53134999995,312926.73793
20240811,21,0.011858527764929683,236786.67125,379607.33246000006
20241014,16,0.0033936843534254635,298340.782735,251995.14177500003
20241113,23,0.00648450608710105,221492.701785,275597.13956000016
20240528,5,0.010051766597984901,1252063.60707,703167.4487300001
20240518,21,0.01211324150343085,734271.7426599998,765738.2755000001
20240520,4,0.00868130914140064,641870.95432,666439.7949300001
20241126,10,0.004785452226452325,667817.6100650001,702298.1194099999
20241030,11,0.0016752102388828405,283805.148205,342388.52291500004
20240607,13,0.005655388878689216,727553.21369,760333.1477
20241012,10,0.008651417102112369,259274.73860999997,256972.229995
20240903,13,0.0074730037738612864,478609.79587,286029.831985
20240820,0,0.008913609298666358,476917.8445849999,472703.81828500004
20240607,8,0.002850363066297934,774138.3211400001,740601.07009
20240620,10,0.00331136792608433,579815.3322350001,563244.33977
20241004,12,0.0018130229439639045,338945.4023400001,287650.33585
20241025,10,0.0033852403520828744,275227.271405,339845.52309999993
20240904,16,0.005860578008365369,437209.763625,423568.54616500007
20240826,6,0.008866584503686159,555112.2832650001,470011.16904000007
20240702,21,0.010370575221241296,230206.88987,319954.40582999995
20240710,13,0.011365466032486893,480928.45660000003,485888.75870500004
20240710,19,0.011461318051564362,487607.30342,487344.34576999996
20240730,2,0.005266160530548181,219603.72981000002,228972.72413
20240629,9,0.006996554197047367,620515.6013300001,657881.121
20241203,6,0.0045500735595283,539251.0094300001,539811.09434
20241107,9,0.0067146766043801875,299998.26321000006,235656.98982999998
20241209,22,0.006034276663169358,737139.18568,605706.854375
20240723,4,0.010266413428472454,390677.94433,486592.2879800001
20240718,1,0.010446409917119759,198482.62042999998,427648.17299
20240905,4,0.005945656697781132,514948.44099,426950.075055
20240726,20,0.012064597300964763,256591.26079,188261.69790999996
20241004,3,0.0018331133597282445,327989.7641399999,317073.00792999996
20240910,22,0.009614275275948714,226972.20564999996,432057.7358449999
20241014,11,0.0034415707328872003,250414.57262,407100.06435
20241025,18,0.005112343754376525,299762.210955,327182.614575
20240501,17,0.01087143625102538,332435.75129,406987.36771999986
20240908,12,0.009968102073365515,367315.43043999997,409837.26242000004
20240818,21,0.009308213567660317,481131.84792,477274.545875
20240421,9,0.008618609301214164,184736.45474,205785.44909
20241107,5,0.0033254077781430524,268322.40933999995,202606.73201
20240907,22,0.006092298325199863,413850.6570399999,425599.63503
20240721,6,0.010108497877214795,200792.12893000006,201870.39636
20240403,0,0.01090552182922977,440256.92544,438353.52848
20241119,17,0.004876383673857454,258998.38389,257064.26332000006
20240914,7,0.01264725012646295,304057.4113699999,263917.01068
20241118,17,0.0032049227613573095,255548.22965999998,267149.89161500003
20241016,20,0.0016576050921646157,371262.27605999995,315349.27599
20241209,11,0.002790548419184802,669197.09764,613491.136155
20240826,12,0.010722135849450254,548203.59911,517875.03184
20241125,1,0.007680963500056315,651017.0576000001,624965.01054
20240815,2,0.005755285270292454,421669.60096999997,456153.94203000003
20240519,22,0.005234505862650174,585978.16995,740516.4400399999
20240527,2,0.00990033661145695,887766.64828,389531.71653000003
20240508,3,0.00683211778569337,462806.8982399999,468367.64775
20240512,9,0.006784490654365705,725399.2345899999,649193.32317
20240525,20,0.0066481626140646455,384159.25730999996,389273.3584899999
20240530,7,0.010094297563789656,708311.1340199999,787860.97818
