dt,hr,med_spread,med_buy_sz,med_sell_sz
20240914,7,0.037091988130555364,86261.78726,78345.91431000001
20240913,0,0.0466708621766454,65494.269779999995,73923.992165
20241209,0,0.030288693265878575,43400.91050500001,28094.058680000002
20240504,14,0.024513559062366852,106268.65305,86115.24054999999
20240409,4,0.018264284192270885,84684.53937,65557.94398
20241015,10,0.03842031828200643,77447.831985,82955.59755
20240812,19,0.05519028650957658,73240.47318,51261.642755
20241030,11,0.03967781619546029,64429.21999000001,69026.301685
20241117,6,0.05626650123353727,81419.10978999999,65024.99493500001
20240428,5,0.025252525252539293,74453.76695,98646.17902
20240423,17,0.04167187565111696,97549.89407000001,83699.80088999998
20241025,2,0.03938966746828143,68484.48868000002,87727.65561
20240815,10,0.05400201920593428,78721.55112999999,51932.509000000005
20240405,3,0.06129605996965104,96108.47367,123342.48739
20240803,19,0.05478277439023849,41775.373250000004,46572.841889999996
20240527,18,0.0279529148678348,90011.32922000001,91332.76932
20240512,5,0.02910502061606035,103798.74953999999,79893.48989999999
20240513,7,0.028182089453254733,111244.81832,89686.35024000001
20240516,6,0.03785250141945529,84882.95257000001,70943.953935
20240502,18,0.038698388138957984,103621.54059,81642.422835
20240518,1,0.027424810311726944,113257.01164000001,93613.79917
20240514,2,0.03782583669107442,107362.72107999999,84852.213345
20241016,6,0.04133126020979816,69394.88492,66771.28280999999
20241008,9,0.03961790729409831,66871.55671,68488.90332
20240819,3,0.054846786693674154,70495.00248,64163.846249999995
20240819,12,0.03810249571347679,74892.22,57835.16921
20240811,21,0.045412114943110815,29534.400754999995,26663.097155000003
20240427,15,0.03820351777992226,70093.69237,92934.17912000002
20241028,9,0.03414207370420197,71581.8708,52452.98649999999
20240603,14,0.027493409667989077,72923.37749999999,89351.49876
20241102,18,0.03918252871666361,68189.47772,69404.42493999998
20240417,15,0.04355705644705221,80995.884345,86392.67453
20240904,0,0.04566470689560953,81258.42669,68343.96826
20240910,11,0.05754567688103229,84884.80484000001,81001.20002999999
20240606,18,0.02838221381267214,90848.44556,88844.85882
20241019,4,0.029517100240084027,69841.72579999999,67188.67402
20240701,17,0.035844301320653305,70688.66975,74078.11146999999
20240708,8,0.03870289995300258,47160.774079999996,64751.304919999995
20240630,3,0.0508317929759583,80704.66536999999,75106.88436
20240704,4,0.051749630359787524,53031.224925,73416.72813
20240403,15,0.03954979163630634,117594.21026500002,112050.012675
20240605,20,0.035880875493354836,82388.85770499999,93437.19003
20240629,14,0.05189062358994523,70903.28391000003,73420.06711999999
20240710,8,0.06081116827327815,59655.25055000001,69164.27316000001
20240412,13,0.050743104575912135,83855.574195,83859.32762000001
20240428,14,0.043419673603817266,73983.41782999999,97802.19737000001
20240406,9,0.03656344265126066,94580.33576999998,116926.36493000001
20240820,15,0.05987737114390157,68985.9149,49215.72998
20240720,19,0.05059021922428908,70299.23114,79114.49102
20240816,15,0.06390986342226235,44004.65844,50728.028929999986
20240411,11,0.028179394359773013,106871.67672000002,98828.06116999997
20241107,9,0.027504911591358372,63332.18968000001,69320.00105
20241015,2,0.03956048390415523,69300.39576999999,69502.28962
20240904,15,0.05286692953279104,81619.49041,69586.79545
20240930,11,0.03799240158045558,80681.09711999999,33922.110864999995
20240809,9,0.05442370033836852,45540.333035,36604.20893
20240818,21,0.03242467054218601,71874.07682999999,69374.81145000001
20240731,5,0.045326448985938406,68624.29053,54318.18457000001
20240429,23,0.0410371766422557,79825.31409500001,99025.63274500001
20241022,8,0.024832381425388128,68919.56042,71680.78339
20240923,1,0.03488897111284528,79868.277145,67460.55494
20240731,14,0.05668934240363743,51523.25901,49377.858929999995
20240929,4,0.042489908646703434,85937.57178000001,82247.04803000002
20241021,23,0.026397011046142005,82475.59530999999,82731.37253
20240726,6,0.04353305075037728,52306.30772,70536.04282
20240420,4,0.02880097013795435,87891.19348,93659.53295000002
20240515,3,0.026961221190280327,108426.33845000001,87907.87552000002
20240514,18,0.02521389790053341,107918.13636000002,88335.77399999998
20240514,10,0.04406149025750761,116396.09489000002,87215.89132000001
20240530,13,0.028897094236635112,86050.26007500001,94994.37176499999
20240504,9,0.03199244369134213,103334.21767499999,83880.14089499999
20240426,20,0.02258219920507898,65371.44754000001,57203.98853999999
20241023,8,0.029566429431282515,73948.14234999998,70238.65507
20240928,12,0.04261336122570736,83991.26359,66715.0546
20241108,8,0.04480854090178621,61061.76528,68628.54997
20240724,17,0.0693616560095478,51020.58644000001,72729.68854
20241002,23,0.04030407187628482,74514.43224000001,67958.51976
20241121,6,0.047449280566325136,62628.890060000005,65371.72494999999
20240907,16,0.04275331338179367,83204.32327000001,73633.07149000002
20240915,0,0.033116694953849724,72948.14812999999,78079.71121999998
20240603,5,0.0278175496030042,103233.59713000001,92480.95089
20241205,4,0.035934599359732644,55919.956465,36442.07505
20240614,14,0.05599664020159434,88681.11757999999,71675.60894
20241010,8,0.03853739260535338,67676.39073000001,84676.03881999997
20240821,23,0.054090601757939005,70825.51523,49959.616709999995
20240615,16,0.03207055522147506,93935.77933,92546.96526000001
20240615,15,0.030034840414883135,95181.67927,95924.94836000001
20240624,4,0.0493594489690663,75449.30877,56222.958909999994
20240618,13,0.07123860182371988,86706.76290500003,68918.00393
20240402,11,0.04387343720118064,130035.42468999999,136352.26486
20240614,17,0.03905687914977918,88754.79097,75563.10137999998
20241209,11,0.03904146475636194,55160.985570000004,47126.90290499999
20240905,23,0.05079056620440614,83351.02303,85903.86157000001
20240626,8,0.05334637355798311,72538.76005,55345.94913000001
20240814,23,0.048535835625296286,73732.76538000001,62673.393019999996
20241008,17,0.043967639817110715,67472.39959000002,84511.44127
20240630,20,0.03804153240243302,73226.35421,76428.12014
20240630,6,0.029948396608925343,85655.77154,91508.43993999998
20240712,14,0.05149595756732683,65393.08189000002,70725.96146999998
20241001,9,0.026044797050928103,70312.12907999998,36520.151060000004
20240910,0,0.045831514622429737,85973.98049999999,83950.72540000001
20241018,13,0.03333594791747885,64160.29265000001,63288.28972000001
20240724,5,0.04724622030238823,45611.46292000001,70446.165745
20240421,17,0.025661141076427363,84736.69072000001,72123.21711999999
20241002,4,0.02834158146023391,82779.06404000001,42095.02332
20240831,15,0.054210762014772484,69150.00229,50722.31542
20240426,3,0.03951547942915301,53346.25345,26532.49034
20240407,18,0.022272165866876747,96579.18227,87982.19173
20241204,4,0.031094527363184632,85826.05842999999,83645.5407
20240910,22,0.04364559774630017,89778.81057999999,85806.50121
20240826,6,0.045806521976232695,75578.53289,57893.969765
20240823,8,0.04431936534667891,38829.24402,63039.7829
20241203,6,0.027765290742265414,75953.20103,83169.85455999999
20240801,4,0.0668300289596857,63812.28236,47755.69304
20241005,23,0.03493373507128528,78048.33884000001,84705.32411
20241102,2,0.030099327781685226,67753.65523,34942.56701
20241014,0,0.03304037533866655,69743.33805,87260.89455999999
20240420,23,0.026682769952390828,89129.70861000002,67328.58595499999
20240718,21,0.038161465400277095,63543.340659999994,78164.72033499999
20240724,9,0.04682483053870534,58142.624209999994,77061.91040000002
20240513,13,0.035218031632200386,103003.25459999999,84361.86217000001
20240516,20,0.03680294423553665,108508.06035999997,84384.41347999999
20240509,7,0.04006410256409687,109514.26948,84010.92667
20240508,3,0.026741332662161277,102007.82579,86266.71539000001
20240503,18,0.033746324061123545,113061.34521999999,83807.38765999998
20240528,5,0.02942330325617082,81598.19906000001,96675.29656000002
20240531,21,0.027508535736830986,73774.51785999999,95897.06709
20240806,6,0.04748275519643741,69018.45592000001,48152.53675999999
20240401,21,0.03441407431354904,149549.956,135111.70998
20240930,0,0.04312541655231428,68850.51581,66014.49315
20241027,23,0.04974048442905055,67305.63389000001,40125.913179999996
20241001,14,0.037335877704269826,68030.19237,28079.063759999997
20240608,12,0.035549235691445524,84839.27377999999,66512.30486999999
20241129,23,0.03368137420007855,87089.83768000001,47826.69959
20240416,13,0.06771418458271228,74959.5473,80516.37213
20240926,21,0.031019173726765104,88211.73272999999,70282.30827499999
20241022,19,0.031095816576143243,68876.24385,82682.483955
20240803,13,0.05413818772415091,33857.95141,49008.52065999999
20240705,19,0.042945487860746034,67569.04690999999,73368.663405
20240421,14,0.03312522055021194,81286.25627499999,65568.95846
20240719,4,0.043319110225481516,63250.90055,81019.94241999999
20240702,21,0.029295114476313167,69426.37702,75787.76028
20240808,6,0.03916385176481185,74768.52317,52238.25772000001
20240817,12,0.04869678137464639,69766.96539000001,58707.401950000014
20241029,5,0.05910728926343811,69129.65499,47389.26733999999
20241111,6,0.051279421568128924,43821.20888,61484.10334000001
20241121,3,0.04664970313825734,64721.174759999994,77670.97393
20241014,16,0.032546123960042195,69779.41983,68455.58881
20241025,10,0.026979070470156685,66642.22718,76815.44449000001
20240823,7,0.0443311537182689,44894.55462,59169.439640000004
20240903,13,0.06128007262824475,78371.633245,79589.928965
20241107,5,0.03715581977472571,43959.88336,69920.59403
20240405,12,0.03432852696759747,83429.61895999999,110626.540315
20241116,16,0.04152348224513158,62244.22589,64832.69220500001
20241004,12,0.046293234574434905,67059.57144000001,68549.873335
20240411,16,0.03255526255818708,94159.67215000001,90825.41826
20240408,2,0.030102650812535714,110057.20685500001,98012.35224499999
20241003,10,0.049921713676281954,66418.04813000001,67075.75388
20240911,20,0.030358227079529954,84588.23708999998,79021.44849000001
20240914,13,0.04356123464985817,75513.458985,70622.17635
20241018,19,0.029267150550227328,65599.56026,68697.27861
20240908,12,0.038281390740402266,84143.27925,71478.92263999999
20241119,17,0.04302062121777084,62751.751000000004,67259.10732
20240418,1,0.02589213640589172,36879.37074,54040.859889999985
20241021,4,0.03926187671772219,64031.79931,46731.591400000005
20241121,12,0.04710837697785575,45850.01584000001,60193.82003000001
20241122,18,0.03428997390979571,76627.12739499999,62958.35753999999
