dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.0014374218401780325,1276394.2356999996,1159424.03444
20240402,0.0015223712454437432,1520457.7653500002,1517595.85097
20240403,0.001517266492689906,1430108.9289699998,1474427.2201499997
20240404,0.00150938839582615,1467166.14211,1422806.41727
20240405,0.0014865909496286633,1351307.382615,1283297.2631500002
20240406,0.0014717786444906622,1466036.8811500003,1210180.37941
20240407,0.0014414414414520849,1188491.51655,1357839.0633599998
20240408,0.0014084705418415666,1191941.401445,1308523.59435
20240409,0.0014425226836589644,1283502.0125599995,1268247.20817
20240410,0.0014483307987589455,1215052.96837,1294957.78607
20240411,0.0014217874712008083,1346198.2274299997,1426543.8618799997
20240412,0.0014375458217807946,1189632.58125,1214103.2775299998
20240413,0.0014921587059957275,896544.2679,982762.88323
20240414,0.001562524414433497,605871.2125949999,596764.4342600001
20240415,0.0015594298724330713,460560.31419000006,453311.7114100001
20240416,0.0015938032927875767,570857.8172800001,500743.6675
20240417,0.0016251178210469064,614738.96724,546037.60441
20240418,0.001623244866477691,619256.7357200001,656807.55017
20240419,0.0015858919055977694,505232.6027,501098.39291000005
20240420,0.001564700359879545,430892.59064999997,460457.44714000006
20240421,0.0015407370886233451,414678.20187999995,438673.80376000004
20240422,0.0015164611861795407,435686.09687,484244.82094999996
20240423,0.001507090862506999,596395.852495,575914.00067
20240424,0.0015092517130055327,599521.26923,631080.79657
20240425,0.0015583120364093261,605030.5607099999,626042.493525
20240426,0.0015604519068679323,646325.78035,652440.7883499999
20240427,0.0015868230216264934,645754.98411,660600.64051
20240428,0.001570943823048232,642631.024015,680506.71886
20240429,0.0015986187933636486,731939.0326599999,698610.2348499999
20240430,0.0016462531278849113,650832.85779,687693.518165
20240501,0.0017410986332455636,722126.12753,680603.3289899998
20240502,0.001729894303448276,847842.11424,790722.18041
20240503,0.0016808417655500563,825498.97832,820649.53468
20240504,0.0015815777820060717,809639.1586000002,819976.4945700001
20240505,0.0015696369429774037,796599.7143799999,718326.78319
20240506,0.0015714375510622602,783285.21404,743858.267155
20240507,0.0015765659240996044,810856.9746899998,748063.4903
20240508,0.0016057292419269231,791655.9459650002,739173.02804
