dt,hr,med_spread,med_buy_sz,med_sell_sz
20241117,3,0.001109422323786191,1638286.7721600002,1490554.7210799998
20241116,11,0.0010959384521003201,1300361.13964,1755531.36126
20241003,2,0.0016361524239671965,2458617.9159600004,1969499.75791
20241015,2,0.0015204500532162157,2856044.0190100004,2354402.3285850002
20240808,20,0.001680163984008054,842693.05734,948378.9657700001
20241010,8,0.001641982200917269,3529053.4566099998,3675504.1023999997
20241104,8,0.0014574285131407905,1639301.0396,2016362.46501
20240731,17,0.0015035333032598075,738287.962365,831147.41811
20241209,11,0.0010172939979735673,1993971.28962,3864795.127810001
20240903,8,0.001694628029147438,2123780.7875500005,2751047.2753
20240726,12,0.0014865025567800672,797020.55299,812440.8602000001
20240419,3,0.0016207980809701539,668804.5990899999,488849.4986800001
20241116,22,0.0010996503112092881,1670125.1131899997,1787303.0059449999
20240904,15,0.0017389489792352109,2727991.5921,2411836.4429900004
20241027,4,0.001487674615807677,1948378.59669,2113559.2802100005
20240806,20,0.0017706009419526936,790789.5427700001,736801.13049
20241110,21,0.0012574029599310421,1705163.33955,1583402.29592
20240908,3,0.0018406375968726962,2817125.6898399997,2995840.80095
20240723,4,0.001485155867109178,824027.9489199999,706768.70798
20240428,9,0.0015688489355403235,675213.1648100001,651314.9784
20241204,4,0.0010425137090486203,2480280.51599,4221843.490139999
20241028,5,0.001476886722784343,2411377.116145,1906276.1836099997
20241127,3,0.0010776791102617977,2420662.960855,2756566.417375
20240423,14,0.0014985988101123837,624475.9637500001,507284.62578
20241105,12,0.001452074288121885,1661623.2914250004,1727367.496335
20240501,17,0.0017538782634440864,675824.0768549999,617462.6640799999
20241014,15,0.0015164381899746004,2247486.4014100004,2348389.9887099997
20240825,1,0.001556178026773658,1347470.628315,1595272.6682
20240819,3,0.0017045357696865437,1038894.5481199997,913776.78076
20240522,18,0.0014375251566889347,722759.2611449999,579609.470675
20240516,3,0.001515587820732911,800516.3021350001,906677.0932400001
20240531,21,0.0014779125962594009,901635.2084299999,898050.4181699998
20240518,1,0.0014952600257078785,770183.8313699998,629933.9737800001
20240524,4,0.001476603221939321,783348.07704,791506.25973
20240830,8,0.001683104992089568,2490601.5288,2336373.3981
20241210,21,0.0010332820136627063,4156102.96567,2673562.6072150003
20240904,0,0.001731961619722,1710061.0750799999,2456439.02976
20240605,12,0.0014102184428432807,727550.68285,1464150.158295
20240812,7,0.00171482465918249,852482.7853699999,857262.7007800001
20240808,6,0.0017507002801231408,877204.0964899998,1018125.0528100003
20241010,13,0.001640177795270148,2242789.3188699996,2805847.388805
20240404,22,0.0014732965009311982,1430301.138785,1549386.4585849997
20240622,4,0.001555355087567989,976507.3403499998,1107286.00397
20240723,23,0.0015156567340524063,633934.94119,742602.8441999999
20240708,19,0.001775631236911046,992933.69947,856684.674715
20240629,9,0.0016399895040652979,1149140.0123100001,1166811.5218699998
20240707,14,0.0017632330641559335,1024509.4845700001,942859.53919
20240705,19,0.0017707263519461947,944970.806655,1002550.0759400001
20241013,16,0.0016015631256083296,2135602.39509,2054699.0632
20240809,17,0.001656040407382875,995321.3803899998,804837.0055500001
20240403,0,0.001535933156193714,1543445.04322,1598661.8363600003
20240720,8,0.00150179464459832,788294.9618399999,647343.7482199998
20241129,23,0.001026841640472398,2933281.63813,2975452.1343449997
20240716,5,0.001563208328780874,724793.82254,714950.2634400001
20240801,4,0.0015660726031319072,681199.2380349999,970196.727135
20240930,0,0.0015279305708437718,2270344.5540000005,2211356.3170000003
20240819,20,0.001692448295709248,971172.8863750002,1034385.53391
20241125,21,0.001055988510834105,1717670.326,2759364.0757100005
20240816,22,0.001693193362672929,945530.1746450001,1086025.80674
20240831,22,0.0016942547820253395,2638347.941125,2627542.08499
20241120,7,0.0010776674964629862,1399026.9327200002,1104610.55818
