dt,hr,med_spread,med_buy_sz,med_sell_sz
20240411,7,0.02093309260275955,189311.62445,204833.09816
20240920,4,0.06919310197999184,97080.2499,96994.37203000001
20240813,9,0.025461489497136114,186039.93677,121472.35282999999
20241015,12,0.048002560136528594,171735.65343000003,179223.99283
20240721,2,0.043411151842565054,132211.93886999998,162262.41358999995
20240722,18,0.07274138014645715,138700.97149999999,121854.63222
20240918,20,0.023413720440190744,115734.11854999997,108316.56199000003
20240726,2,0.12916559028675056,122570.01267,125682.15913999999
20240916,1,0.028687819151995697,104211.03205,91414.50348
20240722,10,0.11609907120742058,172932.11609,123645.20715999999
20241023,16,0.027694693696700412,159926.25108999998,148063.64964
20240422,22,0.02325426881932824,126271.21217,147407.45554
20240727,16,0.02522449803248339,168837.96132,143014.45095
20240921,23,0.08482610648168354,135028.656325,54979.27309999999
20241011,14,0.038607909105969895,113040.68679,193187.25108000005
20241121,2,0.02710614767429398,84804.23582,105136.0936
20240725,6,0.07920582954905608,133098.54487,132791.98351
20240430,4,0.05593466830740024,105174.41678,128492.68261
20241007,4,0.02607425949103792,190501.88547999997,252671.73465
20240802,12,0.033169329426741,159314.18552,171077.73102
20240714,23,0.025762572135201722,169733.51872000002,159364.90033
20240529,5,0.020324514752201317,172581.78950999997,154569.03194000004
20240529,17,0.023971781788278967,140748.82712,117983.41881999999
20240502,20,0.04329856327494053,151618.88816,132215.09393000003
20240523,18,0.09616375313390435,111202.41816,110200.58726
20240503,6,0.07280117541256237,131060.68720000001,110928.68907
20240826,10,0.06491885143571352,88178.66240999999,140209.46433999998
20241202,5,0.023322449523566213,92019.88276000001,99276.29142
20240404,8,0.015085610841514274,221030.81699999998,206824.55111999996
20240828,4,0.03320604349992262,101072.26172,104417.73461
20241127,10,0.02566076469079359,71200.69924,139216.85669
20240422,0,0.03738190715694145,138681.52278,139532.325655
20240603,1,0.01911022779390592,141771.02786,156069.02683
20240613,2,0.019804333188089274,222726.41558,202052.94871000006
20241020,3,0.027176867050759945,177418.68323000002,151316.85697999998
20240614,21,0.020691082143575734,248025.39275000003,188801.20382
20241210,5,0.038325471698108515,38708.67492,49158.37470999999
