dt,hr,med_spread,med_buy_sz,med_sell_sz
20241107,17,0.03858686331674743,117520.07578,137473.89687499998
20240418,21,0.025838362586050323,115337.85706000001,93506.63311
20241120,8,0.014931501735770958,133353.26493,135039.52206
20240806,20,0.0348770583692648,138250.07016,145461.71958000003
20241130,2,0.026700018268432935,144521.13684,135503.43110000002
20240417,22,0.028696600409405804,129244.88782,77288.719045
20240830,13,0.043546420484252835,156687.00272,137371.760305
20240424,23,0.02995858665961748,127000.95607999999,138624.07992999998
20241001,17,0.04682853731061698,114031.30959,134006.94234
20241118,9,0.02427365748003396,142297.92192,143745.05543
20240720,19,0.03270425732477822,149691.78673000002,155676.78262
20241109,9,0.029939479480756148,142056.96949,174994.40743000002
20241015,2,0.028317504789343584,166092.69825999998,162853.14508000002
20241012,2,0.027088036117373093,161785.60301000002,156647.10061
20240524,4,0.11424840868288211,144093.00281000003,157820.54710999998
20240512,5,0.04842615012106144,145304.594845,177818.7216
20240402,11,0.03597795271059745,160352.82944,154983.619585
20240423,17,0.03186689700285239,155091.22220000002,135369.78966
20241028,5,0.021447465624468975,149954.69004999998,144283.51163
20240902,8,0.03223466839011868,161766.41637000002,140876.159205
20241210,21,0.01992094535602229,155716.58479,156430.21268499998
20241122,18,0.029607150126764736,131660.34068000002,139602.05236
20241122,2,0.029201343261786583,135413.31539000003,138466.32011
20240816,0,0.0276599669403077,127515.677165,144748.23040000003
20240818,21,0.07397646623668042,141892.88228500003,143253.71096
20240614,14,0.07687059830494558,147489.33377,158358.144785
20241117,20,0.04018984919238466,136057.205865,144708.04885
20240412,7,0.031328320801993215,134465.65323,122396.75376
20240826,20,0.04776590639774536,144290.34717000002,134902.51750000002
20241111,12,0.04214559386972461,149182.91612,165129.1256
20241130,10,0.023590796813843795,134204.46962000002,139514.48461999997
20240710,8,0.025073653858198597,167735.25679999997,177325.80305000002
20240705,7,0.07639601785756067,130778.98510000002,146105.188615
20240708,13,0.0731850117096089,131124.44556,149185.53540000002
20240622,4,0.028924723410417297,155313.56563,173361.906485
20241115,23,0.051609174046785,124306.51822,141007.21414000003
20240620,10,0.027861250970162565,152575.12728000002,162642.15722999998
20240423,5,0.028803307297398106,155458.36787,133117.36403
20241015,10,0.032906282906264295,157790.90315499998,153918.340815
20240712,9,0.09208694721061228,132894.75319,143668.34636999998
20240727,8,0.03467406380028848,141480.85631,153203.89129
20240817,6,0.044682752457547714,131320.92091,151912.53474
20240421,17,0.02567416067078554,127557.33528,73602.50446
20240501,5,0.03178164142829676,151532.760985,177240.07559
20241001,9,0.025087807325641087,177335.70183,174941.00815
20240803,8,0.10076988189768876,132603.27336999998,142730.3325
20240804,7,0.07592675301473228,134656.08733,146583.00952999998
20240902,7,0.03726391646102778,160228.21934,139886.37297
20240719,4,0.026809138086214546,145739.00244,153101.32272
20240718,1,0.12040705352289738,146178.4294,149270.94530999995
20241108,19,0.04761286413019761,130606.82955000001,135303.80568000002
20240923,21,0.03256997455469701,164136.94986,157256.29507
20241010,7,0.036611596723279405,156744.54250999997,158192.02208999998
20241030,11,0.06338498462299391,144692.270825,140143.47635
20240831,22,0.062007950312659155,157497.31592500003,144308.17549999998
20240730,10,0.03497386674957692,141387.08452999996,157982.70609000002
20241011,1,0.03243293332715336,157373.53913999995,157608.43545000002
20240904,0,0.043974864898899124,165920.72559000002,154953.18384
20240820,16,0.027790643816572036,153946.57403999998,152047.30128
20240426,3,0.02515497259905075,103642.14381500002,40350.32629000001
20240727,19,0.031011958986670862,136267.46360999998,150272.41387
20240818,1,0.05057803468206945,144739.87873999996,157882.84269000002
20240831,11,0.032940969782147,153630.87746000002,144299.21364
20240410,21,0.025414037019788616,117198.08843500001,102807.97653499997
20241120,7,0.03016136329361263,132107.83626,123690.90203000001
20241105,12,0.053582363747706196,154458.69267999998,158325.37153
20240516,20,0.0254032770227397,162022.05296,173932.02522999997
20240512,14,0.038435492431876384,150344.24315999995,169938.44733000008
20240504,5,0.06648936293894847,132591.03022000002,164877.79767
20240514,2,0.057568385671058486,145180.66551000002,156794.43148000003
20240513,7,0.0656479083847028,139577.5704,160763.35346
20240911,20,0.033394556687249555,173345.17018000002,169615.08188
20240421,14,0.027172528573604637,136403.47803499998,70139.116045
20240809,5,0.052437075509392805,133913.81972,148118.154085
20241014,0,0.03152798108321253,149505.68853000004,152109.74316999997
20240608,20,0.0487320300639027,162644.69655000002,143513.29396
20241031,23,0.03709112826575378,153702.47900999998,158379.71493
20241010,19,0.030560191823969518,149742.3851,150847.23064999998
20241029,5,0.03358935889110626,166127.50922999997,168345.91786000002
20241009,3,0.03165415573844754,155402.32432999997,160244.83013
20240930,15,0.031573629704473305,186667.24441999994,198379.91621
20240626,13,0.04313620771110305,149533.63674999995,172026.77681999997
20240625,6,0.06670439844760345,148307.75126000002,161480.25754500003
20240615,15,0.04848394435534864,145827.22047,169690.81720000002
20240428,17,0.028222676920908185,135032.04379,146977.81186
20240815,2,0.029592533576150437,145524.31040000002,152897.68506
20240604,23,0.026779587259606608,179210.72478000005,177219.66186
20240706,21,0.029601437784121387,144212.37284,164606.78357
20240630,6,0.028991509629339163,170007.97787,167655.31635999997
20240705,19,0.029598934438368474,157469.99755000003,165750.16575000001
20240702,21,0.026135906714919166,164176.09175000002,174883.7524
20241111,20,0.043597763245184495,142880.08230999994,139688.67779
20241028,17,0.03339376013740125,147879.777425,153100.80764
20240712,17,0.02552919902139017,151236.076,160220.86434
20241123,13,0.031992687385740126,134274.9279,135579.69612
20240401,1,0.031540169559951536,150500.30931999997,157409.33055999997
20240823,13,0.036745508345092937,152506.44864000002,131841.98371
20240912,21,0.05914871351546669,154261.03964,158941.36544
20240422,7,0.028541208468335633,157813.89387,131294.65829
20241013,15,0.036921656859356666,147971.02007,144765.16059
20241120,13,0.029618659755636934,133937.6271,136443.96043999997
20241112,10,0.06946454413891967,125371.46585000001,86950.75981
20241025,10,0.03198464736924311,179337.868005,167753.8888
20240429,23,0.04298841104086737,126210.2544,154383.60421000002
20240417,15,0.05512028041144701,137973.600145,111757.23538
20240902,19,0.03600846198859031,173418.77896999998,165495.4369
20240406,17,0.0235986562647561,151058.80369000003,146061.47468000004
20240904,11,0.06145302257829499,156174.14106,151805.67438000004
20241112,2,0.04501294122061239,136534.15826000003,139987.58534
20240407,10,0.020389576848311997,165975.86798999997,152605.09853
20240420,23,0.030571690614489277,125708.7387,76231.40679
20240911,6,0.06441761702533633,157106.69110000003,153799.22387
20241019,4,0.03237573115191239,169770.99766000002,163288.31506999998
20241115,4,0.03028336577979296,139550.70142,141146.62761999998
20241020,18,0.047495682210696444,168719.63123999996,148250.15492
20241207,23,0.032838026434611756,133608.15195,132199.3231
20241016,20,0.044610992148452766,149559.05992000003,149363.00566000002
20240928,6,0.03226196717345253,179441.23926000003,175216.14904000002
20240401,21,0.02386951332713494,179074.65586,173954.39129
20240416,7,0.06920416193308965,126982.20223499998,112199.39516
20240419,12,0.030776472292126655,136472.27232,84899.98071999999
20240531,1,0.032199569542612494,160888.23705000003,168059.26465
20240525,20,0.025206575767011685,161363.62827,165756.67332
20240530,13,0.026680451566640784,144169.7191,162783.6151
20240523,3,0.04094802876191128,136907.59455,165288.69822000002
20240513,8,0.09959805072385919,138948.93989500002,162038.52250999998
20240503,2,0.031226146693508205,159547.74086999998,155018.50137
20240528,9,0.0372186352088244,157869.34754,172365.9702
20240929,23,0.0337752258718238,173605.468455,200397.35805000004
20240426,20,0.045936395759715865,121465.54917,130289.10593000002
20240403,11,0.032356540945088774,170522.627095,161139.52302
20240808,6,0.03834649896463649,160004.15122,161191.82895
20240411,15,0.02982297932916378,153212.31622,139533.09921000001
20241203,12,0.024693575491807618,137239.79182500002,128507.629135
20240820,0,0.03004321601072224,137079.64070999998,141868.40634
20240722,20,0.08329297820823811,133470.55873999998,151403.43594000002
20241025,2,0.03180589317761662,155978.24371999997,169245.79847000004
20240913,0,0.05858230814295151,152439.196795,159168.04550999994
20241022,7,0.04546733929460256,157447.18112499997,165521.14641500002
20240411,11,0.01986858351192833,188239.18582999997,166915.59646000003
20241005,23,0.033965852995798684,185920.29395,184223.98387999999
20240422,13,0.028570468219557554,154836.72412,131467.09986
20241209,16,0.027302511831095444,132373.7243,147819.3033
20240605,12,0.024960894598469174,170288.28208,163781.50146
20241008,9,0.03633803456655205,181003.48891,183330.72516
20241018,13,0.04528575310207561,152476.39064999996,142789.743005
20240702,1,0.046678708420433423,161721.07098000002,159347.70896999998
20241105,20,0.034600365775294684,150153.00827999998,162619.2755
20240913,16,0.051794802504168125,136026.47605,123498.44361999999
20240929,4,0.031060723798104206,167398.66478,192348.04570999998
20241013,11,0.036098232319281554,161103.36979,150071.89385
20241023,19,0.03008075525834375,173517.99612999996,190844.04014
20241127,12,0.016514284856405936,124689.76173999999,144816.17034999997
20241209,15,0.02740977615349749,134402.8342,144400.04789999998
20241203,6,0.026280608338957734,139298.61692,131988.85288000002
20240903,19,0.05328637953803117,160554.93170500005,155546.548325
20241120,19,0.017218454433942654,143525.47667,144522.29951500002
20241109,14,0.03641972663781523,142850.03921000002,152243.16260499996
20240803,19,0.10195006615909552,115209.77592000001,133997.68882
20240503,18,0.05159869971276265,150917.37401000003,142870.06150999997
20241022,8,0.04376942268131678,155147.46764000002,147191.57101999997
20240831,15,0.03330299060855246,162111.55265000003,161613.93697000004
20241022,13,0.047159218504377876,157958.66372999997,151761.25460000001
20241125,21,0.02171316906545151,92925.72704,139171.21497
20240928,12,0.03282792014609459,220004.37552,214033.38764000003
20241012,18,0.038007512072968375,162384.93603,152482.43914
20241104,19,0.05360101354645597,171629.33541000003,152661.50529999996
20240425,1,0.019345081073463,108637.37371,58400.037075000015
20240930,0,0.03577365796172405,155580.47869000002,167617.10074999998
20240530,19,0.05007594887072031,153322.700795,156214.47689000002
20240510,4,0.029304281872710725,152169.98519999997,176661.18925
20240509,8,0.022983628584571925,159080.62732,178233.335215
20241108,8,0.03722682082951678,133845.584675,137032.473335
20241116,0,0.028944158448607205,140387.61810000002,136538.633445
20240403,15,0.02261771819564995,176522.518695,172896.397505
20240910,22,0.034943856869973366,180167.970655,159760.62835500002
20240803,13,0.0462209360744259,131313.94904500002,150712.29043000002
20241116,22,0.026842549275252203,159959.13133,149198.82822000002
20240611,21,0.028793550244743393,152776.98765,167194.48359000005
20240614,17,0.037386119911064775,139723.79244,158595.99704000002
20240608,6,0.039763587398544686,154952.1942,139342.17888
20240607,7,0.04851688889631056,167846.90449,153752.900325
20240613,12,0.030568770180150473,154311.77326999998,157787.02974000003
20240405,12,0.02435076561670968,174819.826845,152887.60434999998
20240426,6,0.021450788316479397,73376.969005,41642.68427
20240618,7,0.046809506775968845,146377.41637999998,138145.01975500002
20240812,8,0.028147870144490383,140618.141355,154349.95078
20240716,17,0.10475469941222393,130274.22375,150002.85191
20240707,5,0.06441638752896495,112249.87432500001,111269.822475
20240816,22,0.07032348804500987,141896.23804,139175.11268999998
20241016,12,0.03372264251052526,159187.998245,174746.23247
20240410,1,0.06190885676030655,146036.76452,164123.37705999997
20240407,18,0.028690876301329382,156628.75796,127212.3986
20240912,1,0.030903817810101764,177101.0614,177069.31649
20240402,15,0.02841837532150393,166180.85140499996,157380.20660000003
20241209,22,0.034062483680552536,75315.70694999999,101339.67115000001
20240731,17,0.030470386593051124,139339.20614,149380.57270999998
20240903,7,0.035722259432913184,172009.49562000003,170460.60838
20240809,14,0.04962779156327812,131918.71028,136511.50074
20240916,17,0.028299217054983394,160190.550215,158426.39933
20240417,0,0.026216982989346604,158603.49435,133428.15787
20241117,3,0.03115022194533079,145941.93723,157519.38986
20240731,14,0.030448351982936828,138336.78727,147652.26807999998
20241019,23,0.03679414756616595,180034.81152,174592.09736000004
20240823,8,0.027236824186283037,163554.75026,156633.24080999996
20241205,4,0.025466893039061134,127711.86369999999,134531.57684999995
20241103,17,0.029884198729912548,158813.95394500002,159302.33936999997
20240809,9,0.034561074376748824,141423.39847,145489.48188
20240424,4,0.026674669067383583,146286.49923000002,135995.72781
20240417,16,0.02956538878486903,126326.64793,81938.08038
20240830,7,0.03479773814702991,167230.86492999998,162105.94254000002
20240905,4,0.04444860337808887,162239.95344000004,150436.36135000002
20240508,6,0.028935185185186008,134591.27982000003,157467.16269
20240531,21,0.025235531628542418,155162.50307,174222.31187
20240516,3,0.04792162152569279,161104.02864999996,169474.268765
20240510,23,0.018395202531173993,146502.94216,178084.64803
20240525,6,0.028083313831039902,156484.62680999996,172065.80728999994
20240523,12,0.10537920300897063,138953.07097000003,153818.44170000002
20240529,21,0.07307686061805985,82442.27226999999,62934.74132000001
20240816,11,0.04959614567097148,135212.82653,139236.23616
20241119,17,0.026115992314434955,137872.56282,135786.29366
20240610,2,0.04250993438683626,159827.55560000002,150458.74717
20240408,18,0.010524723233129585,76029.11098000001,155334.092925
20241209,11,0.036900369003678435,140571.73559999999,148796.3436
20240606,18,0.02836122186815615,166253.55583,156414.79850000003
20240723,4,0.029620268162156016,140653.29812000002,156893.03852
20240604,4,0.041001810913310344,145884.23285,162258.11721000003
20240405,3,0.01959329909171359,187105.1794,165270.20054
20240618,8,0.06155282930764283,159533.377,149494.74418999997
20240721,20,0.059337525291303095,117136.77472500002,135628.57417
20240623,7,0.032521647221428474,163090.74691000002,173647.5206
20240707,14,0.11190836679613181,135797.68009,154271.45888000002
20240629,17,0.04722598661246469,141781.92634999997,165230.06556999998
20240708,7,0.032523145638641004,145463.87079,183387.65683999998
20241012,10,0.028748977199843928,168192.92148000005,166431.76211999997
20241002,23,0.03554418141751281,164236.14271,188300.63144000006
20240724,14,0.03211045998232631,144268.88622,164220.92639999997
20240405,6,0.025357469908138253,182169.542555,163238.01522499998
20241128,17,0.02302158281006772,138056.90568499998,143779.12936000002
20241106,5,0.050547986122273514,146767.50387,136942.74531
20240820,22,0.06258632596685132,140581.54341,140259.50736
20240930,11,0.04630799023321863,151119.60352,163411.27422
20241122,10,0.02378295311098455,144403.63833999995,151795.72293999998
20241021,4,0.03638309256286387,168184.936645,164353.4369
20240823,7,0.06407393744054524,142909.01558,134563.60784
20241118,5,0.0298179242997465,129252.7708,148015.56712000002
20240721,3,0.07093286300372537,151585.23791000003,152973.02524999998
20241006,3,0.04532064355313725,176830.64037,164094.81255
20240821,4,0.04530157908362309,156354.51111,132962.10974500002
20241002,4,0.03904321227162777,156969.70388999995,152430.8516
20240422,8,0.02187410610625662,170555.95453000005,145793.85162
20241102,2,0.030637254901955124,159520.236,158835.47338
20240716,5,0.02744183311444992,146723.83915,157277.34868999998
20240904,15,0.05170514578602958,163354.31431999998,168747.22256000005
20240914,7,0.05215892597969507,166280.21441000002,160232.62466999996
20240817,3,0.030444964871190194,158409.08225000004,159858.64885
20240930,22,0.032128858140390015,182400.49308,173748.13195
20240425,21,0.026433581221585456,99431.01019,58634.1574
20241023,7,0.04938382455272894,155432.81140999997,159515.98927
20240726,20,0.027459056585277253,140849.92271,157968.89333
20241205,23,0.02628811777076745,127378.39385000001,140963.1705
20240804,19,0.031179546217674492,136455.23701,153807.93561
20240515,12,0.05354060353215395,132938.98206,145639.849935
20240517,4,0.02897658329861219,152951.06815999997,166182.91212000002
20240522,2,0.02421698417822693,168031.19818,149623.1072
20240528,5,0.029183825744327763,156110.42147500004,147887.647545
20240515,6,0.02651264084840843,155396.7095,180898.16577000002
20240519,22,0.06373718427330477,159207.67189,146707.91902
20240508,3,0.027003186375984534,145172.54021,167316.49665
20240826,12,0.05204059166150632,138591.23626000003,125748.01517
20240603,9,0.03554803216250235,157777.74957,145977.3197
20240607,8,0.023363316255853306,173022.54509000003,175331.50228000002
20240606,10,0.024877684716817505,174624.91708999997,169198.09298
20240613,6,0.028624861646497912,157072.48898,165937.14080000002
20241016,6,0.03364360210833528,173243.84053,180706.71773
20240720,13,0.031262211801474926,139199.74361,158358.74518499998
20240928,3,0.035635802102507164,166128.16383000003,158788.00453000003
20240819,12,0.05930213250469052,140190.27846,144366.04441
20240620,2,0.027997200279972212,158454.29006999996,171060.40783
20240404,22,0.02501042100875317,171145.14681000003,154614.26331
20241105,6,0.05460818626354946,141591.90785,140008.47319999998
20240629,9,0.046006440901713574,145548.24149000001,158458.46872
20240629,14,0.0614766696038771,136327.703865,149589.73859
20240615,22,0.030004125567262285,168195.14625,140450.04977
20240723,23,0.06042296072508169,134675.19159,149570.84817999997
20240428,14,0.02991377793419847,139903.29429999998,157891.87591
20241126,2,0.02343343808292042,134806.28778,138203.74972
20240813,1,0.02809087398115695,160677.60763500002,156477.29917
20241124,23,0.026751478762299108,138831.48612000005,132383.60796
20240412,13,0.04851087171211521,124286.96419500001,142494.50143000003
20241014,15,0.04862200808892769,164441.77701999998,134757.30595
20240903,8,0.04916640593572996,167405.44374,160937.01786
20241121,3,0.02468784124042278,148351.75451000003,149063.76067499997
20240427,11,0.027044081853411228,145293.3288,173758.93152999997
20240501,9,0.0250308071472638,145311.47682,134621.16353
20240724,17,0.08454106280193496,135101.74176,148995.45236999998
20240726,6,0.10167280540207546,133033.3512,146669.05754
20240404,15,0.021943057765105856,186380.41624,185593.22907
20240504,14,0.07574583828264814,165933.30692,184244.11612000002
20241110,1,0.04665366019169781,135058.95258,142342.45053
20240801,23,0.08603276726266706,131667.99091000002,152839.82547
20240813,21,0.05058866813834051,143618.9664,148119.50923000003
20241004,3,0.03267211201865017,174257.64181,219377.45176999999
20240530,8,0.02203053771459018,136572.56539,160244.3932
20240528,17,0.030343197534232758,145293.06282000002,167776.33172000002
20240503,10,0.024613220815750125,167974.29621000003,166760.11772999994
20240519,11,0.0215173304165317,177982.76606999998,161476.95750999998
20240520,23,0.05551116673154777,156454.79504499998,138031.33406
20241121,6,0.022375953308850782,134845.66277999998,136551.07559
20241009,12,0.04299031586569857,144299.49524,144960.21540000004
20240718,21,0.031126587942331696,145996.79955000003,161622.16923
20241202,1,0.025418400246168815,134942.05363,125992.23898000001
20240614,9,0.026672763298285496,151952.67134,167871.39811999997
20240915,11,0.02952163613931802,160775.76038,174781.30662
20240411,0,0.02524579587368514,165666.95517000003,153295.90975
20240621,4,0.12161011796181231,141941.89526,158351.56418000002
20240618,19,0.03699754075170425,158804.17184999998,146905.19837
20240806,6,0.058172623618168995,133314.92713,151429.67018
20240812,13,0.04480815036671526,129869.77875,145408.71594999998
20240701,9,0.02603019502622761,154371.43724,166621.35515000005
20240605,6,0.02500416736122002,175631.86496000004,173082.58583499998
20241104,8,0.043467236576777424,157736.12703000003,150127.4345
20241027,23,0.04447045055586685,156305.19838999998,172860.20002
20240817,20,0.03129890453834605,163798.36315999998,167094.78403000004
20240501,14,0.030491290925049874,162224.44225,173729.54794999998
20240914,13,0.05413574538155608,148765.93604500004,151915.89062999998
20240830,8,0.028327377320658265,164966.97680999996,147045.50045000002
20241113,23,0.04379470709683364,133472.56816499995,142391.13574000003
20241028,9,0.037524332184135645,145095.260535,142210.22956
20240408,2,0.013679516292297578,149628.34158,136743.35830999998
20241030,22,0.044808890083802844,144017.89127999998,147014.019105
20241203,20,0.012677557845142129,118553.09358999999,140390.90499999997
20241018,7,0.03347018921813216,162795.93506999998,181329.04575999998
20240918,10,0.04568021736768291,163546.14149,152086.03707000002
20241101,23,0.042528056704083106,141140.80946,150398.36981999996
20240811,21,0.03640776699029846,136659.46521,143078.46012
20240907,15,0.0528858866799764,163188.35978,165630.75261999998
20240721,6,0.029151685939177163,145621.31085,155088.98303
20240801,4,0.03416791632657734,131086.43290999997,149048.292265
20240521,4,0.03693692181125918,165295.515845,144636.4871
20240509,13,0.038827069554148164,151677.74569,172779.23770000006
20240505,4,0.027963228354721537,137327.66808,166390.48897
20240512,17,0.02180509875893133,165902.37594000003,179803.92348
20240530,7,0.03182686187142014,133288.49412999998,156828.74536
20240910,0,0.028409763488723705,164791.22493,169104.03519999998
20241004,20,0.03606609111195258,166796.54361,159822.60388999997
20240404,11,0.019655605717283642,187011.86398,182397.01356000002
20241101,4,0.03262794816816239,159966.29611,164779.14857
20240615,0,0.07289328806276973,146965.4606,161514.61201500002
20240814,23,0.05377910233714811,136621.56146,156320.71016000002
20240823,19,0.03920543648718855,146269.09719000003,120725.67253000001
20240716,14,0.031332615294243915,140295.43041,155513.08009
20240603,17,0.023860653781926366,167560.26895,173099.5796
20240910,11,0.04440808694636811,168164.39943,155945.97470999998
20240625,20,0.028545213579356243,152670.50722999996,155449.41330000001
20240622,23,0.03490616401791158,156237.22697000002,176604.85557999997
20240710,19,0.02714100797527319,140012.88644,159035.41515000002
20240726,12,0.044544292520432016,134070.03626999998,148389.50201000003
20240808,20,0.035008752188026016,137891.66912,150312.48042999997
20241116,11,0.03927112786679121,132668.73435999997,137397.21082
20240905,23,0.03822538643476481,151506.91338999997,168655.62483
20240923,1,0.05425709537123513,148985.69564,155522.67509
20241106,9,0.05037783375314575,130871.87303500003,131550.40852
20240901,12,0.04063755813428216,155130.57332000002,141824.63946500001
20240819,20,0.03250522405386924,163013.30061,159661.28406000003
20241103,5,0.04627599980515651,141258.59824000002,163177.32601
20240910,16,0.028324599915019455,166914.96913,163499.82206
20240720,7,0.032655256535862875,133196.09147,146111.59362
20240423,9,0.05887795441164023,148753.19035999998,126673.26342
20240819,6,0.03498134328359104,162170.16705,165208.34185000003
20240403,16,0.019741666196648744,183426.61149499996,175989.46863999995
20240821,23,0.03228410008071503,177015.22389,148202.58543
20240808,12,0.06379341141646844,135630.34816,145797.79263500002
20241020,10,0.03063323268128748,168218.48235000003,162861.50458
20241128,5,0.025569634638333838,145825.65394,138717.09119
20241029,17,0.028953874251103073,159896.201225,159148.45084
20240812,19,0.051845219176704926,131498.1463,140206.83563
20240725,2,0.09462727368310109,126018.58542,142697.14904000002
20241106,14,0.0370516175346669,148525.71988999998,137830.41053
20240727,13,0.05140017894875726,142041.06814000002,151334.81691
20241010,8,0.0389917199935752,153452.29972999997,160439.02752
20241129,4,0.019804781440080355,142588.03373,139965.79272000003
20241116,15,0.03319275226489893,151338.95964000004,140111.23054
20240402,16,0.02413864114172437,166259.32847,160473.65745
20240527,18,0.04830240421320742,155351.37024000002,139547.97639999999
20240519,0,0.02301129323467599,165974.16371999995,169353.56975
20240501,17,0.07091043246433282,154359.75522500003,173361.98944000003
20240513,19,0.04004441289429117,146156.64627000003,161666.82614000002
20240514,18,0.024520899351143655,153804.51824,183198.78864
20240519,15,0.02902389028969221,173291.05099999998,155227.12857
20240517,23,0.029998500077332846,157391.55435,171778.41621
20240509,19,0.04839434477514892,144360.19899,171630.25056999997
20240521,23,0.03236769703836018,163907.93973,148105.19216000004
20240404,0,0.02142459258003271,187722.06548,186027.50488000002
20241020,2,0.02841778516153859,170714.97261,167845.6399
20240601,18,0.03228766611156342,156975.95565000002,160573.97626
20241018,8,0.02893132149375255,163572.61783,162180.29734999998
20240601,10,0.02718822749749883,153187.21271999998,170025.31672999996
20241013,0,0.03345078274832325,179999.76321,164656.09969
20241116,16,0.03708257704393425,135038.56593,143010.60164
20240822,12,0.03172085646312439,155987.8155,132078.30366
20240618,13,0.030455969369991287,164710.32043999998,149457.61930999998
20240620,18,0.05658966430202028,140225.0814,157976.48383999997
20241008,5,0.04752313924278884,148278.50451,148831.40855999998
20240607,19,0.02740326646937241,127999.59870999999,141104.80679
20240705,13,0.13687078557639287,129862.10885,144798.30111
20240708,8,0.02743136882532582,144988.15539,164336.14158999998
20240822,20,0.03337325035828176,154301.76303,141790.37438
20241123,19,0.026120090959369513,143371.90831,146446.62941
20240411,16,0.021246458923518396,155978.93267,138950.35027
20240908,12,0.06266570257893456,159218.51434999995,152484.40203
20240902,13,0.06103212097923194,151298.85268,132462.29154
20240720,8,0.02506700603537304,144888.63309000002,177480.87532
20240504,17,0.04816707092600847,160544.6544,180578.81506000005
20241111,6,0.046467501790936616,127225.38218,129915.57237999998
20241112,18,0.03153641470385882,136544.98957999996,141540.54946999997
20241111,3,0.04663454064977035,50436.91395,72221.12851
20240427,15,0.04136169906667764,134310.8469,158397.31360999998
20241026,14,0.05546846738211375,156417.06849,155991.17568999997
20240722,12,0.16098062413933967,134997.70216000002,145583.99061
20240815,10,0.030077275461559694,145156.73695,155527.06488999998
20241023,13,0.03182324460708763,160205.25280999998,161345.07490999997
20241008,17,0.03676893025392758,159848.09623,160302.13128
20241001,14,0.04741072775467092,163591.55307999998,156647.2012
20240916,14,0.033034839962586826,170054.63578,162774.44958999992
20240730,2,0.03153020001971374,162530.55836000002,151514.01203
20240901,20,0.036774000781436555,156987.47210999997,140166.10756
20241109,17,0.03640958649674397,135445.756665,144536.460715
20240909,23,0.035312397005515805,168155.99608999997,174789.39663000003
20241013,22,0.031702898550722836,140473.66953,142022.173005
20240508,12,0.030730296456993322,131630.81152,153977.15990999996
20240527,10,0.025250134141341363,160533.61953,171687.07799000005
20240527,2,0.09234332936829404,143350.13040999998,156457.54552500002
20240508,20,0.026750365588323888,106913.1844,107061.77924999999
20240722,3,0.0268507863444567,142186.321405,151048.90989
20241119,9,0.02398878063183396,142543.58978500002,141729.18005000002
20240721,12,0.02924318633759082,147873.85397000003,151922.64294000002
20241124,4,0.0810928274253997,141941.06376000002,133123.70503999997
20240915,15,0.033939723051856774,174679.04997999998,163060.25015
20240903,13,0.04282269151885121,160409.50204999995,158153.15506000002
20240605,3,0.03510120848446707,175328.80582999997,165196.2744
20240614,5,0.02880737468791139,158894.24192,170847.72154
20241025,18,0.042247570764675224,153938.69993000003,155499.811995
20240420,4,0.03996512134862851,133970.371925,124729.338965
20240408,10,0.01595776520035841,114824.98698500001,152031.14859
20240627,5,0.030647896532709495,157283.86817999996,169610.29973000003
20240623,19,0.057834510678733686,139054.0663,154099.21624
20240626,8,0.03091317519525738,145415.39448,159141.63665999996
20240809,17,0.031961449574668954,138375.47424,158598.1082
20240407,2,0.03554291813336885,155644.87384000001,143813.354065
20241018,19,0.04597097261442862,152301.7622,162523.63791
