dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.12513823409581182,382939.17656600004,385936.051193
20240402,0.12624399521257157,390941.8280450001,384282.79877600004
20240403,0.11629462222128018,384448.935485,367330.742797
20240404,0.10401092114671329,381459.16683,367843.00258300005
20240405,0.106884322013312,378314.51641100005,358656.049178
20240406,0.06477732793521707,378099.105364,328628.338683
20240407,0.053675170497591296,333765.420184,304595.773552
20240408,0.04584980237154479,325994.9704059999,286806.999707
20240409,0.046583850931680715,327745.788372,286145.371321
20240410,0.06150265957447498,303848.05292499997,323893.752996
20240411,0.08910057024364981,312311.390462,297503.582626
20240412,0.08452945271322232,261207.128625,228819.39789
20240413,0.09459246413370259,279169.274006,232463.70657399995
20240414,0.10933351183701756,152422.58022799998,129991.823966
20240415,0.11242007635197115,134832.86425,130461.40212900001
20240416,0.1151342841702041,200405.81821700002,183992.893599
20240417,0.12662599286290543,231000.00225199998,211763.77402050004
20240418,0.08610658599021992,217293.45595700003,204945.26146100002
20240419,0.12110133668457035,239010.569803,212525.31214899998
20240420,0.12132524498367214,252288.66987,226700.22437799998
20240421,0.1256771397616374,253270.727036,223137.99238900002
20240422,0.09703713287618765,272490.556593,227535.21105299995
20240423,0.07515567962208536,274250.97394450003,230145.14406299996
20240424,0.053838699257036104,256014.85712350003,239289.72687850002
20240425,0.03828828828829067,197872.29036400001,209338.162144
20240426,0.045177320984879366,234456.22012,236030.347863
20240427,0.06268864638958593,320218.930364,301075.785377
20240428,0.053242229962058296,298431.382448,306549.29498899996
20240429,0.09144947416552807,302804.203458,299812.17776
20240430,0.11308562197092087,297601.312706,290146.87211600004
20240501,0.12528188423954756,299151.917478,332512.9224594999
20240502,0.09718172983477213,308751.313237,264260.126822
20240503,0.09465215333648302,378858.60221200006,279866.54090799997
20240504,0.09099181073703999,300975.3150550001,277792.98892900004
20240505,0.1119319453772194,339892.432081,302234.610407
20240506,0.08922596475575695,301272.17574700003,295079.90700600005
20240507,0.09291521486642917,347548.869211,328797.50611400005
20240508,0.09519276534981636,297348.50822300004,304176.006705
20240509,0.05691778794707503,304579.45618000004,309103.922417
20240510,0.05216978894948543,303814.81985599996,308645.675038
20240511,0.0498220640569258,373921.931316,296691.73065199994
20240512,0.06124564213698669,298515.67420999997,292773.41992
20240513,0.13749517560788238,380453.30288900004,299591.084067
20240514,0.15405640452230696,373211.986089,318161.07828200003
20240515,0.1790763430725706,323516.3833214999,325908.8155830001
