dt,hr,med_spread,med_buy_sz,med_sell_sz
20241004,6,0.03851412678351762,239666.55449799995,221684.37124350003
20240420,23,0.1430119176597966,239889.05435,223220.97090649998
20240419,3,0.12936300763939368,141450.95287600002,170326.61186600002
20240806,6,0.10371105199080688,146119.6527035,139109.64850299997
20240928,3,0.024980483996883684,243344.76656999995,193256.27973299997
20241109,5,0.07815698388478065,188936.137714,182222.548968
20241110,1,0.07960054996742905,181308.39019099998,189202.33475799998
20240831,16,0.07005253940457479,183681.84216,221117.48814700003
20240724,9,0.0735564545788936,161462.502627,162652.75879099997
20241005,23,0.035522576570889974,261392.50348700007,236202.62326500003
20240918,10,0.06879025131647509,209168.79766399995,247546.610432
20240403,22,0.12367963631503276,340985.645375,325526.200946
20240801,23,0.10420284821119896,147062.36340399997,160142.733151
20240724,5,0.06094309438562373,153468.08962450002,157541.18767499996
20240419,20,0.11491347021767018,267853.2545305,232784.57729099997
20240422,19,0.07504449066231267,276770.490518,225239.79114000002
20241108,19,0.059997000150002755,160452.792397,141177.688645
20241123,19,0.09778803465607666,162104.85353399994,153959.34359799998
20240911,6,0.062241423497977344,294796.7687680001,278611.556329
20240503,2,0.09400705052879932,459623.571839,286625.41224999994
20240509,8,0.06829046209879674,303004.7370770001,321528.5217709999
20241125,1,0.10612028325953649,192457.96197200002,195285.31213400007
20240911,12,0.06926470052130984,298587.58854699996,267446.2508509999
20240904,16,0.07094714437745342,242639.69958299995,219677.21107800002
20241121,20,0.0900135020252879,159614.03484900002,164795.211696
20240606,2,0.08490766291657792,380636.795481,485713.72445
20240610,2,0.057873161321420064,301795.6542740001,451674.116108
20240607,7,0.08688097306690512,291365.521516,315271.97123400006
20240613,3,0.20113851992409337,139682.699713,81906.757163
20240620,18,0.11692487576733246,207713.70018199997,172353.623501
20240410,1,0.08140670791274562,352906.09222799994,374661.169274
20240618,7,0.1262912470451072,181422.765044,146363.54981099998
20240710,19,0.06903693476008055,181715.44182000004,175409.59491
20240708,19,0.1034482758620836,153164.286698,149810.95253649997
20240708,8,0.10646108663729947,151619.874472,137331.0583
20241104,19,0.08779631255486642,152100.02810399997,180559.65821999998
20240811,1,0.06995181097466663,221733.35532899998,222811.50763000004
20240404,22,0.1345248390506537,359929.7326625,372915.87454800005
20241203,3,0.05793590182499031,224940.99958499995,248336.57937999998
20241029,17,0.06601172678910583,189370.13825099997,147422.13481099997
20240504,17,0.09099181073703999,372408.791798,295384.46630999993
20241127,6,0.08963220241511305,226110.85989749996,234688.92982300004
20240812,13,0.083229298313936,181600.44555899999,159437.86632799997
20241109,17,0.07482229704454113,184716.696955,163010.137699
20241018,13,0.052936060800856666,263171.6314205,217697.80121900004
20241014,0,0.06633887458049603,259119.103041,223536.63168100003
20241015,10,0.07443245254930009,253044.07293999998,199127.38648100002
20240720,7,0.06777363605559028,142047.72838000002,140036.28140200002
20241209,16,0.06449235304957224,511144.7957400001,484780.73237000004
20240803,13,0.0711743772241924,150885.693637,151049.474171
20240822,3,0.07297938332422316,199761.52604499998,213785.04981
20240523,20,0.19494061111615668,354695.543056,344992.475117
20240518,21,0.18738722065423374,326550.609767,310190.2125609999
20240515,6,0.20282972197487315,378753.573473,334993.37515499996
20240512,9,0.04969943673971411,285013.72317699995,267456.78447199997
20240527,2,0.1419942996641721,444614.18963599997,372773.5584380001
20241003,18,0.043392504930972464,237992.74961699996,219864.20070699998
20240428,17,0.04446420631392112,287611.47518300003,324425.52110099996
20240813,21,0.09474028095393106,181356.85210499997,183096.485195
20240724,14,0.0780959464485198,147464.601617,151048.939265
20241124,4,0.10600742078448189,176455.637191,176148.49422649998
20241102,18,0.08033826638478292,177733.64049,166962.203628
20240903,19,0.06505931879066118,239973.0149455,248884.96705250003
20241009,6,0.03532736693359073,233511.99997699997,227176.16164099998
20241130,18,0.055205179635764434,165711.98531699998,226394.51097099998
20240725,18,0.07990411506191286,144944.84902999998,148926.463236
20241011,21,0.02285627214202446,257523.84140699997,227684.14177400002
20240618,19,0.12115258677143359,249427.819265,231065.801809
20240904,11,0.07598784194529085,283028.062681,271864.49281100003
20241128,14,0.0680707124487423,250635.29995799996,262587.344433
20240605,20,0.06365372374284028,357345.542163,322919.8298240001
20240711,2,0.08887673480548752,168277.520061,147170.60949100004
20240708,7,0.11562849682953402,147482.71698799997,91285.15576099999
20240404,16,0.0890061509607909,362012.10854199994,353732.2632420001
20241129,23,0.07439922624803419,369498.9096779999,343011.4651119999
20241130,2,0.07585147910385004,397072.750627,229625.59786399998
20241026,5,0.08322929671242818,205389.884945,179687.079115
20241107,17,0.060267058594931644,150751.97334199998,180945.197767
20241116,15,0.067809745229086,163620.53410599998,159811.50459599998
20240915,22,0.07527286413249179,228198.996915,199771.75428199998
20240427,22,0.061236987140222965,454397.40834900003,339746.48905499995
20240909,4,0.06435006435003832,278607.6054290001,254406.212585
20240910,16,0.054545454545440464,310964.8668150001,258187.770528
20240808,20,0.07955449482894839,167709.34494299997,147992.67937699996
20241119,14,0.06012795228247381,142952.07715,140639.332639
20240929,4,0.029703950625448172,231427.67271999994,250522.187514
20241018,7,0.056657223796041656,275146.210446,194257.25724900007
20241008,17,0.04346623463864496,230642.58568400002,245088.7401
20240731,14,0.0936329588014928,156504.02562799997,161320.65749899996
20241104,13,0.08650519031141446,169155.16500399995,186755.58146800002
20240822,12,0.03362680361946868,196326.79294700004,213488.71075099998
20241111,12,0.07469056764830562,188231.64249949998,162311.10015200003
20240412,19,0.12100520754554367,167998.236301,148182.55210800003
20241001,17,0.060804134681147204,216268.0762365,209804.84454999998
20240428,9,0.05350454788655146,317645.0591,297925.44572
20240902,8,0.08540502901870362,202211.036406,207599.779358
20240905,23,0.06801503490245775,250261.55538300003,270698.246428
20241002,23,0.03530727145863999,230045.679286,218016.27354299996
20240402,11,0.1304227872109598,345747.14819700003,355950.49043899996
20240718,21,0.10893246187364536,137211.65247200002,145498.52460300003
20240923,21,0.06772773450727243,210033.71358500002,205053.653461
20240513,13,0.15145778114351582,397929.1249470001,272149.276443
20240516,12,0.17649303568021413,329785.44022949995,365758.606699
20240530,8,0.14705568935018398,283850.521346,301531.98231
20240521,23,0.13246952166083847,291150.906778,316279.96248899994
20240519,15,0.21285755285564978,337677.21220099996,465639.376914
20240501,5,0.15799708313077865,449190.886887,473642.85459500004
20240517,4,0.1248379507370112,348986.090303,480016.8683409999
20240416,7,0.10107045842943085,119558.40853549998,179904.997441
20240816,11,0.03205128205128194,187198.044131,167712.227973
20240817,3,0.03396372057929975,178647.6753825,101214.92831700001
20240928,6,0.02884800307714208,239851.198154,211742.685317
20240726,3,0.06182380216386285,168272.218676,153596.30048900002
20240425,21,0.04698301899457302,236302.21661400006,240131.75632599997
20240915,0,0.06571261682244423,215268.173461,208383.811627
20240604,4,0.0503932867377932,270582.00652,271771.16629699996
20240420,4,0.14335757311418895,251801.559404,256969.37668800005
20241105,6,0.06550218340610758,152595.027825,147762.78349400003
20240629,5,0.09415513869774905,207334.98889300006,186646.69411399998
20240614,5,0.13623978201633413,212736.315579,182201.204626
20240410,21,0.045558086560348876,351470.7270244999,254586.92271599997
20240427,15,0.07672991071427937,446320.172336,330461.17647400004
20241112,2,0.10186757215620013,167428.747942,203059.179316
20240504,14,0.09095043201454711,282119.26818300004,288003.709061
20240930,16,0.03079449804967993,236718.99116600002,222762.31173699998
20241118,9,0.07728190693121473,184304.46968900005,158260.72100099997
20241028,14,0.08361204013378476,204201.01006200002,172456.2785895
20241210,21,0.0378304252040107,409339.2548,346380.77594
20240914,7,0.06831829132356582,220808.79473499997,223379.99716400003
20240831,11,0.0592128178334983,200970.43907499997,217125.596008
20240426,20,0.053876891303361596,237134.12535800005,243616.67350799998
20241104,8,0.08798944126704455,157038.8335095,190948.231848
20240804,8,0.07698229407238077,182255.81946399997,176135.72216099998
20241103,5,0.0858000858000807,183198.200745,182204.46994699998
20241130,10,0.08673487449994965,152278.26796,198510.83761799996
20240813,1,0.09577595043307463,192751.71874000004,158403.47921950003
20240911,3,0.06980161645848693,295924.091674,301651.68735599995
20240730,10,0.10800744878955992,145479.25280800002,162525.73106400002
20240913,15,0.045582846838110314,254559.673481,216752.633514
20240412,8,0.07818868426743286,262794.573369,252892.54000799998
20240823,13,0.09386733416771875,138365.094737,128314.55053699999
20240908,6,0.077911959485788,304733.35118999996,300904.118046
20240903,8,0.057962614113904465,247017.34883799998,258298.978167
20241023,19,0.07984031936127955,216035.06309,242576.85551600004
20241031,23,0.07122507122507837,161262.305726,182291.723759
20241122,10,0.0876765708718974,178459.82037999996,145645.03878700003
20240505,4,0.08331984118231661,298308.280151,314417.44647299993
