dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.014680694886215484,117980.93856000001,105851.35218000005
20240402,0.016140313122070538,117426.360915,116227.25884
20240403,0.011021712774161863,121961.61522,115865.40880000002
20240404,0.010948105977659495,128825.27616999998,152951.00828
20240405,0.01125365743868123,116596.52235000001,143211.38889500004
20240406,0.010968520346610333,163001.97843999998,105303.62613
20240407,0.010272741281003306,129185.67777000001,133302.43059
20240408,0.010085220109945503,138865.70754,134710.20944
20240409,0.010569707219110214,125406.24149000001,142212.20809
20240410,0.01066723558591498,126765.70002000002,119842.78947999996
20240411,0.010244327203823289,104839.87429,107874.85344
20240412,0.010375058359701761,106450.41153499999,94506.91495
20240413,0.011926058437694564,92644.05138,87692.86607999999
20240414,0.013550135501350091,61636.98400999999,42513.44693
20240415,0.012557292647707996,109741.82715000003,51060.44302
20240416,0.01286918473715204,155521.6651,88517.4463
20240417,0.012894075172442676,153146.70454,117889.83395000001
20240418,0.013298756566260117,166999.292565,98397.243815
20240419,0.013071041108414505,157137.972905,123698.5843
20240420,0.012289541600085663,120755.19027000002,123993.44891
20240421,0.012238404112108192,111449.96650000002,80237.72308000001
20240422,0.012421588721212018,116885.403895,90544.03933
20240423,0.012364760432759248,166651.69364,119093.65908
20240424,0.006654245408577175,166471.28252999997,124758.77974500002
20240425,0.006714113065675598,141137.35844999997,151512.56300999998
20240426,0.013217897032569148,172257.69183000003,152194.310565
20240427,0.006959426543251546,160346.59625499998,134649.57092000003
20240428,0.006727211570800584,164272.42123499996,105617.88749
20240429,0.007120985544406544,151104.03684999997,138145.4839
20240430,0.013978194017316703,174218.98848000006,182729.03611499997
20240501,0.015214910612404431,191590.04425999997,158970.29429
20240502,0.007971303308074162,214274.0602,154234.78303
20240503,0.007571168988507182,242349.08028499997,169231.723085
20240504,0.012386585339974054,222029.29656999995,151994.28376000002
20240505,0.012364760432759248,228455.45995,160894.72587
20240506,0.012212994626303875,236632.58031,168676.62125
20240507,0.012567550584385856,274287.47274999996,268685.09234000003
20240508,0.007014098337676522,278882.98916500004,233867.25006499997
20240509,0.006956037840843976,305349.11004,300034.52676499996
20240510,0.006972042111130783,314453.64523,265364.85725999996
20240511,0.0069730144341306755,323205.41990000004,330613.89518
20240512,0.007095721280081513,287410.52226999996,312790.54963
20240513,0.007294478080099864,283069.51497,259010.56222
20240514,0.0068752148504769295,237874.12326999998,242366.37619499996
20240515,0.0068320010931266495,235774.153945,240555.7363
20240516,0.006648494116090475,303255.44022,288213.56262000004
20240517,0.006639224538562694,311551.06104,299250.09771
20240518,0.006547073458174069,353679.81149500003,345527.80150000006
20240519,0.006698372295521615,315110.37948,336998.22735
20240520,0.006621639517945255,347175.59278,314105.4901
20240521,0.011864507326331264,297771.77723,298510.48499
20240522,0.011664528169830213,294312.4524,303021.7988
20240523,0.011943150603133112,285252.24552999996,285689.377685
20240524,0.012071463061325005,278139.48929,280680.97391
20240525,0.006105378838761055,296637.44579,323631.8197599999
20240526,0.005986948452352259,313735.32310000004,309909.57843999995
20240527,0.006020469596634825,329293.523725,302562.15677999996
20240528,0.006121824303639833,284205.46993499994,328824.18087000004
20240529,0.00607053967098814,301551.59109999996,290034.9911
20240530,0.006272345229896281,328077.93784,342077.88369
20240531,0.006277857994851921,338704.30949,362569.15279
20240601,0.006267627702927214,326848.02693000005,368131.60050000006
20240602,0.006326311127979878,326948.55295,350057.494125
20240603,0.006253517603660441,333915.09207,327020.727615
20240604,0.006301594303370628,343940.704735,380419.94845500006
20240605,0.006138358602925109,324681.59612999996,411667.62546500005
20240606,0.006173982836332748,295297.49960999994,393463.01094999997
20240607,0.006242197253425452,303193.175815,372739.437925
20240608,0.00683854202285783,340297.63089000003,389994.34774
20240609,0.006843221788810361,385110.52826999995,446819.06067999994
20240610,0.006899882701993931,379056.40339,372337.85651
20240611,0.007213445863096801,312086.88776,369816.26171
20240612,0.007167944950192684,342685.30448,380871.08407000004
20240613,0.007027900766054529,335175.73893999995,403743.85584
20240614,0.00742170105387796,355970.5145,404303.57915999996
20240615,0.0073583517292252765,380061.96320999996,449370.83585
20240616,0.007375719132607372,436001.93448,496930.2402699999
20240617,0.014474922197305062,349166.01414000004,397770.22078000003
20240618,0.01551349674215885,324419.823075,355806.46005
20240619,0.008192020971575786,425426.52627,422264.673145
20240620,0.008171937566392451,431472.5601100001,390169.88557
20240621,0.008097821685959516,412236.52365000005,428509.00674499996
20240622,0.008057368463454395,461523.73253000004,482950.0131
20240623,0.008087343307727757,459163.0260499999,518118.42729
20240624,0.008656509695281756,406883.95626,439616.367305
20240625,0.00815993472051968,444299.16232,432878.24763999996
20240626,0.008089305937564184,402751.621255,414843.84456999996
20240627,0.008174609662403576,457825.00350500003,474873.56272499997
20240628,0.008086689309383388,418790.398195,425894.07967
20240629,0.008113590263691961,447633.422035,494604.9616200001
20240630,0.008180628272258517,244240.34522999998,312933.5276399999
