dt,hr,med_spread,med_buy_sz,med_sell_sz
20240809,9,0.00955383586509484,441118.82657499996,402653.93654500006
20240809,14,0.019434457292777374,333082.90674999997,270020.40893
20240401,1,0.01386770212175037,129501.32916,66790.03225999999
20241118,17,0.0026990553306349696,336827.06360999995,306537.42767999996
20241006,6,0.0183536753234792,623942.7384500001,604502.3637999999
20241126,18,0.00519076044990241,432205.99511499994,400213.82857500005
20240501,9,0.016014092401306357,178823.240575,182169.488155
20241122,2,0.0026001040041689905,363600.37224,351748.23998
20240424,23,0.013217897032569148,133613.22775,169533.77970999997
20240804,8,0.01873185351690676,370722.29551,434992.82657999994
20240408,18,0.009825595676726806,127177.23643999998,136777.51032
20240416,7,0.01274778507234231,152941.49433000002,109817.51217499998
20241101,4,0.006316720358778838,253103.22177,296110.4263
20241012,18,0.008974243919945835,421675.21520999994,513327.57124000014
20240901,3,0.019896538002384112,466110.8071600001,500330.19911999983
20240822,3,0.019045805161410634,420365.24503,472667.13065999997
20240930,15,0.008428150021067005,366783.481875,322846.64274499996
20241109,14,0.01451519256823186,285610.53079499997,314940.238355
20240822,20,0.009541074324959098,247865.33447999996,293902.9850800001
20241203,20,0.0024381323905808827,840394.23982,754260.2472950001
20240427,16,0.0068587105624073885,161948.84091,158021.58028999998
20241202,1,0.006586024456090023,458367.93465999997,294635.3706
20241028,17,0.01989785766398633,372711.802675,277024.274555
20240524,4,0.012525834533727576,366310.11769,340984.72544999997
20240512,5,0.013889853462045743,309011.39567500004,349986.630845
20240509,7,0.013619339462023206,309380.96807000006,341007.5410300001
20241128,5,0.0024560369387804926,416083.51767,429031.5690300001
20240422,13,0.012456402590932392,76970.34743,123724.91609000003
20240826,12,0.0183891136447345,231738.96358,282605.55412000004
20240422,19,0.012460282848425486,202091.67104999998,84839.44148
20241013,0,0.008958165367745075,460045.67041,395549.14215000015
20240404,16,0.010813148788924032,170147.01782,123697.37160999997
20240403,0,0.011331444759221654,105877.77553000001,111620.32982
20240428,17,0.0132863880953904,167113.46313500003,111966.12658500002
20240608,3,0.00674127005528824,353136.48725,382916.34891
20241016,12,0.015856655831303357,425246.121735,139222.274065
20240812,19,0.019029495718370093,468497.16094,408662.16916000005
20240623,7,0.008014104824494162,448806.8520000001,547871.63378
20240710,13,0.018298261665150584,402886.358485,371667.53627000004
20240718,21,0.00843668269636666,444032.48661,390822.09967
20240412,13,0.010350627513722177,77712.243755,99100.889145
20240806,12,0.02190397713641712,78742.9299845,83515.19922100002
20240403,15,0.01111543377980695,100057.17055,112352.81644000002
20241005,4,0.009244707404998387,723533.4854049999,658680.2442699999
20240904,22,0.007121565116530171,209234.36041100003,197617.19490849998
20240725,10,0.016155088852998212,368809.50571000006,400744.99644500006
20241009,20,0.009365049634757483,401197.21725,516229.411795
20240830,8,0.01983536645839834,545003.75138,562352.28146
20240402,22,0.010854816824967806,96939.958005,120391.53626
20240725,2,0.016339869281045694,292947.56730999995,317017.07735000004
20240912,21,0.009820288716477776,897903.1434549999,609315.29133
20240821,4,0.009670244657189464,387921.36360999994,497989.3444399999
20240403,16,0.011087089084749202,110325.84773000001,134831.00075500004
20240724,17,0.0075941676792368185,344068.34013,352884.8744499999
20240411,0,0.01012299438174491,110417.68084999998,111858.46265
20240802,18,0.017702248185536007,392049.49905999994,310682.70028
20240803,19,0.0187687687687621,332975.17325,330096.05497000006
20240722,3,0.0071042909917551356,298701.262795,243332.16502000004
20240416,19,0.013037809647964416,179031.61338499998,73533.77918999999
20241023,7,0.02146229789670162,281824.15514499997,366179.34265
20240825,21,0.009063717937096705,424130.4006599999,467822.05453
20240420,4,0.012744535780306876,167299.99790999998,115823.180835
20240529,1,0.00600060006001879,287122.531565,471933.1711
20240509,8,0.006867188573012051,294496.01055999997,340144.62055
20240516,12,0.006518904823971106,339336.46349,334216.571695
20241123,19,0.0023621675249163587,388371.54868,412509.52975
20240406,17,0.010867202782005592,165882.99852,75228.63303
20241018,8,0.007417847340684958,261814.87677000003,263271.23611
20240720,13,0.015739356260335846,392886.78134999995,367894.35430000006
20240720,7,0.015588464536242519,334592.30848999997,290837.06375
20240417,0,0.012864218177144338,187593.93162,67782.34653
20240603,5,0.006227037798112178,332647.32984,384419.98476
20240601,18,0.006222388152576919,306631.44635999994,345316.52675
20240607,19,0.013458950201883368,322091.59248,349440.34524000005
20240625,3,0.016064257131753745,417303.3961,356624.64854
20241123,8,0.0021942335542313174,375405.59253,358744.87665
20240711,10,0.009165062780680522,248820.44530499997,210347.57997000002
20240710,7,0.009130752373986972,513151.765705,344506.34367999993
