dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.02287731224264178,268143.58076,277035.67616
20240402,0.023141719892616486,272574.51986,290267.10775
20240403,0.018479164741758147,242308.03177499998,275952.61367
20240404,0.015330731040008594,236373.43534999999,252132.72988000006
20240405,0.014223739421082016,257763.41951499996,255487.57419500005
20240406,0.011896264572919257,244399.89772999994,230376.11663999996
20240407,0.012753623188399565,203756.31991999995,212446.50946999996
20240408,0.011104695065067283,174549.95807,202665.00748
20240409,0.01112557435776207,183655.36466999998,198003.64337
20240410,0.014397293308876513,239837.71184999996,271621.25737999997
20240411,0.014355612446315114,264259.48774,266366.24696
20240412,0.016694689896135095,251263.0512,245877.51329000003
20240413,0.01916980019169845,252024.63491000002,261415.24051000003
20240414,0.022520155539207387,120968.24435,125647.53796999998
20240415,0.0232008468309175,125436.60298,128862.30114
20240416,0.021094503375129747,204325.30889,210183.932
20240417,0.02324212092101874,217459.79507,219490.30691
20240418,0.01914735361583375,144649.66733999999,149144.39212499995
20240419,0.020716188221370224,180833.48635999998,174530.91952499998
20240420,0.020694446497460106,167110.48823999998,152317.88847
20240421,0.019399179691825807,123498.28214,143631.02811
20240422,0.013697879568241866,160550.46200000003,160331.54154999997
20240423,0.014715915931984291,184146.24879500002,175823.26958999998
20240424,0.01842717015365647,204655.87269,196194.81871000005
20240425,0.011736572627385478,120445.57701500002,97424.86976999999
20240426,0.013096052267802527,126819.22792,122325.44085500001
20240427,0.018103097138189028,229743.44627999997,257794.98382
20240428,0.017463944231810302,234688.75779,250562.87607999996
20240429,0.019705329533725724,227984.74070999998,238286.37263000003
20240430,0.019567237921314096,232468.71099,236100.43371
20240501,0.029287993471116547,250401.72247,267863.822605
20240502,0.024164546346194804,252498.125795,253544.162825
20240503,0.023445042063152677,273410.12220999994,270385.51642999996
20240504,0.020957038071944822,274395.88575,277040.76126999996
20240505,0.02253045131310749,240270.76833999998,249948.11471
20240506,0.021033148241622612,238491.77459000002,254916.43339
20240507,0.02067140730941386,238399.77052000005,252207.92074000003
20240508,0.022499402359632548,222330.58530000004,252656.90505999996
20240509,0.017415029170164686,234560.12038,270453.65039
20240510,0.014049482276567993,242776.80846000003,265526.09253
20240511,0.008930299016163268,247063.95331,260458.9854
20240512,0.0075586932531290785,247631.11946000005,265301.61744
20240513,0.009042681456472579,259286.24558,264319.70188999997
20240514,0.007640586797075244,243118.14233,257635.11042000004
20240515,0.008691999014920349,259872.93886000005,261888.26255999997
20240516,0.00857780065190994,245876.78288999997,261465.09438
20240517,0.018065843049508423,266308.03492,280865.296065
20240518,0.021030199366300906,277928.40275999997,289253.52628
20240519,0.022484541877476616,277700.64472,292662.91546
20240520,0.024101168197798728,283658.54769000004,294093.74178
20240521,0.02262624111588618,254223.73580999998,295352.17312999995
20240522,0.024144221483002326,232136.70549,293276.95076
20240523,0.022562278524707047,221577.60220999998,277780.49850000005
20240524,0.025370694029414054,244867.69132500002,278298.91268000007
20240525,0.023293414814617996,262608.89869,312351.3678799999
20240526,0.024115755631348712,274105.95320000005,285854.30308000004
20240527,0.023763003643662017,280855.38931999996,287696.77069
20240528,0.02513393750009918,248339.11161999995,294455.59520999994
20240529,0.02439487165586396,237681.84806999998,285588.75693
20240530,0.02425210779348763,281798.57790999993,291611.58497
20240531,0.021461069619710393,270771.21040999994,279712.00547
