dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.0338253382533793,266168.21723,249222.63617
20240402,0.03581895148159209,278235.60284999997,247354.93494
20240403,0.03556762699259419,289115.34989,265715.15816
20240404,0.035699217862572574,285346.7580599999,267133.36854
20240405,0.038030701147828694,273924.06186,252306.57782000003
20240406,0.033955857385414845,272003.66731,252744.57414
20240407,0.03654849320531284,254208.62794000003,250444.27729999996
20240408,0.03256480395987804,174287.68273000006,232301.39615
20240409,0.034473032686710425,196850.068785,208491.81406
20240410,0.03621637638693276,229916.74721,247621.07082999998
20240411,0.03347840642784483,245510.11807000003,221007.54789000005
20240412,0.03442814845417974,215727.88932,170459.03451
20240413,0.042865103519229564,203234.04290000003,91904.60998000001
20240414,0.0441869599371536,127280.50042000003,51358.63352999999
20240415,0.03770916804146651,121980.04930000001,58178.26749000002
20240416,0.04278583313526152,157087.53920000003,111562.59200000002
20240417,0.042938931297720195,160099.459985,146492.49802
20240418,0.037116941583981156,139675.430215,100593.29807500001
20240419,0.04362240446693644,170831.78715,101348.72913999998
20240420,0.03974913876865216,172324.016595,110818.33798500002
20240421,0.03809846336197964,176465.92367,115039.54669999999
20240422,0.04219587324358898,190141.84995,140287.33624
20240423,0.04213187276174146,199124.346745,166253.15896
20240424,0.03905233012235776,177952.51692000002,142853.48955
20240425,0.03069771521291287,141930.50201999999,95884.89470000003
20240426,0.03246301535038132,160274.87576999998,118453.19931
20240427,0.037862653225451126,189686.07395,197185.37874
20240428,0.04133749770347528,194747.12104000003,194218.92900499998
20240429,0.04353925789755131,180370.36215,192926.36882
20240430,0.045618125601909476,178387.06326,192710.95523999998
20240501,0.040685551543506726,179400.21378,186240.74610500003
20240502,0.03887269193394438,184389.65036000006,189776.18494
20240503,0.04144600506563734,208529.2367,200858.50903999998
20240504,0.03679175864605977,210291.29150000005,208109.06543000002
20240505,0.03529671299360437,201319.89791000003,195988.63434
20240506,0.039877708361024666,197907.89471,197229.72939999998
20240507,0.03765060240963347,195409.16216,197761.80838999996
20240508,0.042331028643971536,186157.38948000004,197945.99545999998
20240509,0.028287209466792973,225106.3905,212099.42124999998
20240510,0.02296738631144546,216663.71884000002,217908.35532000006
20240511,0.01983930165658787,205390.17171999998,217546.39507
20240512,0.01988071570575567,204753.33576,223447.55059
20240513,0.024810201955061117,207878.333775,223231.21262000003
20240514,0.02586920529801251,209050.08486999996,202445.38175499998
20240515,0.024512207079108173,204330.98988,212286.70661999998
20240516,0.02001901806716333,203409.94110000003,203243.73585000003
20240517,0.039304313648425016,220797.32924000002,225597.62978000002
20240518,0.04858850395996761,235236.34912000003,245826.88537
20240519,0.048997991082355696,229103.58844000002,240453.11381
