dt,hr,med_spread,med_buy_sz,med_sell_sz
20241202,17,0.046986961280381934,169668.33343499998,157154.588845
20240713,23,0.03761944172748777,213466.17886,211320.99179
20241120,16,0.05691982436166754,195516.09102499997,194152.23937999998
20240912,17,0.08121578923947492,197615.93216099998,214993.047772
20241122,6,0.06136851795028875,197246.13540000003,201931.80211
20240728,23,0.05484603933243459,203015.075675,203360.84277999998
20241022,11,0.09464808122527923,233344.24267,252609.66958
20241120,15,0.056989334853052576,191377.89012,178985.186645
20240819,10,0.05397382367872128,207766.91895500003,135299.70021999994
20241030,13,0.09652509652509078,232190.48901000008,244005.87315
20240401,5,0.03700391624779087,252941.45185,273167.93014000007
20241127,10,0.06573325445342615,187539.41107,206115.37637999997
20240720,0,0.056453320160887444,197541.44761,180340.73144000003
20240418,9,0.0424488255825084,148090.5692,140762.51341
20241209,8,0.04197624144735013,215821.28417,224953.69459999993
20240525,18,0.042920501692966795,223068.49969999996,270231.74184999993
20240515,18,0.024865725084532997,209704.87236999997,207155.91085000001
20240502,3,0.05389514943654472,174814.37997,197059.75835000002
20240519,8,0.04950495049504955,229366.77137,233277.22987000004
20240504,21,0.02748133559291599,206429.86387999996,197108.06723000002
20240915,19,0.09203260583749984,206022.26388399996,218438.13058099998
20240402,8,0.028835063437138153,303633.18277,255215.31835000002
20240610,3,0.037031159075273656,268148.29146,245662.14393
20240607,22,0.036666492064330036,239493.640175,248342.69958999995
20241012,6,0.10488593654400802,207503.34375499998,234182.41011399997
20240601,6,0.01995211492418214,332383.73442,325230.76469
20240726,18,0.046136101499416604,204312.07874000003,199459.12297
20240626,15,0.0738388835560766,248120.52012000003,262820.98813
20240402,7,0.03502348166135594,283337.79960500007,250466.50778
20240808,10,0.07453801956622819,146835.966339,146924.750505
20240705,16,0.06538084341287664,210014.79726999998,236336.98121
20241122,3,0.054411193159720206,221533.05939999997,207097.22031999996
20240718,17,0.04394960445355256,221195.14612000002,209193.65432000003
20240913,19,0.09881635195807537,214849.462179,200841.819612
20240903,0,0.07838201850256521,208252.21719299996,203730.92123299997
20240817,18,0.0464511334076434,211744.23458000002,153548.38835999998
20241114,4,0.0873986969648799,200986.09597999998,202590.772795
20240904,8,0.082264869375126,187939.00787200002,195261.554857
20240922,4,0.0987695831713431,197960.59866599998,195238.22330200003
20240725,12,0.04013807497791344,184938.99712999997,165498.73477
20241009,2,0.09136897467316718,193274.304513,194943.51677249998
20241030,19,0.05570513415653622,218549.77884,208623.93357999998
20240730,12,0.046178711613964474,188162.15704999998,185962.89409999998
20240403,7,0.041630640151146814,293191.78475,259061.26974999998
20240918,6,0.0703705805572774,193168.89704999997,206881.08495700004
20240827,23,0.06863839857396137,185226.100013,202267.04306399997
20240828,4,0.07083679817672106,188225.808292,175088.63110099998
20240412,11,0.03385011170535801,182146.13405999998,170707.28051999997
20240805,4,0.06630623278589542,144731.890087,110759.00171099999
20240401,9,0.03355090587446874,254777.34029000002,235031.73182000002
20241125,17,0.060216780409483306,169458.24535999997,188248.844255
20240820,7,0.054545454545440464,207699.42711999998,196539.56968
20241118,1,0.05524861878454246,163633.88113,187374.82511000003
20241206,4,0.048208612945399576,162679.35917,166760.23323
20240418,5,0.023406048122831535,132201.75701,129139.44116999999
20240930,13,0.07305268925212882,236809.53965999995,223858.41215999998
20241029,1,0.07763975155279379,227151.52635999993,232782.92097
20240501,21,0.044011932123799724,169912.62851,183821.24829
20240527,12,0.044691627768411735,202334.18915999998,255066.10354
20240509,11,0.01923076923076028,210903.45034999997,205734.65360999998
20240506,23,0.041064951256619686,193811.56762000002,214116.746125
20240522,12,0.0487650257525285,227461.38486,203134.21526000003
20240507,23,0.04275331338177146,133329.9867,150180.9796
20240530,22,0.05510469892797687,239849.31056,237014.22157000005
20240516,2,0.01952267070135516,205035.8331,197844.21007
20240914,22,0.10036765106968826,211774.42663899998,200866.173069
20241026,21,0.08997127053747,198272.46949799996,207644.254903
20240403,8,0.03517186250998616,280052.05137999996,258815.03395000004
20241107,1,0.08924587237839621,215361.16452000002,147989.04337
20240605,2,0.03341448279154946,229374.98222,226831.89201999997
20241105,2,0.07995380447838318,229942.828193,236718.07786249998
20241125,9,0.05759631383590591,197848.61505999998,197106.56078999996
20240803,16,0.07320309298389782,193077.21905,200172.23231000002
20240405,18,0.051450915826301014,268980.68928999995,251148.38498999996
20240816,13,0.06792159906852113,182930.018455,194212.34026000003
20240620,3,0.05474952094168817,176454.89847999997,257411.43199999997
20240628,4,0.0284697508896814,225356.42012999998,244507.06537999993
20240417,7,0.05684240494386872,130145.88974999999,150025.07305999997
20241103,21,0.08414339806470661,220885.50228900003,220831.725368
20240916,21,0.08964120235628315,209848.839674,201773.26630799996
20241125,14,0.06580679126084732,179223.69251999998,185784.90279
20240710,22,0.052890064223665156,217873.93438000002,236187.33378
20240630,2,0.06742583158525495,217489.12569999998,259016.19738
20240702,9,0.059563695927344895,210388.33735000002,268252.13308
20240816,8,0.04851542790607066,207447.51275,201447.63137000002
20240626,0,0.05061826596282071,175369.25908499997,240233.231105
20240706,14,0.06991377301328594,220400.67936000004,223885.56813
20240912,9,0.07428020266300184,182460.454233,184784.01276800002
20240930,7,0.06320541760722609,225452.43021000002,203060.208145
20241209,7,0.05383468610238307,247678.01935000002,253368.05655000004
20241010,22,0.1045908716647892,214255.93525200002,188315.69068000003
20240727,16,0.04668897362074542,197719.15368999998,182094.52019999997
20241104,15,0.10578122216282626,224573.215495,246825.38668599998
20240808,2,0.07510365332976665,159566.35976599998,138059.67277299997
20240907,8,0.06725807386791516,213869.673448,208957.33408900004
20240426,2,0.02753051298525211,142563.473665,97130.11668000004
20241111,18,0.054449284380830854,198419.78501,209294.33912999998
20240818,14,0.0707401184896872,198306.37746000005,155491.03337999995
20240725,3,0.04744208112597015,193676.727265,203527.18297
20241007,23,0.07992165426566888,187097.51090300002,202442.83130600004
20240806,10,0.08961227062904698,170385.25443499998,168757.17698400002
20241102,3,0.090639004985138,171237.8195755,163043.75491800002
20240817,2,0.07587973062694875,210396.62269999998,208846.89341999998
20240817,10,0.05610098176720424,213775.63820999998,193932.8601
20240812,0,0.05606181069455207,152145.94447699998,132636.24902099997
20240923,14,0.09339347306978052,196794.89239,202829.62099599995
20240811,17,0.0785160467170698,195632.17183999997,204595.73213999998
20241022,0,0.0639795265515053,249069.98873500002,268386.165
20240727,15,0.06147226064239231,196536.55203,151727.07369
20240815,12,0.05650249552688891,204231.53251999995,203194.11510499998
20240807,4,0.08617838926576749,177471.28487000003,182473.600039
20240415,23,0.043177892918833116,126830.58015999998,70805.28127
20240720,11,0.06887052341597588,215810.26829999994,185516.18268
20240826,2,0.06252791424743442,206450.56719499995,207901.265015
20240412,0,0.036784376672005514,217335.15021,166477.095875
20241127,18,0.04914306775600785,193956.415185,182385.86937
20240623,22,0.050262080850149715,193171.83849,240697.44362999997
20240831,13,0.06172004010911447,202378.59199499997,222435.17821299998
20241014,7,0.09528596259764655,202619.80213300005,203839.804388
20240819,2,0.07194891626944866,210492.23149,169181.66889
20240804,0,0.06449829540220442,208340.97234,218226.81605000002
20240701,1,0.056621133838197224,226904.84991999998,260918.03223500005
20240711,20,0.06829564425556711,218728.02470000004,228852.3277
20240703,23,0.06379076628657554,222603.35277,259825.27141999998
20240702,14,0.08169934640522847,204231.18022,251838.99008999998
20240603,21,0.03974365343533126,224227.23208999995,238480.90903000004
20241009,10,0.07422736065501034,191001.55586300005,193078.3489795
20240925,23,0.07003501820980196,213348.109385,221669.82674
20241015,6,0.10037439649894786,209227.38134000002,222348.65837900003
20240722,2,0.041470832181356165,203519.47987000004,188850.78961000004
20240926,14,0.0868390582786649,226420.27297,229078.94453000004
20241122,20,0.05535347145344538,206756.48148000002,206191.61068999997
20240910,8,0.07284366204955983,206118.1170055,181969.58864300002
20241116,13,0.06144393241167556,172215.80578000002,202647.194305
20241025,6,0.09404683532399094,227424.33066,246123.75939000002
20240825,5,0.059402579769196606,190561.074005,199414.68799
20241120,11,0.049075740225767994,193087.26106000002,169394.8151
20240904,13,0.12145846361057977,206522.04692699996,212803.2173205
20240824,23,0.07517540928834165,198754.47978,185781.14506
20241203,10,0.04957038995372365,187713.83654,176419.33228000003
20241109,21,0.07575119939400299,207927.68927,240586.73393000002
20240826,10,0.061614294516321166,204874.33637,201684.85875000004
20240803,11,0.06320541760722609,203320.69524000003,226816.86722000001
20240906,23,0.08498467193973624,208399.728306,203309.8330645
20241104,16,0.0636615439599586,214647.40030100002,208979.803937
20240811,9,0.07545034424218944,198715.32917999997,180892.28102
20240402,19,0.035927752555764414,296209.20010500005,256967.32155
20240530,15,0.05906093119401046,231146.11953,239181.76942999996
20240512,21,0.02000100005001837,203794.60815,222348.30941999992
20240528,21,0.042879603601897465,235921.58036000002,243107.53847000003
20240526,4,0.03347520443786056,256804.26880000002,262055.22257
20240807,23,0.08122245205166578,132068.271526,117282.11967100002
20240822,10,0.04457122481726916,198293.63771,155595.78148
20241209,19,0.039687789390141504,212588.47185,211780.34733000002
20241116,19,0.0755172934602033,184716.345425,192568.08182
20240613,10,0.048137673746917464,227828.95375000002,247941.87297499995
20240731,1,0.06437077566785465,199811.44762,191568.28327500002
20240423,1,0.041365046535668526,185976.81506000002,121590.073695
20240407,3,0.03984328308652696,247736.11034,251067.87271000008
20240404,19,0.029356122382417915,283604.56483,259989.26523000002
20240623,15,0.06379359228805281,181265.65655,236990.43126500005
20240906,4,0.0952219010372346,212550.77584299998,198231.64607900003
20241022,15,0.09681394120752973,248501.97462000005,269224.17458000005
20240711,12,0.06711409395974144,218536.4143,221729.655905
20240808,18,0.0654746915134563,162324.34113799996,158436.078444
20241011,17,0.0716822521260374,217979.967192,184977.02840399995
20241018,0,0.0713798351965611,207626.515488,188128.225928
20240730,20,0.06452133236549695,207139.90334000002,210409.53601000004
20240914,11,0.07573263088573867,208184.99850800005,198766.61251600002
20240924,4,0.08927071080491178,220407.17654499994,225955.467297
20241108,0,0.05312555339116454,231050.90228,221576.78003000005
20241010,11,0.09744347730882286,206862.356177,178438.79220499998
20241120,22,0.04087638979723973,208225.96443,179727.02737
20241011,5,0.10553971212359237,233765.15429800004,225822.84403500005
20240412,16,0.03893667480796559,179936.73674,183654.61239999998
20241030,8,0.08579599618685485,225831.76888000002,244849.42381000004
20240430,23,0.049455984174096024,205717.67452000003,199008.20005999997
20240403,19,0.03625815808556698,302358.671095,285223.99596
20240408,6,0.03264240248082029,268152.526025,246734.63
20240908,2,0.06261740763933155,205805.68450149996,194119.433694
20240518,14,0.05386084316703066,237174.87577000004,252340.47011
20240513,16,0.024690138758565183,202223.25678999996,215689.87442000004
20240525,10,0.04724558253803579,243803.73576000004,262352.75037
20240509,0,0.03779289493575089,212243.88876000003,201812.08576000002
20240514,20,0.021120439305155614,201211.22567,211713.81278000004
20240518,17,0.04860503548167472,233344.86732000002,243726.44507000007
20240522,6,0.05658775818164763,209272.60375,210872.80939999997
20241210,5,0.05197014079183493,161777.17897,188310.44138
20241029,21,0.08762535293547202,204853.25098,235913.729315
20240819,18,0.07295276308589838,210895.19418,164772.79743000004
20240825,9,0.05206977349647701,203740.385075,192545.32449
20240917,4,0.08090895430956646,208352.88671599998,193826.89891000002
20241117,10,0.06162853401123769,165163.89184999999,192838.80566999997
20240815,3,0.04701899567427503,253235.93184000003,220176.49611
20240717,23,0.02892263195950484,213135.33833000003,208890.22179999997
20240923,9,0.08666885100354627,179587.243999,206914.286598
20240415,4,0.04206000560798007,113807.31460000001,37522.79276999999
20240830,22,0.06687015326207746,187382.63493900004,200524.12356699997
20240610,12,0.03724196637582278,234376.61178000004,242996.48951000004
20240616,4,0.0398485754134148,222261.95564000006,279731.72059
20240619,9,0.03526590492310966,229480.47988000003,233535.24141999998
20240618,16,0.06799637352674637,217726.65934,248838.92104
20241117,2,0.08634900698640813,178378.76651999998,188371.96908999997
20240609,23,0.03667801948764593,268748.08554999996,264492.779525
20240611,5,0.05069280162215417,219240.393965,251764.83227500002
20241028,21,0.08901196716446513,228304.23188000004,241173.0643400001
20240718,14,0.04315304948216969,218507.87483999997,207972.49084
20241025,12,0.09326618168250533,245385.38921000002,243083.62470000001
