dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.002845921794070172,2104544.45739,2148572.48367
20240402,0.0030448815541150864,2067859.9087099999,1720057.1760650002
20240403,0.003021148036252974,2226769.670790001,2142856.58615
20240404,0.0030054398461265563,2244708.5049699997,2056750.10046
20240405,0.003041270034365162,1996070.5400049998,1819624.98992
20240406,0.0029976917773177902,2340838.3845699998,2270402.11265
20240407,0.0029491565412209653,2009775.64058,2151646.1777399997
20240408,0.00278404187199488,1890410.61802,2137323.1137
20240409,0.00283704039945043,2002352.730855,2052455.06258
20240410,0.0028517652426840456,1984956.865425,1862332.1983949998
20240411,0.0028392958546286096,1964043.31297,2085943.4559299995
20240412,0.0028883368956345024,1798004.7592,1837461.65625
20240413,0.003100775193787264,1732095.7408299998,1931424.8668050002
20240414,0.003294024639299842,950816.018035,811524.709515
20240415,0.003200921865498252,689799.730965,721616.14312
20240416,0.0032621105855445975,845518.59012,811080.2240399999
20240417,0.0032996766316850668,869610.6508799999,858889.2584399999
20240418,0.003318290416776115,868205.38615,974978.7496
20240419,0.003260834121388001,812637.9105,797379.7907499998
20240420,0.0032701111837729613,707251.328615,725150.6799000001
20240421,0.0031711803132994376,636538.3203100001,672834.89265
20240422,0.0031309684085156775,622355.41627,649544.4509
20240423,0.003132537668770752,836675.5654349998,838955.6330949999
20240424,0.0030957835428280234,849063.9053799999,793501.5571399999
20240425,0.003175813008127193,878642.7830750002,815605.11151
20240426,0.0031842063365594697,893338.30654,895112.703035
20240427,0.003197748784877774,818368.51382,909959.1571399999
20240428,0.0030228832260226213,825201.87601,836162.87512
20240429,0.0031486146095716094,959459.34269,977449.0685599999
20240430,0.0033236946189507677,985862.1768,935243.30825
20240501,0.0034479191807657017,992956.99121,994175.746025
20240502,0.0033931661633346266,1125973.1975500002,1082707.71733
20240503,0.0033291164524884564,1192705.9726550002,1188017.27795
20240504,0.003212541763031318,1047108.51491,1236086.9750950001
20240505,0.0031952965235060304,1062698.06867,1103868.6478499996
20240506,0.00322019707605925,1047566.1698,1027588.8397799998
20240507,0.0032610467960214606,1174348.64513,1023467.8655399998
20240508,0.003329781566341339,1158365.0762299998,990795.8390800001
20240509,0.0033392326443504317,1142141.0028000001,1146784.00805
20240510,0.003307097030225137,1311944.0232099998,1176232.16694
20240511,0.0034298257648446295,1415822.88531,1158565.73873
20240512,0.003418219107831355,1201745.42652,1105942.8737499998
20240513,0.00339247548937216,1220080.45445,1275195.904865
20240514,0.003445899379728168,1232395.266475,1302968.0159899998
20240515,0.003435127614981326,1210788.8354500001,1239943.1001500003
20240516,0.0033463842318282033,1207964.20415,1111385.28754
20240517,0.003294458720426441,1153274.6528399999,997071.0033600001
20240518,0.0032128514056095625,1085283.9611300002,937429.71428
20240519,0.0032429627707886155,1090114.227115,992804.9162100002
20240520,0.0032284100080604006,1014419.6686799999,956351.8352699999
20240521,0.002710247445603109,893162.56314,826406.1675000001
20240522,0.0026685880500698644,1045844.3646150001,958217.4209200002
20240523,0.002647463729754662,935790.03318,906216.92724
20240524,0.0026888948642112,972144.9213699999,932466.7534149999
20240525,0.0026675914317042526,1013522.4960099999,1107912.034155
20240526,0.002626671219552179,1052355.850815,1033281.09922
20240527,0.002557479348341829,1045101.52848,1091584.83733
20240528,0.002594908788955408,1143950.00609,1159230.8967849999
20240529,0.0026341437715737825,1136441.0177300002,1199981.4070999997
