dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.027324494770075702,333401.18309999997,302231.72680999996
20240402,0.021916923325360216,309630.35911,361877.13078999997
20240403,0.021935141250772894,335173.17888,360449.22013
20240404,0.020081981737218868,346864.9148500001,349188.51259999996
20240405,0.02139698540248869,318988.06406,344184.585595
20240406,0.01984520738240736,325205.43611999997,315163.46862
20240407,0.020714655618836453,326623.98343,309145.70110000006
20240408,0.018338529249950497,281257.61103,275396.12
20240409,0.01844417923402286,289119.30392,264178.75042000005
20240410,0.018972631978364518,292388.30845500005,312861.65562499996
20240411,0.019806637699470997,317720.90148999996,324750.89850999997
20240412,0.020987654320991922,268911.96488,295240.08979999996
20240413,0.024388544352293984,228857.51648,264482.0495599999
20240414,0.02884068912488713,119344.54839499996,169405.17942499998
20240415,0.02526443441352999,154111.54215999998,159422.10037000003
20240416,0.02572920870261841,232329.11956000002,227580.578615
20240417,0.023783636857843682,236833.37044999996,246462.28095000004
20240418,0.02057013559146892,182715.11826000002,207066.68075000003
20240419,0.022622240894554224,207079.83661000003,207327.802
20240420,0.022425116130064815,222480.34902999995,215085.62048
20240421,0.02134780918232604,203770.93525500002,213743.89392499998
20240422,0.02151727529815517,212424.17252,222732.3009
20240423,0.02158894645942766,216256.19232999996,227860.86673999997
20240424,0.021647029718274702,220693.44348000002,237592.63695999997
20240425,0.017124753831643247,145140.07095,148441.40721
20240426,0.01841312353532132,190997.66055,208593.53532
20240427,0.023747529834539094,232331.150295,252872.56876
20240428,0.021835528083857803,240667.23444000003,262101.18957
20240429,0.022473075526807662,246106.07426000002,255220.26814999996
20240430,0.023732031461887182,221640.10861000002,248899.04771
20240501,0.023703379793293955,237523.01235000006,252331.08361499995
20240502,0.022795419874110934,251552.47405999998,258126.15956
20240503,0.020372476783858673,237097.86143,255715.33889
20240504,0.019643792561563345,245037.44341,254436.005955
20240505,0.0211014982063773,228936.13499999995,244522.0272
20240506,0.021284607953897527,222803.05211999998,246383.46369999996
20240507,0.021549580612001407,239831.24670999998,239116.53458
20240508,0.021321582772149128,254848.92672999998,272426.55705999996
20240509,0.0171074691210249,242466.39938,247231.63287000003
20240510,0.01520501427580978,228250.30208999998,224962.92146499996
20240511,0.015991755361666193,227202.76589999997,231702.86196
20240512,0.01432023628389345,230704.08213000002,233950.84196000002
20240513,0.01961378670898295,235192.51415000003,241588.93017
20240514,0.023738222189750857,251689.85333,292507.924365
20240515,0.021035286693416033,251409.73283999998,246115.83949
20240516,0.020674327653646962,226340.44824,218185.59238
20240517,0.023771118091531207,239583.49242999998,226912.27852000005
20240518,0.0254578163982222,255003.24206,257899.11461999995
20240519,0.02506579771901496,267611.309695,267105.99251
20240520,0.02694691457827414,257007.80632000003,275483.56372999994
20240521,0.027695415594131134,256596.99602999995,278937.44683000003
20240522,0.029271148404719227,260204.48288999998,272834.3288
20240523,0.029002320185611552,250888.84546999994,276138.4681899999
20240524,0.029277029587015946,259066.95919,286443.86138
20240525,0.03226847370119135,254994.38403000004,270605.460345
20240526,0.0284067173531799,254453.585455,265918.16701
20240527,0.02983639708928898,233942.44601999997,268655.616
20240528,0.028577672432650303,226806.31628000006,280816.46139
20240529,0.02836926773914783,218376.79384,254229.42627500003
20240530,0.0309618824824609,234389.83796999996,268487.99841000006
20240531,0.02768836742463865,223352.93214000005,257210.80456
20240601,0.027774884560627378,230700.46392,258353.86126
20240602,0.026005998717049117,233681.54335999995,246830.58985000005
20240603,0.02388528240255816,233327.59057500004,250028.85304
20240604,0.02257179567315415,200908.57713999998,270424.06846
20240605,0.025010004001591035,252773.57760999998,256297.77068000005
20240606,0.026956448487913676,240368.94082000002,237567.232385
20240607,0.028538812785372514,234028.06321499997,261844.61844
20240608,0.02530364372468341,327023.41347,409139.81857
20240609,0.02409909548060085,357462.30839,417513.54365
20240610,0.024692170935680657,306079.63691999996,431294.43344000005
20240611,0.025852676675341968,236457.40005500003,271136.9604
