dt,hr,med_spread,med_buy_sz,med_sell_sz
20240416,19,0.025015634773473128,251812.88866,251466.39764
20241014,11,0.027324644096515804,259234.69731,254593.07710999998
20241009,6,0.02733136547503623,250303.05799,239198.613905
20240722,3,0.029501011463262117,228351.36242000002,199504.65306999997
20241011,21,0.03329726130025801,267160.16994,257973.14650000003
20241121,20,0.02431476569408897,167656.52666,183117.75677500002
20240816,0,0.03133769212777526,234274.04977,253973.61615500003
20241121,12,0.02166049342604559,137562.94806,151728.11462000004
20241124,23,0.02087283226939185,184577.52106999993,216142.27243999997
20241021,23,0.0336962156557874,247835.26291999998,251749.75674000004
20240406,14,0.02224407606351564,280015.57793499995,266818.38765
20241110,21,0.02383449327867382,156331.944715,159249.70720500004
20240401,21,0.02141969755387052,384727.7681199999,329908.59673000005
20241028,17,0.02542947558770159,242338.93883999996,232947.34814500003
20240809,14,0.039940355735446076,212035.7974,200330.04182999997
20240428,9,0.02173149897193305,235293.18428000002,264683.93802
20240730,2,0.029293134140018218,228648.15000999992,242282.33476999996
20240427,22,0.023714745489944455,212149.40831,237293.34919000004
20240420,4,0.025896253135893055,216546.107095,221844.30318499997
20240727,19,0.04153368600532392,169676.7513,203295.95294
20240801,23,0.03616462135640486,225464.45943000002,222156.13182999997
20240528,14,0.028776491299331575,242119.29102,280301.72783000005
20240505,4,0.018394187438064424,240269.92518000002,264042.44311
20241103,14,0.04274939692814339,245364.487235,266459.24095
20240424,4,0.020389758068928288,232896.06101,243843.03192
20241030,11,0.032297133629377583,229443.31968,216579.29346000002
20241029,17,0.02957068738407287,254910.08567499998,226114.32881500002
20240903,19,0.04121040857176794,245973.8072,242859.61224000002
20240830,7,0.03793010024384369,247291.86915000004,233466.28288999997
20241006,12,0.03274036887481735,256086.73786000002,242246.64578000002
20241013,15,0.03146363090300586,250113.27525000004,251389.87057
20240915,22,0.040307488555546556,228991.64848,236442.16317999997
20241020,2,0.029427501337608852,258626.15397999997,254207.06681999998
20240607,19,0.03493013972055703,230616.25344999996,256602.46774000002
20240605,3,0.023389858825506593,264661.83882999996,266752.98591
20241123,19,0.019887904538062884,131551.86367,188189.44243000002
20240429,4,0.022127659574455727,264319.24328000005,258959.20286000002
20240727,13,0.03440564252537026,225770.75626,209382.69679
20240627,5,0.03253770888047569,249382.73647,257038.26885999995
20241209,0,0.015303389700815906,252052.35869000002,222594.14741000003
20240605,6,0.02653663714464738,260283.85676999998,277768.70224
20241107,17,0.03189114489210443,195920.27560000002,179426.69689
20241013,22,0.028172585262875582,250494.57914000002,240508.59484
20240606,2,0.023176121972601216,236701.19438000003,246966.15467
20240712,5,0.047433592969836624,203205.76139,205575.20836
20240723,4,0.03319979637459447,230249.25723999995,223736.39887999996
20240402,11,0.025650143699973427,264557.873485,366826.92799999996
20240831,22,0.047549787424472356,237791.77175999995,247789.03778999997
20240403,11,0.025233698789273173,316586.518655,327627.94129999995
20240813,21,0.03524467940898557,245425.16639,234371.37008000002
20241116,22,0.027227411720343042,175569.93998999998,218886.41660500003
20240803,7,0.035558264756696545,223113.60225999999,221744.47549000004
20240809,5,0.03459747172323002,212744.55492,226622.63749999992
20241029,5,0.03837508911387344,238194.55081000002,246267.87197
20240802,18,0.03306710077835007,228152.75091,223624.5329
20240402,15,0.03781606498299839,286443.67378,349907.24707000004
20240901,20,0.037401461534036784,258394.87401000003,243422.70342
20240904,0,0.032688478797071596,248870.56027500003,248360.10786
20240928,12,0.03186274509803244,253766.9504,262766.22361999995
20240417,15,0.03519577650681338,226625.783405,242405.50248000002
20241010,13,0.031268654595084655,264177.73216,241924.40307499998
20241101,4,0.03665792516143185,228195.82041000001,225321.51253
20241113,23,0.03447426760996297,179897.94582000002,187000.97091000003
20241008,9,0.027136305663355564,249683.38402000006,242130.00272000002
20240416,8,0.021601143198957118,216121.40699999998,215373.13213
20240416,13,0.03705700040426141,213048.93798000002,206175.26703
20240724,17,0.03161983919053313,233920.90188999995,248609.47403999997
20241116,15,0.02437079049981694,165596.80542000002,191982.32522000003
20240519,0,0.020575073298689794,256247.50420000002,287959.80457999994
20240501,17,0.018483946692304798,262358.786495,271977.21100999997
20240527,2,0.04047627078624938,242923.10923,264428.72908
20240528,17,0.02538801347258257,221675.21052000002,283422.59672
20240523,12,0.04214143313290286,259090.19893,270092.44818
20240504,9,0.01812101543581246,246138.02824000004,244768.02946499997
20241130,10,0.017894908104187923,208254.87405500002,186664.354915
20240823,13,0.04135749908769082,241921.63393000007,240211.39208999998
20240930,0,0.027025035009708986,242208.0882,251022.87846000004
20240426,3,0.01843735072161179,178281.568105,105072.96731499999
20241004,3,0.03908867545232564,257497.18994999997,246578.54868999997
20240613,20,0.024044241404186373,288774.42376499996,261942.85296999998
20240603,17,0.024090995130188197,195315.94143000004,234786.82963
20241106,5,0.035847235626640384,190862.89560000002,171085.62152500002
20241003,10,0.03409381481376261,273188.70294999995,277499.80679
20240623,13,0.029583105770969453,247947.15498999998,258425.89372
20240615,22,0.026900056684742157,279394.06437,267749.86332
20240907,15,0.038725052129873205,256843.18645,252985.32801
20240614,9,0.03117950222841781,269170.44861,280136.9877100001
20240803,8,0.0588777390948092,217631.88012000005,213341.26972999997
20240705,19,0.05047106341579122,243026.39048,246540.25032000002
20240708,19,0.03427095141432801,252860.96708000003,269553.103975
20240601,10,0.02597672485453728,231517.26419,257810.24725000001
20240822,20,0.0335492528839465,448297.19785000006,462386.8113199999
20240421,9,0.01827624544996631,215617.79800999997,220686.36480999997
20240403,22,0.027227312545874405,295024.85815999995,307731.13843
20240726,3,0.03744091355830648,216911.11465000003,232236.15627999997
20241203,20,0.025528112866346486,266376.39190499997,276541.933005
20241205,4,0.01617348220604997,226395.99959000002,265181.85909499996
20241124,4,0.029713758279426017,209246.88373999996,252321.21322000003
20241103,17,0.03614784468475296,232659.060585,237232.42961000005
20240823,19,0.030583198061484573,266900.41065000003,240615.45467
20241014,15,0.029149883400458876,281666.35456,268655.23457
20241209,22,0.0218980561264015,196931.50976,190788.319855
20240722,20,0.029799280560216523,227776.25471,200944.59565999996
20240914,13,0.03540112194324596,252053.55096000002,253989.57862499997
20241028,5,0.031350642688154906,235434.39912999998,212868.24586999998
20240726,6,0.054904831625179895,192343.30943,227789.43829
20241104,13,0.03829837379212275,249612.1457,246790.32774999997
20240923,21,0.03220698354760021,235237.37460500002,249202.60332999998
20240813,1,0.034796573875794934,253822.87232999998,219405.35755000004
20240812,8,0.030629577033391975,244894.02985499997,221548.81952999998
20241025,2,0.03230582850988206,252405.48716999998,270975.42821999994
20240819,12,0.03354016434682361,188962.77608000004,251260.4797
20240429,23,0.025260179852470976,248058.60271,242548.91903999998
20240419,3,0.03811107839750694,174485.63930500002,164742.38223
20241204,23,0.013575302834734071,240912.71656000003,177063.440695
20240901,12,0.043332562976661215,231674.49411500004,255404.43586
20240820,11,0.04683840749415413,236492.43158000003,232803.87667
20240515,6,0.022366777879256894,285913.92464,249675.9864
20240516,3,0.02756767001499405,216615.82513,211380.48995
20240519,16,0.02476648740448173,278430.33353,269616.39850999997
20240913,16,0.029432225611381035,236041.74609000003,181040.14504999996
20240806,6,0.03783248937780925,311581.67923000007,301946.04296500003
20240417,0,0.019996000799826774,253286.435935,255772.52057000002
20240716,9,0.030094682501080605,210136.96002000006,242541.25888000004
20240416,7,0.024936826705679316,218374.84139500002,215308.62559000004
20241117,12,0.03777106292215393,189420.07195999994,193020.14594
