dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.0259729016059973,243160.34239999996,215463.53036
20240402,0.026150032971794523,232486.47026000003,230666.14931
20240403,0.02176079163469513,249280.75348999997,193018.00647
20240404,0.02157154372779413,225540.65804999997,154722.98918
20240405,0.021342305474525425,191061.70631500002,195966.78764999998
20240406,0.017956975087685123,198583.09545999998,175006.47462999998
20240407,0.02002514267915867,152076.31614999997,177260.41228999995
20240408,0.01949718915523757,187472.89023000002,143868.56382
20240409,0.02217224668208395,180633.18951500003,185206.71545999998
20240410,0.02031488065006304,223550.9509,199625.36629499999
20240411,0.01630157921548303,124314.95887999999,161367.38629999998
20240412,0.01720060202106133,117318.90648,111329.49118
20240413,0.01911732575923253,114422.89109000002,100748.35142
20240414,0.02303765938455049,54641.62987000001,41465.26199500001
20240415,0.020261508536845163,70707.69904,51650.00983
20240416,0.02373165432009161,115949.22643000001,77356.426955
20240417,0.025935291459966425,139849.99433000002,84443.40762
20240418,0.019105004045572027,119987.87041499998,76075.37585
20240419,0.022909835478746032,113079.47607,80509.94767
20240420,0.02420342264870534,111033.19097999998,73349.55524
20240421,0.022719982893182333,122674.93126999999,78542.17242999999
20240422,0.021077869554320117,120690.11284999999,82258.32804000001
20240423,0.017684187615629732,116111.18622000003,89993.74889999999
20240424,0.02101153007874057,109016.55941,86664.54042
20240425,0.017156054110545327,95070.955685,78643.88338999999
20240426,0.017584201271492184,115699.97882499998,77259.811735
20240427,0.024388494369120828,141221.3883,118422.10104500002
20240428,0.02354505415362862,141160.18109,100791.25253
20240429,0.019853650235401865,125598.35098999998,110229.80819
20240430,0.019861536715470862,125190.31573999999,105447.26376
20240501,0.021572812094372562,138775.56132500002,147236.03359
20240502,0.019219965108363546,149681.71968500002,142236.08255500003
20240503,0.021092596498628602,153205.62593000004,157269.61146000001
20240504,0.021615078678882682,167112.85,149169.278665
20240505,0.021202012777754575,154901.08136,142669.30101999998
20240506,0.023727772660020463,160543.89065000002,142666.26602
20240507,0.023104359503833827,150107.19608999998,163098.52003
20240508,0.022547236460379594,169376.86325000002,178060.32752
20240509,0.016404199475061887,175877.43720000001,202580.48704000004
20240510,0.015080474897866125,173725.24638000003,190951.62051500002
20240511,0.015482272797662233,170031.78838000004,190243.87148
20240512,0.014123296377377415,170215.22736500003,187309.25811
20240513,0.01755862018603116,171135.75727,183487.16123000003
20240514,0.015515663061860252,177267.86374000003,181277.20307
20240515,0.015962541236569372,171737.21568,166767.59489
20240516,0.025007189566994548,167016.02291000003,150505.22694000002
20240517,0.022515761032715353,187148.44329000002,183225.39763
20240518,0.02493737318778333,214020.44555000003,201190.18776
20240519,0.02198468482624838,225631.80813999998,227620.45734499997
20240520,0.021880326132017736,204997.60251,208751.10277000003
20240521,0.020957885680239485,173262.82272,187599.45732000002
20240522,0.023260411941894432,158157.9141,205663.65406999996
20240523,0.02369136387441184,178862.27351,208140.44984000002
20240524,0.021013207419706692,189439.30926999997,215908.84348500005
20240525,0.018353787609970418,214213.23582,215634.81484
20240526,0.01851440420646,198501.52877,236944.16519
20240527,0.023334356770043918,189384.72491,216374.70542999997
20240528,0.02224281742353451,202424.879175,223570.038435
20240529,0.017108012659927674,184757.93734999996,200455.95184999998
20240530,0.017612056710825108,187079.98244,217110.43810000003
20240531,0.016319152410904092,195277.75593,207528.87190000003
20240601,0.01542614731970815,176727.99417999998,218036.84888
20240602,0.015064778547757562,167752.93197,190074.25938
20240603,0.013611334529484154,189556.78034499998,160428.03253
20240604,0.012028049411227926,179424.80852500003,156306.919965
20240605,0.009672816966110886,170401.30461000002,167022.68968
20240606,0.008676789587847011,155759.52231,207170.548615
20240607,0.013482209611592744,187787.64091999998,180896.51220999993
20240608,0.011328235627305894,180617.62897000002,216613.219685
20240609,0.009980182209612387,182985.12342000002,249525.00936000003
20240610,0.01469464527126263,171327.278605,222727.57726999998
20240611,0.015310301544457783,164704.2268,201757.08569500002
20240612,0.012292185243234499,193863.75514,206759.44514999999
20240613,0.010805971070881881,196104.93751999995,292703.34943
20240614,0.014663473288023532,254149.09116000004,236668.66043000002
20240615,0.017407266742619498,284830.17103,226118.23450000002
20240616,0.017826467442372262,280996.19793500006,232755.33177
20240617,0.0222888984140468,253814.07398999995,238072.97739000001
20240618,0.028331287184801823,226807.66158,216482.22994999998
20240619,0.02602569107506003,224681.62144000002,224648.80744000003
20240620,0.019852908001438685,201427.94717499998,219059.19301999998
20240621,0.024566144343651786,230920.27361000003,219830.349835
20240622,0.022450953302000087,241136.53622,221763.70787
20240623,0.021128806488190932,226037.70598,217721.825425
20240624,0.027441900351599102,222738.47079000002,205134.60408
20240625,0.01683983631679542,191936.41457,196093.06869000001
20240626,0.01895538591443202,196699.946635,275884.581795
20240627,0.0210570646451691,209153.23279,245697.12238
20240628,0.02126151665484688,203187.78955,235665.32187999997
20240629,0.021902206647328448,230925.39558000004,247023.87525000004
20240630,0.02408165533593909,231971.626115,191180.30528
20240701,0.020507211702791572,231626.11858,214705.91304
20240702,0.024038048797248024,222242.01810999998,228985.37713000004
20240703,0.02268945696566327,193196.260945,200136.451725
20240704,0.02468932598138629,175815.84812,200773.143
20240705,0.028779048852434208,163672.49426,164756.26432999998
20240706,0.026079328575834282,166282.32944,169699.39395
20240707,0.024416772102719975,147587.353275,185699.2244
20240708,0.02561833341097053,149842.03283,165748.60332999998
20240709,0.022710755813948325,167269.40886,172504.38779
20240710,0.023528908472547627,172623.84987000003,188336.12332
20240711,0.016965327112705708,165989.18617,173607.25676
