dt,hr,med_spread,med_buy_sz,med_sell_sz
20240730,12,0.036037563860680244,205143.16813999997,209378.72328
20240726,18,0.013211784912137148,152040.12245,190120.20260999998
20240916,1,0.01588325809243063,186822.936445,173436.52427999995
20240806,10,0.032751449251633424,209899.5085,224516.98540499998
20241130,6,0.009536524890330078,261895.0768,272572.48335
20240727,22,0.013006156247286071,133701.24059499998,142084.018345
20241022,15,0.009861377211772826,172206.22044,174225.39178
20240503,6,0.020760424698984536,170130.089835,159865.78519499997
20241117,10,0.009432436802669919,109155.68075999997,116800.01999000003
20240903,15,0.02466273707055766,185958.85832,170049.15965
20241202,14,0.009872642906505469,235646.91074999998,296519.73124999995
20241016,18,0.005446215223081641,207922.36576000002,182163.469305
20240803,16,0.046736037829542276,171713.99138000002,161485.65628
20240812,22,0.023251420639225362,175729.18696,168324.14661999998
20240923,9,0.019927036408562415,120011.27191999998,141812.74055000002
20241011,9,0.010853217979112095,165455.62230500003,147582.87069
20240430,23,0.02016222839154036,106615.72511999999,128126.39539000002
20240802,3,0.026525199324589632,125011.875085,165474.87386
20240825,14,0.024283141429060073,186113.95920499996,144960.897975
20240528,1,0.021980437410706877,154225.62104000003,214628.35978
20240527,6,0.034564487458021986,234197.75262000004,229053.26179
20240525,2,0.017270091901555595,209919.93548000001,211205.54570000002
20240914,11,0.02117612180505546,181613.78114,200993.13839
20240412,22,0.01647084660152398,161905.82624999998,172605.87178000002
20240812,15,0.03648815538341843,203982.95441000003,200389.92050999997
20241006,2,0.020623790356133487,179679.69915000003,162261.981225
20240425,14,0.02265367855762701,59340.04125,61183.616089999996
20240601,3,0.013898365046860484,180674.78571,212974.76333999998
20240606,20,0.009998000399913387,114532.32327,211830.19755500002
20240613,18,0.009322995167582171,220421.05285,264416.72626
20240609,4,0.005847953216364665,145687.25992000004,215348.07372000001
20240803,11,0.02044676174410842,186371.06671,185345.42926
20241108,11,0.012694472262575474,92242.2075,93183.50776
20240605,2,0.014182720718602937,195456.35056999998,151800.48481
20240616,23,0.02653451439390553,216789.959,209662.354775
20240626,22,0.013935218653349235,181252.263035,237312.49483000004
20240623,15,0.026187608023886533,209336.13023000004,173836.60212
20240924,23,0.019542700801267188,178057.99076000002,193848.09202
20241108,0,0.015143380277815588,96071.710135,77352.487535
20240705,15,0.02840169463445008,211426.364955,199056.60122
20240702,9,0.023980404611823047,212536.282615,179857.826605
20241118,1,0.018473518921147125,72683.97158000001,73439.68377000002
20240404,19,0.020602508927747287,245011.19387000008,137354.35417
20240913,8,0.02081035523275876,211586.74274,204415.66485000006
20240417,13,0.03101874418398598,87170.03302999999,71992.19922
20240421,21,0.0253515864756082,119561.64603,80768.45348
20241209,8,0.008051529790664702,355785.83360000007,298379.58440000005
20241003,20,0.014816766009939641,186903.45481500003,202690.14598
20240822,10,0.013262892636878298,175744.73392,177960.24755000003
20240729,23,0.022451224714314932,228557.88940999995,230499.22896000004
20240423,21,0.016302797288303417,85337.17283000001,100071.85854
20241024,4,0.012893243940181875,178034.73874,113187.15348999998
20241123,15,0.020569448955298775,267489.40159,95016.89187
20240830,16,0.017141737682435654,179968.02007000003,184616.53104
20240831,8,0.011728279226885796,168555.82463,173683.90217000002
20241030,19,0.011562698733880161,131843.82919000002,128004.99536
20240417,19,0.025997660210586027,149361.96945,96727.58194000002
20240731,1,0.01612568825557492,153811.61850499996,166494.843265
20241122,6,0.008422707619759606,123367.44717999997,126179.63378000002
20241130,20,0.01868111339435874,308547.43575,303579.20435
20240713,23,0.020682523267834263,150106.08354999998,155777.32852
20241119,1,0.00556560456379529,104711.23695,95182.05204000001
20240518,17,0.023694276139862858,163940.41733999999,236059.33419999998
20240529,14,0.02084380632425553,160961.15586000003,215795.37347499997
20240518,9,0.019652043234485994,214876.23178499998,177597.764455
20240506,4,0.026859679380253354,161091.96654,127360.48985000001
20240501,21,0.02270388085003905,152774.29466,152278.44563000003
20240519,19,0.021184196589363324,210209.69095000002,185874.68853
20240504,1,0.027027795954359668,146089.05248999997,138763.89982
20240529,9,0.02196984029882998,125485.77907999998,194389.622845
20240827,4,0.010105399324145115,173541.70698999998,164163.39759
20241105,10,0.01941267824367987,115363.53672000003,111621.54044
20240403,8,0.02577290707186375,251870.38638999994,202960.22985
20241110,5,0.019455505259480255,72155.20584000001,78933.43854
20241010,22,0.007856076675305523,174254.89808,170547.119
20241104,11,0.013766282931526597,127157.10785000001,128188.09653000001
20240816,19,0.02683123163079726,192189.88034000003,157671.495655
20240612,23,0.001480100054762623,261494.31257,278003.82008
20240425,17,0.01841862912774772,89046.8876,59033.067650000005
20240603,1,0.014143180415548962,196824.42669999998,210617.31821000003
20240614,1,0.012574464434367272,242623.27321,267082.970715
20240620,6,0.024706173013777644,217485.7053,283798.88572
20240628,4,0.0212875414663527,207732.91238999998,260662.71838000003
20241116,7,0.016700066800279245,86394.19919999999,105764.77122
20240628,23,0.027760299070944683,180925.87881000002,236006.072445
20240705,11,0.0262498508531106,169323.62532,203476.88890000002
20240709,4,0.024691358024697685,143254.38068499998,165035.90537
20240710,15,0.027596747829417012,148437.77752,175472.21138
20240708,22,0.02311390532543367,148689.13569000002,153398.73700999998
20241015,3,0.01502260221305507,190636.25270999997,159470.192285
20240416,11,0.025450625785983227,78951.64967,75833.03110000001
20240829,4,0.023538273232270868,165750.81298999998,178451.49742
20240717,23,0.019587487512984225,148262.38697000002,155627.2057
20241015,20,0.013136288998349954,216038.93982,151762.03854999997
20241007,23,0.012075289429591685,185179.80182499997,194503.57195000004
20241012,12,0.02193688028313545,159118.80648000003,162982.91204
20240820,7,0.007655307042842008,190005.63445,141730.70542
20240716,1,0.015070738277778162,170022.38994,227905.24396999998
20240912,14,0.022571973816520874,168150.81863,173333.16133
20241210,5,0.01736563341148134,316330.83339999994,167523.9571
20241020,6,0.01111543377980695,176828.56027000005,194037.55712
20240830,0,0.014279424589735967,170264.039705,172348.21865999998
20240817,18,0.025978074505106363,147815.69544,163651.77786999996
20241109,21,0.016084281635775355,72882.63301,72895.25220999999
20240912,5,0.022488449114765885,185079.408435,153755.63368499998
20241026,21,0.0015669069257429058,131589.31647999998,106262.41459999999
20240728,4,0.02024997469008971,142331.94405,154701.58697
20240804,0,0.016734067772983252,154341.45734000005,174822.81241
20240512,21,0.01556156011714993,192696.22871,185363.48576000004
20240526,4,0.018498193343119418,203368.5901,239706.09973000002
20240509,0,0.01804945550809567,166172.31917,201134.09375
20240511,23,0.018227322764874376,171270.33175,159062.79773
20240515,18,0.014081532070697733,196655.62301000004,180186.37773000004
20240525,10,0.01824284880327376,208276.00377,244325.14401000002
20241023,22,0.010250552797663737,189263.68288,145437.22517999998
20240815,12,0.034534055892043725,174583.38111000002,172672.65971
20240915,8,0.010192640913264661,185196.97277,123163.32338000002
20241210,9,0.008601040741840205,302127.15685,274758.53115
20241111,10,0.01294464868222267,105003.40550000001,119589.29582999999
20241126,12,0.008157771296879446,170854.56464,145568.805035
20240610,6,0.01755155770075678,216157.85984,271376.57368000003
20240807,23,0.03982278860172883,121910.90181000001,130697.30516
