dt,hr,med_spread,med_buy_sz,med_sell_sz
20241015,20,0.053431213120846976,122355.29668,100797.94956000001
20240416,11,0.03273007316135779,79320.49875500001,86112.35859
20240813,5,0.04259073347328002,96745.46098999998,62535.38595999999
20240904,13,0.06230120995507349,108258.73872,96441.741505
20241127,2,0.04343341115153887,40110.73269,39758.429149999996
20240918,12,0.04041911513230634,138071.68379,147454.8718
20240924,4,0.05745475438092562,113756.12178000002,88990.72724000001
20240825,14,0.04824702476682319,80407.9997,86912.34062000002
20240401,14,0.02711415057390365,132670.90614,137258.92294
20241013,13,0.03267439960792373,126542.29779,129008.53397
20240830,15,0.07519974933416496,77431.71687,57442.73914
20241203,10,0.10659844366271987,44686.83068,38441.181710000004
20240802,12,0.04904577133659771,81778.89897,80421.27159
20240912,17,0.039222785421189066,121942.49388000001,124115.11138
20241130,20,0.034408179315770226,54703.732755,66751.42598999999
20240509,11,0.03158933859821467,77591.47092,109665.04762499998
20240518,17,0.02887113848522027,123375.06843000001,159310.78861
20240503,12,0.030138637733578832,76294.80523,98265.23705
20240508,10,0.02766197071784049,77261.58063,96003.82568
20240714,23,0.03709493654115992,112198.15376999999,110315.53613000001
20240816,13,0.03777029366405227,90219.516055,78803.95671
20240918,6,0.04280952817783401,120747.38735,118847.16628
20240915,19,0.04226925515533608,120153.47698,110115.48083999999
20240907,7,0.045583303487140014,121343.04621999999,110358.67127000002
20241020,12,0.034052213393875874,123024.29584,123138.25171
20240812,11,0.041458142082961835,69375.752225,86949.440995
20240607,0,0.03209049519645735,107235.92953000001,96920.44331
20240923,17,0.036358914426704025,104425.94469,94744.6131
20241020,20,0.051480627615996255,100137.76693000001,123416.19001
20240625,10,0.038675101522156474,116697.050185,76200.10081000002
20240827,4,0.03952122854562479,95755.80208999998,99313.63285
20240806,18,0.047142809037947764,103225.62904,108578.52004999996
20241206,4,0.03426775036973195,47301.695285,64163.60265000001
20240915,8,0.05690667305617847,112123.22539,87715.87112
20240610,6,0.029837728660275786,109600.19851999999,92966.2353
20240910,7,0.04294215078828323,106926.71020999999,124090.02155
20240708,15,0.10729952346388849,82437.26499000001,68345.75974000001
20240630,10,0.040473813442698514,128374.82259000001,78466.00213000001
20240418,17,0.09694619486184664,75066.41622999997,100331.31930999999
20240727,11,0.057370850392457484,107873.38223,117578.33816000001
20240626,15,0.04134737306356051,111467.55919,90609.26365000001
20240711,6,0.04510464277123205,103254.60924,93251.93833000002
20240914,22,0.041883563692923786,120721.99465000001,125594.02373
20241012,6,0.0314896871274728,127961.31886999999,125598.80204
20240419,10,0.06332778461317634,94609.74072999999,72668.47070000002
20241116,19,0.03695994743855291,58242.2316,80837.97906000001
20240916,1,0.04041660189646468,99973.90136,108827.93444
20240910,19,0.04549452549209576,121166.30997,97536.94516999999
20240827,23,0.04503422601176421,108668.08779,114048.25895
20240904,8,0.06133780991735005,106416.26351999996,108910.93924
20240904,7,0.04831384674848227,118161.00978000001,118906.35138
20241201,4,0.038736842105269176,42377.96703500001,86322.10687000002
20240726,2,0.08083420903726157,87879.94502,103113.74424500001
20240502,6,0.053034642228322326,76333.11945,99354.85107
20241126,12,0.039303028315484934,37908.8692,38752.96217500001
20240402,7,0.028889673546683703,145346.86359,144216.73112999997
20240912,14,0.0420382548118825,107289.86449,100135.18605
20240416,22,0.07072676530184285,70250.23539,89985.07122000001
20241120,15,0.036852773171180964,127589.31709999999,58434.19835000001
20240920,23,0.05663388765897448,64382.094845,91015.30557000001
20241004,2,0.03825972890250107,112493.02452499999,127192.54172000001
20241004,10,0.040512072597631565,125912.89835,125212.22049000002
20240513,0,0.028542303771650346,78669.37468,100776.24749999998
20240514,20,0.02908728262449589,75537.58043999999,93484.85595999999
20240519,8,0.05465440846361691,92952.70301999999,134591.16268
20240422,15,0.029612081729357698,99870.6294,78478.16949
20241014,13,0.03680445333886784,125936.94389499997,120757.17921999999
20240720,16,0.03831613364666531,126385.29455999998,103786.74699
20241110,14,0.03474232773597041,40914.28527000001,85244.34903999997
20240902,16,0.06230917814193937,105920.35591000001,82780.28872
20240717,23,0.03941456236697949,136764.40934999997,121496.18334999999
20240610,12,0.031911741241352765,107630.85439999997,106930.60627999998
20240410,17,0.05567067749654431,90801.540235,116185.33775
20241011,14,0.032206119162636604,125984.141645,123734.12306000001
20240613,2,0.03666109112572258,98996.72516000002,78711.55324500002
20240802,3,0.040219483466907846,109866.87544999999,98199.35988999999
20240407,6,0.0238937207301948,107999.41868999999,86827.96057000001
20240619,14,0.08701510133048984,111334.59884,108292.48508999997
20240908,10,0.044277175116214096,111128.56576000001,123112.65708
20240815,20,0.04794476762770561,112102.99291,111914.71208
20240701,1,0.06368919672001816,106774.90689,93039.31603999999
20240703,4,0.04749133981449827,95141.13458000001,107497.38484000001
20240630,2,0.0475484574721019,86118.38682999999,89392.86736
20240925,4,0.03346634058436493,115034.75567,127209.70317
20241016,10,0.0426951900551642,122994.42947,124021.67792999998
20241122,12,0.03438580877443975,54635.36342499999,71477.401245
20240610,3,0.04106026734795876,110543.32907,74938.79812
20241208,4,0.01496042966353528,48971.8713,67581.81287
20241020,3,0.04806746924774785,85801.56003999998,94701.23697
20240901,2,0.05283276874785692,107401.62009999999,107131.81602
20240926,9,0.035420619860837554,125927.84902,126038.46244
20241117,2,0.045032136570188896,51038.317870000006,42640.376520000005
20240408,20,0.05474399976950206,119581.212145,122298.327055
20240826,10,0.04112405757368265,97836.04238999999,85252.95354
20241121,2,0.034888031224777905,84798.89618000003,57984.47911
20241202,17,0.047403394425049594,49825.63475,47107.58477500001
20240502,20,0.03065854555859282,77166.85046999999,99745.21110999999
20240817,18,0.050075112669012434,84701.07659000001,88662.83482
20241208,23,0.028249427583637576,47048.537,43059.934345
