dt,hr,med_spread,med_buy_sz,med_sell_sz
20240817,10,0.03725435410264488,212097.94746999998,165529.54828000002
20240730,12,0.026562188724343905,172860.14694,211529.20508999997
20241103,1,0.02407704654896481,91009.83313,275102.42017
20241126,20,0.03089757454040054,115239.63809,120085.99629000001
20240902,15,0.034983382893116755,165663.09290000002,157923.71997
20241125,5,0.02881429188876794,122354.11748,121313.99076000002
20241012,20,0.030138637733556628,211770.69284,302936.8507299999
20241210,5,0.02592285358771207,121576.62817999999,113851.46241
20240402,19,0.04190439351450248,317894.8869200001,263434.67265499994
20240816,7,0.027444881529592458,217753.29692000002,204374.38566
20240725,20,0.04295840194745715,139888.52269,145600.35058
20241109,21,0.029143897996353196,120913.98990999999,245486.99585
20241018,22,0.030330603579020732,220608.87394,137474.99632
20240826,2,0.04321210028437328,175303.88946500001,218665.96649
20240913,8,0.03655772464721263,150439.65678,153771.07722
20240401,5,0.07991050023974378,254103.80151000002,351664.78903
20240916,21,0.02430133657351785,163659.28907,177330.62627
20240927,23,0.037757221068535074,218288.04889,169250.23019
20240721,2,0.037502343896500534,274462.83285,170727.01542
20240812,11,0.053672063690846095,113368.305115,136295.35921999998
20240720,15,0.025086233929116908,210860.64575999998,267850.84024
20240504,1,0.04400633691250544,334612.49808,271655.59394000005
20241010,0,0.03201280512203919,208603.5991,233252.61592000004
20240813,9,0.036744442403091604,149055.54964,134918.87112
20241013,19,0.0315806095057658,207264.81819000002,299649.14465
20241114,4,0.026790797391162968,108483.45780499998,150820.64830499998
20240529,5,0.06686726847207058,313926.93638,307814.06369
20240525,18,0.04638805718382155,270734.99425,374782.85183999996
20240523,10,0.06724949562879612,253317.28614999997,364389.57965999993
20240513,22,0.03362636306865063,375870.32902999996,364420.08166
20240515,2,0.02932407995699382,308812.28469999996,276142.90095
20240422,15,0.04810969009341193,301844.19435,278837.94418
20240722,18,0.032094486167277836,149854.73562999998,192165.18854
20240613,2,0.06628088145573807,255914.833325,215729.48299
20240610,3,0.058676837318483166,373487.35572999995,247344.95249
20240610,12,0.07448234768359097,335552.26201,200001.39160499998
20240812,0,0.028315243039167548,157071.71120000002,153959.72007
20241023,11,0.022928767960839203,269805.77511,292243.53657000005
20240912,9,0.02080155318264776,162938.84193000005,166874.27391
20240623,11,0.018419598452745767,214399.66382999998,200310.7614
20240613,10,0.05102301137811516,234771.88593,239820.69309
20240803,0,0.06784771956276359,117591.37225999999,131381.22323
20241014,8,0.02250056251407173,256803.59888,265507.17225
20240703,23,0.025839793281656753,291384.32819000003,190082.90021999998
20240706,14,0.029753049687575306,187385.24037,169400.07159
