dt,hr,med_spread,med_buy_sz,med_sell_sz
20240417,8,0.026212319790297478,173685.98693999997,164446.88905
20240819,2,0.03625487174838682,197624.42460000003,182528.49790000002
20241025,12,0.027770063871157546,192668.595,180906.83014
20240827,4,0.04042581862282457,192630.82059999998,168894.34417
20240802,3,0.029748624126124668,154105.18360999998,178513.61786
20240423,21,0.01704303365999138,207195.59907000003,144600.42437999998
20240906,23,0.03478260869567151,198763.67005000002,200044.76338
20240403,7,0.04711681345366259,248012.97636,224897.06991
20241026,1,0.02996254681648658,207186.32257500006,185227.08344999998
20241104,0,0.03634381246593321,187869.66571000003,189936.36168000006
20240831,8,0.033838657282081464,166998.978425,180019.83891000002
20240731,21,0.021581181210006406,190439.41518,192749.08328
20240427,7,0.019509340096579564,229647.26883000002,232265.43521999998
20240930,19,0.0347202129506341,200027.60617500002,151336.52679
20240913,8,0.04055478952063041,183670.44100000005,174194.69907999996
20241004,18,0.038436899423466286,162332.56329999998,164867.0932
20240408,6,0.022583559168931622,220317.24010999996,228419.81130000003
20240804,0,0.03325850170450284,188045.92849999998,189238.86654
20241020,6,0.03739249657235266,162852.53197,168409.64938
20240806,10,0.03599712023036883,190043.006275,199940.44071499998
20240919,23,0.03959873284054005,203052.27662,141491.01103
20240426,2,0.05254609725804382,106897.05531,87880.13878000001
20241022,22,0.026407869545130858,196527.62940000006,190627.49856
20240531,17,0.02769060365517273,165610.26414500002,182099.61396999998
20240529,9,0.030569687985404492,167758.276115,186741.168785
20240928,10,0.03936565065796316,172872.40449000002,167920.95608000003
20240601,3,0.044855117968944924,184247.72353999992,188748.96141000002
20240925,23,0.02879686690087091,196740.769485,180751.28666
20240407,6,0.018423670732148345,219135.82108000005,220704.29002
20241117,18,0.03045994517212325,170812.83297,153117.18399999998
20240804,11,0.025172008726292994,183954.29568000004,181910.61955499998
20240611,9,0.02094021568423976,181418.63862999997,199056.24551999997
20240623,16,0.026470782873411203,195951.22851,208175.52241
20240623,11,0.025950434669774758,194969.59281,208857.91009999995
20240617,14,0.0254809529876443,185316.54998,207388.6557
20240617,5,0.02422480620154488,186739.26367,205911.69968000002
20240612,23,0.020836589050365895,191550.47352,179254.42778999996
20240709,23,0.03946018467366752,162834.66967,178384.18899999998
20240703,4,0.01949571094359559,199171.01340999999,215637.79281999997
20240615,7,0.03990536730431593,174948.31617499999,179363.27113999997
20241208,4,0.014566642388946782,143196.59431999997,151721.13311999998
20241030,8,0.02175331738090147,178595.18498000002,172963.33596
20240421,1,0.04040766847752675,148861.55205,153200.82024
20240416,11,0.031047062192524066,177561.91233000002,148189.58083
20241010,16,0.03484563384208439,190470.55054000003,182876.57357
20240426,10,0.02940888148219578,157601.12577000007,152389.10388
20240914,15,0.04638936137311145,174122.2834,165241.04541
20241127,2,0.030145906185929938,155876.04332,156546.49497
20240915,13,0.030018761726080534,185495.54090000005,149524.99042
20241001,21,0.03195909236177741,159298.03736999995,183871.51115
20240907,19,0.025178346621901326,196285.96199999997,192959.39339000004
20240428,21,0.014003640946635976,216733.58150000003,193252.40129999997
20240804,15,0.02629503023927615,170908.90033000003,183117.90065000003
20241030,7,0.02160604969392299,179915.49743000005,160958.31598
20240811,9,0.041736227045063856,181784.46517000004,154721.69168
20240415,4,0.02374958438227104,116618.80422,60232.57238
20240410,14,0.05468536385297984,93565.18684000001,163200.36599000002
20240903,0,0.0476568705321867,198362.70705,174157.38347000003
20240419,18,0.028879476318821595,176503.311125,119698.470845
