dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.020048115477155903,266618.28095,221220.27409999998
20240402,0.018789340181002423,248722.88285,281082.7504
20240403,0.017820017820024958,252264.64714999998,303614.7239499999
20240404,0.018193395797316825,235758.75229999996,305398.44920000003
20240405,0.018247620206190973,243311.5177,282781.9658
20240406,0.017577266735013808,247686.4589,268666.17490000004
20240407,0.016690775564698335,229903.15689999994,257501.00510000004
20240408,0.014373185385352372,201364.8158,218914.9915
20240409,0.014462989210617394,209835.4229,224960.01660000003
20240410,0.01521051350694691,240182.45899999997,286697.17409999995
20240411,0.015116700931194771,248148.68430000002,296351.1684
20240412,0.015484670176535431,234787.5143,260196.5396
20240413,0.019528198718954393,247006.8533,245257.879
20240414,0.02603149811271077,118075.71294999999,133539.99670000002
20240415,0.024025948023864707,126256.60870000001,133650.9445
20240416,0.02373042240151335,187071.86299999998,198329.26249999998
20240417,0.024465829391617788,169479.9882,192464.84395
20240418,0.02138046538147087,147652.4827,156367.4093
20240419,0.02117896223086113,158752.93339999998,160332.992
20240420,0.020552168253762382,118636.28830000001,161800.5551
20240421,0.017151481888033615,134937.4479,162587.46695
20240422,0.017575310204231975,185975.90640000004,176024.91999999998
20240423,0.01771479185119773,188239.00285,196086.12825
20240424,0.017756312369066052,184437.4473,207985.69905
20240425,0.01136019388063847,117502.9944,127917.3661
20240426,0.011600479486495452,128940.3537,140158.55890000003
20240427,0.01575361348509219,212304.16840000002,228241.59900000002
20240428,0.01524797011396295,203730.2429,208532.95655000003
20240429,0.015921665406182228,190656.2159,210660.91009999998
20240430,0.01716296232727732,212626.8676,222495.9412
20240501,0.021042885400435196,227574.47204999998,247552.985
20240502,0.017136492160063632,243038.79989999998,239049.87655000004
20240503,0.01704375985340789,263023.00509999995,257995.78650000002
20240504,0.016229814168622347,260390.24729999993,249159.10839999997
20240505,0.01656108971970216,258950.13655,247502.57535000006
20240506,0.01662095902934535,260450.0775,243955.9754
20240507,0.01946055345813935,261083.3436,262104.48149999997
20240508,0.01697144554289043,253899.37300000002,272397.3118
20240509,0.016917611233302488,316694.6209,321200.86509999994
20240510,0.016325864250421596,298899.26375000004,300328.04864999995
20240511,0.016563146997938816,302221.0851,267482.5122
20240512,0.012754559755112638,305004.2362,330267.1403999999
20240513,0.017168855695781637,285838.4647,307055.3828
20240514,0.013901760889711845,313805.6354999999,321366.15375000006
20240515,0.01872483849827411,299634.8256,306015.86029999994
20240516,0.020821187640529537,306908.4763999999,312327.42189999984
20240517,0.01674410816694394,346827.64650000003,311278.70935
20240518,0.016074586079417585,340875.8284,331407.8237
20240519,0.016114736926930995,360536.26109999995,373497.6942
20240520,0.01947343823025527,317194.7195,312528.8274
20240521,0.01793078716154639,321577.36309999996,312015.922
20240522,0.018218254691193536,281258.1464,280286.34255
20240523,0.018582524993493443,310454.8582,313282.9716
20240524,0.019057783198661582,329129.8891,323971.2669
20240525,0.015819655922499898,267151.4213,269088.7363
20240526,0.016200891048989696,238231.50350000002,256672.51990000004
20240527,0.016011528300374778,251352.533,266486.43940000003
20240528,0.019934614464545142,245421.941,258266.02020000003
20240529,0.018945852752838555,236726.8569,249772.5563
20240530,0.018708373868148165,220734.82850000003,249367.20700000002
20240531,0.016272068993572475,233606.7292,240822.1216
20240601,0.01625553704232008,247536.75839999996,242643.5148
20240602,0.012323871338781878,222118.39145,229706.68560000003
20240603,0.011905234334697035,225590.70160000003,225116.02300000002
20240604,0.008013783707983002,218352.3456,209148.48644999997
20240605,0.011298583910823723,224399.51460000002,217302.42040000003
20240606,0.010820949357959186,214672.7037,227559.6779
20240607,0.016952600528918893,216473.55165,221286.4742
20240608,0.017402805332222826,241768.6209,265023.09675
20240609,0.014154782547159961,265805.3262,284565.4484
20240610,0.014713455455028779,237585.76915,254088.316
20240611,0.015582998948149296,243679.85385,225465.87580000004
20240612,0.01574803149606563,226078.708,212648.80829999995
20240613,0.013221392212603433,206034.07705,232584.33724999998
20240614,0.013983569306064147,204754.0148,224386.02419999999
20240615,0.015414852210104968,233261.3362,254715.1002
20240616,0.015929274023318563,268681.14590000006,292097.3792
20240617,0.016240357287866658,240743.78859999997,262027.86289999998
20240618,0.01945052273277792,230252.0818,232571.70049999995
20240619,0.01888574126536202,232435.80500000002,228568.07100000005
20240620,0.01809136137493894,224289.7131,219906.533
20240621,0.018666293340796614,220274.7825,235467.25525
20240622,0.014280274181266428,261303.01830000003,262651.02699999994
20240623,0.014253135689856755,242271.9409,267354.9997
20240624,0.018851029737487757,222197.3333,256143.40579999998
20240625,0.013110169121177684,235605.17950000003,234784.9757
20240626,0.013121063680898715,211913.0105,264983.5529
20240627,0.01282434916427544,223719.6623,247681.20799999998
20240628,0.013001083423613835,215972.9703,241727.6752
20240629,0.01704303365999138,213339.70090000003,250508.57900000003
20240630,0.017383746197285888,205608.2437,244803.46609999996
20240701,0.013026770018509382,216844.66485,242050.48070000001
