dt,hr,med_spread,med_buy_sz,med_sell_sz
20240421,1,0.02550077150197394,74445.80565000001,132351.72980000003
20240903,15,0.03279763857000351,147727.3884,152722.9511
20240902,11,0.027865502507884443,143318.31009999997,146211.2285
20241015,6,0.0264433671220754,165240.05890000003,166711.51049999997
20240817,18,0.016961370478729698,137155.6843,152533.3123
20240402,13,0.06397148339203351,174775.32799999998,239948.72839999996
20241007,4,0.018831505108041213,173360.51090000002,173543.33279999997
20240413,4,0.04320187619575311,177830.94305,170355.38319999998
20240720,16,0.018290898448936055,151903.19910000003,181842.98799999998
20240903,16,0.023438415575971483,151183.686,157286.69014999998
20240407,20,0.020913392413657306,200381.7833,215091.24745
20241114,23,0.02201027146000456,66685.41489999999,123844.437
20240722,10,0.02554744525546937,143095.50869999998,154765.7574
20240407,6,0.025426530041450235,216335.01989999998,217493.12269999998
20241006,10,0.02997002997005005,164071.89909999998,152451.18825
20241010,22,0.02689618074234179,163521.48075,156697.62660000002
20240910,7,0.039555006180469476,158522.20500000002,162496.1853
20241016,2,0.03039513677811634,175700.36810000002,165395.27090000003
20241110,17,0.01625117821040245,127594.9235,128666.6385
20240918,12,0.02521686503935694,168140.195,175139.26750000002
20240826,10,0.022053148086897956,138702.98359999998,141713.4446
20241128,1,0.018858266655885636,146174.7684,146751.58930000002
20241109,21,0.01590887396991647,125329.3575,136809.7084
20240408,6,0.07168091751572625,230446.25099999996,207987.5421
20240812,16,0.023702299123007364,164235.52750000003,161858.56455
20240817,10,0.021453702909135508,143081.00329999998,159632.22730000003
20241120,11,0.018144868631164712,111528.25349999999,131464.4149
20241012,20,0.025534957356621035,163100.9225,163601.0651
20240915,8,0.029319781078962492,165677.2559,160204.72770000005
20241120,22,0.021828500745812995,119772.9599,112931.3927
20240816,7,0.02506998704716601,150294.37709999998,161220.2083
20241015,20,0.030053237162963597,178141.4706,200370.8903
20241107,1,0.02924465240641272,138064.5721,165674.26600000006
20240516,2,0.03178856065939595,160320.84089999998,161677.2064
20240516,18,0.019622378232253546,216366.71550000002,179169.96370000005
20240511,23,0.009624175929934253,220522.10505,215052.49005000002
20240527,6,0.03854519424024705,220221.4545,258300.61769999994
20240509,0,0.02586786693568044,152953.5882,167541.89960000003
20240513,22,0.019128688250202863,179109.6247,193089.4129
20241025,6,0.02567943505242809,184974.36510000002,170199.63470000002
20241022,11,0.03185003185004476,151632.29580000002,155808.6333
20241106,1,0.01946282600233662,141201.3556,132525.4479
20240430,23,0.028330395366404915,167963.0557,133949.882
20240614,1,0.02365983911307712,189221.82790000003,199675.60090000002
20240812,15,0.03153827958684019,150880.75559999997,152549.9696
20241110,5,0.015978524862592103,83812.16569999998,142009.2872
20241006,2,0.029023363807856306,170546.29459999996,163399.7997
20240816,13,0.029527143881558082,139018.25209999998,144619.3418
20240617,17,0.05238344683080598,163638.1929,190793.0004
20240626,11,0.025187859451736294,200307.59239999996,202650.43350000004
20240623,15,0.021383970575650224,192924.40209999998,197748.88460000005
20241105,10,0.030910308587905888,149838.50789999997,139268.7263
20240610,6,0.02800423175057798,192520.76069999998,205003.5377
20240924,23,0.02908305288962243,174135.283,155697.29490000004
20240426,2,0.018744142455484614,70194.8818,115449.7885
20241125,9,0.018038912511286753,124835.37049999999,113312.38260000001
20240710,11,0.019129603060741296,138651.907,145673.0031
20240710,0,0.019260400616327722,166424.79189999998,139665.96019999997
20240918,6,0.02940023520188184,168878.8476,165970.80565
20240412,16,0.03449373805985978,188324.1471,217910.99349999998
20241014,8,0.024515812699199557,165595.47139999998,160939.15140000003
20240416,16,0.0313228010534905,166996.32314999998,148876.7265
20240802,20,0.029387995004026557,131777.5499,140031.6183
20240904,8,0.03259755983979762,156466.6968,158690.69869999998
20240829,4,0.029204389002468467,150221.415,161974.81170000002
20240815,20,0.026377104673147578,149777.24200000003,163389.08110000004
20240727,0,0.030833744449942913,175805.6642,177543.63999999998
20241108,11,0.02079074118992441,159064.42895,174555.22460000002
20240430,4,0.01910523801942343,167731.02960000004,128630.37929999999
20240401,5,0.06763848396502681,132072.2275,207072.1778
20240411,19,0.034639878493969434,182537.4281,218117.20920000004
20240930,8,0.024365482233501545,165901.3152,168707.87219999998
20241020,12,0.02687569988801819,163196.28239999997,164750.67859999998
20240425,5,0.012368966263642811,130925.15660000003,79847.0298
20240405,18,0.04389922688583514,233453.157,212811.796
20241012,6,0.031051079025012918,166561.25950000001,173231.2704
20241107,21,0.019037465732574255,150035.1416,180213.0881
20241102,12,0.026839633191677592,113568.25399999999,141889.0975
20240401,9,0.0361100453632357,168234.7109,153720.693
20241007,23,0.029850746268667017,166477.09680000003,165779.54940000005
20240411,13,0.049845217482547,178737.69460000002,190463.78679999997
20240416,11,0.027456363992928168,188357.99094999995,164309.02805000002
20240922,4,0.018063583815020046,163304.32789999997,154330.397
20241014,7,0.02464207389190065,165286.5386,147886.54755000002
20240514,3,0.02474022761009831,192712.5814,209541.3724
20240514,12,0.02522481617815986,170275.3907,182458.90775
20240513,11,0.03372200101733336,182824.73945,189145.0541
20240506,23,0.0277454081349493,197079.18625000003,198899.653
20241001,1,0.021308331557645666,153540.3458,173866.98829999997
20240718,17,0.02485913158767339,151672.1414,145183.1791
20241117,18,0.017409470752105527,128289.72150000001,117130.75659999998
20240804,16,0.026864869705378602,142171.71639999998,160252.2976
20240924,4,0.022160173735774613,173500.29580000002,156732.81320000003
20241020,6,0.022074080614542524,158494.59170000002,171511.7506
20240627,21,0.015988807840916497,194342.67989999996,227513.78759999998
20240623,11,0.020708221163801,192912.44849999994,201864.80830000003
20241116,19,0.0181904172881886,75894.4979,131555.951
20240617,5,0.02118419658934112,194801.64700000003,205769.53529999996
20240823,15,0.027325604091021916,157290.40739999997,141585.5258
20240707,1,0.025566293398782136,148514.9652,159061.79489999998
20240401,14,0.04014072867226659,179228.82809999993,169821.34139999995
20240618,11,0.020904757922912687,185093.1808,187699.20419999998
20241108,16,0.024074010386199163,136018.90009999997,148348.15599999996
20240813,17,0.019780828421089858,133071.785,145304.5821
20241202,14,0.02028632701558397,124741.08404999999,118613.95534999999
20240718,5,0.03648007782417473,143408.48059999998,137885.9126
20240721,2,0.02517532817838397,147092.6575,147359.0014
20240826,18,0.022721248153922957,158010.1568,243626.3255
20241022,22,0.027353544563490928,172195.10689999998,158738.3847
20240428,21,0.019048223753137528,176121.02775,179413.64765
20240418,14,0.05220739387215012,126756.68089999999,117427.5611
20240811,17,0.019701327869503515,101768.7853,172838.509
20240417,13,0.026466028961413812,161343.74980000002,160358.02310000002
20241201,23,0.010496070549859127,129130.32975,124603.13345
20241010,0,0.026300562832037855,162654.2366,168829.14834999997
20241127,2,0.014131079897139465,128304.1834,135590.85570000001
20241109,1,0.017221188950888866,135271.91,165324.93730000002
20240816,8,0.021118432167610557,150775.49945,159808.8211
20241018,22,0.031943050104965565,80066.51615000001,146188.60874999998
20241110,9,0.022839989558876006,123593.01400000001,139514.7596
20241014,13,0.023905144387059707,159691.52450000006,144138.39740000002
20240918,20,0.02464146666008027,139337.7042,140068.31384999998
20240513,0,0.017500437510942213,235932.8325,247032.8071
20240511,4,0.015259798062006169,218390.0502,190819.71814999997
20240501,1,0.048697347547244085,148769.70765,169756.30195
20240530,22,0.02470762642068358,257914.32159999997,254738.76510000005
20240531,9,0.025222094554844254,225464.81595000002,213935.72955000002
20240518,14,0.01932574618852545,242816.59929999994,226886.28660000002
20240513,15,0.020194880597768083,185766.5616,178764.4138
20240813,14,0.024516814448594104,174601.6423,176131.5506
20241123,15,0.024681878016674652,125750.59419999998,134584.5381
20240614,21,0.025254347355518902,174811.97339999996,185332.39349999995
20241020,20,0.02189621195531899,158320.9974,154932.25250000003
20240414,23,0.02302328640968465,108854.90030000001,104067.26029999998
20240930,13,0.02942041776992088,162809.46419999996,158868.61995
20240413,23,0.07806955287437134,159826.71289999995,159728.4333
20240625,10,0.041350507595150354,182276.31649999996,192296.71395
20240703,23,0.02248909279001232,193001.31369999997,197275.4592
20240620,3,0.021073927337100784,191009.89020000005,183793.75099999996
20241121,10,0.014025737227818524,65914.6627,136682.04709999997
20240708,22,0.023736055067646866,150885.8668,146532.2172
20240724,21,0.025600702190686775,143808.3008,144959.81239999997
20241018,16,0.027587475286217078,152769.9902,154593.70935000002
20241111,2,0.0228545309168382,70657.0521,103428.79669999999
20241102,20,0.02257642118570491,145521.56549999997,165208.15540000002
20241010,16,0.03169404680154475,162337.50550000003,157102.3318
20241104,22,0.015998293515351314,151712.99085,169371.60705
20240903,0,0.022773855613755778,154258.2626,167335.5006
20240918,3,0.028967315212669043,169961.61619999996,163869.4011
20240717,23,0.024889036379494023,137824.00809999998,149317.8897
20240806,10,0.03083021360932303,139579.86955,152861.1255
20240416,22,0.05276845953789966,175359.0827,170676.0525
20240418,17,0.028530670470749975,150297.74589999998,156230.1745
20240822,18,0.020605810838669747,170479.38840000003,150929.3348
20240425,17,0.015361455037021798,127137.90139999997,63639.5589
20241013,8,0.025605571772424618,162962.09240000002,153078.73075
20240725,12,0.025604447858351698,158512.4212,147589.9117
20241210,5,0.014224751066849173,89000.5881,113414.484
20240813,5,0.020419831740592365,159377.27049999998,157760.2507
20240820,7,0.02892083953065505,152038.44809999998,143511.70710000003
20241029,21,0.02479338842975576,157726.90065,142974.8345
20241017,23,0.02834868887315878,156157.76695000002,162506.4948
20240815,3,0.024487796914529625,149364.9736,168786.03240000005
20240911,18,0.026319945254504873,173500.8347,163437.0509
20241209,7,0.011014125616104486,116061.92,111804.13399999999
20240717,4,0.0241964753801005,145302.79370000004,145115.7651
20240806,2,0.021131373760041594,134272.6794,137521.5992
20240529,9,0.03742114840159516,187299.83555000002,190010.54210000002
20240530,11,0.022019459701672073,180866.71059999996,188277.13635000002
20240527,12,0.022351987929924988,152565.04859999998,182908.6608
20240519,19,0.027417917609184883,201044.00599999996,210082.3708
20240509,22,0.015330761172283047,215669.0917,219627.1301
20240522,6,0.0213507935378221,191837.8193,208603.9799
20241123,0,0.019221000319391557,95753.10209999999,144163.49105
20240910,8,0.034367635506682426,158540.67339999997,161504.2808
20240602,4,0.01691474966170059,193987.7456,193017.4662
20240616,23,0.020564847820114807,199792.27474999998,204191.83314999996
20240628,4,0.019906043474815505,200774.5308,200116.0566
20240820,13,0.02484472049688602,150035.8518,157341.1154
20240615,8,0.006965971230532553,198288.51979999998,218607.4612
20240610,3,0.030806198207078417,189033.17270000002,205675.10039999997
20240708,16,0.029436294951667996,151464.01985,143009.49695
20240709,4,0.02415400595598971,158006.95195,142455.52325
20240928,2,0.035644976038651244,162084.78749999998,161704.0476
20240830,16,0.018560623636942886,138835.8458,135735.9731
20240623,22,0.021744802992085255,188630.4446,207607.78349999993
20240930,19,0.02985965959989567,155837.91330000001,161550.81645
20240904,19,0.02298216583929147,159886.85979999998,164016.27695
20240711,3,0.02420252674377732,159240.82659999997,146345.8305
20241026,1,0.01399808693574034,155740.72814999998,142892.6433
20240923,14,0.031392950040376455,153481.5782,147092.5626
