dt,hr,med_spread,med_buy_sz,med_sell_sz
20241009,10,0.018578727357176916,282731.27054,329496.48065
20240923,5,0.02597627500215971,304391.580615,288502.33842
20241111,18,0.030890416248352537,295463.80370000005,124676.63494999999
20240903,15,0.029460866149455534,277766.8211,293602.86134
20240914,11,0.019590557351345517,305958.71849,315400.61194000003
20240920,4,0.02827787727401887,376167.30992,380022.86357000005
20241030,13,0.027297543221105336,297844.37549,286484.30173999997
20241014,7,0.027603974972389977,265114.61143,256270.490575
20240915,8,0.02942041776992088,317688.29972000007,331534.93928999995
20240804,0,0.02282583884958278,158419.97427000004,136072.20786999998
20240726,2,0.012813941568423637,126943.54793999999,165492.41795499995
20241022,15,0.026139234991728877,277146.05908,308301.68546
20240414,4,0.06812703070957493,117556.38094500001,47194.97225
20241114,4,0.033775225871846004,229603.15305999998,241900.94371000002
20240818,17,0.009307520476542486,243302.90276999993,217873.53024500003
20240921,4,0.02721335268505154,380230.04672,364836.04861000006
20240731,1,0.018850141376081098,145637.01551,150385.37666
20241105,18,0.012284006223906019,190550.501177,150917.09360999998
20240811,17,0.018941187612453447,251252.67655,213232.11239999998
20240820,7,0.009333582228854276,264284.70881000004,218555.77928000002
20241026,21,0.029527559055120278,324785.45622000005,283934.82196
20240726,18,0.0063869195886745445,151706.62649,228469.02363
20241209,13,0.01983635011157947,120759.55468999999,264182.55309
20241102,20,0.019996000799826774,192595.79282049998,164622.22609150002
20240915,19,0.02935707994911052,306216.20155000006,312112.27601000003
20240522,6,0.027806098804328272,272844.85721,376322.45626999997
20240526,4,0.01650982334489015,307629.49496,307911.51483999996
20240531,5,0.01681166729710082,227728.65755,188117.18825999997
20240516,18,0.018927444794947235,260988.03322999994,262749.03282
20240508,18,0.015523129462891028,266262.12776999996,268128.22931
20240526,23,0.019429548457305934,243561.04240999994,287901.82154499996
20240902,0,0.019968051118213204,284938.3781,292759.5477000001
20241201,4,0.021771077124044247,184386.877645,225172.62185499998
20240416,0,0.014723926380355579,172515.02790000002,81468.683555
20240819,2,0.01895554923703191,262914.97283000004,230274.83632999996
20240611,9,0.016182975509781983,247899.10246999995,259095.56367
20240908,18,0.018496455753225227,200072.33981749997,240689.81678100003
20240728,23,0.019111932216353544,118066.84236500002,152659.54900499998
20240903,16,0.01989455883815161,298392.1015,306240.2364950001
20240413,23,0.0651890482399109,252749.26347,109990.71779000001
20240906,4,0.014259087622092714,191924.85245600002,241160.05526799997
20240620,12,0.017568517217148027,247629.760685,224193.52455000003
20240625,18,0.008739730816298419,197120.94251000005,169752.47806
20240618,15,0.03419638528001645,189148.60516500002,169415.69827500003
20241121,2,0.01821161901292001,165717.60897999996,187509.74166999996
20241016,18,0.018045655508425185,300879.03449999995,297253.21597500006
20240606,20,0.013809293661937172,208345.33819,233700.05009
20240602,4,0.02056935988150599,267541.57107,241040.63051000005
20240710,15,0.030495242742123452,176293.77915,146728.34165
20240702,5,0.014968566011375195,273882.3911700001,341085.82068000006
20240710,16,0.029444673458578485,188983.6215,146214.3559
20240826,10,0.024195499637058582,234954.90682000003,242401.86087999993
20240820,19,0.009398496240597964,238386.35141,203341.15835
20240416,11,0.040547389761780295,173527.45257999998,109183.58301999999
20240825,14,0.016151174997980355,261864.48118000006,278982.57153
20240412,11,0.015933715742511012,307282.72325999994,325991.18379
20241116,13,0.02458411865935428,244842.61394999997,228292.267235
20240417,13,0.02578515806301862,205078.37835999997,144663.07897
20240406,21,0.019804333188089274,301399.08861000004,302023.63081
20240422,15,0.0236854571293188,197789.31425000002,131122.51363
20241210,17,0.017454037700725955,243589.54752000002,215514.02860999995
20240410,5,0.01874695362005241,283675.70780000003,358175.59206000005
20240912,14,0.029117732699202037,338714.764345,382311.04594499996
20241012,12,0.027741816164250643,313313.63025,380126.59647000005
20240928,2,0.021861109086929176,263440.91416,210911.70973
20241202,9,0.035213334115846706,172341.01198,193088.20132
20241015,20,0.017985611510784594,271659.27314,342235.50425000006
20240402,8,0.0344563552832966,270971.85073999997,257136.13262999998
20240831,8,0.01875820671544126,277339.31997000007,275420.74145
20240722,2,0.010366454154353555,178125.70726999998,128441.46128999999
20241122,6,0.024412075840185565,296209.0444499999,152261.08843000003
20241020,20,0.025191031992610746,248178.27771999995,236051.19211
20241007,4,0.018009905448002073,199122.31083,208243.24728000004
20240503,12,0.024600246002437487,254643.10417000004,230053.21734
20240415,23,0.019479887016649045,143385.80737000002,61534.173500000004
20240915,7,0.029214139643585213,349814.57238,364061.34462
20240518,14,0.028050490883591017,286369.78475,267007.14708
20240530,15,0.017537706068049275,283705.18219,225298.59079
20240519,8,0.017191977077368747,310975.91988000006,337404.50197
20240522,12,0.028911482677207445,281518.02394999994,310441.709805
20240516,2,0.018308311973624924,259175.39656999995,214446.24014999997
20240509,11,0.0264424348193959,230389.11735000001,251433.83484000002
20240509,15,0.03119638121977797,259052.65535999998,235229.68943500004
20240527,12,0.019261884582766342,283652.84607,288625.93677000003
20240904,19,0.01954843123841421,305271.59292,323943.65917000006
20241104,11,0.016322533257162597,220727.744296,170794.46233399998
20240730,6,0.0183654729109195,145586.34219,176774.20562999998
20240613,18,0.010542962572479553,275583.80756,320448.21359000006
20241029,1,0.019018638265499987,309513.50852,276679.08387000003
20240724,21,0.006106870229016792,153558.99361999996,170046.80141000001
20240722,10,0.010795055864409875,194057.4777,209197.49130999998
20241111,2,0.03815920018315211,190483.145515,112621.46025999999
