dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.015620118712900144,292076.0016,288355.72469999996
20240402,0.016616816218006925,310902.82970000006,307417.2107
20240403,0.011158223610796547,297932.5254,298847.62749999994
20240404,0.011061946902657382,266323.8194,292061.9099
20240405,0.0058572014291602414,263128.96669999993,290273.1375
20240406,0.005737563830399139,281925.4648,301086.611
20240407,0.005655468838372535,273959.0615,239502.07129999995
20240408,0.0056458897922384566,264366.93649999995,260818.3973
20240409,0.005707111060382353,270779.52564999997,267801.9335
20240410,0.005855486590933268,247929.57759999993,312541.43690000003
20240411,0.005796093433030336,313795.1956,321304.8829
20240412,0.006731287022065935,299932.01765,314323.99225
20240413,0.01338777695965021,281400.0714,298858.71410000004
20240414,0.015603058199409325,173093.0304,161588.58610000001
20240415,0.014962220393499592,164293.2241,128119.00575
20240416,0.015026296018016971,241450.00144999998,234720.51520000002
20240417,0.015329194450819372,249233.91490000006,246791.3226
20240418,0.015144631228225514,206136.87774999999,210199.88660000003
20240419,0.014972301242699437,209796.8434,189414.92020000002
20240420,0.014207572636215637,206406.88984999998,191507.7894
20240421,0.013430931435109983,195814.5425,186163.5243
20240422,0.013069332810555778,227829.4962,199783.56980000003
20240423,0.013125082031772983,248591.2581,231180.30789999999
20240424,0.019408682150490186,247051.18250000002,234078.45940000002
20240425,0.013614703880193701,203551.50010000003,200090.31689999998
20240426,0.013609145345672147,210642.11054999998,204166.4875
20240427,0.021070375052678614,270819.6961,271453.7845
20240428,0.01420353668064589,256700.31530000002,260060.12599999996
20240429,0.014444604940067052,268358.1702,267512.15499999997
20240430,0.021372088052995508,283245.3101,305236.223
20240501,0.02294104152329446,297567.9584,323857.8883
20240502,0.015089215005059664,343718.1134,362989.84144999995
20240503,0.014681054099696667,337166.5151000001,297327.51430000004
20240504,0.014121301984038048,363173.6325,343445.9294999999
20240505,0.014032133585906159,357024.41260000004,357290.1081
20240506,0.013876361617981559,378940.7698999999,375068.87570000003
20240507,0.020511418022706174,357241.5745,383527.893
20240508,0.014448779078168883,381010.30049999995,406385.4481
20240509,0.014309222293751311,355138.72689999995,335535.413
20240510,0.01410934744268122,369519.4256,350675.96665
20240511,0.014845605700708475,457996.81909999996,454917.1823
20240512,0.0149734221756459,527176.0076,457161.9964
20240513,0.014935404376070771,482190.3502,460427.8173
20240514,0.015062509414054404,421521.8018,425264.7515
20240515,0.015319800842594766,289651.3709,322360.9504999999
20240516,0.021491510853222096,334555.13960000005,357149.4411
20240517,0.018566654288898476,363613.11399999994,328000.51790000004
20240518,0.018310546875,387584.1759999999,361154.32540000003
20240519,0.017859268960584984,364042.6479999999,321468.7297
20240520,0.01798992564163715,368074.2412000001,349202.9826
20240521,0.017944730230889938,436263.04429999995,379638.6813
20240522,0.017917935853795086,447666.52580000006,442905.7911
20240523,0.018288222384788,402962.0735,433195.67740000004
20240524,0.01743273868324291,335681.76434999995,383712.34599999996
20240525,0.011657729074388001,444255.85109999997,468293.4308999999
20240526,0.01159689203293901,401728.95709999994,425136.5544
20240527,0.01598721023181593,373115.96670000005,355467.9434
20240528,0.01645639056500059,355970.28160000005,364385.3648
20240529,0.010866612333604309,284279.71040000004,313463.41550000006
20240530,0.011004732034769482,290556.69430000003,314126.1503
20240531,0.011030831173131084,272328.3297,320028.1313
