dt,hr,med_spread,med_buy_sz,med_sell_sz
20241012,20,0.01808154778049076,276741.7272,252918.5855
20240422,0,0.01328550551347174,203511.37825,199901.6389
20241013,13,0.009184423218222548,262048.11760000006,254068.87989999997
20241125,14,0.016295491580664567,293479.75820000004,279445.35660000006
20240802,12,0.023934897079946893,246849.72645000002,284752.19805
20240423,1,0.01935858553268055,250763.9048,198354.0308
20241010,22,0.009530162965787348,271141.7002,247653.39989999993
20241123,16,0.022593764121081605,290669.21459999995,263961.9878
20241001,1,0.016655562958023395,207830.51,186938.7151
20241201,23,0.015762925598994393,248355.0835,221657.56499999997
20240907,8,0.00702437457980043,199020.43326,183389.28211
20240808,18,0.019331142470524476,291350.65079999994,310544.8388000001
20241015,3,0.01746114894358719,247539.3017,223616.48000000004
20241125,17,0.016600265604260755,285456.5273,261315.7846
20240720,11,0.007181328545780019,337027.50225,403700.6595
20240928,2,0.015621338748728064,213510.59450000004,238535.506
20241011,14,0.018639328984138004,302852.46760000003,244782.62790000002
20241016,10,0.017599436818005465,266472.1255,248924.90155
20240913,7,0.018761726078797558,255830.6107,274787.90975
20240727,11,0.007361601884570135,203360.6253,172643.5462
20241003,3,0.018551154809376413,262963.87669999996,233550.2437
20240715,4,0.021821355833573364,354427.0088,299625.5412
20240825,5,0.01642980366385327,230003.3579,216349.44774999996
20240926,9,0.008237910865815934,242409.4935,214606.63559999995
20240419,2,0.023180343069073572,222959.72125,194186.29455
20240911,18,0.019104021396509907,270656.55009999993,273148.28969999996
20240902,22,0.018609844607797577,243650.33299999998,241299.1569
20240513,16,0.02203452074918122,432971.7877,403226.24720000004
20240503,20,0.02116402116403293,352322.1903,295553.81905
20240516,10,0.014478065730427758,453353.18235,418657.9813
20240422,16,0.006562110374686014,244206.86840000004,233591.27020000003
20241003,6,0.01859946061564255,262467.5115,239407.90069999997
20241004,2,0.018571826539148795,285551.8758,257375.30974999996
20241026,21,0.01814388097614028,327628.714,275116.0969
20241029,1,0.017803097739022,330428.5282,281395.7125
20240718,14,0.014451911265256356,338074.2115000001,399688.66839999997
20241102,12,0.017890687896948698,319100.16465000005,294676.35605
20241014,19,0.01776356692422265,259495.14810000005,239735.0394
20240910,7,0.019065776930426992,277976.4998,312868.2017
20241025,20,0.017223561832602208,218691.54009999998,239077.92859999996
20240626,0,0.014114824111577384,465117.3238000001,369065.62035
20240616,4,0.013682698228079104,222526.80799999996,254271.8922
20240627,21,0.020939484888682358,428327.4612,411999.0927
20240915,13,0.017826900793305178,212561.30400000003,212056.0119
20240820,8,0.009598771357288705,245844.65319999994,219151.4423
20240705,11,0.016980811682798524,329639.0801,324127.1692
