dt,hr,med_spread,med_buy_sz,med_sell_sz
20240903,22,0.043404760816923016,109200.289,91474.085393
20240812,16,0.05243508536432184,49102.86693699999,45905.782682000005
20241014,8,0.04728046407593833,126566.974531,124901.350248
20240419,18,0.03346263958259321,97060.65429699999,115129.37470000001
20240718,9,0.11892626571525788,65914.468485,78795.91971799999
20241123,11,0.03927615500989301,61052.921867000005,49301.786265999996
20240725,20,0.03858498342599326,84608.65608199999,89709.25905099999
20241203,10,0.05987947662788873,40048.448688,40638.594671000006
20241120,0,0.04623760161086565,35268.0226325,50035.049875000004
20240426,10,0.04453664310912764,105901.54508599998,110009.149275
20241121,2,0.04345936549325913,40961.27423799999,53831.06142900001
20240406,1,0.019217834150087043,130753.419085,96415.93677500001
20240722,18,0.02613735951169094,88983.93878900004,117069.27545300001
20240914,15,0.037525108712443966,123583.41288599998,111608.376985
20240411,7,0.01903855306994995,146671.32058499998,115916.91916
20240403,19,0.02982700338038935,203256.36844,184629.78894
20241013,7,0.031373417487912114,127135.07606300001,126643.728412
20240417,8,0.027505271843764056,90759.22693,104147.35795800001
20240813,9,0.03171985028231905,49464.950726,46409.884767999996
20240527,20,0.02320427886901566,87446.009331,103949.1966
20240518,9,0.021427270487150984,95234.573803,105823.73323100002
20240519,8,0.024869154335704913,91803.45443599999,93887.567576
20240516,18,0.04639563880994846,82507.61828,101076.15864800001
20240514,3,0.025869540260825552,123004.148906,107853.0068875
20240714,4,0.047346691481131575,103113.551771,88613.24884950001
20240829,23,0.03613451071613483,75672.737742,110248.532175
20240422,22,0.04897673605037678,108136.24731,92752.487201
20240718,5,0.04331254331253476,90020.5717195,97938.90673599999
20240416,0,0.04926587564841878,52111.382299000004,52310.80856799999
20240811,14,0.05484218687947795,68569.055826,58490.045907
20240611,17,0.03053124374257088,90042.780942,87688.121919
20240610,20,0.026052021774014555,95710.41337599998,90507.31211100002
20240401,14,0.036088054853844476,153287.25329,149454.92294999998
20240907,8,0.06004851920351495,74163.29536599999,94113.36821100001
20241106,21,0.06094204608004805,39427.820913,62839.45836
20240618,22,0.0946424958827019,78640.320386,95215.65903700002
20240619,14,0.04150276083580984,109938.479845,117337.66728799997
20240607,11,0.03236284745111728,78140.81415650001,92970.7589965
20240405,18,0.02899391127861861,169698.30919,189967.53036
20240626,11,0.04260909704221216,117816.08190500003,111983.93513600001
20240626,22,0.0481867504283251,90124.397843,97851.7642185
20240730,3,0.05621135469364713,84406.50140500002,67632.007885
20240730,6,0.05113317718470345,95389.98299299998,75853.135622
20240720,22,0.02773246329528245,67080.48258849999,87122.30421999999
20240918,20,0.054600650839753406,134072.449714,100741.49352399999
20240501,21,0.025840127133425206,121557.052616,115150.56029899999
20241013,13,0.05211532376645511,116519.16764799999,124801.71886899999
20240802,20,0.037059259520710874,88773.68678,96079.830058
20240809,1,0.041722771150598525,95676.83116999999,106676.18918749999
20241102,6,0.03801444586971625,104044.182508,74025.557057
20240808,2,0.16811659861786232,61582.04239599999,71453.74077
20241126,6,0.03318754518839562,37019.31832200001,52144.814685000005
20241004,2,0.05009417705286179,124614.67824699999,126336.46689099999
20241003,20,0.07834970814299957,117682.40698449998,96906.0986895
20241023,11,0.022797418630760014,50682.484347,68860.410185
20241121,10,0.027074806096605286,61323.055523999996,53281.89757900001
20240907,7,0.05538565270786222,110045.150703,114604.469688
20240812,15,0.10118043844855595,45813.78144299999,49320.301082999984
20240418,14,0.027199606253325292,90114.24367299999,110104.08073000002
20240805,23,0.11574326832783921,95001.991395,81079.336607
20241108,15,0.046371435195902144,90887.312392,43199.831074
20240407,12,0.0094571590694148,128456.01061000001,84303.63579999999
20240822,2,0.03348471213611148,108934.94790800002,107095.30437099999
