dt,hr,med_spread,med_buy_sz,med_sell_sz
20240415,23,0.02053309035841,135740.84393,130046.65428
20240411,8,0.020378635039031145,320190.52875,333845.71453999996
20241030,13,0.022304625421698532,209706.5604,201482.841115
20241116,7,0.023958927552758524,190282.65227000002,209199.14531999998
20240408,6,0.029673590504453173,315139.5783999999,335084.74379999994
20240914,16,0.019583032055914273,242589.39785999997,204161.58366
20240502,6,0.023938817422419767,225341.31724,249002.98372999998
20240728,4,0.02250130085645896,345114.92166,178136.71398999993
20240503,6,0.01878710453144805,248092.68628999998,220201.33308
20241110,14,0.023070711731465465,219967.96827,247649.746345
20240927,23,0.021133606661316584,199485.62096000003,219888.75112
20240920,23,0.021467782991368978,288868.23458000005,286765.1766100001
20240501,21,0.025132890156709387,189079.99229,222328.47224999993
20240812,0,0.025103762217160153,197355.3399,201768.78489
20240811,9,0.03713990440512571,191815.993565,172927.62635
20240926,5,0.026865270667597585,196483.17423,453339.50185
20240812,15,0.024300155520995403,345368.68468,224474.12217000002
20240815,3,0.021797686331281874,207696.52059,226469.69311999998
20240721,10,0.019073309627937185,219871.02986,204877.59037999998
20240527,3,0.023653523192268544,429807.70257,432366.05723000003
20240416,15,0.023163638235446093,196463.72389999998,197191.46985999998
20240819,2,0.02407426912023336,314685.33285999997,353191.16873
20240818,14,0.03140327790405184,142475.73083,165670.40834999998
20241130,20,0.029294014256420198,361811.40959999996,363875.48319999996
20241006,18,0.017851829812554065,220316.27482,225041.79079
20241107,21,0.0263511920447268,168089.69984000002,239261.71399999998
20240426,2,0.010604578821471478,63865.99931,48505.532865
20240902,16,0.023274939097239766,222340.58973000004,200539.96368
20240605,10,0.015366066996036487,250393.25950000001,285113.42818000005
20240804,16,0.03657121050706369,196381.20829999997,204651.36943
20241018,22,0.025813113061445847,213248.87771999996,245503.74247000003
20240614,21,0.01546531259262185,274607.87017999997,410754.61075
20240619,17,0.02159914683370623,262951.69755000004,401232.37969999993
20240617,17,0.016869533622276833,257700.2838,396854.6078699999
20240626,11,0.026586068899914217,234720.48231000005,218543.21552000006
20240618,16,0.018188941123797875,249962.80915999998,251341.50298000005
20240923,9,0.019250703391082702,212140.27466,260441.08232
20240705,22,0.02592058580523915,204057.14409,308415.78203999996
20240703,23,0.03330511649850543,227473.53879,239070.09554999997
20240705,16,0.026048874200212957,275463.42784,284695.70300000004
20240705,0,0.04047511558760153,212044.27705,243658.03755999997
20240826,10,0.026452556561773477,192642.24303999997,200045.44689
20240613,18,0.016450074025331496,254857.34258000003,392939.75202
20240417,8,0.019090284317968553,205070.12214000005,216300.40826999999
20240816,7,0.028574006677306585,180459.31532000002,180871.92036500003
20240727,16,0.03349055287320546,185171.10559999998,181897.33752
20240416,22,0.02376901521214947,219065.85394499998,195790.750115
20241026,1,0.018859439149299106,200920.61804,263719.065225
20240915,19,0.020267847398680594,198254.06799,207151.63582000002
20241004,2,0.02178818768969748,479507.4745,425378.00379000005
20241120,16,0.013030936628632972,181442.437695,213891.89985999995
20241125,5,0.017575964351812523,179689.06880000004,209804.41725000003
20240911,2,0.02940023520188184,297486.1455200001,320829.957465
20241104,11,0.025403087222231058,248195.56305000006,255058.02474000002
20241003,12,0.02390990748233346,244731.69065999996,441343.243655
20240805,23,0.03000194130209355,225662.42077999993,251086.28412000003
20240806,10,0.026204535131557627,202410.25881000003,349395.4478300001
20241112,6,0.010126710464697375,209505.86778,434993.23847000004
20241123,22,0.01514478413633391,294082.23771,254127.88009
20241127,10,0.023107544613321096,146114.89217,199674.82745000004
20241012,6,0.021342439440852345,205121.9606499999,225352.72026999993
20240812,22,0.027886681648925382,201296.14113000003,181922.71069
20240805,4,0.026917900403766737,217553.87238000004,204187.02826000002
20240728,23,0.0295499957785772,180361.48599999998,192209.38934000002
20241022,16,0.01724113159293772,252986.40962999998,268643.89618
20241105,18,0.02258593949979737,222773.7228400001,220174.36070000002
20240508,18,0.020802231957128825,259390.16921999998,227204.98453
20240529,5,0.0309660207472362,279800.51357999997,405593.24496000004
20240509,22,0.013353079705735738,254190.29763,232136.77619
20240514,12,0.011213206686955246,246339.99329999994,220936.19082999998
20240513,22,0.008671630142598197,237939.32471,255206.32273999997
20240518,5,0.02024339708019962,451884.03910000005,262992.28545
20240516,10,0.02189408130002235,420324.77787,252363.30419
20240519,7,0.022646546997551198,432510.26538999996,261936.19392000005
20241104,16,0.022456098327761076,265977.88524000003,262429.91504000005
20240401,5,0.045020709526388814,330387.2703999999,271020.2961
20240913,7,0.023873945567398636,310327.72713,257906.37066000004
20241106,1,0.022363026462923763,188567.74336999995,167290.81263000003
20240611,9,0.01643219192801748,223291.71092999994,246419.85197000002
20240612,4,0.016156100419950636,223302.21253000002,397935.88041499996
20240408,12,0.009606147934682063,321060.9064,318425.2543999999
20240918,20,0.023458392630937297,238632.41562,233121.16086
20240717,4,0.021790943139254892,172755.1016,208040.01749
20240421,1,0.01770935408083041,70912.379895,76566.25800500001
20240606,20,0.02485633633705353,220482.59226,370942.44238499994
20241013,13,0.021409346709089228,197684.16177999994,223160.11453999998
20240620,6,0.02151636588580974,227350.47956999994,374862.66040000005
20240623,15,0.020082740892468642,240333.144765,245554.90759999998
20241111,2,0.012831040854033304,177839.67561,305605.6647
20240427,13,0.014225425577318873,179268.35596,217317.80110499996
20241106,21,0.012777738340319367,183900.73466999998,205154.89526000002
20240626,22,0.022512223568627032,245501.28501999995,374172.1708699999
20240615,7,0.020290406442202702,228443.78282,373249.82009999995
20240617,9,0.016732093442306528,262806.607995,366384.08857
20240414,23,0.025109540369872008,93160.65388000001,100249.57243
20240709,23,0.032162220112108564,186922.44665,194176.98150999998
20240915,8,0.021473380677017317,207299.45726000002,210268.75683
20241119,1,0.015744489428692887,209636.24392,266850.58748
20240406,1,0.021321528652085142,226389.126155,195807.91173
20240902,22,0.024483924773122112,223654.63616999995,224316.43816
20240830,15,0.0353828586133087,291710.39408,306894.02619999996
20240404,13,0.03952178638475523,347437.69049999997,369345.8587999999
20241110,5,0.019533793462689353,180561.02281000002,233758.27521999995
20240908,18,0.021314620189860634,301611.85762499995,346114.418435
20241022,11,0.021268450380707016,275326.71338,292329.90844499995
20241130,6,0.02965892239248369,377393.1799,413795.50120000006
20241012,12,0.0210881484605574,217802.03654000003,201568.25334000002
20240813,17,0.02700856330331014,191061.81672000003,193873.02387000003
20240803,16,0.03728909018297921,202020.63551999998,197008.65837999998
20241202,17,0.025191031992610746,321409.75235,342009.4689
20240722,10,0.018963508790958983,174853.98072,196165.54336000004
20240830,22,0.027735831639030817,258985.50690500002,258130.62253000005
20241015,3,0.020858475245444374,238818.89927000002,227590.78111
20240818,9,0.02377131990252135,144680.76243499998,205791.75027999995
20241030,8,0.01244847713630648,227475.86132000003,202050.00099000003
20241121,18,0.015707217466420786,175738.95968000003,224750.03855999996
20240730,20,0.032011579847257554,149566.97150999997,164413.19058000002
20240425,9,0.0060214121555546285,94197.10594000001,94322.48776500001
20241018,16,0.02193012513875825,311910.14142000006,281136.53284999996
20240525,18,0.021228167419473642,414763.613065,456521.95313999994
20240509,15,0.01599271716506978,250678.11992000008,238430.13562
20240530,15,0.03279955954875735,240704.29446999996,406168.86656
20240522,12,0.0197247812869783,450253.9285599999,444549.187675
20240516,18,0.01822356671645764,259107.71451999998,230329.77987
20240506,4,0.02345679012345503,259720.23813,283746.92247
20241126,12,0.022173932325153523,146540.65978500003,195941.82733499998
20241112,12,0.022186260179601902,177501.90653999997,170015.86649999997
20240607,22,0.01875046876171904,204448.88337000003,426101.58151
20240601,20,0.02158014626543192,227611.16214000003,412594.72774
20240930,8,0.02058430006026679,225343.89977999995,476641.882165
20241127,18,0.018573359611195883,173146.141105,164856.98353000003
20240921,23,0.025446435253795308,277310.153445,279780.02741999994
20240802,3,0.03773913548348329,151543.39778,227194.020615
20241029,21,0.019028978415702724,184431.475815,152455.51443
20241017,4,0.022603020328570977,228036.85181000002,224462.88395
20240822,2,0.022067747986320718,206509.69480499998,180235.30467999997
