dt,hr,med_spread,med_buy_sz,med_sell_sz
20240818,1,0.03428599417136802,215281.54929799997,174948.80072399997
20240502,18,0.01540767302117274,281801.1332689999,269791.4390735
20240422,8,0.010970626148476548,177130.33760600002,239797.52646899997
20240417,22,0.013307408530771614,204489.93139149997,227930.16813249997
20240820,15,0.03380586419057252,231343.58032200002,240795.87541699997
20240428,9,0.01361025668944471,228728.473626,256766.96501400002
20240826,20,0.02467825500719334,300572.594223,387783.83284250007
20240806,6,0.036339850279820674,298661.76642149995,259343.61141800001
20240831,15,0.03561930091184884,476550.76269599993,461272.7052959999
20240408,2,0.014433539103775317,291865.34534899995,258259.81635100004
20240830,8,0.03269347531642541,455456.91557899996,364655.610246
20240504,5,0.01790978976663471,310575.601591,288950.2832405
20240513,19,0.00902418481529832,264056.809043,316465.02913599997
20240521,23,0.024645042923454596,329066.170021,393555.62871300004
20240907,15,0.002665742542573568,253475.63320100002,307495.28979700006
20240817,12,0.029639875512521563,221522.34597700002,241315.61593400003
20240407,18,0.01756639548542438,281062.310478,234994.64279100005
20240608,6,0.006006637334232678,247898.22460499997,299107.177655
20240422,13,0.016076739637194137,176270.882934,176303.39392899998
20240802,2,0.026919572600014874,166355.899096,209818.100994
20240603,9,0.022594083174465318,274677.745987,290911.36143000005
20240617,1,0.01950014625109464,364388.5246905,384639.74057699996
20240624,23,0.026702745042195275,284844.0119909999,369070.8409755
20240908,6,0.040289006473104294,463069.6027440001,392209.74680699996
20240727,8,0.02133478151244983,217905.13718499997,205927.74591049997
20240605,20,0.005517774129915054,265902.150938,260255.14147799998
20240711,2,0.0234407047838614,238534.563533,239293.00161450004
20240803,13,0.027728600985432728,190454.98876600002,169206.853762
20240722,12,0.023887398478539268,216311.17703300004,187462.90406499998
20240406,5,0.012234592754900575,272403.252857,278911.79163750005
20240901,3,0.028930999566045834,252645.387845,275554.445671
20240907,0,0.1336387934326,76149.411173,83157.773988
20240503,10,0.015339348264886699,269161.7967805,282973.560373
20240819,20,0.023320895522394025,227263.59838550002,166518.2303555
20240820,0,0.020962407416025286,237043.51549800002,249036.76792299998
20240903,19,0.024720045484882824,242221.38989999998,261705.13085400005
20240903,8,0.029164438827589123,257850.50188799994,245361.497708
20240816,15,0.0377462945720719,225983.475396,218645.13888299998
20240816,22,0.0320647214068881,217412.20001499995,226955.43466099998
20240530,7,0.028409494458780937,357024.44756899995,420822.1836185
20240510,23,0.02233538818905423,282626.08539599995,244412.27299900004
20240525,6,0.013713094634071332,421651.22790050006,422678.82141
20240523,3,0.023225630165990552,320266.74542000005,345775.7559270001
20240523,20,0.025499002440454444,372472.86773149995,463555.37413599994
20240529,1,0.019298632554032302,338846.59337500005,435315.7609410001
20240504,9,0.013768415255421829,241692.36365749995,267964.7917719999
20240514,18,0.00764701384108335,293629.10336,318088.12740900007
20240518,21,0.018307538481021624,308591.41014299996,315273.858451
20240528,17,0.01920188727932981,499674.0004515,403988.31162899995
20240901,20,0.033910621291033394,260492.51626599993,236918.58499800003
20240405,3,0.007850173825274531,263453.41490399995,257735.19606
20240613,6,0.022145941756179788,221599.836227,286021.13723700005
20240601,18,0.019947282182797288,295850.252666,271139.654354
20240606,18,0.009530422470005462,354605.32895650005,316629.534298
20240427,11,0.025959791167906587,195969.67876799995,234492.61361000003
20240615,22,0.014668253011063115,388277.079746,322130.245095
20240622,4,0.02287242465295325,251765.49769300007,313502.49401100003
20240806,20,0.03415550513552468,226716.544247,219901.312714
20240909,4,0.04266097853620199,488603.13878300006,231482.99381100002
20240702,1,0.023332196636571823,256890.542034,312685.21173000004
20240705,13,0.0304672368392378,265856.93313599995,279551.82403899997
20240605,12,0.009810035678536888,277431.499438,274106.92036899994
20240722,6,0.024133514025281855,212434.61725400004,202598.30821400002
20240701,14,0.032418413658974465,304707.86301000003,320977.88830700004
20240731,17,0.03301419610433065,211157.36719199998,194299.23814500007
