dt,hr,med_spread,med_buy_sz,med_sell_sz
20240422,19,0.06663557006729715,110074.00968999999,86582.72982999998
20240928,3,0.0478946318100304,128585.98982999999,125450.27212999998
20241129,23,0.054719562243499276,96150.22403,91240.76651999999
20240411,16,0.041223655507649504,120483.39823000002,119589.71434
20240416,19,0.09251525860827226,105443.48568,74992.15779
20241015,18,0.04747586643456536,125719.89620000002,113113.20019
20240410,21,0.053497392002133104,91123.90874,118516.788925
20240419,12,0.049768185032883494,109307.58601,92123.0778
20241008,17,0.04560223450948975,97608.80015,88290.46225
20240411,15,0.037360957799092986,129204.56825000001,130532.86135999998
20241117,12,0.06498429546193396,70936.218685,66402.94271999999
20240406,14,0.02843736669984054,126432.48649999998,120612.498375
20241019,4,0.061036510931078425,109841.91708000001,111021.63720000003
20241125,21,0.06849021874062444,62678.019005,62882.973625
20241103,9,0.051500882872268505,77297.50394,76332.52007
20241009,6,0.05051071949713215,122767.60606,91702.70453
20240427,22,0.06392717416319194,87291.2048,107338.91456499998
20240509,7,0.048150228713583765,106359.69505500002,85145.10346999999
20240525,12,0.04233341800017332,125684.32521,124592.56429999998
20240527,18,0.06336166400839893,116858.98717000001,93224.32739
20240521,4,0.0449516769472913,125092.91508,107553.79811000002
20240527,2,0.06850374560802841,123386.22212000002,126855.03403999998
20241016,6,0.04929886064855005,98749.45376,94185.45310000001
20241128,17,0.05669967418612254,44896.38023499999,52996.42878999999
20241107,5,0.04993757802747023,53133.19464,80751.19388
20240831,11,0.044986504048782905,106747.34053,108811.82234000001
20241002,4,0.05686223830447812,108172.35106500001,86418.06228
20240806,3,0.051867219917012264,83654.80113,80877.47106000001
20240611,1,0.04391850677076814,122342.10393,112220.94249
20240905,4,0.04557391556960777,117021.38133,95845.47037
20240810,23,0.03325389347670349,81611.3971,82556.59107
20240625,3,0.052782635949299994,126340.64819000002,119463.36684
20241030,11,0.05578281889175862,78186.86274499999,77867.139
20240914,8,0.04437432205897096,98405.97531000001,122478.03062999998
20240630,20,0.0516580240654374,121460.09706000004,123926.80134500001
20240618,8,0.04803073967338811,126582.48333999999,109449.28260000002
20240813,21,0.03222860826126439,110847.20551999999,101356.52416
20241004,20,0.03836036825952682,126621.73307999999,122761.38144999999
20241209,15,0.05697623755740455,46859.783970000004,46813.54052000001
20240929,23,0.07528231194956492,107171.25914499999,74526.11632
20241203,12,0.06363240563982409,65045.38733,62119.145950000006
20241016,20,0.03359838727741149,112502.65012,124381.92657
20240408,2,0.057759537923685045,115430.61338000001,93125.04221000001
20240808,20,0.03912363067293256,92314.94504,93539.74197999999
20241108,8,0.03777386048855469,51026.45401,87984.44009999999
20241106,14,0.046657335199640215,49202.37428,59390.186955000005
20240904,15,0.058810949529508605,70938.04811999999,69743.07804000001
20240904,11,0.044074706627728055,90900.04563000001,80890.45494999998
20240813,1,0.04417205026994164,86450.972645,85295.14092
20240418,1,0.13031013812874193,97544.42132000002,74650.73878999999
20240902,13,0.07168458781361409,95937.42362999999,83297.22939000001
20240930,0,0.05057529396887972,98564.21974000002,99541.64822999999
20240720,19,0.09961022087483506,131193.63218,113373.43633
20240901,12,0.051853772361942774,93787.37569999999,85549.68594000002
20241106,9,0.0333912114331536,59215.68761000001,62329.909120000004
20241113,4,0.05954507562224709,45358.99949999999,60787.181059999995
20241121,20,0.06793833289784335,73451.02850000001,51776.82586999999
20240427,11,0.05199532042117205,109214.73969000002,80665.02967999999
20241112,2,0.0569918657064461,71680.8282,76759.40622999998
20240910,16,0.04569223739656625,111990.50643999998,110101.50409999999
20241105,3,0.0379075056861522,122697.05003,99144.37354000002
20241004,6,0.05500852632156494,104888.68857000001,98419.95436000002
20240403,0,0.19496555608509158,101454.56070999999,116957.16951
20241104,13,0.051459236933015795,95713.59539,75234.46691999999
20240404,22,0.04603978472432768,134010.26047000004,124593.02792000001
20240408,10,0.061702096402171946,122332.34171000001,102775.19388499999
20240908,3,0.04871975315325905,123565.91836999997,107647.98915
20240519,11,0.06844064826982965,104392.69266,92549.542
20240525,20,0.07196985733033401,128116.04567000002,110453.533265
20240519,22,0.03725355341586134,139774.99806999997,154059.03141
20240501,17,0.032755561621411466,80737.85930499999,108751.56203
20240515,6,0.06000060000599383,112033.41196499998,87602.91119000001
20240513,7,0.062085508677856005,118061.18527000003,90327.15789
20240520,23,0.03750750150028903,122209.83662999998,120900.04559
20240525,6,0.05193725979015795,123062.74346000001,136400.64234
20241123,8,0.053197920476033556,47610.66092999999,84087.197885
20240910,15,0.061180789232162525,98785.75035,99562.60400999998
20240721,6,0.14165559982293185,120151.70098,100319.15559000001
20240422,13,0.04837291116974729,111476.08636,87371.47291
20241107,9,0.04405009124661685,80158.13313,73396.00573
20240726,20,0.06582349898913709,93591.04784000001,102661.32123
20240831,15,0.045727060258116126,107869.69253,97837.25226
20240903,8,0.05912786400592562,91754.15323,58974.49875
20240618,7,0.0640799728573227,137195.23352,115931.55428500002
20240621,23,0.06871778853663191,132092.30149,114833.74746
20240915,16,0.0900135020252879,107137.97026,99494.49251
20240610,18,0.06113188027556671,104275.703,76106.3663
20240624,23,0.04616348468362563,154504.24247000003,139147.83513999998
20240605,6,0.034520701633256046,138642.95007000002,129786.23032
20240711,18,0.05412853065642764,135303.098125,124150.41212000002
20240701,17,0.05793966549498819,154128.05183000004,112328.92469999997
20240702,21,0.05174747233500643,149730.75335,143481.23925999997
20240710,7,0.06763285024153909,136305.00918,97175.58017000002
20240712,14,0.06434050977479622,134256.28051999997,124289.70438000001
20241026,17,0.03305566574109964,123008.21810999999,124805.40632000001
20241022,7,0.05480352934730259,109867.94016000001,86182.784745
20240918,10,0.04020504573323258,116531.20769499999,118298.74589999998
20240916,9,0.07783716465155077,96357.29095,85666.64764499999
20241121,6,0.06898137502875379,79773.8891,71964.23407
20240814,23,0.027647221454230042,120256.04001000003,75335.89306
20241210,1,0.05014077988199084,47382.81622000001,52975.822385
20240907,15,0.04380201489269098,97066.90441999999,98985.82247
20241111,6,0.061742254153562826,65974.01039000001,70998.89628000002
20240421,9,0.06219351752183577,102052.79160000001,75984.30196
20240722,3,0.10326133723432829,125901.06092,114114.18991999998
20241012,10,0.03736721293974288,127449.30939000001,125097.93384
20240425,1,0.047884693657684885,75218.56075,110187.06946000001
20240809,9,0.07556199231786298,66688.6914,58892.47196999999
20240830,7,0.05436394188000904,94002.10845,109648.707315
20240806,12,0.06649427410418962,90149.4845,83734.091225
20240512,14,0.062372881355909904,105414.45419999998,81722.36577
20240530,19,0.07668365735937765,99339.08815000003,96718.13760000002
20240508,20,0.06377720496399952,60246.76171,63716.656899999994
20240528,14,0.05404066560086296,94235.11794,105917.24675000002
20240503,10,0.0366770584999232,106040.37900000002,85282.464475
20240519,15,0.0643122780527472,126588.05730999999,112476.03137000001
20240820,15,0.05045663252434274,73477.09885,84455.40977999999
20240822,12,0.04726344645051839,95436.74556000001,96838.73425
20240802,18,0.14455218936335612,63829.88314,68229.69986
20240818,1,0.06028057869356118,93559.8585,73431.49333
20240605,3,0.055928411633110464,92376.35768,97444.72901999998
20241110,21,0.0661849870387865,53063.30867499999,87468.646205
20241127,20,0.04450648380369682,54326.53721,61777.31497
20240627,14,0.05035427831527883,106326.334785,118683.43892000003
20240410,1,0.02922576088648654,132634.47003,123662.99796000001
20240914,7,0.039688445701235864,123258.54067999999,136593.80789999999
20240603,14,0.07032508336926035,88341.79965000002,98963.80470000002
20241014,11,0.0473509759562285,124959.51623999998,120932.49663
20240627,9,0.040729427136654284,135441.94154000003,123783.11075000002
20240619,1,0.05964339527875229,104096.05219999999,94765.30835
20241117,3,0.056986551173943134,78692.94993000002,54580.711440000014
20241106,5,0.04012304400160538,67738.282325,63405.02372
20240701,14,0.08987183494841844,101956.31828,105644.77264000002
20240615,11,0.04284719618661281,127262.36836000001,95764.61074
20240407,10,0.03365406678803584,127903.41688,101434.53972000002
20240705,8,0.11606057256550173,116457.20014000002,99439.18090999998
20240815,2,0.044533511467381715,102568.86851,95431.11977000002
20240607,7,0.0751989639253825,103982.64146000001,112329.56426999997
20241115,4,0.037697914048751,72577.20728,74656.30229
20240930,11,0.04432624113475114,125655.58534,111859.41945999999
20241103,14,0.0617474529175599,58641.189425,61075.08634000001
20241102,2,0.03441748412268408,126150.47997999999,90945.712095
20240504,14,0.032544749029916886,113039.98602,87928.08514000001
20240816,0,0.058254689502490464,94968.88966,89150.282315
20240426,6,0.07939264625616005,84059.507075,110244.44592
20240907,11,0.050091835030885434,107402.10454000001,107879.74466
20240825,21,0.052633709866811706,107780.67822,95678.27325999999
20240908,6,0.05325097183022098,123562.20659999999,114542.32959000001
20241204,23,0.046611511276462014,57261.75361500001,50489.50484
20240423,9,0.06450034474323463,105551.49158,75245.1233
20241115,23,0.051646964306217846,71089.86457,64552.238439999994
20240811,21,0.04183100274890439,68931.718675,69913.84326000001
20240424,4,0.03288103641028162,120656.60177000001,99938.06552999999
20240804,19,0.04083577213640499,78622.51062,83356.84003
20240916,17,0.0746010178239831,95868.26913,74559.04814
20240402,11,0.06542623859504548,126381.72924499998,117831.89750999998
20240911,3,0.07254261878852919,99539.89537000001,87030.78791
20240720,8,0.06872557020747294,129836.16407999999,125091.52141999999
20241018,7,0.04533605349654746,111181.80234,115134.97170000001
20241001,14,0.061401851501985405,81637.25026,73609.12538999999
20241105,6,0.052513128282050126,86460.55894,73853.29804000001
