dt,hr,med_spread,med_buy_sz,med_sell_sz
20240902,15,0.041472265422481946,147929.120964,153734.1318205
20240727,22,0.03815458971775376,116771.27949099998,142804.891851
20241116,19,0.04156851877510359,126497.35006200001,123613.14688899998
20241105,10,0.056022408963585235,129432.21344400002,91532.345806
20240926,17,0.033475604653121493,147178.05522700003,102607.68752700003
20241208,23,0.04447903925275387,132813.7488925,136397.80587649997
20240415,23,0.023040147465447358,108358.82618600002,124605.93787549999
20241130,3,0.05175648573461089,134229.822961,146671.28323499998
20241028,21,0.05328461597016165,139864.50747900002,144700.69426649998
20240829,23,0.02987452698666182,128964.84816199998,144602.020561
20241108,0,0.04341031429067055,126411.100604,132222.65063400002
20240914,16,0.04907734589714163,151275.58863199997,137997.59848699998
20240805,23,0.0326193323909818,119109.690583,133843.8558125
20240410,5,0.02440942746333441,67102.227184,146497.798264
20240407,3,0.019238697265366866,141579.225476,154352.47579000003
20240830,0,0.029943108094609983,126787.569393,143153.768498
20240726,18,0.03263068589700602,124098.94189000002,133468.121425
20240427,19,0.03983991609157744,144942.12400100002,124073.2255395
20241209,8,0.03514115028699916,117045.39826899998,127672.309972
20241208,4,0.02726876090748398,126542.817632,143322.53890100002
20241024,4,0.05401234567901092,141502.68216499998,103622.92185099999
20240519,19,0.02888622952172959,145415.30529999998,131227.51739700002
20240519,7,0.0389817955015026,188008.201199,176772.91477149999
20240525,18,0.0179462330856639,154496.7143015,150248.6916115
20240529,5,0.021253339810534122,131704.676355,145537.35240200002
20240531,17,0.019995334421984978,133013.62103799998,139474.43061100002
20240529,9,0.07742185304294713,108053.7733165,132914.908276
20241120,16,0.02347969006808448,116125.8995545,117469.30496099999
20241128,1,0.03935716628402641,151446.94620399998,146830.60385950003
20240915,8,0.039486673247779436,144049.532733,144284.481456
20240413,23,0.04354452470255454,150842.0590825,121660.54543800002
20241127,18,0.03552524072832908,148354.633857,131731.8815575
20240418,17,0.01944239219193733,142757.595699,115066.758363
20240607,16,0.04246134248611089,139084.156958,122101.03847100004
20240806,18,0.019310611180856085,121066.77892500002,140845.253329
20241120,15,0.03032485505286564,117496.0160455,120935.882804
20240911,18,0.0425215265227985,149734.12008600004,149050.005822
20240606,6,0.06151322534344583,137612.724085,121302.624113
20240616,23,0.023216939078762877,148072.034427,143228.513052
20240623,11,0.02531645569621155,168336.02131500002,168963.66757549997
20240623,15,0.02067023229553877,159759.96174549998,168384.81656449998
20240809,21,0.03743916136278447,97575.29338700001,113487.57602400001
20241022,22,0.047412090082987746,136519.118244,141003.25229799998
20240830,15,0.05241639584860902,116191.395045,128142.167662
