dt,hr,med_spread,med_buy_sz,med_sell_sz
20240904,8,0.024156048070533842,173869.21045999997,227258.71056
20241023,22,0.025877684809794133,216593.08206000002,225909.76683000007
20241206,23,0.01806113694857725,123413.62913000002,145166.409485
20240718,17,0.01776072747938784,155984.72421,162902.04275000002
20240926,5,0.025567273889426367,155691.38204000003,173650.89230000004
20240823,16,0.023720290336348704,229675.731155,157677.69637000002
20240503,20,0.013740982480259234,239455.712855,238993.19091000003
20240404,13,0.01284323546788535,259969.27946999998,252678.25683999996
20240906,23,0.02617287181836403,177849.374475,226217.66303
20241014,13,0.022156573116682843,219892.95466999995,206796.80647500002
20241104,15,0.017151187719743888,232685.09758000003,204222.65602999998
20240904,19,0.02390628735355893,215254.98368499998,260189.94301499997
20241025,12,0.026788106080899432,223952.96290000004,196493.53985000006
20241208,23,0.01812743587419341,166392.37655,198473.08646000002
20241125,5,0.02850139656842554,148080.30038999996,184657.30423999997
20241122,20,0.018537971945864484,147971.908675,185149.39549999998
20240722,10,0.01058425063504842,205806.99855,160162.20607000001
20240809,21,0.024938899695747807,109887.60475999999,120754.91910000003
20241023,0,0.016542597187751973,257638.22859999997,226267.96121999997
20240411,19,0.017803097739022,128739.66356000002,251643.06221999993
20241105,10,0.026246719160094578,192418.57864000002,247518.27227
20241209,19,0.01956947162427003,147949.02012999996,221319.46946499997
20240908,10,0.025678885536351004,174632.09035,224321.23216
20241202,9,0.022179096201835335,158721.77126,139082.37578
20241125,9,0.022256843979517882,167317.46112,168310.91989
20240727,11,0.015172780032601807,161769.74253500003,153551.93826000002
20241028,1,0.018147173577709452,200257.21433000002,291848.40005
20240427,7,0.017275334277710996,216420.47378000006,227170.79879
20240529,14,0.018523320860963643,211823.5196,223138.74297999998
20240504,21,0.013805480775874734,202905.11902999997,207355.28658000004
20240509,11,0.022250241044274865,259072.09723,251467.91301
20240511,4,0.018739927289090907,235484.97136999993,157897.371685
20240501,1,0.018777932174107725,219156.48179999998,191161.77205
20240401,17,0.01927206653077329,275140.09307,252021.24383999998
20240925,23,0.025826446280996507,146216.12736500002,191308.91235999996
20240423,1,0.006889899407469535,170579.4426,113568.78601000001
20240725,20,0.022803283672856445,169617.35009999998,172278.65017
20240731,21,0.017660356032767055,114319.25752999997,136899.6135
20240901,10,0.040306328227146526,203636.17615999997,212377.34539000003
20240602,4,0.014946007547722573,210012.48613,207441.13027000002
20240910,13,0.03163155563989939,188813.04985,216843.08205000003
20240616,23,0.020545693622620043,274775.97044,281888.52103999996
20240615,8,0.021752371008432192,219597.30842,239168.287015
20241030,19,0.03171582619725388,196864.51787,154077.65939
20240413,4,0.027361652643809187,34518.768485,32603.068199999998
20241022,15,0.033718283739370136,190956.36187999998,199791.00165999995
20240710,22,0.021746694502433606,217903.44435,174703.64286999998
20240708,15,0.02759889604415644,192050.62315000003,193971.10324
20240830,22,0.02255172802614336,149739.89014000003,204171.24190000002
20241028,21,0.02686727565825997,179737.692965,171846.38801
20240920,4,0.03206772703949756,208091.25319999998,151500.84066
20240403,7,0.013371844244747244,130263.14877,251749.15818
20240402,8,0.020869202274731435,251817.87134,165211.83092
20240911,10,0.03796267004112508,144838.69867,185501.10502000002
20240713,23,0.02207505518763142,222768.26831,142346.37808
20240503,6,0.014446169959203559,254229.00344000006,226483.025365
20241026,21,0.027053837135904146,176849.49672999998,200493.97191000002
20240802,12,0.015196413646378915,119038.35782,103359.05851000002
20240921,23,0.03170275500126163,200712.23273000005,134508.55485000001
20241126,20,0.02879023435251593,132468.63787,148362.44905999998
20240818,17,0.02022346933616692,203722.40052,203429.59082000004
20240902,22,0.022678308198220698,194081.43049,226479.84127
20240422,0,0.0166129514569624,102068.94509,111777.75595500002
20240403,19,0.021403536934472278,195524.69678,240261.094585
20241013,19,0.022782503037666046,215007.04205999998,209212.04647000003
20241111,2,0.026636478775643457,128247.14751000001,82379.32468
20240805,23,0.03602120104977402,73600.33132000001,124575.83203
20240911,18,0.025380710659894667,157881.25046,202131.10389000003
20240428,21,0.012835940637079268,198231.64477,206891.28059500002
20240815,12,0.009800558631845036,213976.55091,173164.15579
20241020,20,0.04072987943954942,216700.60147000002,188448.83395000003
20241016,10,0.02315708220763657,217941.88618000003,197209.39404499996
20240804,16,0.013580191028039756,109816.97503999999,124021.75266
20240531,14,0.018138286294711037,216998.35606999998,208425.39875999995
20240518,5,0.01758829323201816,264942.66582999995,278285.96801
20240508,2,0.014312294260765412,212043.75434,212533.77516
20240531,9,0.01822389911747546,205784.85508500002,206539.91168
20240519,8,0.014291328736293352,231602.30679999996,253267.45013999994
20241030,13,0.03314550878357192,201765.64548,204744.63687
20240729,4,0.01818876298824712,143333.596035,99211.49557
20240722,18,0.014568764568778647,177357.61933000002,156740.31676
20240610,6,0.016490765171517374,219398.60249000002,226793.42291000002
20240607,15,0.015395273650997687,203259.05720000004,187069.72611000002
20240609,4,0.024763712906028523,216988.9466,213900.89437
20240612,4,0.017480989424001336,208068.55085000003,229337.05208999992
20240924,4,0.024857071836925648,168864.16264,186493.61299
20240817,18,0.015412278448501127,188112.98438,183596.02110999994
20240607,16,0.015399422521666928,197436.44455000001,204067.59643
20240611,14,0.017752529735481914,192150.76885000002,233851.16949
20240601,6,0.014701558365182166,216620.60146,214969.20650999996
20240617,17,0.021494282520850838,211085.95626,202379.68600000002
20240813,9,0.015085231558309431,181665.95989000003,183897.46267999997
20241105,18,0.02651347768447554,247140.43640000004,252151.64416999999
20240710,11,0.02176278563656986,276265.840755,167117.51517
20241011,5,0.022060445621008284,225334.66010500002,222671.62422999996
20240903,15,0.023604390416620546,156869.33134999996,211341.48921000006
20241202,17,0.016149870801052124,141847.36465499998,152147.98468
20240919,4,0.019743336623889718,208021.78484,195889.49991999997
20241127,2,0.022921322560320867,143759.33813999998,153118.81537000003
20241120,22,0.019917673615710285,150200.07766,146573.55235
20240722,2,0.02034105163237765,217888.97052000006,155516.5219
20241103,1,0.02497086732144993,235930.67063000007,219884.04090999995
20240918,6,0.027036160865168135,153525.54977999997,187270.961005
20240730,12,0.02114984666361508,138550.27072,110169.89639
20240803,22,0.021455544112591873,108386.04874000003,110759.28345
20240914,22,0.031242189452629354,160881.387475,195250.59252999997
20241117,10,0.026586905948833284,124538.2414,156712.77250999998
20241111,10,0.03374502260915513,141028.59389000002,101066.41131000001
20240405,10,0.015671524839366846,240912.97752999997,232609.09570000003
20240828,4,0.02080083203328531,169249.18524,167967.07536999998
20241117,18,0.020300446609833322,121190.44780999998,174884.36834
20240727,16,0.015275337966857983,134501.92548000003,120811.26482999999
20240406,1,0.01620920682947613,130327.280615,187484.40967999998
20240806,2,0.04040812203252031,76047.903215,132499.77829499997
20240825,14,0.018862586060564013,182171.15131,188695.6054
20240514,6,0.014875418371151916,236568.50236,187986.92519000004
20240522,3,0.01320044881525373,211222.86533,255066.18758
20240407,20,0.011082481376079034,141592.53074,139919.041805
20240816,7,0.015132408575024847,202721.55375999998,169419.91139999998
20241209,13,0.024121960632950135,160964.20072000002,187167.93751999998
20240826,2,0.014126954228665944,190391.04658499995,202224.36569
20240816,19,0.02014200110780351,175753.12510499998,187511.34374500002
20240923,17,0.01848998459168527,196581.94358999998,144722.33161999998
20240717,23,0.017493527394862873,140384.32825000002,257848.27166500004
20241127,18,0.011016855789347524,138118.11819500002,153028.08253
20240415,23,0.019501413852518468,126659.38404000002,97249.25965
20240817,2,0.01013017271944694,185314.39325,201649.47585000002
20240922,4,0.024840091908351347,216091.8568,165117.65736999997
20240803,15,0.016624758428662734,127501.166835,112775.807375
20240724,1,0.0180108785706512,239289.43391,235216.36815
20240619,17,0.027974822670773225,253602.55537000002,201273.93476499998
20240618,16,0.018491124260355818,224517.14295000007,228653.32976999998
20240626,11,0.021183747828668054,265391.05801,295555.70633
20240626,0,0.01278445410382023,277372.31667000003,261092.31626
