dt,hr,med_spread,med_buy_sz,med_sell_sz
20241009,10,0.02042692268409141,162713.49096999998,212781.07841999992
20241104,15,0.024442573531402445,134512.91874999998,159802.40091000003
20240803,11,0.024068968535306823,71123.85781000002,102040.59366
20240417,8,0.01644286105784154,65270.80375999998,62634.32582
20240407,3,0.014252729397679076,91508.25445000001,102776.83834999999
20240419,2,0.01906305133401176,36775.620085,32049.910069999998
20240720,15,0.014193121067318515,68121.65732,62314.447380000005
20240401,14,0.022012855507624884,101764.33051000001,72664.48188
20240816,13,0.030782254440719914,75892.100615,88356.89854000001
20241029,21,0.015942788165901334,160309.97543,115030.31092
20240822,18,0.007011311582671986,74940.1415,100207.00323
20240817,10,0.01509395990038076,133291.62167999998,68832.00056999999
20240412,15,0.018260115347301653,41995.88855500001,73175.74994
20240911,18,0.02491590880777661,114332.57989,91195.92720999998
20241030,8,0.02745555631820107,155794.87012,105151.26434
20241108,16,0.02554100492244693,134385.52849,107377.18294000003
20241127,2,0.016654554263562105,101804.86674999999,161160.39489999998
20240728,23,0.011016855793066771,58440.784070000016,46688.092135
20240817,2,0.015028177833431577,82016.87830000001,66610.6793
20240412,0,0.013167520117041143,74623.90824,73998.35978500001
20241117,18,0.019027520714032242,86619.22618999999,136472.65201
20240419,18,0.012571839080455227,59608.79196,55131.689379999996
20240804,16,0.029069767441858296,84296.07859,84505.10742000001
20240501,21,0.01317848612141237,71049.46858999999,82281.16039
20240504,21,0.0043949604453530355,67905.16774,61441.22535
20240511,4,0.012533597003083763,70080.518495,61045.85728499999
20240527,3,0.011426249904777919,63281.354159999995,110275.84316000002
20240525,2,0.013872949010607094,79266.98802000002,63420.717795000004
20240522,12,0.013943642332892026,105652.525985,75799.269795
20240523,10,0.017597667052138277,64903.42078999999,87848.961805
20240502,20,0.01153668666358243,96787.87896000002,70068.65124
20240509,0,0.01012160384041838,68144.38302000001,79573.69462
20241125,17,0.013644322825479005,108777.32238999999,177870.01712
20240912,17,0.023512261644453858,72523.08456,76565.26689999999
20241126,3,0.006122855087320467,130402.20916000004,182223.12481
20240822,10,0.00709437888712916,68597.30969,61749.38797000001
20240610,3,0.00768698593280881,70585.83369,67426.26656999999
20241015,6,0.030575429584778213,208768.06977,217796.13811
20241105,18,0.018170491122426746,118513.08815999998,145048.7599
20241109,21,0.03726762539459916,136161.65358000004,138970.42957000004
20240625,18,0.014409481438781846,79749.038,82286.68241000001
20240618,0,0.029039939596930964,112473.23191,132148.60064
20240627,1,0.01543775689392124,87083.32713000002,129089.06822499998
20241023,11,0.02387567285986325,166963.66513,163466.92004000003
20240825,17,0.012170261966137907,72369.34350999998,104722.63917499999
20241016,18,0.01421319796954812,176179.68458000003,204235.34421
20240727,22,0.012145397761775811,51380.120639999994,65484.01464
20240714,4,0.02429543259446776,111574.68444500002,85820.597565
20240616,23,0.022763885970444875,124356.20534500001,66089.0677
20240629,1,0.022127676696770404,79447.19328,78969.69123499999
20240706,14,0.030668798878408232,114203.40576,104854.26019999999
20240702,9,0.020499822956066005,80941.70962000001,137590.71409999998
20240606,12,0.008004589297860853,87526.71090999998,72054.02878000001
20240608,2,0.0073085524680882585,75760.045375,73071.79056
20240417,7,0.018433179723498228,63621.98701999999,71136.93077499999
20241007,4,0.02303660901115112,183037.48832,198301.30659999998
20241117,10,0.020115665074182942,113551.53897999998,134138.80775
20240502,12,0.013131545254596588,78204.74715000001,68693.40676
20240831,13,0.01953315753491225,90472.72498500001,74262.85689999998
20240830,16,0.02007880932659578,83041.56553,94781.65734
20240926,5,0.020806143486740147,93462.00446,117378.56094
20240911,2,0.024995000999816774,86086.08800999998,86213.16999
20241111,10,0.020790020790006913,127793.17685999999,153586.30049000002
20240721,10,0.014620714311797123,67622.88377,68180.56752000001
20240725,6,0.022854731808497064,100461.83240000001,52280.77613000001
20241010,0,0.02178981548164316,183534.03536000004,230267.48050499998
20241024,23,0.02547554347824832,117830.506725,160601.0969
20240815,20,0.012625624968443105,59019.64310999999,84312.2272
20240913,19,0.02103590127149335,93076.33413000002,73803.95279
20241023,16,0.022058012573067387,159883.36109000002,163138.37058999998
20240830,22,0.014541929229272554,84528.01818999999,82690.84496000002
20241022,16,0.014988330514098536,161890.82447000005,164747.30335
20241022,11,0.02347969006808448,159305.93368,155910.72592
20240812,22,0.02499625057803545,90096.06371999999,86654.06542500001
20240918,20,0.027062600720018093,113973.99079499999,94756.01992
20240515,10,0.012747694791848119,89419.25393,47887.54321
20240527,6,0.012781022737451408,65960.11713,110509.49902
20240516,10,0.009838283219587574,94891.86996499999,65606.84750500001
20240519,7,0.012666725778043286,66773.30431,95416.15563000001
20240529,9,0.010310739926178147,68805.0735,73964.94518500002
20241126,6,0.018249840313888654,155741.84713,202549.17156
20240402,8,0.02527047303166885,112733.92977000002,71371.03781999998
20240403,19,0.020830698499108014,77825.87686999998,110644.171455
20240607,0,0.009552923194489082,80238.38289000001,71160.58061
20241111,18,0.03470573192561055,147260.69752000002,121242.57446999999
20240627,21,0.022583559168931622,94553.76817999998,66992.28161
20240831,19,0.012396796667757393,104754.10977000001,86722.20332
20240418,17,0.016069993755674084,36247.81675499999,38475.90864
20241029,1,0.023014430047618717,178736.19532999996,126538.47430999999
20241203,18,0.00983781656689331,229714.70041999998,258347.57072
20240705,16,0.029069767441858296,124890.31456999997,105862.65734999998
20240701,21,0.01875539217524036,127687.36710499998,72444.36499999999
20240412,11,0.011735883932106894,99284.69772,86453.79888
20240415,4,0.020459787218207737,82554.59821000001,36912.35089
20241110,9,0.0208324655399883,136105.82464500002,170582.523185
20240619,14,0.024214052221638305,160287.93628999998,152263.38418
20240711,6,0.025919046179101457,68709.126865,70246.373945
20241003,20,0.021850281868651678,185199.65009999997,179500.880435
20240907,8,0.010977249650090393,85813.34554999998,93096.84664000002
20240718,17,0.02128948790591778,68196.11459,62074.86958
20240727,16,0.015814443858741534,65571.33243,70454.42175000001
20241112,20,0.02273588500888435,98054.07168,131672.21406499998
20240402,13,0.021012817818855112,115329.97230000002,59413.97579
20241006,10,0.010577980875003945,207863.86995000002,191450.52294
20241123,22,0.027225701061794894,175845.26776,151159.22448
20240406,21,0.01570732961118093,71184.92632,99861.75328
20240826,10,0.016140747316595316,72377.06149000001,106270.50265000001
20240724,1,0.01586322375959348,125476.6462,99394.46642
20240830,15,0.017626469921694365,87415.85320000001,104594.74431000001
20240425,9,0.011900777270179574,53896.434364999994,47084.50214
20241117,2,0.02244513890086175,100418.75949999997,135944.34259000001
20241013,19,0.01951261815973382,183491.749935,196023.66361000005
20241030,7,0.027327382036790304,163497.24103,125263.62749999999
20241206,23,0.0012511416667582154,211684.93262,241568.87990000003
20240404,19,0.013147707185945379,91530.83653,91475.17781999998
20241125,14,0.026576503418040964,105915.14495999998,148751.79797999997
20240717,23,0.019701521942572242,82925.27846000002,53644.41865
20240718,9,0.013194788058723539,75761.78892,55497.963220000005
20240730,12,0.02077980958137271,106561.57419,75024.2685
20240503,3,0.011049723767908581,76570.94443,59893.338410000004
20241116,7,0.03082314006683795,98834.51328,130742.24994
20240507,4,0.010706064985810393,70366.43279,64311.27617999999
20240509,11,0.018658590984166334,94776.58433,56163.18163
20240526,4,0.012187690432652332,68708.89165,65064.48323
20240528,21,0.007783413545725537,72374.58172999999,88259.190825
20240506,23,0.006843315454596599,74986.56829,45229.242809999996
20241210,9,0.002964016835615979,206075.77927499995,221450.354815
20241119,1,0.021418215368385063,105745.69462,160119.69141000003
20240815,3,0.026518164942990197,118923.95497,58761.36498
20240803,16,0.029500533658655126,77060.206545,85943.72884
20241116,19,0.033612033110230755,111209.76434000001,72589.96181000001
20240607,11,0.008154611432753534,67685.0883,65989.61308000001
20240603,1,0.009706045479762615,68659.09779999999,78775.74992999999
20241203,10,0.006787483879722167,158727.87197,175141.17412000004
20240628,4,0.01941936110303466,104038.44255500002,66729.12981999999
20241122,3,0.020813459370394582,135521.64596,142418.975615
20240721,18,0.01322073673999391,98336.934335,67097.78474
20240910,8,0.009962143853359251,80390.696635,84683.85665500001
20240708,22,0.029162367086921215,97786.48833999998,87455.32774000001
20241126,20,0.019525847340418068,187322.57669,141706.82524
20240602,4,0.00539592607580186,61380.150055000006,109670.14686000001
20241004,18,0.014478065730427758,212934.16639000003,182876.42925999998
20240908,10,0.013360767442471833,93926.91981999998,89358.32216
20240502,6,0.010112416361907073,73926.39341,87331.68701000001
20240813,9,0.022756580444505126,93508.76911,136359.07043000002
20241012,6,0.02114299004163378,220781.83636,212248.49166000003
20241028,1,0.01639536245461315,166596.58819,170773.66347000003
20241208,4,0.001307531380767557,176869.28890999997,286566.66171
20240910,19,0.019752598701283652,83547.18482000001,80922.302155
20240425,5,0.013147707185945379,55038.54341,56246.38494999999
20240930,7,0.007503423436938661,81474.09882000001,104765.321765
20240430,4,0.011716804827321958,76088.77781,58018.797269999995
20240716,21,0.009683979469965465,72475.64628,54648.15599
20240831,7,0.019364364727803007,89331.44271,81021.792755
20240403,7,0.026472924081533122,89354.04101,72284.14367999998
20241121,18,0.019301970555729575,128240.596005,121846.1526
20241203,2,0.0027158415034866934,119074.55901999999,117226.45449000002
20240820,8,0.012173447276797589,103331.46783500002,72031.02130000001
20240805,4,0.0253635441325617,74674.52254,68664.53031
20240912,9,0.019109497420211063,79746.77795999999,79403.56473
20241105,2,0.024832381425388128,138617.45573500003,165548.55975000001
20240816,8,0.017269026766997264,81256.45598999999,82625.162915
20241119,21,0.014169323414803259,119712.554695,138123.33385
20241014,13,0.02458537784910675,227306.734025,231719.196705
20240901,10,0.02777988275726173,107554.06943000002,91536.89249000003
20240512,1,0.014351114411326193,98339.07986999999,62872.45742
20240526,23,0.012810166147847468,52719.46824,98126.94621000001
20240529,5,0.010273796681570246,66725.63491000001,60336.56814999999
20240522,6,0.021369132915993738,64984.304789999995,117020.55687
20240530,11,0.010879912960692906,79864.03987,130436.84692999999
20240518,5,0.012515644555688432,82829.49997,67648.64201
20240718,14,0.016324131964284838,74059.04190000001,50851.17959999999
20240407,12,0.020105409791315587,46648.14366,75672.13650000001
20240923,17,0.02546672674201833,96590.62503999998,73617.86098
20240813,17,0.03320604349992262,134298.69927999997,117390.50630999998
20240417,13,0.01853052904661201,65918.23187,77781.76936
20241015,12,0.03182749497721016,231136.28694,232278.46588000003
20240724,21,0.019237495627844048,65088.21637000001,111017.43956999999
20240408,3,0.018680576511331815,71568.7598,75845.37522999999
20240601,20,0.018770530267486762,56849.08335999999,63457.099870000005
20240417,19,0.014656846579463867,67601.76328,82152.80994000002
20241112,3,0.02910890970758695,92304.715455,201482.72153500002
20240611,14,0.011400651465809375,109078.45163000003,77447.59446
20241017,23,0.016836079718851593,154252.06312999997,174807.14028
20240407,6,0.017162471395870682,85477.85855,96059.88659000001
20240619,9,0.016056841217904072,135265.13668,187621.32648000005
20240625,2,0.014615609470913782,91066.855305,97856.17966000002
20240616,4,0.014507471347746659,84505.693115,132846.944045
20240626,15,0.017297712857966552,79394.56881,133904.56751
20240623,16,0.021176651778831435,85436.86143,66007.88529
20240428,1,0.017815784785324418,68145.07335,43073.22132999999
20240809,21,0.02265062668168616,79799.63961999999,126147.32349
20241010,16,0.01999111505999185,185493.84446,235691.11128000007
20240701,1,0.027977767001163834,130624.59791499999,94126.84973499998
20240730,20,0.019485580677702785,62672.540525,78789.17248000001
20240824,23,0.021970998282272447,81797.87078,101354.86491999999
20240416,16,0.021147866028226048,48630.43672499999,74772.183035
20241006,2,0.022868547431453834,228155.54171,175634.3404
20240812,11,0.03171466563571812,95978.89795500002,61701.943589999995
20240917,23,0.0266189139483064,123896.76087000003,81643.86098999999
20241022,22,0.025483117434710323,157126.50724,136547.1567
20240416,15,0.019552635695307963,66128.45222,54182.82923999999
20240501,1,0.016300715605743754,99957.78077,68013.088285
20241130,12,0.022795594751312542,92616.34320000002,150007.85049
20241023,0,0.017198753098346398,160750.41101,147921.20955
20240827,4,0.01438612355624258,70178.56641999999,103861.14678999998
20241017,4,0.024097837219105855,145959.57309000002,213710.13159499998
20240927,4,0.014342315208248912,76883.26032,111367.87861
20240818,17,0.01744287458573801,80281.70243000002,66651.71035
20240828,4,0.0306359140443746,125959.02002000001,71236.83618
20240714,23,0.02028285361310722,160655.42134000003,101289.16221000001
20240920,4,0.015721504772603367,125728.90618999998,83709.92003000001
20241007,23,0.021462577070141542,161593.00415,160017.55594
20241123,15,0.018543701322792927,428955.29560000007,185137.01991000003
20240811,9,0.02148561129788895,101043.97672,119790.21053499999
20240403,13,0.019374068554389723,102092.95794000001,128621.59361
20240722,2,0.01256873527100133,67413.44516,51574.00803999999
20240522,20,0.027042641328511863,105595.67528,68003.79160999999
20240419,10,0.01231245492763211,54822.47408000001,46264.09329
20240722,10,0.014477134170864936,60833.55986999999,121771.25160000002
20240925,4,0.015118015004644825,117341.85669,71517.8097
20240829,23,0.03093249577652557,75415.04627,80436.86604000002
20241030,19,0.025345038132762454,157180.26416999998,150763.18177000002
20240404,8,0.014729492863563287,55518.76099999999,65934.70608
20240608,10,0.008828073273003945,78385.39842000001,67250.629475
20240427,13,0.01706375446033359,91513.26917999999,65256.44153
20240606,6,0.002657418849083548,122141.31062,71266.15065000003
20241110,5,0.03545729481697624,139549.70656999998,155316.59748
20240615,8,0.008912655971471395,139246.28806,150050.08675000002
20240710,22,0.023896419881830333,62067.84172000001,67035.19193
20240630,10,0.02377084901550308,101624.73938000001,67348.97756999999
20240703,4,0.022349282029310302,87874.46668000001,84044.74994
20240708,15,0.028456975242452387,109277.68913999997,108706.10655000001
20240606,3,0.002635011396878717,86551.566375,63320.168990000006
20240720,16,0.014267822888758275,70746.41381,60784.96744
