dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.01691999661599386,264211.65796,252084.6226
20240402,0.012749003984069418,272597.34510000004,253423.24088
20240403,0.0156838143036353,272366.62301000004,250893.66933
20240404,0.018715493309207076,280088.97786000004,241115.45289
20240405,0.017375590770085658,210010.99158,272958.426265
20240406,0.016829916860205962,187429.41919999997,282772.35971
20240407,0.01630257580695904,158998.48413000006,272850.80860000005
20240408,0.01539977824320804,154199.97045999998,263308.4123699999
20240409,0.01785289216853503,149018.46909000003,252420.2983
20240410,0.016615711817102863,163444.53703,287767.41777000006
20240411,0.016977928692707422,174758.30416,292873.80405
20240412,0.016743687629761084,176142.95271999997,269794.031595
20240413,0.020758085274197313,179244.00617,252011.03786
20240414,0.02565911862101311,143054.262575,145964.31781
20240415,0.022006073676350546,110129.79035999998,124941.00162
20240416,0.022478982151685756,177662.904255,220990.51622499997
20240417,0.022605000226061378,216616.75752499996,226563.563615
20240418,0.022349365278007127,172868.88326,203286.62363000005
20240419,0.0221818020495812,185651.62217000002,199069.64281999998
20240420,0.020116676725012717,158838.63801,209947.4898600001
20240421,0.020209369063506344,194041.75276,202043.92572500004
20240422,0.015756716300319162,197066.52427999995,195171.51040000003
20240423,0.01194838298548273,212276.41993999996,195787.93272
20240424,0.0118254562655018,194265.3237,191400.11896499997
20240425,0.012605571662671622,147983.837595,158472.225515
20240426,0.016671529196021773,141617.994955,171263.97426500003
20240427,0.021570319240704627,214789.25324,238496.33380999998
20240428,0.018906450881028825,199415.83933,208712.26123499998
20240429,0.01995370739884539,215987.75216999993,232465.06032999998
20240430,0.020802130138131147,226146.95598,203083.14128
20240501,0.02309646624065742,224868.44812499997,216156.53660999998
20240502,0.018138286294711037,239897.878065,220124.22790000003
20240503,0.017380120623289308,255924.89921,226193.78986000005
20240504,0.017145012515840108,268116.56439,210142.46885499998
20240505,0.01728488954955143,242052.92417,166908.42337
20240506,0.014086987145622842,261954.08884,192410.26695
20240507,0.01483569468139212,285515.4242,269743.58036
20240508,0.018757503001198828,307448.31992999994,304929.00539
20240509,0.01898686109214065,325862.52703,329945.67319000006
20240510,0.01512802087666465,361439.94397499994,338702.19761000003
20240511,0.015833432292278182,361594.52673999994,355132.07633000007
20240512,0.019465477982194557,340165.74444000004,357327.51586
20240513,0.012085565805919352,402506.29128,354552.091915
20240514,0.008346200392272962,399490.65469999996,355914.876745
20240515,0.012319316688569337,330393.19139,332692.50216000003
20240516,0.008501955449746745,402838.07791999995,370340.5335
20240517,0.015518311607687352,343106.45664,317556.80921499996
20240518,0.015682584489917772,338535.24792999995,325098.91997
20240519,0.015858541807078907,313103.036025,307308.368065
20240520,0.019495457558371676,384844.44906,365054.67427
20240521,0.021047462026890784,346743.02828,365868.49901
20240522,0.018765951058385966,381073.57985000004,420640.72744
20240523,0.022394744699916203,381609.23245999997,406148.2427399999
20240524,0.015678896205706394,340789.9319099999,390380.06206499995
20240525,0.015620118712900144,416612.1892449999,456197.15101499995
20240526,0.01579841225958223,433404.42819,445777.39212000003
20240527,0.019329647813814965,382963.79214000003,400854.43421999994
20240528,0.015851942859967938,342212.17403,348677.58823500003
20240529,0.019564111593695088,303822.15998,310210.51190000004
20240530,0.019796492061585624,255934.21281000008,351192.323765
20240531,0.016215997081125977,342728.5322,301183.80905
20240601,0.01615835184811676,309488.42328,304351.12506000005
20240602,0.016188433364350274,236379.10862500005,237160.7102
20240603,0.012420817289782171,286354.23823500006,287338.81285
20240604,0.008312897460416302,243205.908995,252530.23076999997
20240605,0.008005764150187389,229697.53954999996,238297.00971999997
20240606,0.011879306248530064,216817.65281,248753.92578
20240607,0.01198897014746958,230294.53545,250396.21316
20240608,0.01333274076706914,281618.9618050001,320899.62246
