dt,hr,med_spread,med_buy_sz,med_sell_sz
20240403,13,0.0495933346558175,122854.63424399999,122871.988562
20240812,22,0.07012622720898865,45719.282660000004,58466.0808445
20240911,2,0.09444086713887856,100129.07938899999,85967.442701
20240904,7,0.059220116618075025,117373.95066199999,118985.7212605
20240412,15,0.03339864624154476,92048.834937,108120.137358
20241029,21,0.046847550263517945,102836.82658299997,107388.25789100002
20240803,16,0.08118201006657166,68042.7276765,80050.24106
20240813,5,0.06651030909792244,83957.20790499999,97211.37923199999
20240822,10,0.090323594093622,121676.03749100001,98180.24664999999
20240815,6,0.04742967638367013,97200.566028,86905.81740100001
20240914,16,0.07970467321083419,84517.98486000001,122849.793581
20240918,12,0.07973421926910085,105804.392957,149358.49580399998
20241122,12,0.04287033372905036,56744.39805,49457.61290850001
20240830,22,0.08789185116979681,94461.69469299998,121813.89428000001
20241122,6,0.050482953589336965,46453.610127,59660.534395
20240825,5,0.060036728351464674,61739.413092999996,59119.423565000005
20241012,6,0.05828449308682426,108440.074016,126132.34338800002
20240503,3,0.04029704680215129,119837.61712499999,119041.01319299999
20241025,12,0.06718674181629414,112139.643945,128018.27698799998
20240508,10,0.06037779247289876,86768.27117799997,71725.01328099999
20240518,17,0.04301568638698239,121352.207076,114495.566633
20240507,4,0.050397580916117235,112415.961661,89249.472521
20240519,13,0.038463814426892284,104024.14891200002,97363.11503700001
20240512,21,0.036393412792268265,110546.92954499999,135253.385517
20240406,1,0.03359005734302478,120203.834776,87351.437999
20241126,6,0.031398966688533925,58722.920638,43389.184616
20241007,23,0.07019471403282296,97354.063855,61907.86814349999
20240809,1,0.04602285801948991,100403.993811,99844.426753
20241123,22,0.06018562513858683,49703.09573200001,82270.19867700002
20241022,11,0.05155018778997267,125548.93166099998,124303.86936700002
20240904,19,0.09637709729706234,119783.285627,99669.738009
20240610,20,0.045294589038702426,100127.07819499998,112334.092724
20241110,5,0.04212299915753448,38617.678894,67631.521806
20240628,4,0.05057955742888698,112648.05376499999,125866.27251899999
20240618,11,0.07631190656548492,80839.20496599999,104755.40913700001
20240623,22,0.08049729439649767,120177.81529199998,109717.968018
20240617,5,0.053690166439523956,108139.82284700002,152499.77021699998
20240617,14,0.08962982880702519,105756.537667,105990.28094300002
20240412,22,0.15592515592515177,51752.569312,44037.57559800001
20240701,21,0.04701256517651853,169109.961118,158968.286159
20240706,17,0.068442923490597,90042.72794800001,113445.59161100001
20240629,1,0.08156606851550396,93471.389735,115003.81205899999
20240626,0,0.07373671654737901,109728.220708,131012.106439
20241118,21,0.06417835557448459,68380.215024,89315.50764699999
20240711,3,0.05688551789524432,105411.53014300001,124292.96134699999
20240918,20,0.09227524404844534,101791.859869,111255.84894650002
20240923,9,0.09612185293355058,65562.96818150001,85943.9626
20240928,10,0.1034814103037851,71862.991309,111017.95988899999
20240720,11,0.05124566382843643,119055.71002,122650.92971599998
20241010,22,0.06269385600212729,129572.596537,100176.755446
20240727,15,0.07528136409831188,91530.62423,99882.96029599999
20240919,4,0.0764071652941789,150337.36142899998,131967.07127599997
20241122,20,0.0535977488945516,53323.98479400001,44844.661911
20240816,7,0.08861149637848786,74699.95490849999,87264.305071
20240731,1,0.1108164799936695,49123.405683,93980.700887
20240413,4,0.0364869892750086,59159.7749935,53932.21709000001
20240828,4,0.07860334271057035,69133.55984799999,48779.542426
20240831,8,0.05033557046980608,108414.12331400001,120116.841601
20240914,11,0.09276437847864916,114239.73597099999,122138.52741100002
20240831,7,0.054525627044732516,121437.36688900001,122121.237535
20240808,10,0.056116722783383644,83553.090301,108065.429009
20240529,14,0.0478497517794052,103709.24608299996,109885.03387600003
20240513,16,0.10775234434154957,105621.87984099999,74205.57651099999
20240530,15,0.061005368472422106,107085.743328,118003.78034
20240508,18,0.04485562097000795,146238.435096,121027.03475500003
20241104,16,0.06537941855901952,91271.91215199999,87204.27387399999
20240730,6,0.09937591922726252,97653.779481,124169.389785
20240606,12,0.03988219413424421,99123.674711,93224.92862800002
20240416,0,0.041560600550694105,60071.36464099999,51070.10566699999
20240607,22,0.05764665988470252,87471.3116,68618.316021
20240703,4,0.06877579092159358,76288.169282,110129.760932
20240708,0,0.0589622641509413,101077.89849300002,99796.60246600001
20240706,9,0.09239772085622988,81553.531091,109065.56900100001
20240908,18,0.0899887514060671,121962.1165,123099.197285
20240710,11,0.05734492975244532,117434.26088799999,138549.81542399997
20240712,21,0.05622188905547443,132164.556477,124956.90804599998
20240426,18,0.03808383885095523,107517.36762300001,127380.56697599999
20240826,2,0.07769733366568277,71816.57785799998,83940.469231
20241012,12,0.05509463313455587,120266.36355400001,116559.946417
20240727,11,0.08558776467084694,90653.00094000001,108220.64644399998
20241013,8,0.0433564567769551,97275.14135300001,114905.802507
20241123,11,0.056888214658190606,45987.971038,63380.40254299999
20240819,2,0.07827949901120235,111396.02007299999,98558.44704599999
20240503,20,0.07820573694941046,103725.91245099998,71234.145821
20241006,18,0.07026060296373426,71635.707463,90165.480384
20241209,13,0.06358565276454176,64415.02582,102164.369297
20241003,20,0.04931527635523292,110433.47928700001,122613.87756400001
20240903,15,0.09266204827251823,91554.405079,68885.922766
20241206,4,0.028351976906026977,47323.778369499996,55786.009128000005
20241102,12,0.08529304252467007,48393.1768285,48268.34443900001
20240907,7,0.09930486593843213,120941.516267,122256.64258850002
20240502,12,0.04512771142333172,116060.27651,107503.828475
20240825,17,0.04716638850590371,112372.428149,109559.820047
20240809,21,0.08782098570274677,55308.696993,58362.19829200001
20240803,11,0.08200242102385236,99410.668613,101957.14199700001
20240514,3,0.08200455580864574,106990.52618199997,117203.807065
20240513,11,0.04285539365740387,142948.92051400003,167628.88532299997
20240516,10,0.04155659117219823,147060.99320699996,121753.38758099997
20240530,16,0.069421387824109,104379.242593,151303.400271
20241111,18,0.037069988137594656,39748.61874600001,74920.319674
20241017,4,0.060626473560110306,127756.673515,75516.76634249999
20240915,13,0.08933509167481368,87698.71672799998,109277.49238899999
20241210,14,0.07154006243494937,41061.5379675,45333.96337899999
20240902,16,0.07761631667457802,121844.61538799998,98101.368946
20240831,13,0.054759898904799265,109807.96273999999,120865.88377900001
20240811,5,0.04561563563634241,98044.816292,75905.32822
20241023,11,0.0666790146323315,86788.77686400001,88739.382671
20240601,20,0.03680191369952457,106815.588342,138244.460057
20240829,4,0.07058042016108157,104296.662905,85769.57744400001
20241127,2,0.044962765210065925,44769.352008,44679.17953000001
20240403,7,0.06121599451502924,141300.08841700002,142567.37857
20240608,18,0.045918547561019096,105411.682245,107837.109257
20240822,2,0.07629602859091644,109276.34009399998,121336.39096600004
20241024,4,0.048068034756876266,126205.81205600001,117583.193777
20240620,12,0.052349168956955516,155486.006496,143074.748166
