dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.01815898188641807,274499.36999000004,308117.08222000004
20240402,0.020405387022170984,321570.14531000005,320065.50885000004
20240403,0.02035140085476783,317399.65523000003,324028.78543999995
20240404,0.018904241424344548,324816.88162999996,321702.71554
20240405,0.023629888433185364,309910.575175,298792.0354799999
20240406,0.02695073688989691,306248.78669,300991.2765500001
20240407,0.020183807204277038,303294.7592000001,303333.41958
20240408,0.017426039865431342,282890.54977,276821.64133
20240409,0.018200018208025526,257672.338545,253506.22277999995
20240410,0.019290123456805475,268933.53579999995,268879.73193999997
20240411,0.016695562833124455,273234.0397549999,283412.01083499996
20240412,0.01818080107405251,267060.76915000007,281671.96438500006
20240413,0.024776597677611534,237074.53089000005,226866.12814999997
20240414,0.03315943054205128,99536.09726999998,89870.22614000001
20240415,0.028470040369399374,105083.16805499999,105796.169805
20240416,0.02777520599943628,188425.56771,181020.92478999996
20240417,0.023269613378529286,199402.661165,182659.87037000002
20240418,0.020848776871762453,174089.25064000004,150297.75233
20240419,0.025115302068567935,181936.765255,155909.95421999999
20240420,0.02166096261317918,178677.10102500004,172519.62899499998
20240421,0.017872036220656362,183511.71944999998,187378.52459000002
20240422,0.017984892690137144,176973.87370999996,177090.06332000002
20240423,0.018037518037528066,183556.98057500002,162380.45256
20240424,0.017892688600129603,179383.89295,170993.871945
20240425,0.015986114917332372,140475.14127000002,139708.075665
20240426,0.014347202295561523,156527.75817499997,162026.23538000003
20240427,0.016958596797245207,188392.20940000002,182635.54621000003
20240428,0.018424264756689013,183752.863575,177781.53725
20240429,0.01710069868570141,187597.10487,201060.56383999996
20240430,0.022659751246267845,184902.35709999996,204103.83187999998
20240501,0.024154589371994106,188083.30573,212447.85067
20240502,0.017334026694393323,224423.72233999995,239446.17033999995
20240503,0.019218625593708794,216225.13215999998,227633.95194000003
20240504,0.017276272274036053,230331.66024,191430.25891000003
20240505,0.017687040452796232,222110.55759999997,198019.35822000005
20240506,0.01682651859329365,220903.02001999997,237335.82306999998
20240507,0.017757483510894012,248338.61979000003,264723.12728
20240508,0.01592652562842911,241619.58510000003,244641.59758
20240509,0.013034750645202209,245285.32022999998,248177.21747999993
20240510,0.010257462303830955,245556.95160000003,244375.3156
20240511,0.01101746267835324,237694.83826,245715.77978999997
20240512,0.008285919460870872,246530.54762000003,254004.57869
20240513,0.013556013447568738,247625.20522,252637.46263000002
20240514,0.016493938477601944,236969.08236000003,245406.053105
20240515,0.013919434314191292,233172.77082,237274.69740000003
20240516,0.013195397445353585,266940.5171899999,286950.27442
20240517,0.016120798516894297,244340.67808000004,244080.63147
20240518,0.017052790567362308,227666.7078,209010.53353
20240519,0.014986137822514678,239302.40399000005,237685.13307999997
20240520,0.019374212922596,231300.75422999996,218513.54867000002
20240521,0.020763161537407093,263969.40351000003,242888.83589000005
20240522,0.019204455433663448,235366.53566,249073.648395
20240523,0.019397701372403375,235111.80849999996,256534.85128
20240524,0.016233327020365174,203542.157665,234389.55828999996
20240525,0.015777018143570132,210599.34569,237492.52674
20240526,0.020648891412622383,276123.94795,291783.49171000003
20240527,0.017462891355868315,196637.91957999996,266690.75618
20240528,0.01708984374999556,186825.04018,245160.68624
20240529,0.014668850695542801,221895.25051500002,240586.750165
20240530,0.020496003279357744,214784.33981,213893.50533999997
20240531,0.01623080200450211,200027.841295,208230.11721
20240601,0.014803222873083222,217607.49691500003,228069.36363999997
20240602,0.013310262212162804,209516.528835,226169.20059999995
20240603,0.012912667326658855,210019.08513000002,209520.79364500003
20240604,0.014525232403705957,200524.03864999997,193128.27096000005
20240605,0.014035826447011956,206662.42324,196131.36749
20240606,0.012077294685997053,211482.469705,215172.933925
20240607,0.016041065126715104,205091.21856,204329.68996
20240608,0.014539579967687288,212561.48714500002,236835.29910499998
20240609,0.011435292580119771,198276.38583,239712.90137999997
20240610,0.008481188723408195,183142.81071500003,233890.85147500003
20240611,0.011314883795754405,169865.87360500003,217309.07992500003
20240612,0.012990628189668563,190643.83530500002,189851.22222500003
20240613,0.011882835244492185,159742.54287499998,160776.43287000002
20240614,0.013301704835178008,172893.74133,183195.71677
20240615,0.013362731342270173,180629.97757,188047.08658
20240616,0.013265238442672356,188445.35218000005,203730.478505
20240617,0.016106394238524224,174009.26244000002,178184.03325
20240618,0.019203862719807674,151271.88368,143729.71263
20240619,0.015659254619482255,160647.00948,171081.70077000002
20240620,0.014951035359200837,157776.71778,150462.98056
20240621,0.015161469651792103,175521.26025,174718.67574
20240622,0.014670285337059497,169163.09495000003,177839.16107
20240623,0.014643968517646933,173845.178685,184366.470205
20240624,0.016841632515585125,161977.24949000002,176268.86767
20240625,0.01342353951889752,177951.21018,188598.11925999998
20240626,0.01322121740969795,207169.86037,203069.44819000002
20240627,0.013196790540548342,208042.21196000004,184087.93257000003
20240628,0.013093461125524009,240690.57035999998,198232.97039000003
20240629,0.01528896136988589,266355.17407999997,212740.57294
20240630,0.013106503447013473,256521.41234,204454.6353
20240701,0.015552502656879241,133625.5734,131641.41084
20240702,0.013095518713512888,127800.210655,129414.46422000001
20240703,0.013775243133040682,119172.57815000002,125376.95667499998
20240704,0.014997450433429371,163720.87704999998,166670.20833
20240705,0.017967191913370595,154173.14301,153511.80992000003
20240706,0.017605633802819654,184915.36221000002,170731.45868
20240707,0.01650873311982437,213572.48015000002,212063.110155
20240708,0.016996974538519005,157436.19872,149022.71468
20240709,0.0165645188007435,105375.73449,107671.84938
20240710,0.013165256887082144,144706.20509,139665.55337
20240711,0.01262028711153107,134535.25357000003,138085.17095
20240712,0.012848515996388699,104207.46477000002,103676.69132
20240713,0.012111302873396568,161857.40057,150381.04372000002
20240714,0.012317167051567601,105569.01252,100952.048585
20240715,0.014665337009422963,102155.22864,97828.54506
20240716,0.013741171297443344,135474.26900999996,135430.32389000003
20240717,0.013585848979702497,101874.83428499999,101735.30709000002
20240718,0.013788158729299838,91723.84779000001,95910.53276999999
20240719,0.010811979673475136,91717.863755,96994.337205
20240720,0.01029097738556306,142620.64658,153010.91382
20240721,0.012172558184841975,144612.59360000002,196873.93627
20240722,0.012217470983522105,148718.132825,182027.24978999997
20240723,0.013651877133113999,163245.83027000003,183750.85530500003
