dt,hr,med_spread,med_buy_sz,med_sell_sz
20240425,1,0.013353511973646093,181854.29968,166371.110085
20241020,10,0.016228497241166373,138136.84549,114612.92809999998
20241115,23,0.012867694366525129,114276.27610999998,100914.68299999999
20240808,3,0.01468428781203901,120821.22475499997,114889.95874999999
20240823,19,0.016563604240293905,110457.23229500001,99529.710505
20240817,12,0.010758858126513893,158712.69571999996,179591.46902
20241014,15,0.01571030203324497,139228.457855,338844.627985
20241010,8,0.006094123742594881,126829.94342,142832.88252000004
20241009,6,0.011333050007067413,123810.26396000001,99896.60394999999
20240803,13,0.009764671418799331,171990.48020999998,147830.18026
20241105,20,0.00958160332162894,103610.39035,97759.67173999998
20240916,9,0.009741841207966395,130388.663955,135531.066245
20240812,7,0.014585764294050563,75884.15763,85188.34688000001
20240811,1,0.013754685189648619,87637.12177000001,82529.25469000002
20241018,8,0.013661202185777377,134700.4395,368767.82631999993
20241013,11,0.01418298894875214,112901.00040499997,117919.4512
20240910,0,0.010108497877214795,130440.27088,127749.56761999999
20241016,12,0.008027937222965242,172447.25558499998,216125.44298
20241003,2,0.015242972989448766,132072.26426000003,120901.90286000002
20240817,20,0.007153843402374349,149186.41595500003,241400.85421500003
20241127,20,0.01493614796743703,119755.98852000001,104950.929145
20241031,4,0.011486001435745408,144985.32256999996,139003.80045
20240831,16,0.010980765392443192,119277.39207,131510.180205
20240820,0,0.016954037647920472,167511.20447,160514.71273500004
20240426,3,0.014336232446299224,164375.28007500002,142162.078575
20240830,13,0.014477017734360054,109441.588875,108910.74296999998
20241203,20,0.010065425264227379,257135.49493,231114.01546999998
20241026,9,0.015614509005579258,157784.07783999998,95716.96615
20240523,12,0.016967229009101636,283729.57865999994,314741.95131
20240508,20,0.018384766907408867,225230.20289999997,215636.87371999995
20240504,5,0.012369042807092168,235528.140825,195077.320175
20240509,7,0.0315204686097359,223730.716625,215691.24099999998
20240519,11,0.012444311705106514,258764.46075,281614.44458
20240720,8,0.01419547164454027,128855.96337000001,106042.27302000002
20240808,20,0.010917030567680897,148390.40490000002,141853.15926
20240907,0,0.02480334490821967,236164.22464,284945.72523
20240403,22,0.02788768235930661,292559.53189000004,321942.73658
20240823,13,0.015852382613101845,101937.63720000001,105842.89076000001
20240821,4,0.01019991840065515,102691.02148000002,103331.96142
20240610,18,0.006878525244191636,214990.48134499998,169494.78267500002
20240411,15,0.023624071731997986,255265.82515500003,270977.346155
20240614,9,0.010440593025684564,174110.28948,181278.65527999998
20240724,14,0.015521121659722859,109552.81132,102193.73593000001
20240818,1,0.0035702809811244407,96314.92249,110684.52432
20241015,10,0.012935941219072156,128713.83402500002,283630.82506
20240711,10,0.012501953430210655,162363.37333000003,217314.35294999997
20240416,7,0.03035751815612109,183761.74078999998,193557.34302000003
20240928,12,0.004993259100194436,190810.29458500003,174217.243685
20240722,6,0.007433470439566214,144104.00105,200225.71194
20240819,3,0.01400707357215314,143345.40722,183255.92988999997
20240403,11,0.025952455226552207,294078.40114,324394.95785999997
20240916,14,0.013188045040768426,125089.75162000001,127722.721405
20240503,2,0.016458647647787927,238456.51165999996,238351.25687999994
20240930,16,0.010488226965255087,186563.09810499998,202506.45151499996
20240502,18,0.01691236577153754,237069.30601,250304.08846
