dt,hr,med_spread,med_buy_sz,med_sell_sz
20240820,7,0.010447865152896085,83207.23120000001,103752.9722
20240802,12,0.02439693818425681,67008.11165,63757.518500000006
20240804,15,0.05961918247194831,65481.2939,74363.28199999999
20240411,19,0.041157707515693254,74883.7828,94651.0311
20240806,18,0.028966615975090093,64251.073,68410.16119999999
20240425,5,0.016340937316150494,50224.3396,40732.731100000005
20241123,22,0.018540148692003378,70697.6255,82061.36260000001
20241009,18,0.018119459007759353,76899.56625,90714.0853
20240413,4,0.033487749067262484,51091.67104999999,47176.099599999994
20241103,21,0.02475693194095019,112668.26150000001,97343.57079999999
20240803,22,0.01850823616509345,68353.8172,65525.229400000004
20240919,23,0.03181489515546865,139119.79420000003,146217.58579999997
20241114,23,0.015704442394137708,67720.89910000001,63920.28629999999
20240915,13,0.023464539215112268,108720.0392,135468.6436
20241006,2,0.01834405587389787,95418.6424,100456.39825
20240803,16,0.021384275429459088,80929.5869,86709.51069999998
20241004,2,0.0268319514878268,95358.45539999999,92768.95619999999
20241030,7,0.017489312087048958,82383.6624,95290.2702
20240916,21,0.025197644020291676,81699.54329999999,99456.2342
20241011,14,0.015121729925904326,104956.4208,92981.28759999998
20240911,2,0.028433323855558967,152297.19059999997,160641.43455
20241116,19,0.021961932650071958,71848.10265,100086.23459999998
20240419,18,0.017315117829386217,49182.5025,61631.415049999996
20241130,20,0.012120372614865538,61535.51785,65063.6676
20240918,6,0.030949212342545884,82316.84330000001,88630.50139999998
20241026,21,0.015375829196506707,101927.53589999999,107450.8971
20240407,20,0.03662835950735133,98223.0736,81200.31555
20240507,23,0.03983312020870988,77011.13960000001,85174.3556
20240530,16,0.012627159448641567,103662.5859,118909.86265000001
20240512,21,0.021287667344704886,103400.812,112289.39240000001
20240515,2,0.020180107459077945,130268.99139999998,114725.89630000001
20240518,9,0.018237451620106704,144084.03944999998,119300.41440000001
20240506,4,0.019771833046644538,89136.46779999998,120182.7977
20241123,11,0.007548878991459063,66033.0868,93199.78039999999
20240910,19,0.034069439712580696,172700.19049999997,182309.13040000002
20240608,18,0.012655710437337042,92272.79430000001,99073.00690000001
20240717,23,0.039587411203245715,86525.6194,76879.5475
20240618,22,0.03669193411134364,87355.71815,83204.74929999998
20240404,7,0.07948809665754286,118385.6887,115055.6735
20240928,2,0.015265843764988851,93294.75179999998,93857.22049999998
20241022,11,0.022896155527352136,95991.64625000002,85097.65879999999
20240727,16,0.015112588786458936,60329.53500000001,92426.1358
20240617,9,0.02792542051269775,134423.4575,130104.06745
20241015,6,0.028179267108108252,100407.32935000001,96840.89815000002
20240922,23,0.017158544955386823,127841.50259999998,140735.138
20241121,18,0.013210787594009066,67385.53994999999,79968.09820000001
20240825,14,0.02929673195584126,122143.081,112010.47
20240701,21,0.0159575529346645,117847.78359999998,165392.4359
20240705,11,0.017088174982915483,81164.67559999999,115085.5424
20240708,11,0.03044140030441511,57812.415199999996,59615.62489999997
20241209,7,0.015813526890906537,122510.31679999997,128316.57489999999
20240428,1,0.019940540932483763,69292.694,78289.43549999999
20240820,13,0.02148843206075668,93054.1155,128232.63269999999
20240815,3,0.032953754897291354,78576.656,74219.4936
20240407,12,0.027426481791859025,89180.30770000002,85280.069
20240808,18,0.033102839488008406,60275.27364999999,70005.96659999999
20240426,18,0.022062473570994,57307.6325,60778.763699999996
20241203,2,0.01320480654958267,81039.4609,87853.05510000003
20240717,4,0.0275505446530655,58632.212900000006,59817.7626
20240822,10,0.031482841851193655,77596.8676,141925.2125
20240722,18,0.014395393474075924,108062.3031,101643.64700000003
20240925,23,0.019750404269092137,96549.24255,92664.07835
20241108,15,0.018562174001823806,78886.79819999999,83500.2321
20240927,23,0.01942543869117852,92548.15879999999,98967.77829999999
20240908,10,0.021815801912516974,111100.9838,115496.64150000001
20241028,1,0.017863123813777193,94652.5951,216915.53880000004
20240406,1,0.042654418122900495,100574.38154999999,65404.9461
20241028,21,0.017932796843833643,94681.6906,79726.83549999999
20240921,4,0.026054482818516078,123416.7903,125056.8721
20240903,0,0.03477051460361036,140802.2978,140508.5692
20241025,3,0.016912604118224372,93892.34125,90421.60365
20240823,15,0.02610710439578945,107040.91805000001,105897.06845
20241006,18,0.012937280066238621,97189.81940000001,92430.7182
20241202,9,0.014568233965861488,65564.00950000001,68601.66100000001
20240823,22,0.021607939379453267,107804.32624999998,128221.22725
20240809,1,0.018189755529673945,76691.34589999999,82039.48190000001
20240812,16,0.042989181552643974,99719.61725,76489.70135
20241108,16,0.00941176470588001,83623.6565,74915.4141
20241025,6,0.0214762794493506,92718.74939999999,91130.04670000002
20240516,10,0.02041927579634617,105974.66179999999,120729.9511
20240528,1,0.020414710256932977,89860.78039999999,106125.76720000002
20240514,12,0.02030585697389009,115168.63325,105075.06335000001
20240526,23,0.023762140968908163,121559.33739999997,102194.38399999999
20240914,11,0.017851298681970107,144497.54400000002,150470.5934
20241209,8,0.008000128002039197,105507.42640000001,121668.24920000003
20241018,22,0.024644337403390004,102978.59170000002,198354.39745
20240813,17,0.02492966273728303,68980.3689,84548.88950000002
20241120,15,0.013837273661732041,65856.443,92848.24710000001
20241014,19,0.02293157218857811,99299.3555,90044.94699999999
20241016,2,0.011538550296541494,100058.835,81942.8745
20240609,23,0.01492203238080414,102285.379,108245.19759999998
20240613,2,0.052043642311483396,151572.69675,161582.93115000002
20241016,10,0.01631929873642246,99383.17499999999,94917.43230000001
20241015,3,0.01632386549135223,99321.29259999999,91004.86409999999
20240615,19,0.020865342665832287,116423.78320000002,151462.0983
20240615,13,0.02445125735888176,119147.68710000001,121196.7688
20240616,4,0.02825204592150632,116268.30055,139290.656
20240427,19,0.020318445454203804,72621.90165000001,79618.686
20240721,18,0.022759342721967446,115214.64489999998,83500.93035
20240705,15,0.02795677882539982,72861.30055,66746.08575
20240808,10,0.019684264399044693,81357.55900000001,85044.01469999999
20240819,10,0.021597105994808352,105713.99445,96040.4071
20241112,20,0.021660845316251454,62607.07285,78195.81904999999
20241020,3,0.012564918746860165,93327.5429,95367.58260000002
20240906,4,0.01862405482921936,93973.0938,111298.73675000001
20241210,5,0.02289336972793876,139299.76510000002,138824.6671
20241102,6,0.01687478906513551,93235.12475,92917.1478
20240725,20,0.016567720557780774,78209.5351,76040.37000000002
