dt,hr,med_spread,med_buy_sz,med_sell_sz
20240823,0,0.025836084397878878,164578.90339649998,160729.417286
20240418,17,0.024316700710036443,162409.41699999996,140617.75471
20240918,6,0.036755196776439014,90276.2387135,101156.12088200002
20240913,13,0.022875733929783593,99706.71611899999,87590.352648
20241025,3,0.02599968800374164,116095.517305,129678.01650200001
20240916,1,0.023738872497292007,78927.68302599998,100733.48398299998
20240802,6,0.04545101821367137,118721.993842,79946.68976800001
20241128,1,0.017872188321810256,44872.355706,119828.79350849998
20240410,14,0.0199933355548243,195691.55635000003,172813.45928000004
20240408,20,0.03036283588888633,184608.45816,200497.77174
20240722,18,0.03766833035125927,196426.17786,177883.28765
20241108,15,0.03238894002932646,45216.16568699999,120593.077868
20240902,11,0.025986882811523948,76658.250424,67716.116064
20241126,6,0.03491425060051512,61870.671596,124302.920142
20240930,8,0.02643595289593126,105118.7431705,107155.68467
20240930,13,0.03939898640662465,63653.653348999986,65696.989463
20240910,8,0.027347537478550343,67832.4781055,66464.253424
20241018,0,0.027678280690324186,68901.477651,95194.54519500001
20240516,2,0.03363417231907473,158611.21543999997,195663.32213000002
20240512,21,0.022587384945516042,136650.51472,167754.00348
20240503,12,0.03862708310342633,144300.93013,156239.22322
20240531,17,0.029274004683843557,97679.491175,150564.32946500002
20240904,13,0.045649263476599256,56859.130366,65344.480813
20240613,2,0.055116663604626304,114369.31958499999,145410.86137
20241023,22,0.02937162010401284,156947.38240300003,137852.477653
20241014,7,0.026418609824951922,107082.411146,93657.005245
20241119,1,0.029537249753852635,43149.887596,108237.71722000004
20240626,16,0.032905561039808795,133322.50153,136073.10812499997
20240618,15,0.041816509157821535,143548.14761499997,141030.971295
20240926,9,0.02467095118852125,106933.7933055,126908.2997315
20240401,17,0.03158110818897164,152953.13565,180090.46209500002
20240730,12,0.02871362940275457,138163.54456,151295.22633
20240626,22,0.0328623069339562,157597.26778000002,162363.63596999997
20240708,0,0.06721911226694743,97638.95913899998,81302.32671299999
20240706,14,0.05530598884850857,114662.21285699999,112337.39346700002
20240613,10,0.025398437996071443,127934.45172,167375.55331500003
20240812,15,0.06657404191268146,72658.683505,81542.00490500001
20240730,20,0.16423533958069836,104641.95814,119483.39452999999
20240818,14,0.032236276556552035,139887.02218,103591.51335200002
20240711,6,0.036169355255410984,154858.597665,157020.434445
20240717,4,0.03728908362077288,213741.00601000004,174578.68045999995
20240819,18,0.04214667041304576,110938.623993,98573.33537600002
20240727,22,0.028203630210121844,140377.23362800002,182489.75362850004
20240501,1,0.02249908641952514,138891.363785,140572.02096499997
20240422,22,0.026956599874194964,125395.65751000002,134171.11545
20241016,2,0.04240186021065018,65284.728051000006,72184.10383300002
20240402,8,0.019866891824782407,182416.18946999998,200610.69038999997
20241125,9,0.026399503689322756,47556.527054,122927.12158300001
20240501,21,0.02826295856650507,160957.95776000002,169248.73067000002
20240726,2,0.026974244990873864,137480.67302,140649.440849
20240907,13,0.03659167476310898,53417.123449000006,64904.077121999995
20241116,19,0.02701014568597948,42390.756954,110842.335996
20241012,6,0.025639199487192954,143763.22307100001,113704.579621
20240822,18,0.03212007066417666,166002.837414,177492.80076399999
20241022,0,0.029840848806372833,101578.43778600002,109789.941043
20240828,23,0.07331434288627703,80623.84439,93553.41843199999
20240901,10,0.04440717003847405,254807.58087099998,144568.5285205
20241030,13,0.0318617201346294,89839.858528,86851.16158199997
20240527,6,0.04702685756088343,135637.91086000003,164020.15763
20240519,8,0.02844950213372055,116436.66945999999,143723.8106
20240530,15,0.028571428571422253,142945.03958,153498.28345
20240519,19,0.029408304905298444,150619.04712,141027.24847000002
20240503,20,0.0211853185742239,167666.080835,162765.75547
20240513,11,0.0223376333277292,203617.23657999994,160490.6605
20240509,15,0.0213595343621531,144362.751245,150895.63733
20240514,3,0.02273760800364233,184727.26704000004,166944.146
20240917,23,0.02484334888341877,71543.05348100001,101075.610301
20240820,8,0.05297652383184914,92812.425824,83197.85246899999
20240614,21,0.03331889518242148,167895.28114,167492.58447
20240611,17,0.03192644147882451,145360.58653,152345.35916
20240720,16,0.03829583532790615,158145.43588,201759.42113000003
20240614,1,0.03233943470668521,150846.33899000002,155242.47934
20240410,17,0.02309087910274954,166785.36952,164215.85486000002
20240626,15,0.04104079454978482,112845.17171000001,133215.84438999998
20240610,20,0.05349500713267563,150214.66719,157296.12671
20241106,21,0.028443433122360418,60222.49078000001,108484.40351800002
20240404,19,0.05215523853352444,173960.91872000002,186557.45495
20240705,11,0.04118757508153603,127547.58851999998,137767.149257
20240708,15,0.10103880521612485,72892.535755,101207.92905600002
20241114,4,0.028700217784005666,71999.57272649999,106879.759577
