dt,hr,med_spread,med_buy_sz,med_sell_sz
20240422,13,0.023710729104919892,67169.42667,51849.95386
20240406,17,0.013698485790469839,108974.82863999999,119679.09521
20240428,5,0.015736974627156286,117685.36724999998,94928.82734000002
20240720,8,0.039891848765560844,98186.88117999998,71790.00602
20240508,3,0.028576871785102043,200355.18550000002,252164.2982
20240522,10,0.01775252973550412,351006.4365,331625.64735
20240529,1,0.028907303912117932,199553.32045000006,230671.5435
20240427,15,0.016327966037832375,115294.42102999998,83074.00764000001
20240601,10,0.009999999999998899,288228.196,320282.19049999997
20240623,13,0.008197897242789853,115419.08176,126728.66824500001
20240618,7,0.01385790108230367,125083.885415,128215.64742499999
20240624,4,0.01001387637153961,136927.68337,129716.68968
20240625,20,0.007789678675762524,148675.83615999998,165651.42047999997
20240614,9,0.009645178013806266,175283.23788,164158.58250000002
20240630,3,0.01817038227689416,120036.37977,114984.91090999998
20240712,17,0.024325376232492424,103893.08804,76880.18409000001
20240501,14,0.016695187612159046,121754.25667999999,101622.44599
20240516,6,0.01877229209688025,317618.30669999996,290284.74864999996
20240509,7,0.02772258934902183,225294.8206,227621.04085
20240512,14,0.018083182640138418,399954.77139999997,415033.2951
20240514,2,0.017988846914906986,228071.83750000002,235756.43715
20240531,21,0.009923588369553649,292762.7379,292772.0747
20240530,19,0.0195274360476283,251542.3773,251252.23680000007
20240608,6,0.012637032824680539,127183.64572000003,140225.47089000003
20240604,23,0.009667440061877919,272356.12919999997,252640.4068
20240419,6,0.01861776403617732,57978.52224499999,55044.18006
20240610,2,0.006547359231778849,131151.90507,114841.38926
20240607,8,0.009605225242537152,272027.66010000004,249839.0781
20240417,16,0.01854280075761494,76646.92043,55739.39936
20240626,13,0.009294914353996653,134297.04012,145621.49573000002
20240624,23,0.014607845741143599,115931.84830999999,131657.19931
20240406,14,0.0169159120588791,128115.41397499999,85812.16166000001
20240428,9,0.015903113340276498,99211.52816999999,73712.05006999998
20240702,1,0.01193475666356747,114237.1628,121690.74333999999
20240701,14,0.01602136181575453,165670.36701999998,181128.7659
20240707,14,0.012369731267591888,125313.30520000002,113365.09013000001
20240701,5,0.011431765064529031,146468.50392,184208.69256000002
20240626,8,0.013323030189993368,132829.89523999998,173506.48244000002
20240622,4,0.014599315159391502,138805.47743499995,133684.14551
20240712,14,0.024836904328240372,113425.19993999998,102682.07057000001
20240420,4,0.023981118024973824,59413.03872,66146.77196
20240420,23,0.021438162185338783,64789.81307000001,37043.952639999996
20240501,5,0.018051920100292662,117119.00768000001,98999.994405
20240504,14,0.014969197996439476,103614.45363,95518.82528
20240416,13,0.026985587243189002,54291.75146,46449.00336000001
20240412,7,0.017684150028451917,92442.459305,80432.28221
20240419,20,0.017481862567580997,90244.72816500001,60084.45971999999
20240406,9,0.014677514048488938,136634.12967999998,135239.04749
20240603,17,0.00997904400756866,242450.1057,247788.615575
20240402,11,0.018492032634687128,143420.26405,147926.78429500002
20240618,19,0.014176152875644554,129695.09383999999,144388.82008
20240615,16,0.014876893704585115,187115.42060000004,153949.3922
20240618,13,0.020090839378594794,136677.67887499998,125350.90548000002
20240611,21,0.006031144831908364,134123.60274,173736.934275
20240705,8,0.013130683123785403,96105.23032,107992.87727
