dt,hr,med_spread,med_buy_sz,med_sell_sz
20241030,13,0.02215443344297796,142093.26549000002,189239.9718
20241001,1,0.019305764701327277,133664.91148999997,139655.90672000003
20240826,10,0.03214400514301996,138414.5636,174960.83038000003
20241020,3,0.02462043496103128,131083.69355000003,138051.93076999998
20240825,14,0.036848953840062926,117986.8455,89620.69796
20241210,14,0.021240441801184673,120512.03985,121323.989355
20241110,17,0.016618473094687225,102737.19194999998,44778.165129999994
20241126,6,0.0267876276876855,111563.48066000004,111719.77213000001
20241208,23,0.02935016075882313,138509.61606000003,140493.34339999998
20240425,14,0.020231373342416425,66302.45796,57604.544980000006
20241117,2,0.022099447513812542,88633.02324999998,84001.45491
20241116,13,0.026183950983638127,101325.4822,148060.16420000003
20241104,16,0.020527136874948226,127506.49139,141231.05499
20240906,4,0.03880266075386718,152286.05834000002,152135.17925
20240718,5,0.04057801122658855,81622.810555,82425.944715
20240816,8,0.03377061958376171,120800.67786,121511.12558
20241120,16,0.026992114607105044,80350.73681,75069.66877999999
20240807,4,0.04037016334388355,93988.46496,81232.02480000001
20241028,21,0.02926216316455621,131054.410515,123478.81899
20240926,9,0.03395777916124221,215588.09366500002,230363.18621
20241011,9,0.014643891929677633,161703.91296000002,169451.37927499996
20240826,2,0.027754006984781476,169331.02624500002,209664.58985500003
20240720,15,0.03428914320002807,88735.54487,87867.05569000001
20240911,18,0.032442414713873546,241124.97383000003,213986.09627
20240803,15,0.03927564830001895,192283.85356500003,198521.69598999998
20241126,20,0.01723708654932654,109755.22083000002,97261.47212999998
20240908,18,0.030980679321790383,208237.85804999998,214210.97696000003
20240516,10,0.024409592970031646,155279.32636999997,144592.779325
20240514,3,0.022705044012849562,91440.24660000001,107499.49535000001
20240511,4,0.03020742431363299,177428.785335,156625.90739
20241020,6,0.02854463157035969,131730.07215000002,140029.01123
20241127,2,0.030039614741927956,134021.92892,133270.53634
20240916,21,0.01047833604024273,213430.19293000002,205591.76226000002
20241023,0,0.024896106631921988,168402.9136,178502.79491499998
20240912,14,0.03866477638869714,245265.55122000002,249618.067605
20240403,13,0.02552116913818736,124745.90659,110719.15927000002
20240401,5,0.02523735127990534,56742.419610000004,96711.10012999999
20241123,0,0.009128501922306409,95844.79157999999,90776.24447500001
20240603,21,0.02668579148390471,90563.73470000002,94387.10515
20240823,15,0.018358097663884188,184128.78223,207898.35280000002
20240820,13,0.035003500546970656,151315.57951,140258.49564
20240721,18,0.02137003280543448,220097.11364,258441.15861
20240408,12,0.017991621045054806,67521.89783,68854.62805
20240612,23,0.03916423522039025,203560.1401,226580.14299999998
20240628,4,0.03413551800646175,90933.76438499999,93858.70334
20241018,0,0.01671961210498729,189992.44006000002,204793.10366000002
20240705,16,0.03261578604045745,105714.0013,103989.99419000001
20240610,6,0.02681530004404742,85247.38841500002,104032.14331
20241001,21,0.013070471626197566,171798.54188,175115.22510000004
20241003,6,0.01297858533417795,191270.93636999998,214452.2152
20241109,1,0.021588946459405456,81468.63518,88177.52670000002
20241121,18,0.026089711372234703,93853.06454000002,86257.21468500001
20241209,8,0.01119570085086341,180557.89969000002,222295.21089000002
20240407,12,0.022524611450469578,72978.68744,92415.02293
20240416,22,0.02547121752420889,86374.57805499999,82050.41741
20241111,10,0.027401234667401297,102964.59973,130818.53739000001
20240903,16,0.03299157445944001,141703.73212,162284.53097000002
20241123,16,0.0158392143749575,78746.16905999999,74049.16814
20240823,11,0.03539238355905194,151212.86187000005,156557.76136
20241003,20,0.026830631637775326,262847.70021499996,264094.44212
20240416,0,0.01948254364090296,51952.25842,47377.971900000004
20240819,10,0.03361866094286903,114146.02042999999,137187.27000499997
20240419,18,0.03293928196776985,92529.032405,76238.70954499999
20240418,14,0.03810652891860222,58484.49769999999,66368.18010000001
20241122,12,0.013197835554978887,97257.23296000001,90376.40771999999
20240922,4,0.017229125837237014,209378.85532,214692.49552000003
20240901,18,0.03826725853359747,122626.06771000002,150537.07557000002
20241112,6,0.017132355231597174,114775.18513,172034.84862
20240427,13,0.03559105951783659,97492.870575,95333.64774999999
20240525,18,0.029666548000473192,296650.32241,295137.50602999993
20240527,12,0.020249356359736126,187055.96641000005,168375.54159999997
20240502,3,0.018940191085481395,103996.35162,100929.20747
20240526,4,0.03740443167707941,284816.7209399999,300724.6289299999
20240529,5,0.01929012345678327,114805.33885999997,115069.79218
20240727,15,0.03638542870596506,138037.2818,191046.4589
20240406,21,0.02006501063445132,89087.86382000001,89936.95318999999
20240609,4,0.02823742022928233,87320.58405000002,104490.03371999999
20240611,14,0.05023913829829141,70932.55717,90755.786535
20241011,5,0.014734360528745327,227719.312105,256658.61884999994
20240609,23,0.03187161364106572,90269.97563999999,93753.10975000002
20240601,3,0.028063919704179874,79202.83196000001,99739.40887
20241011,14,0.032107560407912406,190437.87210499996,152511.73040000003
20240620,12,0.029739436780840123,98372.20869999999,96323.71976999998
20240628,23,0.03560710107328724,113606.315655,85178.17655999999
20240618,16,0.02804977560177946,79717.82007,98180.8996
20240601,12,0.026458526260086934,95259.30926,97405.35686999999
20240407,20,0.02424830261882338,84364.50472499999,70205.0238
20240930,7,0.02105424357988772,240107.66598500003,260738.64851
20240706,9,0.033008252063027044,104721.53354499998,102435.37357999998
20240708,16,0.03216656431850318,100491.43638999999,109608.30793499999
20240618,22,0.03718393653941998,141299.61641000002,129862.07826999997
20240626,15,0.041352468985667024,89163.78534999999,90567.10357999998
