dt,hr,med_spread,med_buy_sz,med_sell_sz
20241123,0,0.04239533651297922,151643.673305,170106.60234999997
20240930,7,0.09629852542882844,238629.74125999998,256430.39281999998
20241210,9,0.041872393994357715,130889.92340999999,135338.169055
20240720,15,0.06552419354839412,189385.61286000002,182293.94071999998
20241117,18,0.06128201985537984,148185.05453999998,188421.47253
20241208,23,0.041205556863666004,125097.76244,123443.87403999998
20241014,13,0.07832898172321912,209937.96381000002,219767.18262000004
20240427,8,0.03833821274221716,148731.2722,159011.80346
20240503,3,0.04065791905378813,151981.48809,164832.41566999996
20241126,6,0.05238573361854293,143875.15071000002,198717.27219999995
20241112,6,0.07619717484321775,141329.13866,147601.08125999998
20241020,12,0.07140538786110096,239806.74268000002,265443.15154999995
20240803,0,0.07888509071785066,155365.03569000002,181446.35514000003
20240817,2,0.08268811546265908,189298.43566,212726.97033999997
20240822,10,0.06622078008080567,191474.31692999997,251028.8381
20240812,0,0.10603588907014405,133660.87549,158045.00314000002
20240818,17,0.07109341674960135,205327.81244,232097.80636999998
20240727,22,0.08066374740725024,190178.15018999996,196501.88059000002
20240820,19,0.07233796296295392,208465.17504000003,210661.28991999998
20240910,8,0.07331915829607016,210109.12766999996,176826.75721
20241210,17,0.020243734564151517,147237.25183999998,149485.69769
20240908,18,0.07892659826362891,225347.81670000002,192585.96443000002
20241112,20,0.06267234895964702,142097.42648,185439.18393
20240419,10,0.03413318769840412,127723.16606000002,124917.16762
20240525,2,0.04123569641650837,218711.18511000002,219766.57697999995
20240518,5,0.052017537341164655,184622.80247,166917.06162999998
20240502,6,0.05043646944713487,196459.89017,208042.05679
20240508,10,0.046499011895995146,138280.18011,165398.94049
20240430,4,0.038470954429392634,167182.39295,175662.68788
20240402,7,0.028352372774798074,211598.9739,212499.19412
20240919,23,0.08027292795504959,227027.37308000002,236760.76925000007
20240411,13,0.02809849800755604,150285.84569999998,120561.57369
20240927,23,0.07572227399812448,204952.0539,202211.54699999996
20241209,13,0.04107035668026171,134281.46759,142973.48494
20240626,16,0.050507601394023105,135344.06853999998,179122.90078
20240620,6,0.04433060782189635,177773.85105,165661.38723000005
20240620,12,0.05344995140914577,210613.52685999998,189491.84088999996
20240623,15,0.064782977026967,201778.77655500005,203885.07702000003
20240413,23,0.04993401576487422,143842.199,140760.75496
20240617,17,0.07367748907116667,153999.12077000004,176430.93951999999
20240711,12,0.06671923333534391,140204.72167,165264.918165
20240702,5,0.059823520614177284,203164.91347999996,206374.35615
20240709,23,0.07888349514564297,196994.65844000003,219933.02279000002
20240705,11,0.0739346686382536,175492.9328,206301.69291999997
20240606,3,0.06442376521116344,187424.36862999995,191182.37994999997
20240626,0,0.04962532876779946,159900.47653999997,205954.00222000002
20241108,15,0.08270772362894974,144246.9907,152362.01161000002
20240415,4,0.03054989816699827,89601.72243000001,37339.734619999996
20240416,15,0.046079682404642774,131046.94480000001,130286.15606999998
20241123,15,0.05851375073142595,149937.54731,143840.8409
20240730,12,0.07173997020031297,159388.95881,198672.61596999998
20241106,1,0.07490075649765338,209667.48919,182968.29357
20240720,11,0.05595970900951208,136233.81225000002,148354.8268
20241118,1,0.07240255822373864,153326.35872,158111.3367
20240803,15,0.08569545154910596,189035.29688999994,151529.00560000003
20240721,10,0.05295488244014823,195303.37838,195397.050285
20240725,6,0.0966417008939402,209593.0248,199441.63281000004
20241114,23,0.07994137632401088,155835.93062499998,144647.69537
20240407,20,0.027860797325374165,160444.79058,155860.49056999997
20240412,22,0.0404392322767233,126046.67198999999,132931.08871
20241012,12,0.08043973723019793,172081.56644000002,242362.43729
20240414,4,0.05527508567637618,123329.09486,99051.168465
20240925,23,0.0786258618604041,247235.94043000008,225709.44585000002
20240501,21,0.04581551618814128,216470.51442000002,216671.74307999996
20240813,5,0.09030704394943356,155871.08032,160325.53834000003
20240830,15,0.09079903147699575,173406.90940000003,193934.50384000002
20240802,6,0.07659900421295163,138150.87608999998,168172.51035000003
20241208,4,0.04500739407189425,143268.42256999997,144291.05813
20240410,14,0.05238344683080598,91040.78594999999,144254.13119
20241011,5,0.07756857767435843,148865.34570000003,226563.90353
