dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.009850760971286121,1035873.077,1056967.5328000002
20240402,0.005617030837501424,993727.6159999999,987061.6831
20240403,0.005466870763193299,1065315.2528,984437.3775999998
20240404,0.005471357443775915,969284.0300000001,829655.6876000001
20240405,0.00581868963109855,790436.6299,1012872.6971999999
20240406,0.005693463903444496,1076553.4519000002,1108880.7826
20240407,0.005573204035003165,1070545.0872000002,1138726.3192
20240408,0.005639521768574518,1099744.0321000002,1095468.8166999999
20240409,0.0057349314675603225,999812.4937499999,970601.0618
20240410,0.005903187721356673,992148.8669,1031867.7929999998
20240411,0.0057971014492785855,1022907.43035,930338.8948499999
20240412,0.006105378838761055,1062072.9927,1118551.6727000002
20240413,0.007120478496158711,805952.1668,1045683.4521
20240414,0.007410151908127105,496012.62000000005,508549.5153
20240415,0.007289161017554058,433630.6164500001,390289.061
20240416,0.007548878991459063,702234.6979999999,536203.4805
20240417,0.007505253677564383,742867.6703499998,584781.72175
20240418,0.007590708972204929,759045.2869,600788.4002
20240419,0.007235366471314286,533155.77985,437066.62655000004
20240420,0.007044734061301128,472243.9338,487410.0754000001
20240421,0.0066952329941027955,380062.65634999995,431820.07045
20240422,0.006522731720037811,431023.06849999994,399188.18200000003
20240423,0.006440808965613165,597392.5521000001,449655.2275999999
20240424,0.006457862447550866,523104.4222,443275.69325
20240425,0.006834335702587957,583406.0360999999,462211.3835999998
20240426,0.006986655488017135,642933.4674,590614.1174
20240427,0.007316359379561099,656598.0179999999,632043.7099000001
20240428,0.007031854299976992,633221.1174,633048.87855
20240429,0.0074046649389147845,785782.5728000002,768140.2896000003
20240430,0.007847445656428143,841082.4153000002,808949.1579
20240501,0.008128759551295772,909941.0872500001,833624.1667
20240502,0.00756544106521595,1004036.9022000001,766534.7255
20240503,0.007179266279000451,940798.2998,1018418.0201999999
20240504,0.006894174422611421,1040613.5175000001,852955.1780999999
20240505,0.006876160352042859,964915.0345,886850.5660999999
20240506,0.0067190754552193255,888454.3909000001,859110.3405999999
20240507,0.006505757595465234,787369.6328,784555.0896
20240508,0.006862946949404147,726172.5804000001,819410.7085999999
20240509,0.006951685783818107,874797.7216,869026.6472
20240510,0.00673060744493803,763772.95535,767349.0330999999
20240511,0.006888475580368869,923740.0806,821587.0403
20240512,0.006893699158960764,975981.51205,903175.9079500001
20240513,0.00688989940749174,963176.14635,894538.5064000001
20240514,0.0069314479794746475,887948.4353999998,912311.5624000002
20240515,0.006942515967800489,863910.2757,725424.3183999998
20240516,0.006270378730888204,714270.3184000002,790570.2652999999
20240517,0.0059790732436448835,890206.1291999999,756470.0411500001
20240518,0.005799454851240782,756778.4339,766240.4890999998
20240519,0.005870956378783987,820120.34415,830119.7795000001
20240520,0.005696382796926969,693514.2636,775463.1336999999
20240521,0.005611042531694643,713425.8595,645030.7532
20240522,0.005602240896362964,747865.95125,678892.16575
20240523,0.0057051574623434576,762691.2577999999,700300.7161000001
20240524,0.005983724269986723,928712.4840500001,895347.5974499999
20240525,0.005950255860986964,904825.7532499998,734401.2843000002
20240526,0.00610016470443675,974437.8932000002,844924.3809500001
20240527,0.006019382411359686,912347.1617,812575.0057000001
20240528,0.005956635692161427,885594.2396499999,827113.0240999999
20240529,0.005911912503697714,845108.4491999999,793848.4175
20240530,0.00596836765143216,916584.09265,892748.02125
20240531,0.0060049240377058055,823075.1005999997,841362.3371999996
20240601,0.005981576743629979,904487.9973,823164.4032
20240602,0.006054368226693363,886569.32605,890607.3158500001
20240603,0.006056935190801305,846194.3657000002,893127.1616000001
20240604,0.006018657839290675,883516.2754,966840.68615
20240605,0.005773672055431334,826202.5406000001,942227.8099000001
20240606,0.005790723261323016,930678.36485,973567.98505
20240607,0.005874060150379279,881168.5926000001,898614.2481499998
20240608,0.006217745445491474,1107215.5498499998,952775.6622
20240609,0.006268413464538547,1056760.3736999999,1088011.674
20240610,0.006257430698952682,1054572.901,1119190.8898
20240611,0.006567713122307417,1074988.1358,899399.2076000001
20240612,0.006584578916180028,1064014.0605,963268.0436499999
20240613,0.006674230794900815,1060342.36705,1059786.87575
20240614,0.006789327177680882,1154619.9446,1066157.5541
20240615,0.0069247282044049285,1303778.2245,1321932.3103999998
20240616,0.006896551724122624,1334584.1920999999,1297094.2510000002
20240617,0.006952169076734904,1237694.7326,1158112.7676000001
20240618,0.007395902669915522,959123.7670000001,1111500.5381
20240619,0.007283321194462289,1176063.5422,1231252.0026
20240620,0.0074543421543005195,1241849.36345,1334288.59755
20240621,0.00756887677868523,1260662.7506,1328727.5437500002
20240622,0.0074487895716846,1586750.1758,1408057.9101
20240623,0.00747607655504634,1473487.3483999998,1431420.4138999998
20240624,0.007895775759969581,1190623.1779999998,1294076.7123000002
20240625,0.007336757153342255,1560610.6948,1489045.5528999998
20240626,0.007308338814571158,1540361.40955,1537570.7669000002
20240627,0.007271669575326101,1552812.4648,1515836.1156000001
20240628,0.006978854072170471,1529357.8279000001,1473534.2352999998
20240629,0.007049203440012697,1711092.7400000002,1592000.6516
20240630,0.007082654578938197,1615188.2555999998,1611251.6814
20240701,0.006777363605547926,1527290.9731,1467262.5003000002
20240702,0.006727664155015134,1455345.5477,1535489.95055
20240703,0.007016066792941977,1443176.0474000003,1359959.8935000002
20240704,0.007455453664340084,1365943.3379,1364290.3716000002
20240705,0.007942811755357049,1131754.3253,1151570.8573000003
20240706,0.007298737318461868,1269840.7591499998,1232734.71605
