dt,hr,med_spread,med_buy_sz,med_sell_sz
20240731,13,0.0054848617814906575,848798.1264999999,820308.5359
20241007,20,0.0068208171338790535,1721862.8548,1565237.70625
20240501,8,0.008347942232234118,894723.7666,948118.5922999999
20240731,7,0.005452860025090267,892584.3416,701201.8958999999
20240805,12,0.008903133903137572,435228.23850000004,487850.12864999997
20240926,15,0.006432936635580866,1701066.4109,1550521.3587500001
20240809,8,0.006304772712928397,977937.4952999998,916666.3189000001
20241013,21,0.00681431005109534,1870034.9417999997,1773385.8148999996
20241129,18,0.0041430169449352405,1599483.05725,1837022.7428499998
20241210,16,0.00485083676933229,1328691.223,1658302.2245999998
20241107,19,0.0051059484299287305,1116610.19635,1024155.00135
20240807,12,0.0065871813450968375,968106.7442000001,1234403.3406500001
20240401,15,0.010419651526272222,543495.1022999999,1211277.2402000003
20241108,5,0.005009518084353459,1109561.6385,1159087.5515
20240418,22,0.007102272727266268,831366.8564000002,639150.679
20241008,8,0.006974959893968347,1616799.22675,1645940.7285499999
20240804,9,0.007000350017505319,1097256.9356,1325484.4265
20240813,11,0.006915629322290506,1239343.03125,1487899.3338000001
20240825,22,0.006225874735399373,1195249.9648,1100052.3031000001
20241010,9,0.007226477814703536,2326431.0456,2172272.1424
20241019,10,0.006459531038038868,1847291.9026000001,2111140.1788
20240528,8,0.005974786401385934,995065.1001,965417.5961000001
20240529,0,0.005925223677194502,993853.2679999999,935326.4908
20240510,18,0.006825006825006419,810099.5601000001,730521.1251999999
20240511,6,0.006861063464835837,919616.3171999998,619783.7052
20241008,13,0.006966699177946012,1844319.4587499998,1786229.8032999998
20241021,18,0.006041200990747342,1486286.0335000001,1829343.6238000004
20241113,10,0.004836525440143902,861666.75175,876203.7869000001
20240917,6,0.007564296520445879,2112418.9919,1808457.3212999995
20240827,12,0.0065002600103891695,1268142.2096999998,1432044.9075000004
20240607,14,0.005835327070080609,804738.2544000001,852354.9560000001
20241129,10,0.004145077720196788,1376568.5348000003,1526759.2803999998
20240818,22,0.006895600606804386,1439541.7709000001,1352650.3372999998
20241022,5,0.005937184587057054,2147842.814,1893873.5502499999
20241007,6,0.0067042102440240114,1856642.63895,1900329.8159999999
20240929,10,0.006418897233473331,2382466.58325,2427346.7923
20240622,18,0.00745600954368264,1649934.1888000001,1476166.73655
20240618,9,0.007258474268700965,1156761.2818999998,1116758.7519
20240616,3,0.006937699458875457,1357663.75905,1337584.4029
20240616,20,0.0067190754552193255,1223437.1352000001,1303316.552
20240609,20,0.006183527083836182,1083724.68585,1257227.1956999998
20240710,17,0.007100255609193695,1232166.1517500002,1197502.7111
20240704,10,0.00752105896508759,1235185.6341,1416665.7678000003
20240702,15,0.006741270055266035,1414405.4542,1313877.4139000003
20241010,17,0.007240081088899508,2093011.64955,1967703.1255
20240915,21,0.007561436672953725,1908308.9545,1887662.8577999999
20240716,19,0.00617283950616887,941851.53275,996258.1636000001
20241030,1,0.005613877505195042,1613033.3015,1445898.1250999998
20240410,15,0.005960541217131521,924549.9037999997,957517.7105999999
20241125,22,0.004259669449657721,1407794.3253000001,1616649.9408
20240417,1,0.0073588932224755155,768706.28385,510249.32550000004
20241201,20,0.00424736663269254,1611137.5272499998,1742247.0796500002
20240804,14,0.007209805335262054,1123854.6168,919351.7315
20240412,5,0.005726065048117235,1065704.7508,1045761.7318000003
20241120,17,0.004273321652936701,1347474.2112000003,1306600.7389
20240422,5,0.00661769571834725,362972.3099,361918.7365
20241106,8,0.005488172987200279,1113698.6977,1149874.9568
20240401,0,0.004962040390998901,1099946.4109999998,1038687.801
20240714,3,0.006943480072196806,1202307.47375,1316948.2521999998
20240421,13,0.006680919294499432,390278.73649999994,498240.08170000016
20240729,20,0.005361930294900397,804301.7724000001,700609.9147
20240423,13,0.0064804614088531665,607251.2980500001,472732.8011999999
20240401,16,0.005303914288745659,673681.0092,1312348.6206
20240802,23,0.006548359635916157,881040.1309000001,864025.6585000001
20240830,9,0.00716229766508647,2088815.4457,2335212.32245
20240919,12,0.0071209855443843395,1812410.9545,1599770.8893
20241109,19,0.005043881771427117,1127614.4001,1218651.9219
20240413,6,0.006554368486599849,740612.0098,1087797.4641
20240917,3,0.007630675314751478,2174296.0415,1965609.2073000004
20240811,11,0.0065002600103891695,1290916.8175000001,976266.3052
20240718,22,0.006278646323853998,816902.4015,1097825.4937
20240804,17,0.007523888345484231,781137.4123000001,792428.4720999999
20241109,8,0.0049581040210133764,1209504.15575,1105568.12055
20241115,18,0.004751948298808983,840332.8704999998,946620.7261
20240914,5,0.007204610951005996,2248706.2290000003,1893188.9644000004
20240519,1,0.005772672169968018,832681.5456,730237.5370000001
20240528,19,0.00590283926569235,732953.1137999999,695295.5571
20240512,7,0.0069319284625057875,925338.5189000001,758231.3041
20240507,12,0.006444960041251946,792986.5803999997,782860.9193000001
20240526,6,0.005999520038391104,877734.2486999999,911968.7276500001
20240510,10,0.006511688480825839,686418.2161000001,806952.5838
20240512,13,0.0068951251465110275,973154.6412500001,884960.5681
20240517,18,0.005975500448163196,847726.10915,790066.0788499999
20240506,3,0.006840881105474317,974676.0859999999,1014109.7064999999
20240531,15,0.006025911419116348,836569.3254000001,885621.7422
20240823,5,0.006872852233663629,1803306.1397,1785172.1377499998
20240924,6,0.006834802815935959,2022878.4162,2083319.7530999999
20241118,8,0.004141815772040758,761065.6405999999,944889.0556
20240917,12,0.007579777154553824,1801826.59365,1618529.65865
20241119,13,0.004117259552027797,1159269.6021999998,1210909.1376
20241011,11,0.00704771301713869,2230813.4039,2018824.2955500004
20240612,20,0.006491398896457667,745793.9135000001,813371.2112499999
20240602,20,0.006156119182465503,874982.5032500002,999627.1470499999
20240410,22,0.005758046870507627,838677.13265,886208.8635
20240609,3,0.006360109393899194,1002540.8907999999,1089249.514
20241109,13,0.004988028731056637,1190852.4176,1224680.608
20240412,17,0.012037315678603555,946764.0039,951059.1502999999
20240619,15,0.007329766180452779,1459416.0573,1469702.6447
20240619,22,0.0073849789528068754,1194243.5293999999,1355490.8291
20240619,11,0.007250054375407267,942016.8496,1157141.1689499998
20241112,23,0.004698144233028501,810166.56835,774750.05145
20240921,6,0.006810133478607483,2088388.0385,2035869.5193499997
20241026,13,0.005921013677556708,1500680.9535000003,1488404.5124000001
20240703,12,0.007041261794116238,1654523.7981,1677722.2605
20240629,19,0.007053678493318394,1672231.9782,1641033.0278
20240709,12,0.0070851636672975005,1150409.5009500002,993922.5129
20240731,19,0.00563380281690673,760407.7130999998,780917.4915499999
20240712,8,0.007389890629627693,1295906.71875,1242538.7634
20240712,19,0.007212925562627426,1250441.8311,1235800.92675
20240417,21,0.00739644970415565,685096.4172,510747.61240000016
20240729,3,0.00519507506882011,724069.3143,662407.1152000001
20240412,14,0.005980503558400407,1050550.4028,1183794.8643
20240807,6,0.006549217368512217,1029062.1131999999,906295.2572999998
20240927,12,0.006391818472373245,2249371.6459999997,2019491.2077000004
20241206,12,0.004273504273499817,1928432.4685,2176831.5526
20240814,2,0.006917542888751349,1284969.8973499998,1518400.1234999998
20240827,20,0.006465377901343494,2134823.428,1329997.9852000002
