dt,hr,med_spread,med_buy_sz,med_sell_sz
20241103,14,0.009175048456921964,112770.50667,121575.64543
20241127,3,0.004762018145987312,112793.414035,122593.291875
20240404,16,0.01613814249978862,387214.3585,366192.2882999999
20240820,16,0.014045225626513336,121115.82126000001,128669.85690999999
20241116,16,0.003922722369331666,109123.68899999998,107070.78895999998
20241209,16,0.0026389402016047114,131361.72046,130486.01667500002
20241025,18,0.010693376352099992,105392.54139,128331.76051
20240914,13,0.008820286659316778,217536.75547000003,142935.96948499998
20240726,3,0.006915988035349763,137791.8958,104873.81439000001
20240426,3,0.009491268033423594,257421.97875,218918.0226
20240405,6,0.017001020061213623,358152.51570000005,422400.17925000004
20241003,10,0.01042426769519711,128939.61471,105034.80349000002
20241123,13,0.009495023025429816,85979.84960999998,105422.76438
20240411,15,0.02721088435373442,440229.38275,434370.84424999997
20240406,9,0.016500288755039172,432300.2052999999,377917.97980000003
20240801,4,0.00930639448889492,100108.505685,92717.57387999998
20241111,6,0.007149368174586002,118014.88631999999,97167.94441000001
20241120,19,0.010282142014950146,135756.50294,106383.68686999999
20240731,9,0.007336286189141283,105228.33136000001,135921.825785
20240902,7,0.0116934446549255,139709.870375,136100.998575
20240802,2,0.009247614115559522,101649.57729,93267.0461
20240501,9,0.015087507543753986,165390.90762,224014.61452
20240523,12,0.019602178936928283,274964.36324000004,219225.63302999997
20240513,7,0.010958784013315181,224380.10897,222255.24065
20240525,6,0.008885433443650559,235885.44323999994,224599.994145
20241113,4,0.005898197117759629,106572.25378000001,101724.29827
20240428,5,0.019179133103164325,337117.7100999999,296531.7661
20240411,0,0.017610284406099908,451631.82480000006,437162.03810000006
20240720,7,0.01039377561322663,97109.18832999999,66197.16264
20241111,3,0.0034610459280770556,100705.02393999998,108358.75264
20240905,4,0.009852216748762466,144492.767495,156821.00391
20240926,1,0.008067769261810298,121513.21132999999,131175.19692999998
20240605,12,0.018851918182671845,351202.25720000005,311566.5400999999
20240614,14,0.015545048254428373,129115.94718000002,188980.821755
20240911,3,0.012110349504679263,143398.92471,161006.99874999997
20241116,22,0.009568004600524205,108385.9087,124677.51384
20241110,1,0.005574653906914584,101366.04848,83325.46338
20240615,15,0.01674977130119437,164447.848615,162549.41965499998
20240620,10,0.018020453413525317,169370.46349,165342.93417
20240627,9,0.007938398033269234,157414.109995,171134.504965
20240627,5,0.009372364022630642,137307.59446,174445.31575
20240718,21,0.00657883916381774,79933.63519,102706.60760500001
20241018,7,0.0032831557693180358,133376.66949500004,105682.79522
20241116,11,0.00785114234120865,103484.64639999998,108055.44496000002
20240929,4,0.00990033661145695,124715.179125,118883.728835
20240710,13,0.015100265768119847,129561.20353500002,112921.72977
20241009,20,0.004160469301395242,148719.98320500003,123921.50853
20241204,4,0.0036169417551912275,162588.82564999998,122584.83487
20240629,9,0.00967071224795557,170301.99091,191520.31220000001
20240826,20,0.010852853396037254,123230.37604,110258.39298999998
20240422,19,0.01735508503992733,330347.3311,264255.2352
20241029,5,0.001993540927380799,96996.11215,124898.95163999998
20240412,7,0.018328445747783917,457275.33269999997,416819.04189999995
20240908,20,0.004999750012490978,128686.45746,137575.50515999997
20240928,20,0.0065524358680457695,118579.55249999999,114787.67779000002
20240904,16,0.011625608892840145,140257.975825,141100.69221
20240403,22,0.016725204883760725,428664.58999999997,419869.3374
20240725,10,0.012184296182837784,109401.310865,123876.58872500001
20241118,5,0.005864873318750519,99357.12236000001,111598.68502
20240914,19,0.004389333918597416,206284.40525,144135.622345
20240812,13,0.013708841346871115,94361.18834,78044.705055
20240806,12,0.010191290549588228,124697.21174999999,109812.91249999999
20241009,12,0.012028507573802472,171672.12186,137334.05208499997
20240407,10,0.024551927326288414,430809.56179999997,303145.8859
20241023,13,0.011933174224343368,120882.96173000001,117812.1824
20240421,5,0.01714971702966306,247109.1922,272141.602
20240816,0,0.01099243354156787,124043.237875,84236.85852
20241004,12,0.009746968692736502,136318.88891999997,128350.44940999997
20241126,18,0.003818518543485805,141849.692175,124036.29014999999
20241111,12,0.00524328859061729,99041.95694999999,78906.5124
20241207,23,0.005880415863002142,142547.060145,128658.337325
20240517,23,0.013706140350877583,228620.33045000004,215099.34192
20240515,3,0.0072414791970398795,229135.83517500001,223612.84281000003
20240516,6,0.014490330490990466,201854.33995000002,204413.48821
20240516,20,0.016781339150861996,200485.66559,178586.46225
20240509,8,0.01268003000940432,175273.20639000004,228496.76810000002
20240524,4,0.012931452525410947,243712.69449,209907.45775000003
20241117,6,0.0114764445974469,102921.59852000001,104919.31243
20240823,19,0.012072087608872017,152794.06326999998,116290.36502000001
20240915,16,0.010032505317236762,178891.065,121328.38652999999
20241105,20,0.0070518546377851266,111963.631,92016.07985999998
20240812,19,0.013707549432839805,81137.25270999999,90431.38504499999
20240607,8,0.009297136481967172,424447.55100000004,480759.16889999993
20241119,5,0.009155664609683534,96697.96346,104425.56201
20240409,4,0.016194331983809818,341297.6598,335718.36035000003
20241115,23,0.008082440897139165,104530.78487,153138.10313
20241004,3,0.008265402061025107,129593.343205,109653.138855
20240623,13,0.010987976014820156,152060.97296500002,179495.56293999997
20240428,9,0.019372336303757898,351197.035,294735.7031
20240504,17,0.019902477858502188,361052.9303,368314.42305
20240813,21,0.00946730623578862,91377.95611999999,80350.99580000002
20241123,19,0.012736149437486688,109818.45926999999,94366.74830000002
20241129,4,0.0012363690314209919,140826.70859,129426.72651
20241106,14,0.008448532596438962,134355.484045,92610.499775
20240907,11,0.010064159013700724,149414.6479,113605.80292
20240802,18,0.009882204126809846,77954.39653000001,75810.1829
20241130,18,0.0012029206914343504,121741.81741999996,136510.06619500002
20240907,16,0.010099734881952038,141761.37042499997,136644.18078999998
20240902,19,0.009082239680302528,144065.88127,157504.84253999998
20240911,20,0.0072990924794957834,141606.5799,128019.226505
20241130,10,0.0012234810482736336,136248.65087,126138.73851000002
20241104,8,0.011094223239327405,121506.32462,114295.38900999998
20240817,3,0.005867741115261893,123046.44845499999,111943.62246
20240727,13,0.008278282753027,111965.29177,105096.71274
20240804,7,0.007633879158486234,101049.23456,102364.10344
20240907,0,0.015240804714489187,138611.14775,126095.23204
20241030,16,0.01271725307334659,104153.877545,116261.144295
20240904,22,0.009573958831965435,147918.58376500002,152996.65275
20241125,1,0.0026385572369003185,206811.57901,116359.26116000001
20240403,16,0.016498927569719157,405725.9891000001,377397.90989999997
20240426,6,0.01874765654292787,277474.64405,216666.37415
20240417,15,0.029211295034081708,253349.104,285001.08835
20240803,8,0.01323751891073588,86223.39264499999,91090.99977499997
20241014,22,0.006380704748831789,108486.23077000001,109007.10627
20240910,15,0.014397811532651517,142551.52941000005,148349.64162000004
20240528,9,0.0292882944449957,398619.5128,422445.4048
20240527,2,0.011751320688535571,243024.70555,223900.27367
20241116,15,0.009603011504411008,118823.58986999998,106033.08441
