dt,hr,med_spread,med_buy_sz,med_sell_sz
20240716,21,0.016629357211384033,90291.76445000002,91692.45328
20240831,7,0.015624755863186124,80101.31861999999,90763.30593
20241102,3,0.01878287002254897,91972.45161000002,67763.44387
20240910,7,0.014775413711576313,92834.57927000002,90371.44213000002
20240904,19,0.015862664575139185,86901.90505,90434.68985
20241127,18,0.011082558132002873,65557.14296,62721.000165
20241001,21,0.014722360813335111,101001.8204,109600.26474000001
20240915,7,0.013748644230915374,81165.35356999998,86510.34431000001
20241016,10,0.01536558570588431,93213.95073499999,74638.435065
20240725,20,0.028072041723903318,65352.20468,71286.27570999999
20241011,17,0.018888119372917345,94543.25197,93710.00189000001
20241122,6,0.0175569503577222,74175.52263,58889.08817999999
20240417,8,0.04859086491739717,99745.72635000001,76673.52924999999
20240802,6,0.027885814926231767,58967.022295,68677.15424999999
20240820,7,0.02177068214803679,119749.42132,63785.74224
20240415,23,0.024983184395122038,36612.968669999995,40229.400429999994
20240830,16,0.021306934587728144,65495.007320000004,82011.76776000002
20240826,10,0.021206096752801606,60702.04072,135395.09578
20241123,0,0.02822785525319338,78277.69111999999,72176.176015
20241018,15,0.017090166164057674,95993.33828,84324.892575
20241116,8,0.01433157532677587,52256.88966000001,73005.58646000002
20241128,21,0.009649183265558747,64591.62473,63392.61731000001
20241017,4,0.01268009700272632,90620.54721,129317.46398
20240910,8,0.026106678477222367,91788.37700499999,92092.02765500001
20240530,22,0.018443378826993317,148528.0068,137468.39849999998
20240531,17,0.01812250815511618,135080.8891,128776.38350000001
20240513,15,0.054343606862805593,284003.42374999996,318927.5744
20240511,4,0.03251503820518309,240072.40345000004,230370.93155
20240512,21,0.037391564672162314,346257.26710000006,318454.01445
20241030,7,0.014641288433381305,82577.24377,71747.3039
20241011,9,0.014513788113790227,128698.50276500001,93542.13900000001
20240428,21,0.017102641504229688,108468.34314000001,124276.762035
20241023,15,0.01581202662745973,76431.32686000002,89265.21977
20240412,16,0.03610692630453549,91522.40244,116404.13556
20240419,18,0.14605476214420987,89058.45746,52832.69721000001
20240729,23,0.023239917976747293,71728.10279,74233.26217000002
20240625,18,0.015050720929532524,102711.80519999999,90295.31805000002
20240615,19,0.01723403823929992,91238.04071,87273.45761
20240619,14,0.01901821273548876,80210.71807,112256.02747999999
20240618,16,0.033466402122739325,72519.01547,75606.31575
20240623,11,0.019968051118213204,298196.80710000003,215715.5869
20240610,20,0.01968008921640063,124141.95606000003,88672.22915999999
20241010,11,0.01477735452515283,127337.68542,62607.115770000004
20240912,17,0.018220065260976526,92173.26435,88364.82217000001
20240923,5,0.028336216667645964,98925.90002499998,90174.141275
20241122,3,0.023251589465356215,65519.163649999995,69492.49006
20240911,18,0.017862652441502647,93055.43424999999,91531.10674000002
20241125,14,0.01952335132269223,55441.88441999999,58099.32862999999
20240707,1,0.021155936885519644,83895.58294,81138.15946000001
20240709,23,0.022858372214984435,79701.10448000001,88295.26469500002
20240705,0,0.057849992454328536,78442.58032,68796.66921
20240625,2,0.039085401602489966,120163.0202,111375.1243
20240721,2,0.015897473524595362,77258.3497,71354.59066
20240927,4,0.02374799189774901,95070.00551999998,88140.46817
20240407,3,0.015093813858446659,105816.96262999998,90158.57617
20240410,5,0.03943034745095275,72313.07230999999,92631.82741000001
20241118,21,0.009931472837410027,68657.72148499999,66356.68461999999
20240401,17,0.05274616749255667,128946.95232,131629.461315
20240823,15,0.053911373304449395,103541.150475,88975.72533999998
20241120,22,0.017194485259630632,76754.42417,73930.74479999999
20241114,23,0.01819008655338239,53419.02162500001,68622.79185000001
20241029,21,0.028385156354537866,74964.86820000001,59085.447210000006
20240920,23,0.017163944274400933,110039.28365,94323.82212
20241010,0,0.01992710002710618,96786.34973000002,86537.942025
20241119,1,0.00854652156572211,69995.90187999999,63918.582709999995
20240802,20,0.03921036360070573,64449.89789,56757.91998000001
20240918,20,0.031974682694724255,58576.678649999994,65858.57711000001
20241025,12,0.014142271248762661,98138.05453000001,113822.34213
20240803,0,0.028613165067836732,61808.39253,57110.55405
20240903,22,0.020530367835758234,91851.51635,132584.23627
20240724,1,0.017641471027274314,75839.79637,74157.51960000001
20240502,6,0.03994029976246427,107670.04078999997,78823.50054
20240830,15,0.03918303374639276,61470.393379999994,79067.01544
20241013,8,0.014021530839580798,96493.51673999998,106366.181235
20240514,12,0.024646730200461597,312955.32535,226057.59265
20240518,17,0.09030457269518788,220731.2524,178978.16580000002
20240522,12,0.026838432635534204,131119.7195,140533.12075
20240525,2,0.027160382111701686,170720.2521,165485.5934
20240514,3,0.0315669021523024,222576.68104999998,257768.0104
20240515,18,0.01811102055599978,158997.7618,226706.81870000003
20240523,2,0.017667844522972764,138131.2342,167633.2023
20240529,5,0.017940437746677418,147261.68310000002,170768.24200000003
20240812,0,0.016307006577154226,61450.56743999999,41919.60435
20241110,14,0.05639670258426044,66184.76589000001,60832.41563
20240718,9,0.01872776078406524,78174.77717,122239.03253000001
20240903,16,0.022748350744561385,89184.73826999999,145845.93606999997
20240414,4,0.03877630155717515,58335.69494999998,57811.04088
20240928,18,0.022660019727549496,115763.15646,123025.39921999998
20240603,1,0.01969667126255903,131264.19989999998,128489.54939999999
20241001,1,0.02045437942874706,91734.08047,56461.33800000001
20240830,11,0.02516316741369984,101563.44551,83705.00976
20241003,12,0.020242402774639512,87190.37619500002,87920.98482000001
20240618,22,0.01742018651214039,80326.69618,124270.49572
20240618,11,0.02506636890859948,79879.85921,89440.65702500001
20240825,17,0.02618897967736622,146667.170355,88461.591815
20241203,10,0.017119309358171186,79836.56597,72275.84781
20241202,9,0.020101849370135483,59200.614760000004,59851.505520000006
20240816,8,0.01429796968830388,83337.85248500001,76850.89577999999
20240710,0,0.018828339340482003,76833.19698000001,83855.79357
20240727,0,0.0229531216245471,70843.1385,74114.71343000003
20240408,3,0.0443697165008583,120481.42610000001,85057.57148
20241106,21,0.023262769598875188,72983.86794,92644.75986
20241022,0,0.017988307604099862,82877.64305999999,128175.32607499999
