dt,hr,med_spread,med_buy_sz,med_sell_sz
20240425,13,0.008676036786403607,148626.97962000003,151071.27086999998
20240822,4,0.020166711481572897,382596.3486899999,319697.09050000005
20240404,9,0.008504124500374743,179474.48628999994,181858.75779000003
20241103,15,0.018382352941159752,152776.74080000003,183609.882565
20240403,14,0.008485362749266478,201437.05351500004,199613.85198
20241116,17,0.019658917776577134,142868.30152000004,151587.4884
20240501,0,0.01670425123192487,221203.899315,240819.89984999996
20240803,21,0.02399616061430354,124065.44211,136331.44255999997
20240402,9,0.017126220243190993,215474.64537,203171.25093999994
20240914,21,0.020359687818127803,240647.52211000002,235050.79312000005
20240410,19,0.008439530762083258,190588.68574,171228.06867
20241030,9,0.01191682059225041,141770.22269999998,164192.00958
20240417,14,0.01816860465115866,143438.73765000002,117430.4944
20240914,1,0.013523564811701583,282204.88340000005,309968.02894
20240718,7,0.014967819188749232,126959.79722,136220.69587
20240720,21,0.01488427476372678,107112.36078000002,138717.01478000003
20240401,7,0.01643790581080662,159318.71167999998,162043.29464999997
20241028,15,0.018339650324006307,168990.64112000001,151731.02425
20240416,21,0.008989572096362863,132567.62823000003,165129.32891
20240801,6,0.023272050267619804,118858.34202000003,139352.6459
20241123,1,0.019338619222586395,111836.262215,106626.83651
20241030,5,0.011983223487121997,147061.06968999997,147432.37480000002
20241209,14,0.019993002454699038,250275.22232,289560.07514
20240530,21,0.026807255830574306,164573.15922,162776.54434999998
20240525,23,0.01759324419421393,159343.44678,191121.32153999998
20240523,23,0.017391304347813552,234358.20114999998,179779.32911000002
20240513,1,0.015725743041383744,148369.46500999999,161811.17928
20240528,0,0.01778093883357812,173345.68248999998,196328.57485999996
20240518,8,0.016087516087526232,162682.98741,183651.04155999998
20241013,9,0.01841281531946848,177625.94020999997,191918.38369999998
20241115,6,0.016789791806592902,141094.42854000002,151524.26729
20241018,1,0.012569130216188995,142988.29026,187677.27636999995
20240831,5,0.025128785023253997,326170.7389,248421.15965000005
20240428,16,0.008309098462810915,163452.58548,165543.52133
20241120,1,0.020112630732116443,126521.51244000002,117824.4936
20240924,10,0.01970572779821378,172256.965995,166241.88942999998
20240923,7,0.0263036759386992,163999.87315,127485.84928999998
20240615,5,0.01727264876068002,141589.45134000006,148864.13835000002
20240423,11,0.008916629514033048,163327.05891000002,154049.59191
20240614,16,0.02579092159558094,135733.62248499997,155874.07825000002
20240830,1,0.031265632816412925,224710.98480999997,221727.59386999995
20240616,10,0.017358097552500062,154451.921605,177712.89452
20240701,22,0.01560305819943153,157940.55048,153557.70259000003
20240701,16,0.01554968123151923,162839.57317999995,156550.03934000005
20240403,5,0.017072129748174625,183727.56403,196425.56243999998
20240713,18,0.021235931195584534,154525.14893000002,141077.19081
20240713,10,0.02155327250521477,128588.10918999999,128226.02375
20241106,11,0.012296341838324842,127547.01602,146977.64491
20241014,9,0.01874765654292787,141077.84789999996,163317.10909
20240820,5,0.020894274968630278,392263.68636000005,388374.82891000004
20240913,14,0.01993620414673103,162019.57999,188314.37542000003
20240820,9,0.020507211702791572,272596.1894600001,669292.7519200001
20240715,18,0.014518002322905232,117611.56285,132867.25123999998
20240820,17,0.019795447047177284,331398.10339500004,723620.943185
20241202,7,0.018904485089099587,107615.41643999999,108182.84922
20240723,12,0.015108022359866524,159862.20446999997,156880.59171
20240910,17,0.01972386587769659,121747.87099,145845.82606999998
20241208,18,0.022120398167180255,513779.99822000007,367114.53827
20241017,10,0.018757033887717434,157659.26749,172556.28684
20240809,15,0.023646252069053908,148384.03042,125398.26891999999
20240926,19,0.019592476489038724,177976.43351,164302.65821999998
20240825,7,0.025029722795810727,396466.7289599999,319276.8773900001
20240926,7,0.02634178465590331,167095.76519,183898.16814999998
20240719,3,0.022171310324425875,150364.34355000002,147077.33219000002
20240810,20,0.02317855211311226,146693.26692000002,119513.80304000003
20241104,21,0.024527839097365778,185217.38395000002,150362.45923
20240716,15,0.022441651705573662,136124.29342,132251.42777000004
20240410,7,0.016181229773448713,135883.01016,163855.41747000004
20240419,23,0.009124920156944327,142129.43532000002,136500.72514000002
20241023,1,0.012471938139180239,183119.08445,191258.96775999994
20240906,2,0.013346680013337497,181443.97882999998,210918.07204
20240811,19,0.023349937733496695,148056.41039,123504.88864999998
20240819,4,0.029702235093176377,307638.10687,297322.7821
20240526,18,0.01770538243626163,152280.88137,189475.33112999995
20240518,19,0.016245633985878527,176398.26433000003,189292.69338999994
20240515,23,0.015852885225098312,161353.52943,161073.56553
20240511,10,0.023629489603016474,141112.38598999998,141433.82861
20240412,21,0.008748141020031852,155428.16887,155551.63183999996
20240814,3,0.023223409196471145,122066.90678,126336.81128
20241016,23,0.018755861206631863,189035.42463,165434.17473
20241028,11,0.030541811740270042,150094.62706000003,146596.49688999995
20240415,2,0.008927774305855785,73946.29768,83640.00239000001
20240614,11,0.017262213015700745,155626.49259,182471.62544000003
20240916,16,0.020240183510988885,163449.19519,204810.64033999995
20240404,14,0.00841892574507952,226258.83793000004,198161.28946999996
20240617,19,0.017060479399466644,148671.22958999997,180966.98196000003
20240627,0,0.008153281695899572,145343.12631,159849.23037
20240616,2,0.017349063150584598,166600.08076,160508.24992000003
20240621,6,0.017076502732238374,154106.66278,159007.19247
20240908,23,0.01961168856638995,294624.66514000006,399580.78913
20240704,3,0.015651901706048577,190164.74803999998,149187.98040000003
20240706,19,0.015420200462590294,143424.57400999998,126560.89496999996
20240619,7,0.025627883136847274,144377.81558,164056.94789999997
20240624,20,0.016827934371055342,151047.44236,153167.60187
20240424,6,0.00881756458865901,163521.14358000003,155171.7152
20241001,0,0.019218449711733143,144349.01020999998,190509.71346
20241118,11,0.01494470459300068,140679.83318000002,141058.38745
20240912,13,0.0325902750619278,161264.64233000003,155043.67224999997
20240401,8,0.008252867871583192,164080.79859,155361.35580999998
20240724,16,0.022356360384523377,160525.47178999998,142337.34665999998
20240912,8,0.019470404984422984,182470.71905000004,173561.22502
20240406,16,0.016768676113021463,176190.45641,168648.17226999998
20241106,0,0.006246876561721848,144018.03932,145819.12579999998
20241027,20,0.03036929057336213,141926.4512,149782.24345999997
20240430,10,0.016662501041420086,197501.06451500003,199251.8136
20240827,18,0.01848428835489191,251539.11465,243674.82006
20240806,4,0.02453385672227526,139229.31315999996,116270.16563999998
20240921,2,0.019757639620654466,141362.53047,166087.52676
20241031,12,0.017640832647303206,158993.48871999996,145651.51534
20241120,21,0.015299877600982725,111788.56426,107347.23377000002
20240718,13,0.022318107424479372,133907.60804000002,152762.03517000002
20240813,13,0.02355342702362595,139965.24026,120960.62498000001
20240902,1,0.012807377049184332,410199.95739999996,289710.79627000005
20240409,12,0.016289297931271207,190674.22501999998,166942.27010000002
20241121,23,0.015134698819485592,105185.05802999999,124214.00866000002
20241204,20,0.012032970436726131,184802.18817500002,173648.03702000002
20240809,16,0.0314861460957383,153159.07348000002,120785.53394
20240806,23,0.02433090024329676,114091.53972,125399.54227000002
20240414,10,0.01790510295434089,78997.85690000001,72624.83626999999
20240424,20,0.008799718409013835,140995.04474,136508.14496999996
20240417,5,0.017708517797054846,128012.6334,151878.65167000002
20241210,13,0.011205737337505184,251143.33518499997,239148.01393999998
20241023,21,0.018752344043004854,153620.0181,197299.41570999994
20241107,16,0.00625860558265412,145760.71626000002,137204.87335999997
20241006,23,0.025953802232026035,189431.45552999998,184629.31759999998
