dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.02413709872073344,328758.7517,296389.77420000004
20240402,0.02453787011285069,347626.75405,308807.20194999996
20240403,0.02685044303230022,341661.81995,328903.4523
20240404,0.026709401709412717,319286.5043,306695.2076
20240405,0.02732738203681251,308523.8212,298433.78875
20240406,0.02662879460322287,299456.7764,283550.2876
20240407,0.026265102433908893,307344.2521,282288.4917
20240408,0.017545398719187588,275724.50065,260491.17559999996
20240409,0.01788109074651878,274326.1139,254502.71164999995
20240410,0.02673796791443639,275022.5963,269363.8373499999
20240411,0.0174386920980929,195773.91075,199262.85098000002
20240412,0.017667635494600376,199628.04442000005,185720.10205
20240413,0.02207046971152149,189549.53565000003,189828.96128
20240414,0.018272285160092494,79933.58197999999,57513.519595000005
20240415,0.019278966647395812,80963.04620999999,59215.68413
20240416,0.021138073898696597,128702.948155,103251.781885
20240417,0.024598466213299197,133094.03075,114182.4969
20240418,0.024020799186108555,123350.62298000001,116236.60338999999
20240419,0.023848956608141236,148453.12211,130183.09545
20240420,0.022451728783123848,126711.56141000001,122846.67354999999
20240421,0.02082045609899108,119641.923805,104454.790385
20240422,0.023832819046187836,126477.95601,123739.430895
20240423,0.022127701423535484,144798.48662,131575.93144000001
20240424,0.025041004645109943,137401.64801,102107.41656
20240425,0.02377169166865034,111644.11590999998,89855.62227
20240426,0.021062885878642135,120848.32205,116383.12250999999
20240427,0.02596289901730664,146935.05184,132952.00513
20240428,0.024952278766865454,150823.79680500002,110509.345705
20240429,0.02121312562146649,147783.74345,133013.1256
20240430,0.022306783886616444,139851.94060000003,148890.837365
20240501,0.025721634758046896,154412.40372499998,169213.18260500004
20240502,0.0229655731716516,161869.08829500002,158944.62072999997
20240503,0.022010675177464023,158336.45057000002,156329.33237999998
20240504,0.019947869567538135,158552.1095,153061.41611
20240505,0.020144503236552147,143307.63358,146076.64209
20240506,0.02100481798013032,146363.548,138558.79879
20240507,0.0214520345914071,131039.99564999998,141511.57022999998
20240508,0.021564504825044573,141583.42203000002,148629.38523
20240509,0.017672167695281793,158148.12442000004,162077.50426999998
20240510,0.01339979632311028,154841.64940000002,158665.59679
20240511,0.012737230925985443,150065.63890000002,153674.28773
20240512,0.012828736369452365,165169.96868,179722.22918000002
20240513,0.018494280999248325,156505.30848,173027.08698
20240514,0.02005931826973839,164631.48810000002,166995.483355
20240515,0.023159816356277396,159985.35753000004,150771.85126
20240516,0.021839127526845914,156070.31704000002,154342.12265
20240517,0.018554596901387832,158314.892975,157686.17461999998
20240518,0.01889073598306812,163217.15120999998,171702.86140000005
20240519,0.02016866042280352,168799.787385,199787.34557
20240520,0.021889727279744697,158710.46184999996,162866.42033
20240521,0.023367712194755086,173488.66879999998,166295.46834000002
20240522,0.021765605166812474,190544.160885,173617.04408000005
20240523,0.02311756935271525,178594.50970000005,164719.97743000003
