dt,hr,med_spread,med_buy_sz,med_sell_sz
20240416,15,0.04048091324939662,84746.9828,121666.72969999998
20240915,13,0.012638230647699089,180548.67300000004,189153.93349999998
20241122,20,0.012976269650299965,233599.62425000005,206596.90245000002
20240928,2,0.008425664574285285,194855.75839999996,137456.71610000002
20240818,9,0.021214907007993666,140399.2822,126890.5298
20241001,1,0.015928639694173796,155288.8679,163267.3055
20240912,5,0.01282215668674258,188598.63779999997,198124.7282
20240422,16,0.02142704092567005,89842.69595,85781.04345
20241108,15,0.012806830309508577,174996.86969999998,183405.1468
20240405,2,0.04440168805195377,126002.21595,129860.3456
20241103,1,0.00926912916532352,223217.90620000003,217568.7353
20240501,1,0.02392916969587988,87604.15955000001,104057.83774999999
20240921,4,0.011936735302886525,240707.70420000004,250744.63910000003
20241107,1,0.012389015073299703,193514.37259999994,180791.4015
20240908,2,0.013402130938811041,233229.71779999998,229860.41020000004
20240923,14,0.01753155680224161,177491.0871,156057.99890000004
20240915,19,0.01294247071768062,168288.52539999998,186940.35830000005
20240913,13,0.013247665099025419,222034.88890000002,214998.08049999998
20240816,7,0.013438150910438651,118625.4867,107690.69260000001
20240815,3,0.019060931444170315,101144.8339,101692.80219999999
20240907,19,0.006711859856367575,241521.4207,241067.36609999998
20241014,19,0.017652873887885612,158879.48855,151235.83025
20240410,5,0.03120390332462808,98939.38470000002,111406.2176
20241117,2,0.014608350132938597,111629.6369,136579.7919
20240831,8,0.013039509714429798,222855.27724999998,217292.94439999998
20240411,8,0.021070930018174394,153877.347,97187.755
20241120,0,0.015110533556395023,199072.49039999995,196946.21110000001
20240413,23,0.06673061684114856,73741.43160000001,126980.02640000002
20240507,23,0.026474286877886666,81483.96835000001,98837.85175000002
20240512,21,0.016785282664155687,155400.92805,171756.3931
20240522,6,0.03154463565946397,147276.8042,157370.4835
20240527,3,0.01985965841386772,112336.4139,127741.9685
20240525,10,0.019727108334710586,119718.6923,117313.51375000001
20240530,15,0.017401392111371372,121772.30739999999,127244.86250000002
20241116,7,0.008008328661790465,185820.86810000005,135459.9595
